     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3        descriptor_4        descriptor_5
        63   -0.8814767363E+01   -0.8854362512E+01    0.1160451812E+02    0.1410714286E+02    0.9833333333E+01    0.7200000000E+00    0.5216528840E+00
        64   -0.7604099765E+01   -0.7453668105E+01    0.7736345414E+01    0.1357142857E+02    0.9809523809E+01    0.7200000000E+00    0.4995119025E+00
        65   -0.6948301999E+01   -0.6754984193E+01    0.5802259061E+01    0.1295238095E+02    0.9285714286E+01    0.7200000000E+00    0.4729124548E+00
        66   -0.6518686119E+01   -0.6301405350E+01    0.4641807249E+01    0.1275000000E+02    0.9404761905E+01    0.7200000000E+00    0.4615059513E+00
        67   -0.7998266669E+01   -0.8580085386E+01    0.1160451812E+02    0.1461904762E+02    0.1183333333E+02    0.7413333333E+00    0.5010819817E+00
        68   -0.7064817594E+01   -0.7256317279E+01    0.7736345414E+01    0.1453571429E+02    0.1164285714E+02    0.7413333333E+00    0.4818943030E+00
        69   -0.6609165537E+01   -0.6572726276E+01    0.5802259061E+01    0.1383333333E+02    0.1111904762E+02    0.7413333333E+00    0.4655027587E+00
        70   -0.6191707090E+01   -0.6170251065E+01    0.4641807249E+01    0.1321428571E+02    0.1050000000E+02    0.7413333333E+00    0.4488095982E+00
        71   -0.8498677176E+01   -0.8779236401E+01    0.1160451812E+02    0.1498809524E+02    0.1190476190E+02    0.9386666667E+00    0.5437673103E+00
        72   -0.7417949102E+01   -0.7454313184E+01    0.7736345414E+01    0.1482142857E+02    0.1164285714E+02    0.9386666667E+00    0.5233289088E+00
        73   -0.6817227608E+01   -0.6754304227E+01    0.5802259061E+01    0.1450000000E+02    0.1142857143E+02    0.9386666667E+00    0.5022152099E+00
        74   -0.6427985928E+01   -0.6307153405E+01    0.4641807249E+01    0.1400000000E+02    0.1126190476E+02    0.9386666667E+00    0.4890071124E+00
        75   -0.8859097756E+01   -0.8684904422E+01    0.1160451812E+02    0.1341666667E+02    0.1026190476E+02    0.8000000000E+00    0.4926385299E+00
        76   -0.7544220281E+01   -0.7366500376E+01    0.7736345414E+01    0.1286904762E+02    0.9642857143E+01    0.8000000000E+00    0.4696868247E+00
        77   -0.6838705916E+01   -0.6632623434E+01    0.5802259061E+01    0.1270238095E+02    0.9785714286E+01    0.8000000000E+00    0.4492469410E+00
        78   -0.6390182052E+01   -0.6191202033E+01    0.4641807249E+01    0.1195238095E+02    0.9309523809E+01    0.8000000000E+00    0.4303550605E+00
        79   -0.8114065145E+01   -0.8535942194E+01    0.1160451812E+02    0.1433333333E+02    0.1135714286E+02    0.8266666667E+00    0.4514086198E+00
        80   -0.7035634333E+01   -0.7201535735E+01    0.7736345414E+01    0.1378571429E+02    0.1080952381E+02    0.8266666667E+00    0.4259670887E+00
        81   -0.6552085430E+01   -0.6531534802E+01    0.5802259061E+01    0.1308333333E+02    0.1021428571E+02    0.8266666667E+00    0.4110220202E+00
        82   -0.6133278189E+01   -0.6119943414E+01    0.4641807249E+01    0.1264285714E+02    0.9833333333E+01    0.8266666667E+00    0.3972709868E+00
        83   -0.8373248704E+01   -0.8686138679E+01    0.1160451812E+02    0.1378571429E+02    0.1097619048E+02    0.1098666667E+01    0.4733879106E+00
        84   -0.7327403798E+01   -0.7354552952E+01    0.7736345414E+01    0.1328571429E+02    0.1050000000E+02    0.1098666667E+01    0.4514947002E+00
        85   -0.6780141083E+01   -0.6670056250E+01    0.5802259061E+01    0.1254761905E+02    0.9833333333E+01    0.1098666667E+01    0.4274260707E+00
        86   -0.6347637274E+01   -0.6254313511E+01    0.4641807249E+01    0.1207142857E+02    0.9428571429E+01    0.1098666667E+01    0.4119796736E+00
        87   -0.9669969206E+01   -0.9513336931E+01    0.1160451812E+02    0.2138461538E+02    0.1053846154E+02    0.9338461538E+00    0.4947956624E+00
        88   -0.8171686177E+01   -0.8137307765E+01    0.7736345414E+01    0.2042307692E+02    0.9961538461E+01    0.9338461538E+00    0.4678136167E+00
        89   -0.7504977923E+01   -0.7479797661E+01    0.5802259061E+01    0.2003846154E+02    0.9500000000E+01    0.9338461538E+00    0.4525322294E+00
        90   -0.7004644775E+01   -0.7035301230E+01    0.4641807249E+01    0.1946153846E+02    0.9192307692E+01    0.9338461538E+00    0.4351202811E+00
        91   -0.8788187942E+01   -0.9006541852E+01    0.1160451812E+02    0.1185714286E+02    0.4428571429E+01    0.4297142857E+00    0.3979926965E+00
        92   -0.7549831850E+01   -0.7723311187E+01    0.7736345414E+01    0.1121428571E+02    0.3714285714E+01    0.4297142857E+00    0.3885511381E+00
        93   -0.7051707523E+01   -0.6991292235E+01    0.5802259061E+01    0.1073809524E+02    0.3714285714E+01    0.4297142857E+00    0.3737214137E+00
        94   -0.6689903384E+01   -0.6506169579E+01    0.4641807249E+01    0.1054761905E+02    0.4000000000E+01    0.4297142857E+00    0.3584860094E+00
        95   -0.8882908159E+01   -0.9016663334E+01    0.1160451812E+02    0.1202380952E+02    0.4380952381E+01    0.4314285714E+00    0.3917814208E+00
        96   -0.7703309120E+01   -0.7640643925E+01    0.7736345414E+01    0.1190476190E+02    0.4666666667E+01    0.4314285714E+00    0.3811139550E+00
        97   -0.6963189662E+01   -0.6974785723E+01    0.5802259061E+01    0.1064285714E+02    0.3666666667E+01    0.4314285714E+00    0.3675596160E+00
        98   -0.6649709480E+01   -0.6555328612E+01    0.4641807249E+01    0.1050000000E+02    0.3571428571E+01    0.4314285714E+00    0.3549883640E+00
        99   -0.8870992275E+01   -0.9051162831E+01    0.1160451812E+02    0.1373214286E+02    0.6392857143E+01    0.2703571429E+00    0.4818523758E+00
       100   -0.7682920433E+01   -0.7668260174E+01    0.7736345414E+01    0.1280357143E+02    0.6000000000E+01    0.2703571429E+00    0.4618607176E+00
       101   -0.7056175708E+01   -0.6940878902E+01    0.5802259061E+01    0.1255357143E+02    0.6071428571E+01    0.2703571429E+00    0.4434791061E+00
       102   -0.6585778742E+01   -0.6460427679E+01    0.4641807249E+01    0.1191071429E+02    0.5964285714E+01    0.2703571429E+00    0.4258700177E+00
       103   -0.8498823453E+01   -0.8834507459E+01    0.1160451812E+02    0.1321666667E+02    0.8033333333E+01    0.1156800000E+01    0.3708153679E+00
       104   -0.7312889042E+01   -0.7494126975E+01    0.7736345414E+01    0.1211666667E+02    0.7133333333E+01    0.1156800000E+01    0.3453231951E+00
       105   -0.6728360334E+01   -0.6791625996E+01    0.5802259061E+01    0.1206666667E+02    0.7200000000E+01    0.1156800000E+01    0.3285746273E+00
       106   -0.6314703278E+01   -0.6356566123E+01    0.4641807249E+01    0.1106666667E+02    0.6566666667E+01    0.1156800000E+01    0.3137257670E+00
       107   -0.9832829668E+01   -0.9062558296E+01    0.1160451812E+02    0.1301666667E+02    0.7066666667E+01    0.6264000000E+00    0.5031973911E+00
       108   -0.7990853830E+01   -0.7700684348E+01    0.7736345414E+01    0.1296666667E+02    0.7066666667E+01    0.6264000000E+00    0.4778734764E+00
       109   -0.7156951524E+01   -0.6881279548E+01    0.5802259061E+01    0.1153333333E+02    0.6566666667E+01    0.6264000000E+00    0.4364991886E+00
       110   -0.6769534611E+01   -0.6523790777E+01    0.4641807249E+01    0.1158333333E+02    0.6433333333E+01    0.6264000000E+00    0.4398492282E+00
       111   -0.8796708040E+01   -0.8749819093E+01    0.1160451812E+02    0.1508000000E+02    0.1096000000E+02    0.6585000000E+00    0.5132130432E+00
       112   -0.7631360842E+01   -0.7399659994E+01    0.7736345414E+01    0.1470666667E+02    0.1069333333E+02    0.6585000000E+00    0.4906913777E+00
       113   -0.6898200274E+01   -0.6714128926E+01    0.5802259061E+01    0.1374666667E+02    0.9866666667E+01    0.6585000000E+00    0.4660490224E+00
       114   -0.6507269748E+01   -0.6248995545E+01    0.4641807249E+01    0.1354666667E+02    0.9973333333E+01    0.6585000000E+00    0.4487718943E+00
       115   -0.9209115123E+01   -0.8808769016E+01    0.1160451812E+02    0.1429333333E+02    0.1037333333E+02    0.6735000000E+00    0.5346535141E+00
       116   -0.7699190047E+01   -0.7481052408E+01    0.7736345414E+01    0.1357333333E+02    0.9626666667E+01    0.6735000000E+00    0.5073695141E+00
       117   -0.6976562632E+01   -0.6738718364E+01    0.5802259061E+01    0.1317333333E+02    0.9600000000E+01    0.6735000000E+00    0.4830594079E+00
       118   -0.6518026947E+01   -0.6314331397E+01    0.4641807249E+01    0.1248000000E+02    0.8960000000E+01    0.6735000000E+00    0.4588700691E+00
       119   -0.9185977570E+01   -0.8777853815E+01    0.1160451812E+02    0.1400000000E+02    0.9946666667E+01    0.7170000000E+00    0.5008052752E+00
       120   -0.7662536403E+01   -0.7418145607E+01    0.7736345414E+01    0.1368000000E+02    0.9706666667E+01    0.7170000000E+00    0.4734526274E+00
       121   -0.6968416208E+01   -0.6714292732E+01    0.5802259061E+01    0.1320000000E+02    0.9440000000E+01    0.7170000000E+00    0.4544296149E+00
       122   -0.6533169192E+01   -0.6260544225E+01    0.4641807249E+01    0.1285333333E+02    0.9360000000E+01    0.7170000000E+00    0.4369731349E+00
       123   -0.9189391343E+01   -0.9514965472E+01    0.1160451812E+02    0.1998333333E+02    0.1186666667E+02    0.1557600000E+01    0.5399550621E+00
       124   -0.7786104000E+01   -0.8045597376E+01    0.7736345414E+01    0.1843333333E+02    0.1113333333E+02    0.1557600000E+01    0.4888876963E+00
       125   -0.7249148162E+01   -0.7504648457E+01    0.5802259061E+01    0.1845000000E+02    0.1083333333E+02    0.1557600000E+01    0.5163196919E+00
       126   -0.6809951665E+01   -0.7002321942E+01    0.4641807249E+01    0.1796666667E+02    0.1080000000E+02    0.1557600000E+01    0.4867835748E+00
       127   -0.9081007405E+01   -0.8853720529E+01    0.1160451812E+02    0.1380000000E+02    0.9760000000E+01    0.7710000000E+00    0.5222275780E+00
       128   -0.7641392634E+01   -0.7466980487E+01    0.7736345414E+01    0.1317333333E+02    0.9386666667E+01    0.7710000000E+00    0.4884547781E+00
       129   -0.6939259259E+01   -0.6785903842E+01    0.5802259061E+01    0.1301333333E+02    0.9200000000E+01    0.7710000000E+00    0.4701138314E+00
       130   -0.6465216890E+01   -0.6278616873E+01    0.4641807249E+01    0.1228000000E+02    0.8986666667E+01    0.7710000000E+00    0.4383059161E+00
       131   -0.8800885899E+01   -0.8764344109E+01    0.1160451812E+02    0.1434666667E+02    0.1064000000E+02    0.6540000000E+00    0.5327485619E+00
       132   -0.7607668296E+01   -0.7432081698E+01    0.7736345414E+01    0.1381333333E+02    0.1008000000E+02    0.6540000000E+00    0.5068353678E+00
       133   -0.6924314021E+01   -0.6687994200E+01    0.5802259061E+01    0.1328000000E+02    0.1000000000E+02    0.6540000000E+00    0.4843464375E+00
       134   -0.6509957557E+01   -0.6272744156E+01    0.4641807249E+01    0.1324000000E+02    0.9866666667E+01    0.6540000000E+00    0.4666890446E+00
       135   -0.7981166889E+01   -0.8535938504E+01    0.1160451812E+02    0.1433750000E+02    0.1205000000E+02    0.6940000000E+00    0.5154388689E+00
       136   -0.7061834978E+01   -0.7171400331E+01    0.7736345414E+01    0.1385000000E+02    0.1172500000E+02    0.6940000000E+00    0.4881211191E+00
       137   -0.6461672741E+01   -0.6469331059E+01    0.5802259061E+01    0.1295000000E+02    0.1102500000E+02    0.6940000000E+00    0.4615343575E+00
       138   -0.6244505041E+01   -0.6170295654E+01    0.4641807249E+01    0.1346250000E+02    0.1095000000E+02    0.6940000000E+00    0.4733597568E+00
       139   -0.8231107142E+01   -0.8803940474E+01    0.1160451812E+02    0.1546250000E+02    0.1220000000E+02    0.9160000000E+00    0.5554449625E+00
       140   -0.7216520310E+01   -0.7428398020E+01    0.7736345414E+01    0.1438750000E+02    0.1140000000E+02    0.9160000000E+00    0.5198448420E+00
       141   -0.6663088151E+01   -0.6759631740E+01    0.5802259061E+01    0.1457500000E+02    0.1147500000E+02    0.9160000000E+00    0.5077152197E+00
       142   -0.6340609399E+01   -0.6356851274E+01    0.4641807249E+01    0.1412500000E+02    0.1110000000E+02    0.9160000000E+00    0.4985648112E+00
       143   -0.8228729799E+01   -0.8987281285E+01    0.1160451812E+02    0.1585000000E+02    0.1300000000E+02    0.1752000000E+01    0.5334624652E+00
       144   -0.7247450203E+01   -0.7692892190E+01    0.7736345414E+01    0.1528750000E+02    0.1240000000E+02    0.1752000000E+01    0.5227361764E+00
       145   -0.6652501465E+01   -0.7014806471E+01    0.5802259061E+01    0.1433750000E+02    0.1167500000E+02    0.1752000000E+01    0.5071795474E+00
       146   -0.6236691911E+01   -0.6564377621E+01    0.4641807249E+01    0.1397500000E+02    0.1135000000E+02    0.1752000000E+01    0.4766587460E+00
       147   -0.9487380604E+01   -0.9686356891E+01    0.1160451812E+02    0.1731578947E+02    0.7789473684E+01    0.4600000000E+00    0.6546083973E+00
       148   -0.8221768049E+01   -0.8268529977E+01    0.7736345414E+01    0.1715789474E+02    0.8070175439E+01    0.4600000000E+00    0.6272635979E+00
       149   -0.7450361430E+01   -0.7580709056E+01    0.5802259061E+01    0.1671929825E+02    0.7789473684E+01    0.4600000000E+00    0.6124753097E+00
       150   -0.7016113171E+01   -0.7085076561E+01    0.4641807249E+01    0.1645614035E+02    0.7824561403E+01    0.4600000000E+00    0.5803557364E+00
       151   -0.8752368839E+01   -0.9388182129E+01    0.1160451812E+02    0.1497368421E+02    0.3052631579E+01    0.2131707317E+00    0.3747171833E+00
       152   -0.7713498198E+01   -0.8021577898E+01    0.7736345414E+01    0.1439473684E+02    0.2947368421E+01    0.2131707317E+00    0.3641763805E+00
       153   -0.7094603908E+01   -0.7251231464E+01    0.5802259061E+01    0.1410526316E+02    0.3421052632E+01    0.2131707317E+00    0.3539105279E+00
       154   -0.6699313268E+01   -0.6848422419E+01    0.4641807249E+01    0.1307894737E+02    0.2578947368E+01    0.2131707317E+00    0.3412206458E+00
       155   -0.9019953097E+01   -0.8839622959E+01    0.1160451812E+02    0.1470000000E+02    0.9450000000E+01    0.6053333333E+00    0.4836666373E+00
       156   -0.7624860987E+01   -0.7495070286E+01    0.7736345414E+01    0.1443750000E+02    0.9175000000E+01    0.6053333333E+00    0.4581581864E+00
       157   -0.6993737985E+01   -0.6779102523E+01    0.5802259061E+01    0.1381250000E+02    0.8875000000E+01    0.6053333333E+00    0.4382309674E+00
       158   -0.6554757487E+01   -0.6311776571E+01    0.4641807249E+01    0.1368750000E+02    0.9050000000E+01    0.6053333333E+00    0.4209326688E+00
       159   -0.8112079145E+01   -0.8541461136E+01    0.1160451812E+02    0.1342500000E+02    0.1052500000E+02    0.7568000000E+00    0.4534664379E+00
       160   -0.7182816003E+01   -0.7224075675E+01    0.7736345414E+01    0.1302500000E+02    0.1017500000E+02    0.7568000000E+00    0.4411273269E+00
       161   -0.6702375534E+01   -0.6523001890E+01    0.5802259061E+01    0.1247500000E+02    0.9800000000E+01    0.7568000000E+00    0.4196768267E+00
       162   -0.6239370676E+01   -0.6107342830E+01    0.4641807249E+01    0.1186250000E+02    0.9200000000E+01    0.7568000000E+00    0.3981741161E+00
       163   -0.9251828213E+01   -0.9249971919E+01    0.1160451812E+02    0.1982539683E+02    0.1158730159E+02    0.9428571429E+00    0.5133729660E+00
       164   -0.8040126440E+01   -0.7903423728E+01    0.7736345414E+01    0.1898412698E+02    0.1104761905E+02    0.9428571429E+00    0.4961406137E+00
       165   -0.7188974415E+01   -0.7155259063E+01    0.5802259061E+01    0.1793650794E+02    0.1053968254E+02    0.9428571429E+00    0.4680517668E+00
       166   -0.6803424363E+01   -0.6773256996E+01    0.4641807249E+01    0.1777777778E+02    0.1025396825E+02    0.9428571429E+00    0.4605641980E+00
       167   -0.9597719030E+01   -0.9276702503E+01    0.1160451812E+02    0.1607936508E+02    0.9142857143E+01    0.6497142857E+00    0.5856327105E+00
       168   -0.8104813378E+01   -0.7939724169E+01    0.7736345414E+01    0.1579365079E+02    0.8984126984E+01    0.6497142857E+00    0.5716385317E+00
       169   -0.7262940904E+01   -0.7208023294E+01    0.5802259061E+01    0.1561904762E+02    0.9047619048E+01    0.6497142857E+00    0.5475666440E+00
       170   -0.6845962963E+01   -0.6747376642E+01    0.4641807249E+01    0.1519047619E+02    0.8952380952E+01    0.6497142857E+00    0.5297984113E+00
       171   -0.8262879709E+01   -0.8585102632E+01    0.1160451812E+02    0.1396296296E+02    0.1148148148E+02    0.8268750000E+00    0.4967073456E+00
       172   -0.7383404575E+01   -0.7255407373E+01    0.7736345414E+01    0.1324074074E+02    0.1083333333E+02    0.8268750000E+00    0.4747776022E+00
       173   -0.6696738723E+01   -0.6555783439E+01    0.5802259061E+01    0.1238888889E+02    0.1012962963E+02    0.8268750000E+00    0.4468923781E+00
       174   -0.6323207465E+01   -0.6126589081E+01    0.4641807249E+01    0.1257407407E+02    0.1042592593E+02    0.8268750000E+00    0.4399127881E+00
       175   -0.8005881486E+01   -0.8600520804E+01    0.1160451812E+02    0.1341666667E+02    0.1050000000E+02    0.7668571429E+00    0.4762174896E+00
       176   -0.7201069315E+01   -0.7269048704E+01    0.7736345414E+01    0.1308333333E+02    0.1021428571E+02    0.7668571429E+00    0.4588298815E+00
       177   -0.6650704413E+01   -0.6553888614E+01    0.5802259061E+01    0.1246428571E+02    0.9833333333E+01    0.7668571429E+00    0.4339669907E+00
       178   -0.6304010513E+01   -0.6107236624E+01    0.4641807249E+01    0.1207142857E+02    0.9690476191E+01    0.7668571429E+00    0.4177201086E+00
       179   -0.9117447657E+01   -0.9145977541E+01    0.7736345414E+01    0.2460000000E+02    0.5600000000E+01    0.4633333333E+00    0.5243279835E+00
       180   -0.7906094813E+01   -0.8517383020E+01    0.5802259061E+01    0.2445000000E+02    0.5400000000E+01    0.4633333333E+00    0.5274169897E+00
       181   -0.7575282667E+01   -0.7891336030E+01    0.4641807249E+01    0.2275000000E+02    0.5500000000E+01    0.4633333333E+00    0.5063732296E+00
       182   -0.1123586207E+02   -0.9113296150E+01    0.7736345414E+01    0.2210000000E+02    0.1400000000E+01    0.1664545455E+00    0.4075514216E+00
       183   -0.9368553292E+01   -0.8366825403E+01    0.5802259061E+01    0.2210000000E+02    0.2000000000E+01    0.1664545455E+00    0.4026645942E+00
       184   -0.7839101782E+01   -0.8010278625E+01    0.4641807249E+01    0.2150000000E+02    0.1200000000E+01    0.1664545455E+00    0.3937685727E+00
