     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3
        19   -0.7314008898E+01   -0.7344043012E+01    0.4641807249E+01    0.2041666667E+02    0.4285714286E+00
        20   -0.7882446078E+01   -0.8570581982E+01    0.1160451812E+02    0.1263750000E+02    0.8000000000E+00
        21   -0.6997385282E+01   -0.7182232454E+01    0.7736345414E+01    0.1170000000E+02    0.8000000000E+00
        22   -0.6447065451E+01   -0.6525568331E+01    0.5802259061E+01    0.1168750000E+02    0.8000000000E+00
        23   -0.6099512226E+01   -0.6076691276E+01    0.4641807249E+01    0.1101250000E+02    0.8000000000E+00
        24   -0.9300845116E+01   -0.8426002656E+01    0.7736345414E+01    0.1550000000E+02    0.1000000000E+00
        25   -0.8402229237E+01   -0.7671708098E+01    0.5802259061E+01    0.1430000000E+02    0.1000000000E+00
        26   -0.7647259536E+01   -0.7335876809E+01    0.4641807249E+01    0.1500000000E+02    0.1000000000E+00
        27   -0.8937083342E+01   -0.9219320376E+01    0.1160451812E+02    0.9200000000E+01    0.1000000000E+00
        28   -0.7476134100E+01   -0.7809389384E+01    0.7736345414E+01    0.8000000000E+01    0.1000000000E+00
        29   -0.6439419039E+01   -0.7153752949E+01    0.5802259061E+01    0.8000000000E+01    0.1000000000E+00
        30   -0.6044958999E+01   -0.6785035619E+01    0.4641807249E+01    0.8300000000E+01    0.1000000000E+00
        31   -0.7890577984E+01   -0.9211098866E+01    0.1160451812E+02    0.9100000000E+01    0.1000000000E+00
        32   -0.7318463659E+01   -0.7866939956E+01    0.7736345414E+01    0.8700000000E+01    0.1000000000E+00
        33   -0.6821893963E+01   -0.7203082011E+01    0.5802259061E+01    0.8600000000E+01    0.1000000000E+00
        34   -0.6394894827E+01   -0.6752149578E+01    0.4641807249E+01    0.7900000000E+01    0.1000000000E+00
        35   -0.8886107735E+01   -0.9114637305E+01    0.1160451812E+02    0.1440000000E+02    0.5000000000E+00
        36   -0.7674632534E+01   -0.7768423018E+01    0.7736345414E+01    0.1397500000E+02    0.5000000000E+00
        37   -0.7016636987E+01   -0.7106620451E+01    0.5802259061E+01    0.1390000000E+02    0.5000000000E+00
        38   -0.6543344831E+01   -0.6622801977E+01    0.4641807249E+01    0.1280000000E+02    0.5000000000E+00
        39   -0.1035408707E+02   -0.1011070834E+02    0.1160451812E+02    0.2546000000E+02    0.4347826087E+00
        40   -0.8535681043E+01   -0.8639938176E+01    0.7736345414E+01    0.2352000000E+02    0.4347826087E+00
        41   -0.7794834356E+01   -0.7967858721E+01    0.5802259061E+01    0.2332000000E+02    0.4347826087E+00
        42   -0.7220717280E+01   -0.7539946517E+01    0.4641807249E+01    0.2290000000E+02    0.4347826087E+00
        43   -0.9404947488E+01   -0.9452744316E+01    0.1160451812E+02    0.1446666667E+02    0.2500000000E+00
        44   -0.7915852959E+01   -0.8097623392E+01    0.7736345414E+01    0.1393333333E+02    0.2500000000E+00
        45   -0.7339019850E+01   -0.7381695882E+01    0.5802259061E+01    0.1320000000E+02    0.2500000000E+00
        46   -0.6872577825E+01   -0.6947206470E+01    0.4641807249E+01    0.1270000000E+02    0.2500000000E+00
        47   -0.9964320946E+01   -0.9282057152E+01    0.1160451812E+02    0.1643636364E+02    0.5000000000E+00
        48   -0.8250322175E+01   -0.8000680684E+01    0.7736345414E+01    0.1680000000E+02    0.5000000000E+00
        49   -0.7579014753E+01   -0.7331590869E+01    0.5802259061E+01    0.1663636364E+02    0.5000000000E+00
        50   -0.7058814476E+01   -0.6805170023E+01    0.4641807249E+01    0.1501818182E+02    0.5000000000E+00
        51   -0.8257174368E+01   -0.8731507739E+01    0.1160451812E+02    0.1378571429E+02    0.7500000000E+00
        52   -0.7336286271E+01   -0.7426107377E+01    0.7736345414E+01    0.1385714286E+02    0.7500000000E+00
        53   -0.6807875284E+01   -0.6717618376E+01    0.5802259061E+01    0.1321428571E+02    0.7500000000E+00
        54   -0.6373681617E+01   -0.6264532691E+01    0.4641807249E+01    0.1248809524E+02    0.7500000000E+00
        55   -0.7838608532E+01   -0.8534808625E+01    0.1160451812E+02    0.1220238095E+02    0.8000000000E+00
        56   -0.6968753939E+01   -0.7198088224E+01    0.7736345414E+01    0.1189285714E+02    0.8000000000E+00
        57   -0.6538576426E+01   -0.6473939204E+01    0.5802259061E+01    0.1105952381E+02    0.8000000000E+00
        58   -0.6196685620E+01   -0.6070769831E+01    0.4641807249E+01    0.1094047619E+02    0.8000000000E+00
        59   -0.8066179676E+01   -0.8810816470E+01    0.1160451812E+02    0.1555952381E+02    0.8000000000E+00
        60   -0.7201876841E+01   -0.7467244811E+01    0.7736345414E+01    0.1516666667E+02    0.8000000000E+00
        61   -0.6681814603E+01   -0.6771479576E+01    0.5802259061E+01    0.1467857143E+02    0.8000000000E+00
        62   -0.6312355997E+01   -0.6372225208E+01    0.4641807249E+01    0.1460714286E+02    0.8000000000E+00
        63   -0.8814767363E+01   -0.8757934022E+01    0.1160451812E+02    0.1410714286E+02    0.7500000000E+00
        64   -0.7604099765E+01   -0.7402617347E+01    0.7736345414E+01    0.1357142857E+02    0.7500000000E+00
        65   -0.6948301999E+01   -0.6696085849E+01    0.5802259061E+01    0.1295238095E+02    0.7500000000E+00
        66   -0.6518686119E+01   -0.6286065218E+01    0.4641807249E+01    0.1275000000E+02    0.7500000000E+00
        67   -0.7998266669E+01   -0.8733495124E+01    0.1160451812E+02    0.1461904762E+02    0.8000000000E+00
        68   -0.7064817594E+01   -0.7415370996E+01    0.7736345414E+01    0.1453571429E+02    0.8000000000E+00
        69   -0.6609165537E+01   -0.6701988239E+01    0.5802259061E+01    0.1383333333E+02    0.8000000000E+00
        70   -0.6191707090E+01   -0.6257711315E+01    0.4641807249E+01    0.1321428571E+02    0.8000000000E+00
        71   -0.8498677176E+01   -0.8763836412E+01    0.1160451812E+02    0.1498809524E+02    0.8000000000E+00
        72   -0.7417949102E+01   -0.7438861025E+01    0.7736345414E+01    0.1482142857E+02    0.8000000000E+00
        73   -0.6817227608E+01   -0.6756798308E+01    0.5802259061E+01    0.1450000000E+02    0.8000000000E+00
        74   -0.6427985928E+01   -0.6322308896E+01    0.4641807249E+01    0.1400000000E+02    0.8000000000E+00
        75   -0.8859097756E+01   -0.8634641250E+01    0.1160451812E+02    0.1341666667E+02    0.8000000000E+00
        76   -0.7544220281E+01   -0.7278345825E+01    0.7736345414E+01    0.1286904762E+02    0.8000000000E+00
        77   -0.6838705916E+01   -0.6609006873E+01    0.5802259061E+01    0.1270238095E+02    0.8000000000E+00
        78   -0.6390182052E+01   -0.6153963685E+01    0.4641807249E+01    0.1195238095E+02    0.8000000000E+00
        79   -0.8114065145E+01   -0.8710005094E+01    0.1160451812E+02    0.1433333333E+02    0.8000000000E+00
        80   -0.7035634333E+01   -0.7353709669E+01    0.7736345414E+01    0.1378571429E+02    0.8000000000E+00
        81   -0.6552085430E+01   -0.6640326912E+01    0.5802259061E+01    0.1308333333E+02    0.8000000000E+00
        82   -0.6133278189E+01   -0.6210731256E+01    0.4641807249E+01    0.1264285714E+02    0.8000000000E+00
        83   -0.8373248704E+01   -0.8664982538E+01    0.1160451812E+02    0.1378571429E+02    0.8000000000E+00
        84   -0.7327403798E+01   -0.7312602118E+01    0.7736345414E+01    0.1328571429E+02    0.8000000000E+00
        85   -0.6780141083E+01   -0.6596283107E+01    0.5802259061E+01    0.1254761905E+02    0.8000000000E+00
        86   -0.6347637274E+01   -0.6163751197E+01    0.4641807249E+01    0.1207142857E+02    0.8000000000E+00
        87   -0.9669969206E+01   -0.9688878178E+01    0.1160451812E+02    0.2138461538E+02    0.5000000000E+00
        88   -0.8171686177E+01   -0.8298552326E+01    0.7736345414E+01    0.2042307692E+02    0.5000000000E+00
        89   -0.7504977923E+01   -0.7611294698E+01    0.5802259061E+01    0.2003846154E+02    0.5000000000E+00
        90   -0.7004644775E+01   -0.7170481047E+01    0.4641807249E+01    0.1946153846E+02    0.5000000000E+00
        91   -0.8788187942E+01   -0.9038626445E+01    0.1160451812E+02    0.1185714286E+02    0.4000000000E+00
        92   -0.7549831850E+01   -0.7674501010E+01    0.7736345414E+01    0.1121428571E+02    0.4000000000E+00
        93   -0.7051707523E+01   -0.6979714527E+01    0.5802259061E+01    0.1073809524E+02    0.4000000000E+00
        94   -0.6689903384E+01   -0.6570672646E+01    0.4641807249E+01    0.1054761905E+02    0.4000000000E+00
        95   -0.8882908159E+01   -0.9052328962E+01    0.1160451812E+02    0.1202380952E+02    0.4000000000E+00
        96   -0.7703309120E+01   -0.7731268581E+01    0.7736345414E+01    0.1190476190E+02    0.4000000000E+00
        97   -0.6963189662E+01   -0.6971884517E+01    0.5802259061E+01    0.1064285714E+02    0.4000000000E+00
        98   -0.6649709480E+01   -0.6566757641E+01    0.4641807249E+01    0.1050000000E+02    0.4000000000E+00
        99   -0.8870992275E+01   -0.9059729362E+01    0.1160451812E+02    0.1373214286E+02    0.5000000000E+00
       100   -0.7682920433E+01   -0.7672113897E+01    0.7736345414E+01    0.1280357143E+02    0.5000000000E+00
       101   -0.7056175708E+01   -0.6995923687E+01    0.5802259061E+01    0.1255357143E+02    0.5000000000E+00
       102   -0.6585778742E+01   -0.6549689260E+01    0.4641807249E+01    0.1191071429E+02    0.5000000000E+00
       103   -0.8498823453E+01   -0.8884299032E+01    0.1160451812E+02    0.1321666667E+02    0.6000000000E+00
       104   -0.7312889042E+01   -0.7482589550E+01    0.7736345414E+01    0.1211666667E+02    0.6000000000E+00
       105   -0.6728360334E+01   -0.6822842361E+01    0.5802259061E+01    0.1206666667E+02    0.6000000000E+00
       106   -0.6314703278E+01   -0.6347245397E+01    0.4641807249E+01    0.1106666667E+02    0.6000000000E+00
       107   -0.9832829668E+01   -0.8867856012E+01    0.1160451812E+02    0.1301666667E+02    0.6000000000E+00
       108   -0.7990853830E+01   -0.7552472388E+01    0.7736345414E+01    0.1296666667E+02    0.6000000000E+00
       109   -0.7156951524E+01   -0.6778994305E+01    0.5802259061E+01    0.1153333333E+02    0.6000000000E+00
       110   -0.6769534611E+01   -0.6389723200E+01    0.4641807249E+01    0.1158333333E+02    0.6000000000E+00
       111   -0.8796708040E+01   -0.8837917572E+01    0.1160451812E+02    0.1508000000E+02    0.7500000000E+00
       112   -0.7631360842E+01   -0.7495951065E+01    0.7736345414E+01    0.1470666667E+02    0.7500000000E+00
       113   -0.6898200274E+01   -0.6761388131E+01    0.5802259061E+01    0.1374666667E+02    0.7500000000E+00
       114   -0.6507269748E+01   -0.6351563250E+01    0.4641807249E+01    0.1354666667E+02    0.7500000000E+00
       115   -0.9209115123E+01   -0.8773241690E+01    0.1160451812E+02    0.1429333333E+02    0.7500000000E+00
       116   -0.7699190047E+01   -0.7402773947E+01    0.7736345414E+01    0.1357333333E+02    0.7500000000E+00
       117   -0.6976562632E+01   -0.6714251472E+01    0.5802259061E+01    0.1317333333E+02    0.7500000000E+00
       118   -0.6518026947E+01   -0.6263867140E+01    0.4641807249E+01    0.1248000000E+02    0.7500000000E+00
       119   -0.9185977570E+01   -0.8749125261E+01    0.1160451812E+02    0.1400000000E+02    0.7500000000E+00
       120   -0.7662536403E+01   -0.7411543559E+01    0.7736345414E+01    0.1368000000E+02    0.7500000000E+00
       121   -0.6968416208E+01   -0.6716443875E+01    0.5802259061E+01    0.1320000000E+02    0.7500000000E+00
       122   -0.6533169192E+01   -0.6294560778E+01    0.4641807249E+01    0.1285333333E+02    0.7500000000E+00
       123   -0.9189391343E+01   -0.9440621228E+01    0.1160451812E+02    0.1998333333E+02    0.6000000000E+00
       124   -0.7786104000E+01   -0.8001914950E+01    0.7736345414E+01    0.1843333333E+02    0.6000000000E+00
       125   -0.7249148162E+01   -0.7347648768E+01    0.5802259061E+01    0.1845000000E+02    0.6000000000E+00
       126   -0.6809951665E+01   -0.6914529607E+01    0.4641807249E+01    0.1796666667E+02    0.6000000000E+00
       127   -0.9081007405E+01   -0.8732682240E+01    0.1160451812E+02    0.1380000000E+02    0.7500000000E+00
       128   -0.7641392634E+01   -0.7369887906E+01    0.7736345414E+01    0.1317333333E+02    0.7500000000E+00
       129   -0.6939259259E+01   -0.6701097055E+01    0.5802259061E+01    0.1301333333E+02    0.7500000000E+00
       130   -0.6465216890E+01   -0.6247424119E+01    0.4641807249E+01    0.1228000000E+02    0.7500000000E+00
       131   -0.8800885899E+01   -0.8777626496E+01    0.1160451812E+02    0.1434666667E+02    0.7500000000E+00
       132   -0.7607668296E+01   -0.7422505572E+01    0.7736345414E+01    0.1381333333E+02    0.7500000000E+00
       133   -0.6924314021E+01   -0.6723021083E+01    0.5802259061E+01    0.1328000000E+02    0.7500000000E+00
       134   -0.6509957557E+01   -0.6326350618E+01    0.4641807249E+01    0.1324000000E+02    0.7500000000E+00
       135   -0.7981166889E+01   -0.8710347657E+01    0.1160451812E+02    0.1433750000E+02    0.8000000000E+00
