     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3        descriptor_4
        31   -0.7890577984E+01   -0.9106401618E+01    0.1160451812E+02    0.9100000000E+01    0.8000000000E+00    0.4120710564E+00
        32   -0.7318463659E+01   -0.7738064060E+01    0.7736345414E+01    0.8700000000E+01    0.8000000000E+00    0.3945937615E+00
        33   -0.6821893963E+01   -0.7045454811E+01    0.5802259061E+01    0.8600000000E+01    0.1000000000E+01    0.3876023198E+00
        34   -0.6394894827E+01   -0.6642934096E+01    0.4641807249E+01    0.7900000000E+01    0.4000000000E+00    0.3835231652E+00
        35   -0.8886107735E+01   -0.9033962087E+01    0.1160451812E+02    0.1440000000E+02    0.6700000000E+01    0.4257878247E+00
        36   -0.7674632534E+01   -0.7694805584E+01    0.7736345414E+01    0.1397500000E+02    0.6400000000E+01    0.4073407690E+00
        37   -0.7016636987E+01   -0.6983061944E+01    0.5802259061E+01    0.1390000000E+02    0.6700000000E+01    0.3949273047E+00
        38   -0.6543344831E+01   -0.6498493074E+01    0.4641807249E+01    0.1280000000E+02    0.6200000000E+01    0.3763471140E+00
        39   -0.1035408707E+02   -0.9985396279E+01    0.1160451812E+02    0.2546000000E+02    0.1108000000E+02    0.5627108574E+00
        40   -0.8535681043E+01   -0.8541715386E+01    0.7736345414E+01    0.2352000000E+02    0.1020000000E+02    0.5399199025E+00
        41   -0.7794834356E+01   -0.7874848718E+01    0.5802259061E+01    0.2332000000E+02    0.9760000000E+01    0.5146527452E+00
        42   -0.7220717280E+01   -0.7368290877E+01    0.4641807249E+01    0.2290000000E+02    0.1008000000E+02    0.4949502300E+00
        43   -0.9404947488E+01   -0.9458700734E+01    0.1160451812E+02    0.1446666667E+02    0.3466666667E+01    0.4535896638E+00
        44   -0.7915852959E+01   -0.8077479290E+01    0.7736345414E+01    0.1393333333E+02    0.3466666667E+01    0.4367856074E+00
        45   -0.7339019850E+01   -0.7321499006E+01    0.5802259061E+01    0.1320000000E+02    0.3533333333E+01    0.4241731506E+00
        46   -0.6872577825E+01   -0.6879412708E+01    0.4641807249E+01    0.1270000000E+02    0.3333333333E+01    0.4119327368E+00
