,Si-Si,Si-S,S-S,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,1.369304099427422e-06,0.0,0.9
10,4.885541786845988e-07,1.5524465765334815e-05,4.885541786845988e-07,1.0
11,1.1516907845147388e-05,0.00011619659360015632,7.13210025806124e-06,1.1
12,0.00011403469034464167,0.0006489666873959699,4.5869264718349384e-05,1.2000000000000002
13,0.000728539491000347,0.00288579299223963,0.00022729694864439442,1.3
14,0.0035675944882902085,0.010647336862259302,0.000897331010622065,1.4000000000000001
15,0.01421246643090029,0.03305185145034654,0.0028676801668286456,1.5
16,0.04685257572772145,0.08681634325296934,0.007507767966473375,1.6
17,0.1290933279421226,0.19374534018810813,0.016331878560389472,1.7000000000000002
18,0.2999788968468731,0.3691185974055471,0.030043594778317473,1.8
19,0.5936934838678399,0.6046967259310342,0.047725879713836496,1.9000000000000001
20,1.0118428589863275,0.8608144980387639,0.06702604233530443,2.0
21,1.503093413128091,1.0799077079278936,0.0854368293490586,2.1
22,1.9714447865579,1.2145719303737996,0.10206323823949921,2.2
23,2.315006378862054,1.248503586252501,0.11886675618529621,2.3000000000000003
24,2.471768453236219,1.1969930115088137,0.14042653602468871,2.4000000000000004
25,2.441410025904384,1.0927760200658212,0.17219746394321758,2.5
26,2.271594729694095,0.9704988074869021,0.21832326328141868,2.6
27,2.0262149136711356,0.8568351443098795,0.280160495987043,2.7
28,1.7613869702430736,0.7666574628549099,0.35621066086854786,2.8000000000000003
29,1.5172419509641202,0.7043629709891588,0.44347426784511756,2.9000000000000004
30,1.3172189369252558,0.6686526557683872,0.5389091505960991,3.0
31,1.1686573784672178,0.6569569812384913,0.6396817783300534,3.1
32,1.065991418305216,0.6664952445551975,0.7429646292533039,3.2
33,0.9977208817459996,0.6929998332434798,0.846271107616667,3.3000000000000003
34,0.9538752957216546,0.7304694465281525,0.947237007269404,3.4000000000000004
35,0.9294201915542939,0.7728518103284802,1.0420564717552394,3.5
36,0.9224203810282833,0.8154889186499164,1.1246071990488746,3.6
37,0.9301275780440771,0.8551900949317853,1.1886676835244727,3.7
38,0.9471550526532752,0.8901489083547403,1.2317394651262965,3.8000000000000003
39,0.9672528761705604,0.9203094001379964,1.2564322941890982,3.9000000000000004
40,0.9867550790243726,0.9471055529491335,1.2681277149021182,4.0
41,1.0058117226075105,0.9721757130334694,1.2714685031355715,4.1000000000000005
42,1.025442637865661,0.9960255624985996,1.2685466285327756,4.2
43,1.043533045709726,1.0174082461296392,1.2592536019795766,4.3
44,1.0549166004415163,1.0339954977737489,1.242560174761202,4.4
45,1.0557041227648079,1.0444036115900865,1.218082540559693,4.5
46,1.0467352529068774,1.0497761045131269,1.1875087662888413,4.6000000000000005
47,1.0328353458396757,1.052945377994402,1.154353169974292,4.7
48,1.0195665232320115,1.0561091272120642,1.1217625381458654,4.800000000000001
49,1.010325654594155,1.0595698292245752,1.0907513618414988,4.9
50,1.0050678540253233,1.06234258265604,1.060629067087568,5.0
51,1.001119746152413,1.0633942058530708,1.0306990369014353,5.1000000000000005
52,0.9956572085611408,1.0623086508125086,1.0017238360659442,5.2
53,0.9879537147212641,1.0591858741804598,0.9761529932442639,5.300000000000001
54,0.9795775087662102,1.0543053601998347,0.956525394762272,5.4
55,0.9726765904857787,1.0481507163021142,0.943265715146561,5.5
56,0.9682004355806412,1.0417322712466064,0.9344196484950051,5.6000000000000005
57,0.9655898080911608,1.0363539027089574,0.9277642199298561,5.7
58,0.9636541094994403,1.0326414387302818,0.9226342935164247,5.800000000000001
59,0.9611420107937104,1.0299026758433865,0.9195151849582175,5.9
60,0.9567146695532454,1.0267572790035342,0.9185704277130047,6.0
61,0.9495192917554628,1.0223911903365646,0.9191962871655437,6.1000000000000005
62,0.9403977636529335,1.0172535832933476,0.9208786359540732,6.2
63,0.9320670448706118,1.0128546510672545,0.9239369988340942,6.300000000000001
64,0.9274399411336169,1.010835466994773,0.9290731367456134,6.4
65,0.9274046418553697,1.011722550295802,0.9362388829744014,6.5
66,0.9302678251914576,1.014509744149294,0.9441808807051754,6.6000000000000005
67,0.9335150269202824,1.017631077733864,0.9511853406321457,6.7
68,0.9358214513102888,1.020021106898889,0.9564770960129932,6.800000000000001
69,0.9371511610787503,1.0210514784460623,0.9611150204422606,6.9
70,0.9376477340462539,1.02013242457078,0.9673201150581352,7.0
71,0.9371131718436898,1.0170925821226673,0.9763349017276138,7.1000000000000005
72,0.9352155343235188,1.012727610964663,0.986813877025441,7.2
73,0.9318335835424949,1.0084516448174996,0.9957022752340431,7.300000000000001
74,0.9274382237315564,1.005343769442608,1.000898450867404,7.4
75,0.92322633753538,1.0037134643319379,1.0028663601742993,7.5
76,0.9204638381290385,1.0035168700793262,1.003574851353181,7.6000000000000005
77,0.9194009441715975,1.0048056035825415,1.004197398824444,7.7
78,0.919005956286899,1.00751439531178,1.0042619272471385,7.800000000000001
79,0.9180384099839982,1.0110152304687476,1.0029186549930107,7.9
80,0.9162685939949186,1.0143146371991478,1.0003643796752015,8.0
81,0.9145772597940109,1.0168097037214017,0.9976049046193396,8.1
82,0.9140484128956641,1.0186897858621826,0.9951963318624096,8.200000000000001
83,0.9151102111473286,1.020639107220936,0.9928749631920663,8.3
