,Sb-Sb,r
0,0.0,0.0
1,0.0,0.1
2,0.0,0.2
3,0.0,0.30000000000000004
4,0.0,0.4
5,0.0,0.5
6,0.0,0.6000000000000001
7,0.0,0.7000000000000001
8,0.0,0.8
9,0.0,0.9
10,0.0,1.0
11,0.0,1.1
12,0.0,1.2000000000000002
13,0.0,1.3
14,0.0,1.4000000000000001
15,1.6931444546499276e-06,1.5
16,2.0932143805736157e-05,1.6
17,0.00015775003192291574,1.7000000000000002
18,0.0008771143714527961,1.8
19,0.003880065538729615,1.9000000000000001
20,0.014191955404368555,2.0
21,0.04352093343533421,2.1
22,0.11273982384208664,2.2
23,0.24825825801412205,2.3000000000000003
24,0.46802815570305983,2.4000000000000004
25,0.7624842681000868,2.5
26,1.086865975638103,2.6
27,1.3770324472995759,2.7
28,1.579349423004494,2.8000000000000003
29,1.671402901294705,2.9000000000000004
30,1.661754789886366,3.0
31,1.5771835838341728,3.1
32,1.4504971672212195,3.2
33,1.3127447605861045,3.3000000000000003
34,1.18728414715502,3.4000000000000004
35,1.0856980899119102,3.5
36,1.008697441691454,3.6
37,0.9518609906973066,3.7
38,0.9110362927901908,3.8000000000000003
39,0.8834970934408767,3.9000000000000004
40,0.8666870470389736,4.0
41,0.8580401453682838,4.1000000000000005
42,0.8558803307033487,4.2
43,0.8593668302593558,4.3
44,0.8674500273862498,4.4
45,0.8785532291344195,4.5
46,0.8914155036895923,4.6000000000000005
47,0.9057623433664195,4.7
48,0.9216299243630581,4.800000000000001
49,0.9380864527163023,4.9
50,0.9531290946927241,5.0
51,0.965179502630854,5.1000000000000005
52,0.9743398370367039,5.2
53,0.9817981733919229,5.300000000000001
54,0.9882353333574841,5.4
55,0.9930789227952649,5.5
56,0.9951008568684739,5.6000000000000005
57,0.9936808802185839,5.7
58,0.9898078155699763,5.800000000000001
59,0.9859673547036357,5.9
60,0.9847188986338394,6.0
61,0.9869617396087889,6.1000000000000005
62,0.9913880729986067,6.2
63,0.9956212469319399,6.300000000000001
64,0.9980208249611227,6.4
65,0.9986462662485007,6.5
66,0.9987222501791401,6.6000000000000005
67,0.9992889827148358,6.7
68,1.0002677538006859,6.800000000000001
69,1.0005978125155106,6.9
70,0.9992354784068731,7.0
71,0.996180706537203,7.1000000000000005
72,0.9926086654593513,7.2
73,0.9899706067641856,7.300000000000001
74,0.9889643939825388,7.4
75,0.989278081097344,7.5
76,0.9901405794323374,7.6000000000000005
77,0.9910059527173972,7.7
78,0.991690831954795,7.800000000000001
79,0.9920882669134162,7.9
80,0.992196428801737,8.0
81,0.9925151859577326,8.1
82,0.9939845128555342,8.200000000000001
83,0.9971561947374826,8.3
84,1.0014427997208557,8.4
85,1.0053709707416811,8.5
86,1.007709996569899,8.6
87,1.0084175191592297,8.700000000000001
88,1.0085207244257317,8.8
89,1.0090358853022938,8.9
90,1.009994516258211,9.0
91,1.010582281728179,9.1
92,1.0102087193045803,9.200000000000001
93,1.0092748739554498,9.3
94,1.0087481904438997,9.4
95,1.0090549279568097,9.5
96,1.0095909949948711,9.600000000000001
97,1.0093509642874847,9.700000000000001
98,1.0079030195773668,9.8
99,1.005813493414895,9.9
100,1.0042825081411524,10.0
