,Cu-Cu,Cu-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,1.1341342521261392e-07,1.701201378189209e-07,0.0,0.9
10,2.0546541060846865e-06,3.5372100464387732e-06,0.0,1.0
11,1.8777646750925205e-05,3.413112327095418e-05,1.9974586080382246e-06,1.1
12,0.00012682505360882385,0.00022915220317135874,2.810224703112856e-05,1.2000000000000002
13,0.0006524295120686169,0.0011837859164781344,0.00021463039453350965,1.3
14,0.00275399275542399,0.004972500954316793,0.0011812228089708784,1.4000000000000001
15,0.009751156635657775,0.017453909392909094,0.00516240952878739,1.5
16,0.029238458749704384,0.05170958205815678,0.018520404536549268,1.6
17,0.07473282083143863,0.13003400847169264,0.05521897113420834,1.7000000000000002
18,0.16393591786288142,0.2789769241777526,0.13791647092324102,1.8
19,0.3112448472236935,0.5137962771103196,0.29078697467488,1.9000000000000001
20,0.5167072247714278,0.8190685435518782,0.5220769292674984,2.0
21,0.7589998870929673,1.142695244731877,0.8065369117176779,2.1
22,0.9998211956494761,1.414752345611081,1.0859335136811903,2.2
23,1.1992910413916376,1.5807892990221253,1.29431479275759,2.3000000000000003
24,1.332488543595918,1.6251890961472824,1.3911134845279225,2.4000000000000004
25,1.3956955303781473,1.5703391105035835,1.3772404558668538,2.5
26,1.4003646837403325,1.4580230653127126,1.2862985024049307,2.6
27,1.3631365676469103,1.3289206257285961,1.1630670907339251,2.7
28,1.2997319599849648,1.2106364751477212,1.0448767447580851,2.8000000000000003
29,1.2229693029908646,1.1154941795378883,0.952996786470223,2.9000000000000004
30,1.1421457323910955,1.0446507014417183,0.89303006850873,3.0
31,1.0634512361222286,0.9941620576470549,0.8602084252296242,3.1
32,0.9917400555330032,0.9593251064443857,0.8458647429998409,3.2
33,0.9317981617180421,0.9362571364723594,0.8425589108485616,3.3000000000000003
34,0.8874502397392817,0.9221693220805939,0.8461895439736129,3.4000000000000004
35,0.8599335527217503,0.9154852205296556,0.8551431619552025,3.5
36,0.8478298140761865,0.9156553542365187,0.8686693820207887,3.6
37,0.8485789326204031,0.9226059764914047,0.8862623385839076,3.7
38,0.859895824089008,0.9360165395248152,0.9074300044209366,3.8000000000000003
39,0.8799612272987596,0.9545400898809758,0.9309241990950707,3.9000000000000004
40,0.9066932136058425,0.9756431030681274,0.9542387789464278,4.0
41,0.9372507237306643,0.9965623668015042,0.974305156713611,4.1000000000000005
42,0.9683791524430978,1.0153404757770967,0.9888338424593794,4.2
43,0.9969951044291525,1.030784725037283,0.9972999187133685,4.3
44,1.0204292118931855,1.0418850460088627,1.0011042484901806,4.4
45,1.0366026226421163,1.0479459014615764,1.002793688983365,4.5
46,1.0444687979531748,1.0492482908509166,1.0045776607911407,4.6000000000000005
47,1.044407571182058,1.047019815541518,1.007102483429446,4.7
48,1.038155033255467,1.04243814447456,1.009559730086484,4.800000000000001
49,1.028280998056551,1.0358485086959615,1.0111315561634984,4.9
50,1.0173449926005773,1.027155364345576,1.012145380063472,5.0
51,1.0069514021657326,1.0167830488694476,1.0135116424465955,5.1000000000000005
52,0.997317302558464,1.0059728919332012,1.0153996845093336,5.2
53,0.9879098657119457,0.9962610893428665,1.0170551668335033,5.300000000000001
54,0.9786689663790439,0.9889089990691168,1.017656975181997,5.4
55,0.9706137215536351,0.9846279270866646,1.0167783581031424,5.5
56,0.965223022657064,0.9834250555239178,1.0142147073884566,5.6000000000000005
57,0.9633429247914805,0.9846010062833018,1.0099932083951133,5.7
58,0.9647655054576985,0.9870797161025695,1.004711650695725,5.800000000000001
59,0.9685219723585687,0.9899225033268584,0.9995554898080032,5.9
60,0.9731429262330175,0.9926487512217654,0.9956309336504737,6.0
61,0.9769378578443443,0.9951931396965709,0.9932027452438444,6.1000000000000005
62,0.9789622137438417,0.9976174398828096,0.99174855591989,6.2
63,0.9800388879964015,0.9998738622399632,0.9907488920408973,6.300000000000001
64,0.9822323655799313,1.0018105721796824,0.9902137703613866,6.4
65,0.9868090549318714,1.0033329181758872,0.9905142281981609,6.5
66,0.9928134142111569,1.0044737720823647,0.991980980835002,6.6000000000000005
67,0.9979058603853729,1.0053274740017804,0.9945889607185364,6.7
68,1.0005612607727907,1.006001370309136,0.9977096220373425,6.800000000000001
69,1.0012364375491176,1.0066028823680033,1.0002167800790973,6.9
70,1.0014508766630232,1.0070771825853315,1.0012023017358442,7.0
71,1.0021405783226462,1.0070192625667183,1.0006802904404455,7.1000000000000005
72,1.0031048526139659,1.0059137331400405,0.9994516972512715,7.2
73,1.0036142739142084,1.003787262007101,0.9983164247639402,7.300000000000001
74,1.0030720880464272,1.0015319780347438,0.9974893453646153,7.4
75,1.0013273019861828,1.000331126425477,0.9966638552403787,7.5
76,0.9988435118338217,1.000690119949207,0.9955112588180725,7.6000000000000005
77,0.9964648410170589,1.0021580031729826,0.9942047514351835,7.7
78,0.9946884514368608,1.0039840381179117,0.9934937966696039,7.800000000000001
79,0.9932748628772989,1.0057589783734926,0.9941215631014454,7.9
80,0.9917225560200774,1.0072857007581113,0.9961334734766943,8.0
81,0.9899402560163503,1.008193986689058,0.9988379874671938,8.1
82,0.9883368484250505,1.0081072831768132,1.0013519378717723,8.200000000000001
83,0.987333765750039,1.0070628196123936,1.0030634733345707,8.3
84,0.9868243486361991,1.0054423217624096,1.0036698235751633,8.4
85,0.9861277694291545,1.0035830692863281,1.0029940804974982,8.5
86,0.9845542385946188,1.0016987689400487,1.0009866274209134,8.6
87,0.9820314630291189,1.000084446815175,0.997963110506228,8.700000000000001
88,0.9791969986041508,0.9991216686355526,0.9946800331172011,8.8
89,0.9769808924404474,0.9990332056498016,0.991985383005157,8.9
90,0.9761219793747665,0.9997444689013677,0.9903485427844669,9.0
91,0.9769267041655624,1.0009907559956843,0.9897015269945668,9.1
92,0.979290517861542,1.0024506582038577,0.9895470671776292,9.200000000000001
93,0.9828242575314764,1.0037181629230467,0.9891665215403141,9.3
94,0.986978284014381,1.0043153872444435,0.9880369848611524,9.4
95,0.9911484414029825,1.0040436654004616,0.9863946416753858,9.5
96,0.9947388519501634,1.0033606329457168,0.9853067050567671,9.600000000000001
97,0.9972376261386616,1.0031379979525872,0.9858399104175603,9.700000000000001
98,0.9984429855888203,1.0038859925325836,0.9880321579561203,9.8
99,0.9986610796171138,1.0052540177582152,0.9907660798338258,9.9
100,0.9985259224331086,1.0063145537715104,0.9925907390449781,10.0
