,Li-Li,Li-Pb,Pb-Pb,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,1.1625671726123282e-07,0.0,0.0,0.6000000000000001
7,1.6695416881119251e-06,0.0,0.0,0.7000000000000001
8,1.2730610311698435e-05,0.0,0.0,0.8
9,6.929410816628954e-05,0.0,0.0,0.9
10,0.00030241361711913603,2.4614848160865973e-07,0.0,1.0
11,0.0010885738939612015,2.378309609369985e-06,0.0,1.1
12,0.0032831103859586996,1.9473823729833456e-05,0.0,1.2000000000000002
13,0.008441351236469222,0.0001225794365946083,0.0,1.3
14,0.018907994695192703,0.000608941108208756,0.0,1.4000000000000001
15,0.03785310628218814,0.002522899171951392,0.0,1.5
16,0.06946006624940301,0.008873702457930179,9.692096463340976e-07,1.6
17,0.11896381075381643,0.026591984969326736,9.446323428639033e-06,1.7000000000000002
18,0.19151886551888517,0.06811521422176739,6.528218835794155e-05,1.8
19,0.28941053315090925,0.15002746238744546,0.0003506972628841867,1.9000000000000001
20,0.4092267580946905,0.2868966382297074,0.0015363307096314068,2.0
21,0.5417215752778439,0.48237042957508036,0.00568179013443487,2.1
22,0.6751620224409675,0.7231367471231156,0.018044343889116847,2.2
23,0.7996216467523547,0.9801151408562004,0.049702357886286644,2.3000000000000003
24,0.9089960843888728,1.2168122211635428,0.11927706739134158,2.4000000000000004
25,1.0002155835672615,1.4012596164703515,0.24961106961428917,2.5
26,1.0716067466131776,1.5162890580948347,0.455348585774974,2.6
27,1.122106017361944,1.563073753123112,0.7237933403058163,2.7
28,1.1515645752985784,1.5563680730993568,1.0033120010803516,2.8000000000000003
29,1.1617282562580404,1.515164618486729,1.2178148324189915,2.9000000000000004
30,1.156919345023513,1.4550757662894962,1.3078135872097982,3.0
31,1.1430999474610752,1.3860600438777442,1.267973561254475,3.1
32,1.1254650302993974,1.3139963210014665,1.1463699166344177,3.2
33,1.1066842671165602,1.2427026022047405,1.0070836566955228,3.3000000000000003
34,1.0871694389157058,1.175072168257437,0.8927777632134251,3.4000000000000004
35,1.0665345118300325,1.1136762316291569,0.8149386305813848,3.5
36,1.0449363302417074,1.060804899400471,0.7661836811763696,3.6
37,1.0235957387343755,1.0177526479319117,0.7353030207435202,3.7
38,1.0041767888804196,0.9842367064771951,0.7156183842950686,3.8000000000000003
39,0.9876721033278462,0.9589709984902296,0.7068661240247031,3.9000000000000004
40,0.9741658010139163,0.9409024243214847,0.7120657061840748,4.0
41,0.9636313005513761,0.9296694378885436,0.7322334718801007,4.1000000000000005
42,0.9564758030603091,0.9249279914817083,0.763865085262417,4.2
43,0.9531787403377242,0.925597519389463,0.8013771026455648,4.3
44,0.9537463501881721,0.9301167309524956,0.8412218309541312,4.4
45,0.9576772615490989,0.9373359952116516,0.8825164078297583,4.5
46,0.964117408570183,0.9468600697710269,0.9233636098575959,4.6000000000000005
47,0.9718543253675134,0.9585488637733686,0.9576676731228556,4.7
48,0.9795148924741058,0.9718570493503158,0.9772000705650186,4.800000000000001
49,0.9861684600975965,0.9855716818582556,0.9773959754381359,4.9
50,0.9916917241459741,0.9980893936751629,0.9611805561773573,5.0
51,0.9963937300307307,1.008078326283564,0.9377669656963836,5.1000000000000005
52,1.0003986140016996,1.0150642809186885,0.9180904190661242,5.2
53,1.003468412680752,1.0194211181386326,0.9098433283977446,5.300000000000001
54,1.0052405999638754,1.0217522577520755,0.9141555141518932,5.4
55,1.005489200632915,1.0222871707532089,0.9259386243932564,5.5
56,1.0042284193727498,1.0209403081469932,0.9386338060448118,5.6000000000000005
57,1.0017819182707122,1.0179305364885158,0.9495858281768896,5.7
58,0.9988194057716785,1.0140577477395871,0.960111368399038,5.800000000000001
59,0.9962096808625976,1.0100309542207466,0.9704971792850585,5.9
60,0.9946528293976545,1.0056899002831234,0.9771567167466033,6.0
61,0.9942722729843808,1.0004301750743987,0.9762029546164733,6.1000000000000005
62,0.9945342799658444,0.9945293181964073,0.9685460727606284,6.2
63,0.9947662978192023,0.9895932922776229,0.9596984852478307,6.300000000000001
64,0.9948470779819926,0.987346898918895,0.9550478687116338,6.4
65,0.9952121393999739,0.9881631493111547,0.9565298201067621,6.5
66,0.9961245105239889,0.990968422344701,0.963000515938132,6.6000000000000005
67,0.9971758348804816,0.9943214682166504,0.9721622077020339,6.7
68,0.9976724417111681,0.9972703239171186,0.982370868505233,6.800000000000001
69,0.9973511430888059,0.999327056118913,0.9935985091883924,6.9
70,0.9966175492073105,1.0002102163804067,1.0066661970254287,7.0
71,0.9962079139126875,1.000007566134868,1.0213913594079087,7.1000000000000005
72,0.9966247491990142,0.9993822628689778,1.035448307753763,7.2
73,0.9977531660345352,0.9991979850124715,1.0445735130952265,7.300000000000001
74,0.9989835557528868,0.9998277728359286,1.0442500375407637,7.4
75,0.9997269535179674,1.0008717057041427,1.0330331558986379,7.5
76,0.9997432844970033,1.001452876037328,1.0149656460411074,7.6000000000000005
77,0.9989933668402082,1.0008259445161614,0.9975607328217806,7.7
78,0.997457723786599,0.999000716246095,0.9865794254630023,7.800000000000001
79,0.995290775219914,0.9969220176671899,0.9827932832518387,7.9
80,0.9929610875333719,0.995793301461706,0.9832079346524609,8.0
81,0.9910345424716525,0.9960155223866465,0.9846945824896042,8.1
82,0.9898632351742616,0.9969065241307231,0.9868051039393844,8.200000000000001
83,0.9895463803522646,0.9975984330811606,0.9917519436915169,8.3
84,0.9900737419318145,0.9980127226042779,1.0016943928490485,8.4
85,0.9913434462149425,0.9986367422564212,1.0158034215619562,8.5
86,0.9930683652146052,0.9995456318019857,1.0296837668292214,8.6
87,0.9948527648352802,1.0002464486925957,1.0378266520411072,8.700000000000001
88,0.996416993549187,1.0005348449484621,1.037337866504963,8.8
89,0.9976502708727178,1.00081746840584,1.029862446820387,8.9
90,0.9984428013882707,1.0013101677557354,1.0199738419741877,9.0
91,0.9985782119505996,1.0014663774193142,1.0114099898190818,9.1
92,0.9978933041737639,1.0006331411987126,1.0044262038841343,9.200000000000001
93,0.9965556450845758,0.9991468027643948,0.9967768638297456,9.3
94,0.9950945390238758,0.9984441038256298,0.9875311685146677,9.4
95,0.9940719141085528,0.9998633067160807,0.979636451539692,9.5
96,0.9937501968651501,1.003308603812034,0.9777710314350879,9.600000000000001
97,0.9940942055463334,1.0072599804218942,0.9834739738303002,9.700000000000001
98,0.9949220232244632,1.0101449654701045,0.9933592719528799,9.8
99,0.9959116451807246,1.0115097406916516,1.0023007778377364,9.9
100,0.9965957199110375,1.0118895490165292,1.0071642232087301,10.0
