,Li-Li,Li-Pd,Pd-Pd,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,1.9962609935813234e-07,0.0,0.0,0.5
6,1.3017256856114283e-06,0.0,0.0,0.6000000000000001
7,7.510356790769353e-06,0.0,0.0,0.7000000000000001
8,3.438442258747801e-05,2.635688343087841e-07,0.0,0.8
9,0.0001308150022051622,5.512616703711318e-06,0.0,0.9
10,0.0004315772342379218,4.762887591436984e-05,0.0,1.0
11,0.0012772016575013363,0.0002892279797358281,0.0,1.1
12,0.003445286174412475,0.001374601961448638,0.0,1.2000000000000002
13,0.008476712580974613,0.005351458776107971,2.142019732795198e-06,1.3
14,0.018934153217278288,0.017402919108942067,2.6653879353820917e-05,1.4000000000000001
15,0.03839946298790747,0.047850778755752256,0.00018726734238573114,1.5
16,0.07111121109195738,0.11237009940682026,0.000991976218517707,1.6
17,0.12124059315619778,0.22765156421739544,0.004222320340034269,1.7000000000000002
18,0.19178302736250655,0.40221202927795685,0.014851502121952997,1.8
19,0.28329690319071127,0.6274308331195397,0.043886677508454715,1.9000000000000001
20,0.3931417233487645,0.8766345947909987,0.11029596116990993,2.0
21,0.5156300891000737,1.1148734335547437,0.23813614371435154,2.1
22,0.6426262376700849,1.3127962600847551,0.445477977550101,2.2
23,0.7642090110211421,1.4550059934065214,0.7274730190320288,2.3000000000000003
24,0.8703218288469318,1.5394397021076254,1.0449740561258334,2.4000000000000004
25,0.9539193662269143,1.5716867633794784,1.3327617697359369,2.5
26,1.0134067411481444,1.5597308728336765,1.528365838087012,2.6
27,1.0516456929453921,1.5117483821163262,1.6024031045257963,2.7
28,1.0725225520382606,1.4364577446478355,1.5676380901451765,2.8000000000000003
29,1.0788674876598123,1.3440283861283049,1.4633634530152089,2.9000000000000004
30,1.0733168516177887,1.2457796740823939,1.3315670548842038,3.0
31,1.0598059092466805,1.1523343343910635,1.2016172212925962,3.1
32,1.0430244188343722,1.071335728161629,1.087559346501365,3.2
33,1.0264224102881598,1.0062507029991412,0.9928567044014687,3.3000000000000003
34,1.0112778915629852,0.9570035657743927,0.916546233460415,3.4000000000000004
35,0.9977741222130682,0.9217820519611221,0.8577288285690078,3.5
36,0.9864902606548085,0.898477572879484,0.8173721340071992,3.6
37,0.978550968837396,0.8850936342985655,0.7971730912695449,3.7
38,0.9746598200481399,0.8798841217968647,0.7966857305385484,3.8000000000000003
39,0.9744832120465895,0.8817018642948449,0.8115862798923456,3.9000000000000004
40,0.9770176299862874,0.8899704558047086,0.8350331704457725,4.0
41,0.9813383319604588,0.9039653731728553,0.8609356313283976,4.1000000000000005
42,0.9870084449997544,0.9221278246885337,0.886296009055509,4.2
43,0.9939049938872394,0.9422250662771561,0.911241897703959,4.3
44,1.0016922439835996,0.962258791493207,0.9373362294033606,4.4
45,1.0093384519283575,0.9812245120312975,0.9653320347139885,4.5
46,1.015194842106233,0.9989268657587675,0.9936197476239269,4.6000000000000005
47,1.0178698744316963,1.0150278857363004,1.0187218896589798,4.7
48,1.017130497560092,1.0283615175753495,1.037701241305324,4.800000000000001
49,1.0138233486713617,1.037292206450796,1.050015084502471,4.9
50,1.0090708538664954,1.0408390401344134,1.056810426523729,5.0
51,1.0038656039995668,1.0395027071061727,1.0588133951165022,5.1000000000000005
52,0.9991326643173812,1.0349794070711051,1.0555005105736575,5.2
53,0.9955740616833608,1.0290726882140853,1.0463610699042218,5.300000000000001
54,0.9933344305053677,1.0229575183052209,1.0324932898239392,5.4
55,0.9920960121233614,1.017254090523958,1.016644440286436,5.5
56,0.9915418648895432,1.0122834163209655,1.001809326187512,5.6000000000000005
57,0.9916238548029117,1.0080238440288414,0.9900295762773763,5.7
58,0.9923831424347709,1.0040521410602241,0.9822945675759431,5.800000000000001
59,0.9935643589618689,0.9997976789611729,0.9788739592929699,5.9
60,0.9945680346528323,0.9950064793532748,0.9792543858091751,6.0
61,0.9949439854195358,0.9901063475762695,0.9819446954990785,6.1000000000000005
62,0.9948548827467096,0.9860881727791215,0.9849663787655997,6.2
63,0.9948871667685844,0.9837884384548358,0.9870491360322966,6.300000000000001
64,0.9954182687051759,0.983194931400752,0.988363203507417,6.4
65,0.9962584099411177,0.9835254732217161,0.9898597174955862,6.5
66,0.9968797004861246,0.9839730590313697,0.99202955561016,6.6000000000000005
67,0.996916448602543,0.9843470205226703,0.994578299330121,6.7
68,0.9964474485122208,0.9851010501186983,0.9970629306912645,6.800000000000001
69,0.9958415110684761,0.9868506649372903,0.999364631793084,6.9
70,0.9953562920871704,0.9898680494989728,1.0015661695504492,7.0
71,0.9950025476522406,0.9939241280134367,1.0037850777418953,7.1000000000000005
72,0.9947848153787318,0.9984250652649154,1.006240933394182,7.2
73,0.9948171868973993,1.002607184654348,1.009144610394755,7.300000000000001
74,0.995116768710638,1.0057398782962175,1.012258658831118,7.4
75,0.9955506623535081,1.0074123349516972,1.0147041623603947,7.5
76,0.9960366872256149,1.0078204517818186,1.0154753716033045,7.6000000000000005
77,0.9965392734851085,1.0077127710818001,1.014177501097677,7.7
78,0.9969160897747684,1.0078238488876559,1.0112137384690247,7.800000000000001
79,0.9970566821070352,1.008281106534656,1.0073464603361677,7.9
80,0.9971044785896542,1.0085999670215755,1.0032256211069408,8.0
81,0.9972416961962324,1.0081853555848777,0.9992745791085006,8.1
82,0.9973124812598729,1.0067803025289703,0.9957823735049088,8.200000000000001
83,0.9969905899551286,1.0045943358619966,0.9929539175470532,8.3
84,0.9962891779165534,1.0021533581669448,0.990870058609973,8.4
85,0.9955867294947836,0.9999556576783781,0.9894374828586951,8.5
86,0.9951975124328095,0.9982032584070581,0.9884743795444872,8.6
87,0.995163505668961,0.9968599206641633,0.9878747373077875,8.700000000000001
88,0.9954016632759844,0.9958373018950825,0.9875882777142317,8.8
89,0.9958911540180211,0.995016311683563,0.9874187361091764,8.9
90,0.9967509528404486,0.994202213213512,0.9870295744956867,9.0
91,0.9981496791167404,0.9932448677554137,0.9862330902878358,9.1
92,1.0000297333743042,0.9922354773325132,0.985171791901798,9.200000000000001
93,1.0019074314330643,0.9915275227573523,0.9841558799178767,9.3
94,1.0030886165599513,0.9915572416341695,0.9834841037246864,9.4
95,1.003244536415432,0.992597781549008,0.9834922433525508,9.5
96,1.0028243848875191,0.9945457302219702,0.9845579202696424,9.600000000000001
97,1.0027637069938324,0.9968887785749119,0.9868147573229078,9.700000000000001
98,1.0036306186849697,0.9989770511091974,0.9898560499573132,9.8
99,1.0050732323148865,1.0003986030760679,0.9927835369837147,9.9
100,1.0061562750308908,1.0010788194655793,0.9945812773885201,10.0
