,Sb-Sb,r
0,0.0,0.0
1,0.0,0.1
2,0.0,0.2
3,0.0,0.30000000000000004
4,0.0,0.4
5,0.0,0.5
6,0.0,0.6000000000000001
7,0.0,0.7000000000000001
8,0.0,0.8
9,0.0,0.9
10,0.0,1.0
11,0.0,1.1
12,0.0,1.2000000000000002
13,0.0,1.3
14,0.0,1.4000000000000001
15,0.0,1.5
16,6.848989400953195e-06,1.6
17,5.5707071146531185e-05,1.7000000000000002
18,0.0003280158006491877,1.8
19,0.0015180459005426133,1.9000000000000001
20,0.005662458075689238,2.0
21,0.017543138032562484,2.1
22,0.04601688778248704,2.2
23,0.10382290338060585,2.3000000000000003
24,0.20383328926987881,2.4000000000000004
25,0.3509459967171292,2.5
26,0.533814788636144,2.6
27,0.7248222419053575,2.7
28,0.891590852334093,2.8000000000000003
29,1.0117733486067504,2.9000000000000004
30,1.0812464081908555,3.0
31,1.1132421258111658,3.1
32,1.1302426330964832,3.2
33,1.151546255772376,3.3000000000000003
34,1.1824473967835814,3.4000000000000004
35,1.2115669687455433,3.5
36,1.220130272720886,3.6
37,1.198877036034728,3.7
38,1.157314447920477,3.8000000000000003
39,1.1138913268273078,3.9000000000000004
40,1.0786358487210759,4.0
41,1.049201364846326,4.1000000000000005
42,1.0214015025067025,4.2
43,0.9974171425639407,4.3
44,0.9827867205149234,4.4
45,0.9791684375230932,4.5
46,0.9826206553472846,4.6000000000000005
47,0.987423642373109,4.7
48,0.9899860780358372,4.800000000000001
49,0.9894868260567267,4.9
50,0.9860244285906248,5.0
51,0.9786858395458427,5.1000000000000005
52,0.9659853348708423,5.2
53,0.9479038832612188,5.300000000000001
54,0.9261831142599143,5.4
55,0.9022713520258516,5.5
56,0.8768118792659146,5.6000000000000005
57,0.8518716250369222,5.7
58,0.8322784233906749,5.800000000000001
59,0.8234926520502871,5.9
60,0.8276320741629374,6.0
61,0.8409497763931474,6.1000000000000005
62,0.8559611194129089,6.2
63,0.8670588769327667,6.300000000000001
64,0.8737927884729351,6.4
65,0.8788355680803658,6.5
66,0.8849233196743433,6.6000000000000005
67,0.8938672000680088,6.7
68,0.9055757068966349,6.800000000000001
69,0.9165700989133648,6.9
70,0.9212114534373865,7.0
71,0.9156994176896969,7.1000000000000005
72,0.9007364008976493,7.2
73,0.8805069165242764,7.300000000000001
74,0.859929095630677,7.4
75,0.8435079911282913,7.5
76,0.8361512797338662,7.6000000000000005
77,0.8427526155477026,7.7
78,0.864997753181315,7.800000000000001
79,0.8985234110237559,7.9
80,0.9341617991595326,8.0
81,0.9625095016552309,8.1
82,0.9782839373353456,8.200000000000001
83,0.9818424608456767,8.3
84,0.977427795436225,8.4
85,0.9693361336850326,8.5
86,0.9588067376100278,8.6
87,0.9444868512610991,8.700000000000001
88,0.9261178470368678,8.8
89,0.9072194054933952,8.9
90,0.8934018167185463,9.0
91,0.8882264307002798,9.1
92,0.8910534040206103,9.200000000000001
93,0.8984175207796713,9.3
94,0.9067337227558587,9.4
95,0.9137782405759477,9.5
96,0.9183613997714146,9.600000000000001
97,0.9195271562178942,9.700000000000001
98,0.9169713257049166,9.8
99,0.9122396303260774,9.9
100,0.9085413548083899,10.0
