,Si-Si,Si-Ag,Ag-Ag,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,4.1708272314440594e-07,0.0,0.0,1.0
11,6.930985610413787e-06,9.826284100673608e-07,0.0,1.1
12,6.124739066536505e-05,1.1285063895018685e-05,0.0,1.2000000000000002
13,0.00037481985893906503,8.497206416550373e-05,0.0,1.3
14,0.0017996315029023173,0.00046995263613420113,5.6538837738645594e-06,1.4000000000000001
15,0.007081886979005529,0.0020840399876353713,5.842182665674047e-05,1.5
16,0.02328850271739682,0.007670229377096861,0.00037264880255977694,1.6
17,0.06461733628034201,0.023775305229545098,0.0018156990469838119,1.7000000000000002
18,0.15245197570536737,0.06262435685820195,0.007134927813223614,1.8
19,0.308251063488202,0.1412501745857401,0.023048241656595792,1.9000000000000001
20,0.5388706317474011,0.2751147056043445,0.06211787460399208,2.0
21,0.8229183982057228,0.4673469730538294,0.14159699794575922,2.1
22,1.1114042271121012,0.7005823346236854,0.276823937743081,2.2
23,1.3469649699764745,0.9393034108535012,0.47071687540457374,2.3000000000000003
24,1.4895058014389917,1.1432636048430496,0.7058972255141933,2.4000000000000004
25,1.5303445413013237,1.283682064963782,0.9468166784107531,2.5
26,1.488221473624823,1.3522625435509257,1.1535068792709946,2.6
27,1.394973415663433,1.3593057548770666,1.2990758847269814,2.7
28,1.2820531062763805,1.3245787884447702,1.3781881312066984,2.8000000000000003
29,1.1730093153882621,1.2677071495095245,1.401157899289619,2.9000000000000004
30,1.0814232437653757,1.2029931023279394,1.3817528856395846,3.0
31,1.0122619344766608,1.1391663798475642,1.3307498193120062,3.1
32,0.9646312108490757,1.0814125253442703,1.2580260850043383,3.2
33,0.9343977478958817,1.0330211371930262,1.1760700457574698,3.3000000000000003
34,0.9164856850367599,0.9957491314033083,1.0981287073980273,3.4000000000000004
35,0.9070144964452174,0.9696409892029164,1.0327581973087987,3.5
36,0.9043921020145427,0.9533575003646513,0.9816868781374127,3.6
37,0.908427043091281,0.9449844090319945,0.943028425105008,3.7
38,0.918452029833476,0.9426542572176595,0.915109277137182,3.8000000000000003
39,0.932526201331284,0.944895755904573,0.897117704479234,3.9000000000000004
40,0.94824604946689,0.9508289413335614,0.8880059925809388,4.0
41,0.9637770343980439,0.9599842188473748,0.8861106044980468,4.1000000000000005
42,0.9779173367239453,0.9717574976624915,0.8895580210135928,4.2
43,0.9895834434782466,0.9850617648794042,0.8966377383032603,4.3
44,0.9977969330046496,0.9985191775478948,0.906021092375893,4.4
45,1.0023594377262885,1.0109305389243333,0.9167245331631592,4.5
46,1.0042832900992082,1.021489350096311,0.9275126819268653,4.6000000000000005
47,1.0051915907039404,1.0295191793752299,0.9362765477713005,4.7
48,1.0061750174668194,1.0341689087516501,0.9408775827908268,4.800000000000001
49,1.0072401250722063,1.0346598145630181,0.9414146456493327,4.9
50,1.0078017320925716,1.0310362711333039,0.9410906341308917,5.0
51,1.0074737742509183,1.0246022645385557,0.9438618883543598,5.1000000000000005
52,1.0062116735250803,1.0174124293945266,0.9510786939926706,5.2
53,1.0039570140203142,1.0113237595809295,0.9605190311088653,5.300000000000001
54,1.0006736412956398,1.007557236711274,0.9685667850409896,5.4
55,0.9968259455594742,1.0067617489951686,0.9734092214712717,5.5
56,0.9934140360789606,1.0088846320084603,0.9760824850503271,5.6000000000000005
57,0.9912877267515621,1.0128636996705345,0.978628293191942,5.7
58,0.9905376618887517,1.0168336796415591,0.9822063803289076,5.800000000000001
59,0.9906020829169623,1.0189908376230765,0.9872956250174107,5.9
60,0.9908415301287724,1.0184148191248683,0.9942556333362332,6.0
61,0.9909867554460458,1.0152424659759471,1.0024596999444981,6.1000000000000005
62,0.9911812602584334,1.0103531297088686,1.0096694325141302,6.2
63,0.9917141385506179,1.0050945096770916,1.0134498431043848,6.300000000000001
64,0.9926857193929948,1.0010885343740952,1.0130800427889002,6.4
65,0.9938355638411069,0.9997351134686432,1.0097295767014405,6.5
66,0.994727724038209,1.0014631809554602,1.0051879696143033,6.6000000000000005
67,0.9951826094356666,1.005428077840937,1.000663260061572,6.7
68,0.9954544191008555,1.0100566882603161,0.9962698507603807,6.800000000000001
69,0.9958925077495826,1.0138566976347745,0.9910403148099655,6.9
70,0.9965432371901624,1.0158298078410144,0.9834763324397904,7.0
71,0.9971783677943644,1.0155738266265848,0.9727875227404846,7.1000000000000005
72,0.9975162321431511,1.0133783973293569,0.9600405278950571,7.2
73,0.9972719877318009,1.0101874988950112,0.9480367234510813,7.300000000000001
74,0.9962390046299097,1.0072347909159178,0.9398688139453634,7.4
75,0.9946210654085432,1.0054327878544518,0.9373327240213856,7.5
76,0.993136369151957,1.004888478188852,0.940343107175563,7.6000000000000005
77,0.992464328605965,1.0050032747272453,0.9473903454874769,7.7
78,0.9926392264280478,1.0051565682984303,0.9562121182778223,7.800000000000001
79,0.9932014199100238,1.0052589001176067,0.9644179070048283,7.9
80,0.993815740544711,1.005568870795051,0.9704519191424585,8.0
81,0.9944406445882225,1.0061743309737659,0.9743979328875382,8.1
82,0.9949812755265914,1.006868702619112,0.9774339548645123,8.200000000000001
83,0.9951386344971067,1.0074424901673678,0.9803251216137481,8.3
84,0.994681793857595,1.0079216333834968,0.9828001405381105,8.4
