,Li-Li,Li-Si,Li-Pt,Si-Si,Si-Pt,Pt-Pt,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,3.821098508928149e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,4.1559699056570605e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,2.526166125920291e-05,0.0,8.776585637694342e-07,0.0,0.0,0.0,0.8
9,0.00012049389646350301,1.2957358265569497e-07,1.1165143215288384e-05,0.0,0.0,0.0,0.9
10,0.0004630072776836921,3.0408781865129706e-06,7.93447314628091e-05,0.0,8.090350546681204e-07,0.0,1.0
11,0.0014628146714017992,2.6908747603048136e-05,0.0004192278148418335,1.6596904326867976e-06,1.1188218419943905e-05,0.0,1.1
12,0.0038877085109929846,0.00016365023406286565,0.0017820777142244213,2.5426779608416395e-05,9.605321179823833e-05,0.0,1.2000000000000002
13,0.008957164126143224,0.000782831464174926,0.006259193174564338,0.00019129103374195463,0.0006060119957965392,1.6982660039680667e-07,1.3
14,0.01858265064946493,0.00306849587555496,0.018452802785685774,0.001040484654274588,0.002978448600401741,2.035840742698138e-06,1.4000000000000001
15,0.035983028995758136,0.010058106646681261,0.04635162978309614,0.004498119790342969,0.01203086962614209,2.0172563418968086e-05,1.5
16,0.0663814768998098,0.027997100911367,0.10070211301264284,0.015917091242162913,0.04077757249025882,0.00014426619173106103,1.6
17,0.11664718866569257,0.06704599826348064,0.19209762680263173,0.04669870496961103,0.116640906153553,0.0007760030357719504,1.7000000000000002
18,0.19293266644670964,0.13980972003992043,0.3264065235280152,0.1146945114959647,0.28229540492856176,0.00339051387616076,1.8
19,0.2971742271091786,0.25669810319656317,0.500587607091809,0.23821883895100884,0.579676874982564,0.012362026351830572,1.9000000000000001
20,0.4250399830034042,0.4193359952437151,0.7015842884669129,0.4232132903462808,1.014594581593515,0.037831281238827535,2.0
21,0.5670289634405649,0.6159266616724741,0.909818471858202,0.6516451819003077,1.5246255998021716,0.0975045901927177,2.1
22,0.7115113169312676,0.8226985255478587,1.1051609501837265,0.8830500767214577,1.987701912051943,0.212731000438992,2.2
23,0.8471174234885003,1.0115969114027097,1.2707521340109396,1.0718816399546516,2.2807129531764088,0.39611517491796844,2.3000000000000003
24,0.9635906405909908,1.1597160011211272,1.3934205424851762,1.1887235386863126,2.3462557347238557,0.636795133673426,2.4000000000000004
25,1.0523945395876857,1.2555025711408285,1.4644037814970483,1.2303340309724808,2.21355505724399,0.8969120884287032,2.5
26,1.1083977114359647,1.2998450596150846,1.4822052037661846,1.2142948955823498,1.9642598667634241,1.1261052135573955,2.6
27,1.1321326089977037,1.302875452266972,1.4540688699350055,1.165353296321241,1.6810300155294695,1.2841196555932317,2.7
28,1.1304919451978266,1.2786375178754248,1.3931992638866368,1.1036449176622132,1.4175381396068205,1.3548500257331524,2.8000000000000003
29,1.1141808643177158,1.2401590280627757,1.313919064203301,1.041026800960837,1.1971120493843466,1.3455420001918454,2.9000000000000004
30,1.0926775983012538,1.196482553178245,1.2283689458891602,0.9840329590289323,1.0248419394791244,1.2777826220731672,3.0
31,1.070226453300419,1.1521341717347375,1.1455305636056368,0.9370047631444224,0.8980623396707045,1.1787675406731803,3.1
32,1.0464487982147546,1.1087767684620538,1.0713245888391452,0.9023914355798913,0.8107107604164516,1.0752451636019946,3.2
33,1.0207104036442842,1.067689995085078,1.0090274049742274,0.8804590869827835,0.7550517412220145,0.9883682946415525,3.3000000000000003
34,0.9951189915585377,1.0311545875359729,0.9600325269991208,0.8698016961045162,0.7240804042164742,0.9291426722080477,3.4000000000000004
35,0.9733134428276189,1.002097923852876,0.9247179060363865,0.8678158809203509,0.713382686802305,0.8972996543711569,3.5
36,0.9576589046466043,0.9827738631594617,0.9027982091087556,0.871327864499986,0.7205154009544643,0.8853056762602811,3.6
37,0.9483653816433387,0.9734674023515472,0.8930343359019268,0.8779259231202013,0.7428052836645983,0.8845863276621325,3.7
38,0.9445298633925513,0.9721603985772707,0.893102274735783,0.8868843149564097,0.7759253048965684,0.8897632901109327,3.8000000000000003
39,0.9450215405156493,0.9756173947759322,0.9003332407120668,0.8986715363136321,0.814338237119249,0.8995917750373194,3.9000000000000004
40,0.9484659539029753,0.981178561288537,0.912737268154708,0.9138738667463426,0.8531655182399932,0.9151785250882909,4.0
41,0.9534668540389839,0.9879299783526926,0.9290712277596829,0.9325655280119652,0.8899387013569906,0.9370619801296676,4.1000000000000005
42,0.9593908183771204,0.9964397512235146,0.9479567482916486,0.9539855438396562,0.9245488779971825,0.9635977854363572,4.2
43,0.9662817993502011,1.0071847723406282,0.9673667250125266,0.976198059558603,0.9575527897159741,0.9913760484121281,4.3
44,0.9735245023891783,1.0190788498209562,0.9852124515950527,0.9960579746284234,0.9887383356776092,1.0160166784937692,4.4
45,0.9793786076957155,1.0297223532440603,1.0002215768638567,1.009890209785995,1.0169966755734825,1.0327434600556693,4.5
46,0.9826193968312044,1.0369885045355312,1.012049828979506,1.0149804844762158,1.040731086416459,1.0380551988724496,4.6000000000000005
47,0.9841330216275582,1.0402034879507254,1.0207485640663054,1.0112907940912461,1.0580019154541056,1.032152194641951,4.7
