,Li-Li,Li-Si,Li-N,Si-Si,Si-N,N-N,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,1.0073548302199864e-06,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,2.2651478323103646e-05,0.4
5,0.0,0.0,1.0818633235794531e-06,0.0,0.0,0.0001504925037668345,0.5
6,0.0,0.0,1.1096903280511491e-05,0.0,5.5969867862732885e-06,0.0007538041564953757,0.6000000000000001
7,1.6251991260882453e-06,0.0,8.006248329806814e-05,0.0,0.00010421356870584282,0.002981841532384899,0.7000000000000001
8,1.2026027205153518e-05,2.3806627823558277e-07,0.00044188744926478685,0.0,0.0008221289925099474,0.009392524373427387,0.8
9,6.861646464558288e-05,2.079592737885223e-06,0.001958897878851168,0.0,0.004536550014052021,0.023629321885931188,0.9
10,0.0003075766707151549,1.3296553131690654e-05,0.007269907994142007,3.7620350140931606e-07,0.01972173205933824,0.047660260524629704,1.0
11,0.0011158847612476046,6.776468163763343e-05,0.022924676843197003,5.91401877509824e-06,0.06965303532060083,0.0774614083267893,1.1
12,0.0033836383811130305,0.0002904279314615798,0.06186068483319923,5.612801065492979e-05,0.20169856436365907,0.10207553184490134,1.2000000000000002
13,0.008800378944934184,0.0010702205565243862,0.14348859851617865,0.0003621531724267015,0.4817486927432031,0.10985053042746172,1.3
14,0.020154441488826367,0.0034842969489866454,0.28754255645552845,0.0017937231764221895,0.9549516941226176,0.09738846304637493,1.4000000000000001
15,0.04147918193030928,0.010163809846411596,0.5013996227927316,0.007253208460490203,1.5821827037858827,0.07208442065144714,1.5
16,0.07775608448547108,0.02661438984821723,0.7683330682387837,0.024401280118162887,2.20992806507043,0.04602898704307951,1.6
17,0.1339652995690212,0.06223963912029642,1.047494442726503,0.06875749786305238,2.6311754868120203,0.02825585578472674,1.7000000000000002
18,0.2137152536935564,0.1293826181753484,1.2891026241732653,0.16310537340819564,2.710388389715563,0.022227929607067775,1.8
19,0.3177671714053635,0.23902485873397003,1.4560714604432186,0.3278343032579059,2.4650891986235965,0.028548895956826123,1.9000000000000001
20,0.44257557034084605,0.3944081209380073,1.537661959908858,0.5632892885097461,2.0339181074413193,0.04870365225174868,2.0
21,0.579399412174219,0.5865848872237083,1.546956196391486,0.837370115065575,1.5757832836920942,0.0868979245021967,2.1
22,0.7150790184219228,0.7950710667841547,1.5070492330476617,1.0939460987991676,1.193267619408278,0.14964760346290779,2.2
23,0.8351384459702068,0.9932010961387892,1.4385300720813834,1.2803517982374628,0.9196475008477918,0.24337679242847876,2.3000000000000003
24,0.9284038749093252,1.1559015491247635,1.3556139469796142,1.3727600405007057,0.7447172209405455,0.3703594823298594,2.4000000000000004
25,0.990895763640839,1.2676136124712007,1.268484502065826,1.3810301198308006,0.6436422742367405,0.5247374003770257,2.5
26,1.026585548027079,1.326971769077089,1.1859452601382803,1.3347995003048532,0.5934905929757514,0.6916716015147829,2.6
27,1.0443394693269286,1.3446737433256777,1.1150766582538758,1.2651885079614813,0.5782302455050058,0.8513281803068735,2.7
28,1.0527801978828117,1.33573224521669,1.059031752364072,1.1933717642542911,0.5875939792175415,0.9860462170665878,2.8000000000000003
29,1.0562008861029732,1.3122878167067265,1.0166656494842523,1.1287733359023986,0.6144627454952255,1.0861833777872627,2.9000000000000004
30,1.0540227146520216,1.2814816208607456,0.9853725737838136,1.073491332818624,0.6533464986608871,1.1505195805230264,3.0
31,1.0436957825582622,1.247062887053973,0.9638758186222708,1.0272281150275626,0.7003278918212675,1.1815814085115655,3.1
32,1.024663621758902,1.2110618144776917,0.9519478778221511,0.9892749491248497,0.7531217856132498,1.1815639012290249,3.2
33,1.0003632531197455,1.1744250747332576,0.948542336001988,0.9583994771418648,0.8100280153159849,1.1534488810560102,3.3000000000000003
34,0.9766855732508168,1.1376654272747775,0.9515635193433327,0.9329718874723041,0.8685417217530662,1.1048692110819405,3.4000000000000004
35,0.958295470135123,1.1015386980896613,0.9592717225606594,0.9118666580837432,0.9250092642839707,1.0483937732887805,3.5
36,0.9462117968454827,1.0671017854686375,0.9708602976479255,0.8950439445665029,0.9754615715126085,0.9966418774320779,3.6
37,0.938386465755208,1.0356321394768795,0.9853384447584932,0.8830876628816576,1.016729374934096,0.9571195422149841,3.7
38,0.9317479469422649,1.0087869856736116,1.0005354148380696,0.8763566757449351,1.0472174007752277,0.9312232679896048,3.8000000000000003
39,0.9239923710987007,0.9882354656526342,1.0136097585941664,0.8747413452343186,1.0671388633397436,0.9164325364102786,3.9000000000000004
40,0.9150885090870922,0.9747850463816576,1.0221810185980111,0.8780231232461172,1.0779711452495648,0.9088305146963838,4.0
41,0.9075986779549703,0.9682455365569956,1.0252540944598232,0.8860309251684656,1.0812584512669907,0.9051255911629189,4.1000000000000005
42,0.9046296651724158,0.9680304091824314,1.023986469768079,0.8983016756684992,1.0777116037780838,0.9042023597721629,4.2
43,0.9073569994017813,0.9731438151438621,1.0215186960364788,0.9138108280177293,1.0675519072074255,0.9073440945514426,4.3
44,0.9148973497676881,0.981596268412825,1.020912792169148,0.9311603232332026,1.051758545311548,0.9162530151227192,4.4
45,0.9256373410900303,0.9907867988284201,1.0226453987043984,0.9488452678968571,1.0328843681835742,0.9302296689058938,4.5
46,0.937864843924675,0.9989906333537464,1.0243537788221206,0.9654578041046581,1.0144849212764735,0.9455852604402666,4.6000000000000005
47,0.950105643844197,1.0061024364000741,1.0231127198374224,0.9801040525602601,0.9994992136727011,0.9583641998630895,4.7
48,0.9618846815076753,1.012609230270576,1.0178009122407288,0.9926837100966472,0.9889793619014089,0.9675173962802446,4.800000000000001
49,0.9735039661983385,1.0181810448447763,1.0096170510765894,1.0034347558724268,0.9822527254097646,0.9747446343119187,4.9
50,0.9845860996043501,1.021650460578894,1.0010436009799764,1.0122210030834418,0.9780326044317234,0.9815709914426286,5.0
51,0.9935044502041053,1.0221556756968804,0.9944958873171166,1.0185275201894073,0.9752959202550084,0.9876992430630586,5.1000000000000005
52,0.9986674031531042,1.0199479815444106,0.9913616236780681,1.022086797661919,0.9736065009734434,0.992188048203118,5.2
53,1.0000962048359159,1.0161998047467444,0.991587053604335,1.0231239799034486,0.9731281231247083,0.9948734057889144,5.300000000000001
54,0.9995321832012583,1.0123169047500802,0.9938792664560578,1.0219465537205203,0.9742390782739874,0.9960153798840689,5.4
55,0.9990862311876204,1.0092689017772984,0.9964409770619277,1.018632884888404,0.9768446587497922,0.9953066906738574,5.5
56,0.9999090296971143,1.0071784444872542,0.9978759046360656,1.0133052249016503,0.980203477956173,0.9922650978344564,5.6000000000000005
57,1.0018912203540304,1.00545362697033,0.9977444988222626,1.0066125021656764,0.9835735251941098,0.987643821774923,5.7
