,Li-Li,Li-Si,Li-Sn,Si-Si,Si-Sn,Sn-Sn,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,1.4121262618451232e-06,0.0,0.0,0.0,0.0,0.0,0.8
9,1.2960859960037662e-05,3.127200026231414e-07,0.0,0.0,0.0,0.0,0.9
10,8.127527300361452e-05,5.246983562285066e-06,5.578770417165918e-07,8.368155625748878e-07,0.0,0.0,1.0
11,0.00038822194682571295,3.8283081202767376e-05,4.388863042951338e-06,1.2842025918865241e-05,0.0,0.0,1.1
12,0.0015017663279826572,0.0002109704700319858,2.8342481425721656e-05,0.00010490306650460637,1.1297010094760984e-07,0.0,1.2000000000000002
13,0.004805063222480213,0.0009369749256201478,0.00014387736533213942,0.0006070195293527758,2.5810674056743453e-06,0.0,1.3
14,0.012921734487357093,0.0034360164816039313,0.0006048057269306555,0.0027966472774140793,2.5664673012422397e-05,0.0,1.4000000000000001
15,0.029706250863166635,0.010658361154969214,0.002175452683360178,0.010592475414684005,0.00017133089706802972,4.1002380684198655e-06,1.5
16,0.05955220875416243,0.028486141804193624,0.006836052553755201,0.03359087053083402,0.0008721372264879793,3.740630921728747e-05,1.6
17,0.10651819334343794,0.06652661585205497,0.018932525935495884,0.09016941772317276,0.003613473926033313,0.0002296475445197418,1.7000000000000002
18,0.17398895262450492,0.13712733230482377,0.046349054777292314,0.2066994128462347,0.012467358167182026,0.0010891331219498206,1.8
19,0.2642374309397964,0.2511067660964284,0.10042591568028167,0.4079473506720796,0.03621436189381051,0.004191229153201396,1.9000000000000001
20,0.37610126168310465,0.41095143801156125,0.1932366361665933,0.6987001226084288,0.08930076980915877,0.013338520388178943,2.0
21,0.5016353338549236,0.6058438811978346,0.33224021314409946,1.0472964781167071,0.1886060320979691,0.0358148993605966,2.1
22,0.6267429881655484,0.8132888787667066,0.5148163375274096,1.3878486557024545,0.34478648250625654,0.08259272981255933,2.2
23,0.738239243546177,1.0069552222444962,0.7263430214711574,1.647254209124203,0.5524539719595416,0.16633993455488164,2.3000000000000003
24,0.8309474668220912,1.1654940307082933,0.9437047437221936,1.7804757869906926,0.7872364513764074,0.2965604036050271,2.4000000000000004
25,0.9068400118605063,1.2773773256775396,1.14220732644882,1.7876081171525586,1.0135824663661082,0.47269641807654084,2.5
26,0.9686435560324191,1.3405230504676362,1.3016452548087762,1.702645925673157,1.1982694618355227,0.6785432935209488,2.6
27,1.0167257221597645,1.359159180733359,1.4093214307912363,1.568398502375475,1.3208249982148073,0.8836599693836508,2.7
28,1.0508204224424174,1.341272000440252,1.4611428572612484,1.4187056527527764,1.376626406961253,1.0545555690987347,2.8000000000000003
29,1.071386140002893,1.2972553013494796,1.4620945917197752,1.2754353317123241,1.3742860938244976,1.1701419272861093,2.9000000000000004
30,1.079152361339938,1.2383187395871422,1.4252572998591158,1.152405542599624,1.3305205875291912,1.2302006367511773,3.0
31,1.0751491020425623,1.174559371919247,1.368156871051764,1.057110916168797,1.2644790575624372,1.2499842419510108,3.1
32,1.0610234055665448,1.1136744964706227,1.307115910758515,0.9900057405803215,1.1927516502529378,1.2459237022673058,3.2
33,1.0388121995018291,1.0603524685730685,1.252005274602698,0.9457575351380405,1.1263183821569174,1.2256055923412439,3.3000000000000003
34,1.0113160719775935,1.0162223577571659,1.2043949083225993,0.9174241617978318,1.070159235340189,1.1898693959820401,3.4000000000000004
35,0.9828993432177847,0.9808364784817004,1.160583220021402,0.9001138630467743,1.0249610735163754,1.1411233237413587,3.5
36,0.9586477128684335,0.9532861604073012,1.1170694414036264,0.8913936845515505,0.9895207633166437,1.0868146120862219,3.6
37,0.9418220820480899,0.9331947435012589,1.0738277373463567,0.8896899575687601,0.9626038520317313,1.0355786993625289,3.7
38,0.9320815236589897,0.920786659385084,1.0338493893999756,0.8933861534188018,0.9437287431738853,0.9922726298657557,3.8000000000000003
39,0.9263852539884196,0.9163832217682272,1.001025169093666,0.9011861446378279,0.9329634818436368,0.9573161315231556,3.9000000000000004
40,0.9219772204679358,0.9196292819254183,0.9783261717205013,0.9124185400391258,0.9301465770281909,0.9295735930277034,4.0
41,0.9188965045744922,0.9290051515058688,0.9665766528293562,0.9265134456574254,0.9341425190045103,0.9087378560183964,4.1000000000000005
42,0.9195368562938527,0.942296017893856,0.9640468475450328,0.9421205441568014,0.9428975397046219,0.8949009862945182,4.2
43,0.9257737007942904,0.9576327393333516,0.9671181357853461,0.9569028184499031,0.954272560822163,0.8871705260128662,4.3
44,0.936844070539828,0.973910511799114,0.9716322082375571,0.9684363892508701,0.9666787385107802,0.8839534201480115,4.4
45,0.9500579136266888,0.990101625750238,0.9744720582259935,0.9755363293194959,0.9788833849592956,0.8846016779906909,4.5
46,0.9630315194425113,1.0045352012580584,0.9748533302509594,0.9789670735657713,0.9896940770870625,0.8899337555753994,4.6000000000000005
47,0.974817190778867,1.0154476130144416,0.9743988091913988,0.9809655275092406,0.99835151947951,0.900764413247961,4.7
48,0.9851331683849653,1.0222155771089996,0.9758488589913314,0.9836667157148511,1.0051283658972503,0.916077779164326,4.800000000000001
49,0.9933319715813832,1.0254860568091146,0.9814051537991675,0.9874760500721464,1.0109678274488336,0.9330499003796195,4.9
50,0.9986203921590402,1.025974383985513,0.9914028388760792,0.9909511783684223,1.0163663000186167,0.9491553484841535,5.0
51,1.0010019031722626,1.0236474580607338,1.0036451437762686,0.9923629739587558,1.0207949239783285,0.9640507390783486,5.1000000000000005
52,1.0012630909036508,1.018407126210462,1.0143893882766248,0.9912476386458902,1.0231268547881072,0.9788319184567548,5.2
53,0.9999320693245167,1.0112037335615631,1.020983018166407,0.9885761648872272,1.0224676889944035,0.993399456989235,5.300000000000001
54,0.9971225846739649,1.003930313755895,1.023671162037144,0.9858705644905033,1.0188563420676642,1.0051088860077297,5.4
55,0.9937411426068335,0.9982478898848435,1.0244628557670459,0.9843645495677368,1.0134235179303261,1.0104457516950802,5.5
56,0.9917922767765416,0.9947476201708042,1.024644759946022,0.9847005186808551,1.0078024011877804,1.0079116659713139,5.6000000000000005
57,0.9928077705018044,0.9930630309803685,1.0239124585246304,0.9868541781096026,1.003319514338649,0.9990424150185155,5.7
58,0.9964643564613268,0.9924104515108572,1.021502941070919,0.9900294343716428,1.0007552781818627,0.9870371703004452,5.800000000000001
59,1.0009398495484314,0.9920187796133213,1.0175371000996294,0.992868831294652,1.000487453148448,0.9751435923949331,5.9
