,Li-Li,Li-Y,Y-Y,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,1.8682332577070844e-07,0.0,0.0,0.4
5,2.014174810400481e-06,0.0,0.0,0.5
6,1.2612200112696152e-05,0.0,0.0,0.6000000000000001
7,6.270818125916773e-05,0.0,0.0,0.7000000000000001
8,0.0002513593960207486,1.0508812074602351e-07,0.0,0.8
9,0.0008418121697799119,9.64525944495268e-07,0.0,0.9
10,0.0024064380263152606,5.799274770827794e-06,0.0,1.0
11,0.006025865829872639,2.8198048222819672e-05,0.0,1.1
12,0.013533004736718708,0.0001117365394548465,0.0,1.2000000000000002
13,0.027784917251035747,0.0003738069291504838,2.4401413978214986e-07,1.3
14,0.05278940631715265,0.0010903991286456871,2.702848056379456e-06,1.4000000000000001
15,0.09344646051258784,0.0028424641840812475,1.8381006494924748e-05,1.5
16,0.15472400314640117,0.006750565474719377,9.857200494221621e-05,1.6
17,0.24043175964183847,0.014777025709033461,0.0004289398543131059,1.7000000000000002
18,0.35179634458364084,0.03003491333025347,0.001564505548903545,1.8
19,0.48605012170127393,0.05693339955011374,0.004897427940683511,1.9000000000000001
20,0.6357179821828686,0.10080249745693413,0.013324705425289528,2.0
21,0.7897594614757496,0.1665795473463786,0.03178818013564134,2.1
22,0.9365311665873317,0.256918326718717,0.06697807775167966,2.2
23,1.06658460749143,0.37106100064722586,0.1258198183983972,2.3000000000000003
24,1.1737539230132128,0.5052478202853458,0.21356765910502368,2.4000000000000004
25,1.254952083810925,0.65361166844366,0.3330396772353847,2.5
26,1.3095476600946718,0.8080768362107763,0.4848875850154621,2.6
27,1.3385595499313085,0.9578367636398509,0.6669435034320704,2.7
28,1.344129925300054,1.090512501084479,0.8718887775201761,2.8000000000000003
29,1.3296185788543682,1.195572258585015,1.085697539413065,2.9000000000000004
30,1.299530891016595,1.267586535854324,1.2893743757321166,3.0
31,1.258616149055062,1.3065262594818723,1.4631875974498594,3.1
32,1.2109277308088295,1.3156187741147967,1.5908434585217905,3.2
33,1.159827091800958,1.29974599632475,1.6627487307276436,3.3000000000000003
34,1.1085947496459923,1.2655386331705882,1.6784684014425215,3.4000000000000004
35,1.060792096450238,1.2210975167650617,1.6466250477433066,3.5
36,1.0198119679050912,1.1738027387608658,1.5809322148713907,3.6
37,0.987661808794355,1.1279741960426914,1.4948759845996364,3.7
38,0.9639622103262383,1.0849927015460639,1.3987592274347356,3.8000000000000003
39,0.9464400733632556,1.045362295565306,1.2996901354962949,3.9000000000000004
40,0.9328289614144374,1.0100424730391753,1.2029539783852923,4.0
41,0.9224112472803894,0.9800576994911179,1.113582885249551,4.1000000000000005
42,0.9159347963272636,0.9558067026949546,1.0368450663730007,4.2
43,0.9145316209546779,0.9372473376223445,0.9766496352497407,4.3
44,0.9187874385349628,0.9243201913250347,0.9333004685906119,4.4
45,0.9280972544957048,0.9167839463202374,0.9033002061900244,4.5
46,0.9403460591196465,0.913853056681089,0.8814410408614316,4.6000000000000005
47,0.9525413855548446,0.9144733026259863,0.863315972043126,4.7
48,0.9623605931304402,0.9180804085304813,0.8470462655491038,4.800000000000001
49,0.9693084783864055,0.9248222286954167,0.8337491478521182,4.9
50,0.9744825295850856,0.9349191684781789,0.8261474538155837,5.0
51,0.9794215168311123,0.9479850085586576,0.8261100845833159,5.1000000000000005
52,0.9851198338656821,0.9629926210188835,0.8334951402037186,5.2
53,0.991743347145071,0.9787057994752297,0.8469475811492053,5.300000000000001
54,0.9989298911530844,0.9941741663351262,0.8648291866375594,5.4
55,1.0060549312477627,1.0088872484957188,0.8851795278714223,5.5
56,1.0121316775806015,1.02235440890558,0.905745277534968,5.6000000000000005
57,1.015913762479957,1.0336728162191526,0.9248756216039645,5.7
58,1.0166381241326232,1.041924260836245,0.9423212619183745,5.800000000000001
59,1.0146426267635333,1.0470315351986577,0.9587774916287978,5.9
60,1.0110177000402965,1.0498720957696945,0.9746873660204576,6.0
61,1.0067317552740371,1.051528453167041,0.9895952305664045,6.1000000000000005
62,1.002245976647757,1.0525730717535462,1.002369343926377,6.2
63,0.9978147033391526,1.052849467824264,1.011641344237165,6.300000000000001
64,0.9938302853017588,1.0516737650693764,1.0160979924346916,6.4
65,0.9907527034656518,1.048466932808333,1.0149455916368049,6.5
66,0.9887366645713312,1.0434878112236803,1.008620018713065,6.6000000000000005
67,0.9873698456927626,1.0378408454428927,0.9989521845621061,6.7
68,0.9858867388954815,1.0325943081549565,0.9883233991752376,6.800000000000001
69,0.9837877335326835,1.0279993251875417,0.9787133701134934,6.9
70,0.981265041014271,1.0236301115974547,0.9715193205198075,7.0
71,0.9789673717670856,1.0190609751014454,0.9676883468253199,7.1000000000000005
72,0.97741777594224,1.0142765633861577,0.9674323569873349,7.2
73,0.976733948352922,1.0096724039270109,0.9699217655488737,7.300000000000001
74,0.9767726074448889,1.0058511372847638,0.9736194681448994,7.4
75,0.9773711155301417,1.0032603075998265,0.9770577203326809,7.5
76,0.9784126407427561,1.00191188751471,0.979409447380173,7.6000000000000005
77,0.9796829515516959,1.00153682824228,0.980504730671198,7.7
78,0.9807937946744655,1.0019599858613644,0.9803532511322903,7.800000000000001
79,0.9814392579073588,1.0032269299690577,0.9787877580679645,7.9
80,0.9817084507014928,1.00545605976177,0.9758261367758763,8.0
81,0.9819714684423483,1.0086179049632582,0.9721246826965954,8.1
82,0.9824868563105181,1.0123520918022286,0.9684810745358057,8.200000000000001
