,Li-Li,Li-Si,Li-Sb,Si-Si,Si-Sb,Sb-Sb,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,2.9407613497263762e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,2.262237754433414e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,0.0001259621056281781,7.631733606556337e-07,1.9079334016390841e-07,0.0,0.0,0.0,0.9
10,0.0005411406729004834,6.3379790301261305e-06,1.414311809051997e-06,0.0,0.0,0.0,1.0
11,0.0018673030937858591,4.239866879602502e-05,8.19164178869915e-06,1.160826848576201e-05,0.0,0.0,1.1
12,0.005213949348064917,0.00021509114016943925,4.263490080510772e-05,0.00011649848282333602,6.892409413421195e-07,0.0,1.2000000000000002
13,0.011994333385763632,0.0008966645406354036,0.00018702377075948122,0.0007625114592849811,9.495710321277844e-06,0.0,1.3
14,0.023348902121256704,0.003158213665954332,0.0007321688123114874,0.003752951440042675,7.10446689078912e-05,2.2784824507177496e-07,1.4000000000000001
15,0.04001267085184244,0.009562705385084153,0.002587017256951399,0.014896664187332188,0.00039863083706487225,3.778883954362778e-06,1.5
16,0.06342137305902659,0.025162429542473237,0.008224371533187953,0.048710788643802294,0.001789439292440092,3.1592513753772006e-05,1.6
17,0.09699823034527214,0.05797598435909963,0.023144308617367777,0.13273302878899954,0.006652699627424986,0.0001921658878323525,1.7000000000000002
18,0.14520251274877186,0.11782869526895623,0.056995195325459894,0.3045380305904489,0.020879626317942053,0.0009205203187236918,1.8
19,0.21033831035650863,0.21302228641535556,0.12257447909955363,0.5945276391411295,0.055970794838277056,0.0036331331238508265,1.9000000000000001
20,0.2905659113297612,0.3458126231832299,0.23153623109204585,0.9992840201752573,0.129333221501722,0.0120673974912129,2.0
21,0.3811516277685973,0.5090084952707989,0.3882466838695626,1.4656596160258388,0.25962321414127554,0.034092195837546184,2.1
22,0.4768738783120129,0.6859254305012545,0.5855407841106387,1.903743085712241,0.45620726382710947,0.08261045911242956,2.2
23,0.573197509049077,0.8545444433187008,0.8052181942369119,2.223290846326636,0.7076951444558276,0.17306519752686292,2.3000000000000003
24,0.6661066417633674,0.9946889572510523,1.0227884470323771,2.370135589434875,0.9789633537909092,0.3161771531570578,2.4000000000000004
25,0.751533836761409,1.094899573465756,1.213952585158887,2.3437334941922034,1.2220919102357388,0.5087518261310846,2.5
26,0.8256559799198081,1.154843298896666,1.3605157706551065,2.1903446324291096,1.3956709119234005,0.7292292118096536,2.6
27,0.8864058110940001,1.1818825560614723,1.453967690186029,1.9770064625804125,1.480019045013353,0.9430979535913842,2.7
28,0.9337685432115128,1.1853316892165169,1.4958353068609533,1.7611789724893785,1.480179207973692,1.1165516702390332,2.8000000000000003
29,0.9676869432419959,1.1728033051220843,1.4952812768968484,1.573601553535966,1.4185676661794455,1.2300313677236399,2.9000000000000004
30,0.9870713186649434,1.1491978079639433,1.4649475509863281,1.420726652793757,1.3241491864225845,1.282696512490039,3.0
31,0.9920887639761243,1.1170027054119243,1.4164690482712468,1.2977298206618595,1.222975635409163,1.2863927305576497,3.1
32,0.9860466666377833,1.077698924320428,1.3582277149696336,1.1986322992000853,1.1323036629084728,1.2566184600520711,3.2
33,0.9742097935775593,1.0340315457225395,1.296459507186297,1.118928908220861,1.0597032187076898,1.2076211940012966,3.3000000000000003
34,0.961979895711791,0.9912620395999401,1.236639452655503,1.0554256737802628,1.0061653560120196,1.1512109592707638,3.4000000000000004
35,0.9539468031874699,0.9556126173121424,1.1821380173857994,1.007141967829922,0.9696521543731863,1.0960710567836276,3.5
36,0.9520336869992203,0.9309541889106606,1.1327246150825747,0.975084709497865,0.9467404922015327,1.0472585798601435,3.6
37,0.9535980137080866,0.9172077409420207,1.086691385336029,0.9588901381502777,0.9332301400878511,1.0069097125557342,3.7
38,0.9533927310752877,0.9119563241049512,1.0444897431386568,0.9538992303486872,0.9252520217465108,0.9759691781288828,3.8000000000000003
39,0.9485939092437277,0.9128952822344019,1.0092107697990436,0.952851783545973,0.9204222288582674,0.9555305450143551,3.9000000000000004
40,0.9408935585971745,0.9185727926153829,0.9837699463105483,0.9508079421478325,0.9179925639170201,0.9463341181438439,4.0
41,0.9338213390999556,0.9278704013333627,0.9683611707575728,0.9479482474322707,0.9181859344125911,0.9469781905941196,4.1000000000000005
42,0.9299522787526756,0.9394278130955881,0.9604753930218487,0.9475763309755459,0.9215451364405034,0.9534303420758622,4.2
43,0.9306897272391899,0.9513959669066112,0.9569161058177836,0.9519555293251193,0.9284049092895534,0.960957303992267,4.3
44,0.936526315984288,0.9620515442278427,0.955708313685133,0.9602649380962025,0.9381402249368578,0.9665450196262412,4.4
45,0.9467496937959258,0.9711425346515578,0.9563551635952158,0.9699675860688751,0.9488494060218675,0.9695954063478138,4.5
46,0.9597172933770719,0.9802300461258009,0.9587415745110226,0.9788737985139582,0.9585498568683797,0.9709690449485333,4.6000000000000005
47,0.9734524683120284,0.9911569560494154,0.9622237604054877,0.9852770125585827,0.9667800706639521,0.9716788152342376,4.7
48,0.985948242763541,1.004101869913329,0.9658662724801941,0.987263525631174,0.9742788543326599,0.9722190866021986,4.800000000000001
