,Li-Li,Li-S,S-S,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,4.5041531044719307e-07,0.0,0.0,0.7000000000000001
8,3.926758847072801e-06,3.9587283144772823e-07,0.0,0.8
9,2.312259119260592e-05,6.263443401642927e-06,4.734036351153456e-06,0.9
10,0.00010773522247002526,5.088203813795338e-05,7.387820113444527e-05,1.0
11,0.0004089367870488746,0.0003040906025531384,0.0005436163726166802,1.1
12,0.0012973440187525307,0.0014394457398350918,0.0028596842086092123,1.2000000000000002
13,0.0035393652708769706,0.005630592598315722,0.011974809037173215,1.3
14,0.008561750857994755,0.018559587547836372,0.04074262546748047,1.4000000000000001
15,0.018806897792643027,0.05215835997931906,0.11353917282860818,1.5
16,0.03797916937175549,0.12595210040575905,0.2609654929364737,1.6
17,0.07063003057762372,0.2630304694336649,0.4987389049975408,1.7000000000000002
18,0.12078367752153578,0.478144619470909,0.8004743363618497,1.8
19,0.19033960782941808,0.7624866438221344,1.0922456503972457,1.9000000000000001
20,0.2783826512156657,1.0774503221014613,1.2858305922004996,2.0
21,0.3814474862974473,1.3668856327919043,1.329101498755643,2.1
22,0.4937212686321476,1.5819684811432355,1.2325041398774483,2.2
23,0.6071112084940724,1.700401102790039,1.0547145601281416,2.3000000000000003
24,0.7126008936815891,1.7279484059035726,0.8658158445278769,2.4000000000000004
25,0.8034516421101447,1.6869392685639248,0.7162171982122738,2.5
26,0.8777126681050372,1.603475007741531,0.6257531549093736,2.6
27,0.9368581159574485,1.4997413541862734,0.5900605496375221,2.7
28,0.9818929104746354,1.391659577248795,0.5934258276060569,2.8000000000000003
29,1.011959359810588,1.2897967253337672,0.6193744748560915,2.9000000000000004
30,1.0268380133301795,1.2007931930296536,0.6558324392542025,3.0
31,1.02928733738243,1.127734251918451,0.6957154656875935,3.1
32,1.024253531027899,1.0703324421135079,0.7353649932764998,3.2
33,1.0166713223804213,1.025987659203503,0.7732012024688872,3.3000000000000003
34,1.010318239089386,0.9911727860864691,0.8091906201610758,3.4000000000000004
35,1.0076395930573552,0.962696984381607,0.8441056078540792,3.5
36,1.0095375590904783,0.9391564651455064,0.8780435043028748,3.6
37,1.015301099488478,0.9216223015214071,0.9092806965748503,3.7
38,1.0232932496445721,0.9120338411875075,0.934884006160963,3.8000000000000003
39,1.0321536444022539,0.910341424195347,0.9528246332631953,3.9000000000000004
40,1.0413021051876439,0.9136473629062889,0.9635317114030464,4.0
41,1.0500852112804355,0.9182666506274619,0.9695348377756754,4.1000000000000005
42,1.056746504701376,0.9221262920921061,0.974117465018893,4.2
43,1.0589603414729047,0.9251662166161735,0.9802854894495142,4.3
44,1.0556831392679975,0.9283237333624879,0.9899673625545635,4.4
45,1.0481523638085186,0.9326169032479181,1.003189968470208,4.5
46,1.0387712646850107,0.9385819234736071,1.018034412476746,4.6000000000000005
47,1.029137380839642,0.9458596216352109,1.0317853258476022,4.7
48,1.0194680347137086,0.9533537926377758,1.0421501121219932,4.800000000000001
49,1.0098652008616893,0.9600990261341518,1.0476417293272362,4.9
50,1.001378907518824,0.9660843920611865,1.0477916612823768,5.0
51,0.9951909184371656,0.9721269151966392,1.0437132827973625,5.1000000000000005
52,0.9910214680919375,0.978826706612079,1.0378993103500107,5.2
53,0.9870681636915444,0.9857388864512157,1.0325964920300315,5.300000000000001
54,0.9817311785067022,0.9917025108298851,1.0283940429611205,5.4
55,0.9752123071088189,0.9958441523712347,1.0246097340744358,5.5
56,0.9693077553790452,0.9981380502035823,1.0206124834171166,5.6000000000000005
57,0.9658108738372575,0.9992156367903242,1.0164375941130872,5.7
58,0.9653363038415418,0.9998595137343916,1.01255050697348,5.800000000000001
59,0.9674120789108931,1.000635594246041,1.0093363681894079,5.9
60,0.9711166163895858,1.0018312008703105,1.0066067267429577,6.0
61,0.9755316528441857,1.0035187324901476,1.0035172038110967,6.1000000000000005
62,0.9799408398237556,1.0055064984641084,0.9992008024547457,6.2
63,0.9837276294775228,1.0073046172292515,0.9935702561357186,6.300000000000001
64,0.9862279285446967,1.0083976793740328,0.9875372114793596,6.4
65,0.9871075906646198,1.0087527975042614,0.9825155144205886,6.5
66,0.9869293122822966,1.0090590425443606,0.9796615196013504,6.6000000000000005
67,0.9868924727228607,1.0102235946059444,0.9794383309292759,6.7
68,0.9878613240758434,1.012487960880835,0.9817992072237371,6.800000000000001
69,0.9898308659499649,1.015182214607035,0.98649211863347,6.9
70,0.9922468408155098,1.0173569857825755,0.9927556900242146,7.0
71,0.9945644940750464,1.0183308474765005,0.9987705375879707,7.1000000000000005
72,0.9964178594244486,1.0176150161038433,1.0021045778851827,7.2
73,0.9974814397181414,1.014937299048525,1.0013467296337253,7.300000000000001
74,0.9975250592288225,1.0107106290046324,0.9974146996316428,7.4
75,0.9967122893761392,1.0060492128268204,0.9930159714690101,7.5
76,0.9955401134726861,1.002012089397743,0.9905638516793271,7.6000000000000005
77,0.9942105682387652,0.999066649848256,0.9904701113701185,7.7
78,0.9923114510398019,0.9973148647467475,0.9914037217824023,7.800000000000001
79,0.9894742262004401,0.9968515129272318,0.9919881820313281,7.9
80,0.9862745480266113,0.9977119967794563,0.9919807394721466,8.0
81,0.9841406397399097,0.9995595150726221,0.9918605878334317,8.1
82,0.9841663390012009,1.001556190220992,0.9917592229913125,8.200000000000001
83,0.9860908792484852,1.0027036586996008,0.991196031769073,8.3
84,0.9886107399766122,1.002453605879086,0.9898923023679593,8.4
85,0.9906370774435831,1.0010090548575201,0.98851018130251,8.5
86,0.9920461186479802,0.999079730210508,0.988216964687899,8.6
87,0.9933074077632598,0.9973887802066872,0.9895102195901934,8.700000000000001
88,0.994835559585139,0.9962795162686012,0.9918054019385255,8.8
89,0.9968224893420462,0.9956431575830021,0.9942349180339718,8.9
90,0.9992072290973708,0.9952449036673057,0.9964400152649496,9.0
91,1.0014512363404404,0.9951331102905785,0.998404073459152,9.1
92,1.0026087537176336,0.9956685526550898,0.9999082303548419,9.200000000000001
93,1.002008479621466,0.997151342687631,1.0005420394559505,9.3
94,0.99989149395101,0.9994827294853156,1.000132451288752,9.4
95,0.9971919003003775,1.002152661355334,0.9989433496303106,9.5
96,0.9946960267572899,1.0044868323469676,0.9975148610969287,9.600000000000001
97,0.992541453136118,1.0059680126961563,0.9963790095004907,9.700000000000001
98,0.9904957797050867,1.0064815788485861,0.9958194123641977,9.8
99,0.9885767507952847,1.0063427284155249,0.9957622168304364,9.9
100,0.987316848144895,1.0060767637514365,0.9958813716723963,10.0
