,Li-Li,Li-Pt,Pt-Pt,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,9.064600410493413e-08,0.0,0.0,0.5
6,9.818814695483095e-07,0.0,0.0,0.6000000000000001
7,7.047963540131754e-06,3.0638349387467734e-07,0.0,0.7000000000000001
8,3.817144830055872e-05,4.152130286317864e-06,0.0,0.8
9,0.00016681150359815078,3.43710055461837e-05,0.0,0.9
10,0.0006094199169755701,0.00020074069359345188,0.0,1.0
11,0.0018970597703298205,0.0009350669044401101,0.0,1.1
12,0.005095735532794163,0.0036052478691916178,0.0,1.2000000000000002
13,0.011985727120391516,0.011700385330887887,3.1263621823946666e-07,1.3
14,0.025123420846978085,0.032366857539256555,6.596415212863271e-06,1.4000000000000001
15,0.04789660856626358,0.0772075359384228,6.248755640450452e-05,1.5
16,0.08473967866699868,0.16077675133933986,0.00041032533939006484,1.6
17,0.1411568502926908,0.29596372869936843,0.002055161476459377,1.7000000000000002
18,0.22266069628944019,0.4874887480689511,0.008378467672162016,1.8
19,0.3321351347930096,0.7265218275886078,0.028419253256331944,1.9000000000000001
20,0.4666714910651269,0.9897383163695443,0.08086828474396687,2.0
21,0.6161387167072145,1.2443833004070384,0.19404312191529255,2.1
22,0.7653765242952087,1.4577051103997059,0.3948102858345984,2.2
23,0.8994573439446432,1.606290803784283,0.6861115577873883,2.3000000000000003
24,1.0086590904620805,1.680890017324988,1.0284888605458902,2.4000000000000004
25,1.0898944229377288,1.68581140962299,1.3473615526660314,2.5
26,1.1446667070208958,1.635221150409052,1.568184549926207,2.6
27,1.1762313864758336,1.5481969517813918,1.653573900596376,2.7
28,1.1880931950584774,1.442986499106346,1.61479740412295,2.8000000000000003
29,1.183919701799729,1.3324944397891791,1.4952007227841937,2.9000000000000004
30,1.1677953313086507,1.2239763280810336,1.3433930899669893,3.0
31,1.143894746650402,1.1223542910001836,1.1939902678367278,3.1
32,1.1156964788884112,1.0328200696991026,1.0632734157383594,3.2
33,1.0857055583302602,0.9600534288907898,0.9558593024625373,3.3000000000000003
34,1.0559684326310848,0.9059555461437857,0.8724019868206853,3.4000000000000004
35,1.0284481520627586,0.8691538544400262,0.8124454642495823,3.5
36,1.004753391847204,0.8468678797196976,0.7744671822506768,3.6
37,0.9857762500731282,0.8369791358782406,0.7562917283560896,3.7
38,0.9718568360653014,0.8384231741063966,0.7555313959487319,3.8000000000000003
39,0.9632335891324905,0.8500638349744851,0.7694963776163966,3.9000000000000004
40,0.9601411217290975,0.8695109226705965,0.7955137252246826,4.0
41,0.9623313580009473,0.8931639004457459,0.8313544963512833,4.1000000000000005
42,0.9685445986494783,0.9175742898244162,0.8744842520163709,4.2
43,0.9766676935227062,0.9407985286460903,0.9206540313794932,4.3
44,0.9846977489786757,0.9623906207918784,0.963701245896773,4.4
45,0.9916706881272165,0.9823744849504444,0.9973801967150727,4.5
46,0.9976220775556365,1.00056389513773,1.0181096936985727,4.6000000000000005
47,1.0027590054770599,1.016590119452287,1.0266013666943161,4.7
48,1.0068901996348394,1.0298603216282607,1.0270274005171498,4.800000000000001
49,1.0095774690919248,1.0393969490914317,1.0240595217586639,4.9
50,1.0105104425383622,1.0443139215646333,1.019947916352462,5.0
51,1.0097039875567795,1.0447522540395113,1.01407849972139,5.1000000000000005
52,1.0075714176315318,1.0419946410519005,1.005135489055242,5.2
53,1.0047944644863955,1.0374677908060108,0.9933578862512141,5.300000000000001
54,1.0019318094672856,1.031881468438577,0.9806009749093147,5.4
55,0.9991521200266653,1.0253843245672964,0.9686827518072254,5.5
56,0.9964372942271813,1.018220320361175,0.9581649118085436,5.6000000000000005
57,0.9939729476067435,1.0109894851797891,0.9488027093333061,5.7
58,0.9921951854739045,1.00434070587923,0.9407964502112209,5.800000000000001
59,0.991436857678883,0.9985999114208878,0.9351437041626093,5.9
60,0.99159833886523,0.9938035592137202,0.9328538217158828,6.0
61,0.9921525765949333,0.9899217052253861,0.9344331038735364,6.1000000000000005
62,0.9924882515987727,0.9868403839753299,0.9400697452340633,6.2
63,0.9923699267698385,0.9842776923268782,0.9493292546062302,6.300000000000001
64,0.9921171603501779,0.9820888561655552,0.960323191762994,6.4
65,0.992299298848702,0.9807077190113747,0.9701402752435626,6.5
66,0.9931955851896138,0.980948137880199,0.9767956895529578,6.6000000000000005
67,0.9945411286695348,0.9832197890281789,0.9803757485177012,6.7
68,0.9958350136189684,0.987100493185407,0.982146091095053,6.800000000000001
69,0.9968607152949991,0.9916795222816549,0.9829384817392801,6.9
70,0.9977512127050315,0.996069172302852,0.9823150245632374,7.0
71,0.9985708099942795,0.9996528692911169,0.9788259328930421,7.1000000000000005
72,0.9991116244512467,1.0022541761907362,0.971359474123082,7.2
73,0.9992028211563149,1.0041420961679708,0.9611118837251478,7.300000000000001
74,0.9989857244047313,1.005539447046352,0.9521743948823618,7.4
75,0.9987644020889611,1.0060787138090252,0.9490043612317414,7.5
76,0.9986728279779535,1.0050903923474654,0.9527654605814228,7.6000000000000005
77,0.9985393579336962,1.002542133049102,0.9605980131333651,7.7
78,0.9981010152338102,0.9994340858215653,0.968497625834748,7.800000000000001
79,0.9973439736412217,0.9971261616432358,0.9743626888135714,7.9
80,0.9965450044067263,0.9963909001279107,0.9784732091336866,8.0
81,0.9959708013308535,0.9971346966538314,0.9820268682989824,8.1
82,0.9956590249570292,0.9987630906002577,0.9857343163778693,8.200000000000001
83,0.9955181438371506,1.0005855462015216,0.9893562021955173,8.3
84,0.9955309787855958,1.001954328094746,0.9919545210863182,8.4
85,0.9957839466787333,1.0023441695321424,0.9926644365379688,8.5
86,0.9963592533978837,1.0015055726008664,0.991608086844801,8.6
87,0.9972846336069157,0.9995392711377039,0.9899764225230381,8.700000000000001
88,0.9985115458730688,0.9968686373934514,0.9888585805310174,8.8
89,0.999826953922671,0.9941959955611724,0.9881449055405542,8.9
90,1.000885062334719,0.9922827923404781,0.987033074678852,9.0
91,1.0014486332964938,0.9915172283029505,0.9853323982762414,9.1
92,1.0015010417980197,0.9916890826178651,0.9835279049639064,9.200000000000001
93,1.001087478286686,0.9922584697960457,0.9816824487785862,9.3
94,1.0002339160801856,0.9928248231953833,0.9791856936489889,9.4
95,0.9990643802749947,0.9933655728342344,0.9758627410602334,9.5
96,0.9978209436629596,0.9941158904747348,0.9728090641499048,9.600000000000001
97,0.9967485141869252,0.9952645736687784,0.9717603900574313,9.700000000000001
98,0.9960445074638627,0.9967291591531512,0.973588508201991,9.8
99,0.9957792789981692,0.9981449504280209,0.9772427395707999,9.9
100,0.9957777136407322,0.9990265034930533,0.980163745985835,10.0
