,Ga-Ga,Ga-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,0.0,1.0318927983005313e-07,1.2382713579606375e-06,1.0
11,1.23484124339565e-07,2.4325274007677052e-06,1.2519972023371198e-05,1.1
12,3.5913281944620944e-06,2.467075904483022e-05,0.00010509874367037778,1.2000000000000002
13,3.7924878873116514e-05,0.00017293097891294678,0.0006174555087892496,1.3
14,0.0002554583101029622,0.0009182023261339769,0.002891804584577056,1.4000000000000001
15,0.00130860170912088,0.0039523735005978465,0.011228558577036587,1.5
16,0.005418174134059682,0.01419025525429747,0.03661990304939883,1.6
17,0.018594851769908195,0.042956953395088815,0.10083543949794418,1.7000000000000002
18,0.05346294747991827,0.11034227695406752,0.23538019378178848,1.8
19,0.12975625153160603,0.24187699849263053,0.4683388424922515,1.9000000000000001
20,0.2678341100155436,0.4555338569702415,0.7999891301944957,2.0
21,0.4742320929980496,0.7433515581437213,1.183112947417516,2.1
22,0.7279762852449734,1.062146487200064,1.5297029768091004,2.2
23,0.9821126304880278,1.345972061373648,1.7491057585028185,2.3000000000000003
24,1.1847304154915632,1.535754002561637,1.7945770363690918,2.4000000000000004
25,1.304652004336868,1.605551282558762,1.6846123339440233,2.5
26,1.3418936497929574,1.568143426196887,1.4853419678810778,2.6
27,1.3186398614411576,1.4609774988281867,1.271048891324142,2.7
28,1.2628331532815693,1.3264654700509464,1.091891811764444,2.8000000000000003
29,1.196910825247132,1.1979886420375392,0.9652454781910892,2.9000000000000004
30,1.1348065025125047,1.0940855814375328,0.886044615056397,3.0
31,1.0834737533619692,1.0192448613255713,0.8411690044272853,3.1
32,1.0446434036571026,0.9691028864607832,0.8183978326790302,3.2
33,1.0159524760698881,0.9366790834286175,0.8097158809816156,3.3000000000000003
34,0.9931498255447184,0.9163578929000842,0.8110709268750833,3.4000000000000004
35,0.973413172185901,0.9047406666129195,0.8203450039026743,3.5
36,0.9570754142803047,0.8997269440912546,0.8359381877559948,3.6
37,0.9461899274766009,0.8996900772128771,0.8564776843633358,3.7
38,0.9418488431144783,0.9035293295367343,0.8797074406158139,3.8000000000000003
39,0.9430973915494911,0.9106609014134699,0.9017069270595617,3.9000000000000004
40,0.947944390918841,0.9202618177803272,0.9197361801903006,4.0
41,0.9548618141597147,0.930901544093561,0.9360266755895494,4.1000000000000005
42,0.9633594671938058,0.9414492518004836,0.9560274305948492,4.2
43,0.9735532645856564,0.9520417965744433,0.9818646983408306,4.3
44,0.9854835442431953,0.9635921047729927,1.0085367028400554,4.4
45,0.9985763277714171,0.97638966571399,1.0267996750601247,4.5
46,1.0112123095549652,0.9894975445855642,1.029508935940305,4.6000000000000005
47,1.0208564678673946,1.0013943326867005,1.0162898236828553,4.7
48,1.025318235356944,1.0107289593873416,0.9937143590927697,4.800000000000001
49,1.0243855406335591,1.0165101724883083,0.9711713828779966,4.9
50,1.0201301780720673,1.0182798285990116,0.9554147509239325,5.0
51,1.0154789677334133,1.016483183560341,0.9478626375362079,5.1000000000000005
52,1.0124813591655706,1.0123507012353612,0.945828500556372,5.2
53,1.0115040399636122,1.0072774675676144,0.9454587992792097,5.300000000000001
54,1.011402060584175,1.0025582193069629,0.9438656273584828,5.4
55,1.0103821004636404,0.9995072816678707,0.9396896374985564,5.5
56,1.007244549584448,0.9992007783966952,0.9326143799826674,5.6000000000000005
57,1.002179387603513,1.0018631393920803,0.92309053144679,5.7
58,0.9964466367994942,1.0066755556510378,0.9126783760298482,5.800000000000001
59,0.9913847375407112,1.012290617321609,0.9038275883414966,5.9
60,0.9877676442772618,1.0174519039428531,0.8984522355832304,6.0
61,0.98582812410397,1.0212505044972047,0.8967187582723909,6.1000000000000005
62,0.9855367253485909,1.023327238194514,0.8975055306432791,6.2
63,0.9867734768381924,1.0243099059453595,0.8998083924001709,6.300000000000001
64,0.9893700205158118,1.0257126545211754,0.9032219370065604,6.4
65,0.9931010136263483,1.0286074836802817,0.9072999473031454,6.5
66,0.997530784621915,1.032195019016334,0.9113882259197704,6.6000000000000005
67,1.001755620167967,1.034118380088812,0.915425022444443,6.7
68,1.0044540317294177,1.0324637580689058,0.920165000277179,6.800000000000001
69,1.0045506471759647,1.0273983280741317,0.9262422482664856,6.9
70,1.002072727372914,1.020876609498427,0.9334756103974402,7.0
71,0.9982876804457755,1.0149781964040387,0.9410693377991715,7.1000000000000005
72,0.9948799845401222,1.0107200614577416,0.9480468003704676,7.2
73,0.9929693173392645,1.0081868426400356,0.9539477778282297,7.300000000000001
74,0.9926950445669671,1.0070920986925704,0.9596174774988251,7.4
75,0.9933146963139831,1.006938264811734,0.9664212985154148,7.5
76,0.9936540633279879,1.0070661727351877,0.9739055653917412,7.6000000000000005
77,0.9929280979711034,1.006908915187316,0.9792138506081388,7.7
78,0.9914823192108766,1.0062559618673617,0.9797802263051293,7.800000000000001
79,0.9905701699673026,1.0053495541359982,0.9759245183693541,7.9
80,0.9911549658867537,1.0047690618084504,0.970287090210485,8.0
81,0.9930327706330266,1.0050778854840228,0.9655965019481768,8.1
82,0.9952260299021121,1.0064225557457194,0.9633618524118628,8.200000000000001
83,0.9969435340408352,1.0083780411259455,0.9635846368826294,8.3
