,Li-Li,Li-Ir,Ir-Ir,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,1.8476309842161304e-07,0.0,0.0,0.5
6,2.479295056480419e-06,0.0,0.0,0.6000000000000001
7,1.810682808810284e-05,2.0816642422168408e-07,0.0,0.7000000000000001
8,9.678901272943651e-05,2.5771407411994358e-06,0.0,0.8
9,0.0004166206524993573,2.132982365947878e-05,0.0,0.9
10,0.0014843174844640075,0.00012457737695963162,0.0,1.0
11,0.0044484267183379994,0.0005826917263845493,0.0,1.1
12,0.01142485018163445,0.0022642563952064883,0.0,1.2000000000000002
13,0.025672765492516462,0.007430248838781111,2.5489766231226606e-06,1.3
14,0.05156173055735284,0.02085367493248014,3.507253037552745e-05,1.4000000000000001
15,0.09433963376796127,0.0506553709777482,0.00027496830714565223,1.5
16,0.1594229297357978,0.1078362304915036,0.0015418930587835047,1.6
17,0.2509279340038147,0.2037587104483429,0.006847347230179608,1.7000000000000002
18,0.3697756361374393,0.34585054447984737,0.024998804314421957,1.8
19,0.5120970872286512,0.5330811511728867,0.07595602480264307,1.9000000000000001
20,0.6683783617695235,0.7534499970395429,0.1934578156026122,2.0
21,0.8242069972526329,0.9850578112547228,0.4158795654062818,2.1
22,0.9636343478941674,1.2005935094378875,0.7606331335878758,2.2
23,1.0740038299532548,1.3738892351711274,1.1953963953122464,2.3000000000000003
24,1.1491475247596716,1.486769908714732,1.6340024646681222,2.4000000000000004
25,1.1896387565229756,1.5336855172560973,1.9704825050439796,2.5
26,1.201159666919739,1.521605785763376,2.1295037518796303,2.6
27,1.1917682318917038,1.4652342886441996,2.096587151890548,2.7
28,1.1687250284941384,1.3810116751463672,1.9129266021578593,2.8000000000000003
29,1.1368616814032115,1.2835750700956474,1.647588612557378,2.9000000000000004
30,1.0996476688131158,1.1849590526060507,1.3674678583183357,3.0
31,1.061012797877813,1.0943648397766332,1.1181554647980712,3.1
32,1.0254136662433593,1.0175672365642354,0.9198422342297395,3.2
33,0.996324299719571,0.9569047036399693,0.7744919020996032,3.3000000000000003
34,0.9749783547325251,0.9123757032228395,0.6755499586518487,3.4000000000000004
35,0.9604263443658759,0.8830002722578809,0.6139669782274056,3.5
36,0.9507381071324393,0.8675626411915035,0.5811076493456472,3.6
37,0.9445057580425928,0.8647657903727134,0.5710389799024626,3.7
38,0.9414993546806426,0.873137825220715,0.5815271720191577,3.8000000000000003
39,0.9421058389027964,0.8907311797262243,0.6122484712100301,3.9000000000000004
40,0.9464161768444163,0.9148588847081346,0.6617128550374809,4.0
41,0.9539307063016813,0.9423901660425502,0.7258283219330467,4.1000000000000005
42,0.9637519048353785,0.9705308651230403,0.7987836047439646,4.2
43,0.9747398080226641,0.9972678382543714,0.8748061743702633,4.3
44,0.9856657211279434,1.0211573008781987,0.9492247707687405,4.4
45,0.9955812764551683,1.041054298248357,1.017992752710049,4.5
46,1.0040304240515185,1.0561585088143128,1.076366208060744,4.6000000000000005
47,1.0107876885344993,1.0660347996686155,1.11884705547202,4.7
48,1.0156327525435065,1.0704495894474648,1.141217871861223,4.800000000000001
49,1.0186251511059785,1.0693570187895252,1.1429787033771754,4.9
50,1.0203128693163674,1.063179227190743,1.1279659868283578,5.0
51,1.0212198499222367,1.052994770321196,1.1025134957768326,5.1000000000000005
52,1.0212009949184575,1.0403374240028862,1.0723393634710545,5.2
53,1.01964647490714,1.0268039679893768,1.0404592081151836,5.300000000000001
54,1.0162939734396848,1.0137489257514742,1.007698884807312,5.4
55,1.0115739270448434,1.0021001995485,0.974960386684301,5.5
56,1.0061645002652508,0.992275126516945,0.944747284344922,5.6000000000000005
57,1.000474222969101,0.9842318473674784,0.9206274886234398,5.7
58,0.9947074221353548,0.9777587673791098,0.9055112589209431,5.800000000000001
59,0.9892944323737364,0.9729290598915854,0.900400771522238,5.9
60,0.9849606677874935,0.9703376865342246,0.9043426963455078,6.0
61,0.9822724710463021,0.9707273998811333,0.915123173365477,6.1000000000000005
62,0.9812577701493256,0.9742210628271069,0.929927782636781,6.2
63,0.9815901186590383,0.979994786872014,0.9457763371745799,6.300000000000001
64,0.9830557294723347,0.986813692058041,0.9600245529840057,6.4
65,0.9856851783387327,0.9938292760862235,0.9710862328110956,6.5
66,0.9893782637622769,1.000808678500959,0.9791161355936997,6.6000000000000005
67,0.9935456209135001,1.007747097829395,0.9858965470694647,6.7
68,0.997336856434562,1.0144118768731651,0.9935258044104472,6.800000000000001
69,1.0002260888700087,1.0201794195865475,1.002925661363067,6.9
70,1.0021796492985982,1.0241951104450946,1.013415090499805,7.0
71,1.003228525047839,1.0257851365131392,1.0230463853849283,7.1000000000000005
72,1.003175119687249,1.0249042424168042,1.029036524553637,7.2
73,1.0019216568701086,1.0222637432645774,1.0288169935622775,7.300000000000001
74,0.9998595552990339,1.0189595995670406,1.021748620407559,7.4
75,0.9976305566758443,1.015827861953717,1.0099411177878013,7.5
76,0.9955959554404691,1.0130583106258804,0.9971385685629787,7.6000000000000005
77,0.9938233301160685,1.0103987266433045,0.9866578840652164,7.7
78,0.9925321932598421,1.0076328506531569,0.9798434063806154,7.800000000000001
79,0.9922081665194251,1.0047724520337762,0.9756447286524225,7.9
80,0.9931447869187654,1.0019244894241508,0.9714608411521491,8.0
81,0.9949853374222906,0.9992101334888889,0.9650143346009195,8.1
82,0.9968126351785069,0.9967828711070481,0.9560054173533095,8.200000000000001
83,0.9977099864997977,0.9947347049501521,0.9463248404264649,8.3
84,0.9973071310112924,0.9930030231559489,0.9389984780472893,8.4
85,0.99594753804056,0.9915343765061242,0.9367640530481626,8.5
86,0.9944941972958032,0.990530080257942,0.9408711457680524,8.6
87,0.9939001327514625,0.9903998119486825,0.9504764245092818,8.700000000000001
88,0.9946645449988601,0.9914480625629988,0.9629847475392319,8.8
89,0.9965105789856821,0.993614620545315,0.9753860461790494,8.9
90,0.9986357831784026,0.9965245594533816,0.9859550333591574,9.0
91,1.0003250016290417,0.9998128691670992,0.994902912335854,9.1
92,1.0013065570911555,1.0034019422009979,1.003162249638355,9.200000000000001
93,1.0016711988116556,1.0073970743041964,1.0106819951591681,9.3
94,1.001705581596959,1.0117216414864054,1.0163580234106784,9.4
95,1.0018215111913344,1.0159655078154843,1.0194071958160427,9.5
96,1.0023821797428756,1.019609277459053,1.0200587202874136,9.600000000000001
97,1.0033958892533092,1.0223063060750117,1.0189046775389883,9.700000000000001
98,1.0044612619087627,1.0239717857516766,1.016390578392972,9.8
99,1.0051534503680115,1.0247630842846471,1.0132959160760422,9.9
100,1.0054126906024639,1.025011256286679,1.0110860763713154,10.0
