,Li-Li,Li-Tl,Li-Si,Tl-Tl,Tl-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,2.5484710021163764e-07,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,3.9016789355245774e-06,0.0,0.0,0.0,0.0,0.0,0.8
9,2.6021300644507493e-05,0.0,5.952311164112643e-07,0.0,0.0,0.0,0.9
10,0.00013120701811237048,1.7697715292474833e-07,8.30582326802872e-06,0.0,0.0,2.12372583509698e-06,1.0
11,0.0005362498802378082,3.2189328672489643e-06,6.015743759197466e-05,0.0,0.0,2.97322540671908e-05,1.1
12,0.0017914706894733468,2.8356641475380766e-05,0.0003273237726238451,0.0,0.0,0.0002667954393247689,1.2000000000000002
13,0.00501081864123779,0.00017281401616042844,0.001433214903027502,0.0,1.300240307202233e-06,0.0016215626775210412,1.3
14,0.012065884616964492,0.0008296356603980722,0.005201682463989996,0.0,1.0848078035881876e-05,0.007652833851902891,1.4000000000000001
15,0.02584762949663667,0.003269851156762173,0.01595007334321881,4.3357729714645336e-07,7.281682618662251e-05,0.02960301471355952,1.5
16,0.05070050798385398,0.010800264203207384,0.042016430913251114,6.411066476099798e-06,0.0003703354657864733,0.0950387680044173,1.6
17,0.09246682238825472,0.03028338254776682,0.09641915453216074,5.020465123412387e-05,0.0015372864746796414,0.25451027799591575,1.7000000000000002
18,0.15698494729489837,0.07289816966808535,0.1950053610992692,0.00029075781259064716,0.005372375162104076,0.5714539032637623,1.8
19,0.24708038246254324,0.15242134944951638,0.35081625571702707,0.0013407214428623254,0.016033374123473627,1.0833777348524791,1.9000000000000001
20,0.36017918285080475,0.2801978001512896,0.565828809739705,0.005094071135228716,0.04119162490834467,1.7512637095874797,2.0
21,0.4884361504780162,0.45860110942531046,0.8248539472924358,0.016296386683955166,0.09154604555808585,2.4443509577768134,2.1
22,0.6208936473230061,0.6767475725881655,1.0970147266543777,0.04429085431848205,0.1769969578512558,2.9900959812000734,2.2
23,0.7460273326679627,0.9113089321506659,1.3452115618797151,0.10296970986891486,0.30023926064217427,3.258074291630575,2.3000000000000003
24,0.854072178513401,1.132468594221782,1.538120841768662,0.20592998005711632,0.4522196896551406,3.215382414510375,2.4000000000000004
25,0.9392908708079459,1.3127428252137536,1.6585594807466086,0.3565927797982289,0.6141456328137708,2.9237043900631825,2.5
26,1.0013500960963793,1.4348267810298547,1.7053599493439184,0.5395461066993804,0.7654174378659815,2.4957233257645717,2.6
27,1.0442885292583237,1.4947694667550762,1.6894221060177126,0.7228325295716508,0.8910473561716374,2.0443315952031935,2.7
28,1.0732142020919593,1.5001665484497722,1.6274277198538174,0.8732518162302203,0.9829266645781265,1.6484415206585905,2.8000000000000003
29,1.0912153556952462,1.4659310692492904,1.5370406426033845,0.973314083784539,1.0369270748912596,1.3436075522137307,2.9000000000000004
30,1.0989601438232814,1.4090624755149377,1.4346051679971938,1.025517920132511,1.0522945664250842,1.1319157526626866,3.0
31,1.09684579953451,1.3432257232703426,1.3337742812575064,1.0423982939670642,1.0344713007321893,0.9984182369879291,3.1
32,1.0870751724060843,1.2760008088861308,1.2437017914477992,1.0353332778790296,0.9957612790678125,0.9236572322998381,3.2
33,1.0733012014563936,1.2105543307982178,1.1677476575514387,1.013397633488686,0.9506619370281747,0.889573920524772,3.3000000000000003
34,1.0584879138613967,1.1491394808295416,1.1049323296914941,0.9878108867341651,0.9100580592176835,0.8816770539146824,3.4000000000000004
35,1.043708396724297,1.0946828543478453,1.053573343809759,0.9703697731598978,0.8794560554047341,0.8902566865747409,3.5
36,1.0289392536474598,1.0495437150107354,1.0133248265069354,0.9660667820756647,0.8607739415938072,0.9101227575121104,3.6
37,1.014328962576097,1.0136260206159537,0.9840551116735362,0.9710914049881899,0.8541098747621314,0.9380599695147686,3.7
38,1.0006933832653901,0.9845016065015506,0.9644837882186476,0.9795179875767351,0.8583488991859302,0.9700673641057885,3.8000000000000003
39,0.9893623585750057,0.9597597218402103,0.9528515507066138,0.9891411021239515,0.8717892504969729,1.000362217004995,3.9000000000000004
40,0.9816334079790705,0.938904486940762,0.9479765426947896,0.9995698321677777,0.8928634377835564,1.022473116066535,4.0
41,0.9780745568627583,0.9227305497942256,0.9488168299390114,1.0079540185369091,0.9197984938364838,1.0314565593772111,4.1000000000000005
42,0.9782925867190116,0.9114732330487122,0.9535564958451175,1.0104223402429586,0.9494964221043661,1.0259269028620974,4.2
43,0.981532613517388,0.9044251103791866,0.9598686724824015,1.0078002037387186,0.9776504968955775,1.0087539561022953,4.3
44,0.9873060484705641,0.9011153560400924,0.9661697492523845,1.006844178131072,1.0011066327151286,0.9859200448348706,4.4
45,0.9950457247035476,0.901843895636335,0.9724698259239015,1.0133812693598825,1.020435657947665,0.9637284592763524,4.5
46,1.0033164560901116,0.9068774225982178,0.9798736129417417,1.0251111057471838,1.039390345102136,0.9460649864040674,4.6000000000000005
47,1.0100371017585312,0.9157698158498007,0.9890240921221698,1.0337596209020943,1.0611001056271072,0.9339011590224369,4.7
48,1.0137860760281836,0.9274848979315623,0.9988607320139795,1.034448867181087,1.0849371810934425,0.9267008294647942,4.800000000000001
