,Li-Li,Li-Si,Li-C,Si-Si,Si-C,C-C,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,7.369083212488782e-05,0.30000000000000004
4,1.3230933474464963e-07,0.0,0.0,0.0,0.0,0.001261678899445416,0.4
5,8.627652398010686e-07,0.0,0.0,0.0,0.0,0.008793230158445662,0.5
6,4.575897134782469e-06,0.0,8.74861723617683e-07,0.0,0.0,0.044300155319157736,0.6000000000000001
7,2.054443316639983e-05,0.0,1.142057831598002e-05,0.0,1.524203536258364e-06,0.17768011164503533,0.7000000000000001
8,7.601332573525719e-05,0.0,8.43279319312754e-05,0.0,3.539206383401027e-05,0.5718018893360702,0.8
9,0.00024846106660663487,1.9777727546605065e-06,0.00045976681770804723,0.0,0.000282308984717158,1.4799001180436913,0.9
10,0.0007529647038279395,1.8365484230370365e-05,0.0020168731406836264,2.116949355914394e-06,0.0015513647974770843,3.0873023848646843,1.0
11,0.0021480810363158696,0.00011239733073849429,0.007322936699791141,2.5204104080300705e-05,0.006722755143476005,5.206022349288281,1.1
12,0.005682679380791954,0.0005398778077699518,0.02239902492303923,0.00018902311477512384,0.023561171640389462,7.122174021843676,1.2000000000000002
13,0.013631170734420118,0.0021090972216834428,0.058499728899611254,0.001051255610412892,0.06736777822227198,7.944746926752173,1.3
14,0.029337798105550653,0.006868034264614669,0.13205656727156034,0.004691717327406573,0.15839630442357844,7.277852371932833,1.4000000000000001
15,0.056742436840083885,0.019090817679134262,0.260556056085442,0.017357214559450947,0.30912082500988936,5.532979565119417,1.5
16,0.09943137119283488,0.046300756675299155,0.45393018661217893,0.05413854909592839,0.5065996732093692,3.5483181017817658,1.6
17,0.15961093873391705,0.09970786290945977,0.7048182096746785,0.14359275755618808,0.7073338876611754,1.9705064053025538,1.7000000000000002
18,0.23775567933435715,0.19280594340374102,0.9844381868748293,0.32581867415460314,0.8561419115421559,0.9888739741959319,1.8
19,0.3330842840091692,0.33667026351477264,1.2494632575372138,0.6357946560088098,0.9166584796896896,0.478833750036238,1.9000000000000001
20,0.4436622078578521,0.532695378562083,1.4580222802329854,1.0731195692722921,0.8884609037171225,0.24430424805489254,2.0
21,0.5651834960831699,0.7672802453362854,1.5852951472629595,1.5779375764261334,0.8003831974577603,0.14531781125272253,2.1
22,0.6899748549016982,1.013177311633866,1.62934308898989,2.0406770037438924,0.6902903523635051,0.11102308334998219,2.2
23,0.8085603573264396,1.2373849568774273,1.6058730429409853,2.3502575016292027,0.5872296347734843,0.11137184836304441,2.3000000000000003
24,0.9130096220756914,1.4112302834454267,1.5382171756496419,2.4481593937423307,0.5049917103485748,0.13243096351218928,2.4000000000000004
25,0.9988944561112265,1.518348936261847,1.449314183512183,2.347499426270987,0.4463436743026983,0.16559249601082748,2.5
26,1.0648309410901782,1.5577215033347525,1.3575986068304484,2.109937728904012,0.41028870733309325,0.20494047535182383,2.6
27,1.111421888301785,1.5407933222485344,1.2750716068811585,1.8086568707247839,0.39538112687466004,0.24755744606947622,2.7
28,1.1406960615821637,1.48519017816046,1.2066237204898258,1.5047481456518432,0.3991664073351097,0.2931938900830095,2.8000000000000003
29,1.155352142666963,1.409118015926764,1.1514413408084951,1.2401272549158249,0.4178987170252857,0.3431724031777844,2.9000000000000004
30,1.1576961188131745,1.32769364397768,1.1061879357337974,1.0374247136455506,0.44747670543673534,0.39971750307859283,3.0
31,1.1493608635800812,1.250127359479199,1.0675397290688622,0.9018166987731165,0.4836178588505102,0.4655274731297695,3.1
32,1.1322145932450645,1.1787618378212106,1.0327422116307559,0.8246061792356497,0.5217675117720689,0.5420471134243411,3.2
33,1.109370076583705,1.1121891922065317,0.9995613865753888,0.7883279060137802,0.5586916154603925,0.6268710501500465,3.3000000000000003
34,1.0849742551922839,1.0504765703703949,0.9670987405673326,0.7731887867166282,0.5944526582206102,0.7136585451344467,3.4000000000000004
35,1.0626229534054121,0.9971889259112983,0.9366269222068027,0.763595912518159,0.6321035810804855,0.795941677256576,3.5
36,1.0438703534632672,0.9566977966187125,0.9109935145002744,0.7523906945772286,0.6753175172350769,0.8708542569594918,3.6
37,1.0283586125663877,0.9304107275142327,0.8929072041128797,0.7413955911124199,0.7261414540106949,0.9387147330434117,3.7
38,1.0152063802622378,0.9156552042435451,0.8836730847317954,0.738016375360104,0.7838528588614391,1.0002796379522243,3.8000000000000003
39,1.0039051879057292,0.9079722168228271,0.8829566718128102,0.7491416343623554,0.8450228769240631,1.0556322625848706,3.9000000000000004
40,0.9941791682286178,0.9045665496579737,0.8891074345252054,0.7764653447397054,0.9047920204994875,1.1044715582018438,4.0
41,0.985966324974817,0.9056224513948388,0.899808747433972,0.8164326881276021,0.9586568490020035,1.1452908679613218,4.1000000000000005
42,0.9799152534323586,0.9125358878153415,0.9129316952491845,0.8630947680115592,1.0036598508620536,1.174395069874837,4.2
43,0.9772065400194024,0.9253639968180339,0.9269930584816667,0.9101250872106217,1.0388745934563746,1.1880716120066745,4.3
44,0.978328036024906,0.9419113921454747,0.9408336371647673,0.9513752505716658,1.0654182278052011,1.1869276045565935,4.4
45,0.9821916217419626,0.9586855645324293,0.9532331479653745,0.9819023534745931,1.0854601239832171,1.176708742876514,4.5
46,0.986619887795844,0.9727120471892534,0.9633692429131542,0.9999585963990867,1.1004571323966883,1.1637926670158913,4.6000000000000005
