,Li-Li,Li-Mg,Li-Si,Mg-Mg,Mg-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,6.137657726932977e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,6.319107717571564e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,3.981877255552804e-05,0.0,1.5663813990610204e-07,0.0,0.0,0.0,0.8
9,0.0001933418759983362,6.937606196533239e-07,1.8539217212566422e-06,0.0,0.0,0.0,0.9
10,0.0007616554892179801,6.132812604948657e-06,1.5690110024519555e-05,0.0,0.0,1.485161622813412e-06,1.0
11,0.0024806150337604504,3.957502732702217e-05,9.339183309552181e-05,0.0,2.2215714025463777e-07,1.634918451446133e-05,1.1
12,0.006818949305894843,0.0001950100958252482,0.00044630868926985644,1.202980914478864e-06,4.055105175927838e-06,0.0001223147234316922,1.2000000000000002
13,0.01618068070517736,0.0007870172371885699,0.0017788853442290806,1.1117838402890233e-05,3.635561015985816e-05,0.0006752780140597273,1.3
14,0.03392751089335621,0.0026649688868299994,0.0060184381742814696,6.946761232984847e-05,0.00022234330505810788,0.003004064072307045,1.4000000000000001
15,0.06422170612383671,0.007729355821310276,0.017501456825619516,0.00033999682352338015,0.0010755857601517488,0.011099363467370144,1.5
16,0.1115518637096091,0.019527821465409406,0.044302469571175396,0.0013523208294569026,0.0042634207996733045,0.034622438988800595,1.6
17,0.179757478476891,0.04360539934499887,0.09877594365627365,0.004504675957451571,0.014164006623560153,0.09190294090887528,1.7000000000000002
18,0.27089285781763645,0.08713487581317182,0.1958726795983676,0.012829924670709487,0.03993315108322382,0.20873347257010408,1.8
19,0.3844886749879365,0.1574646889580152,0.3478866184406761,0.03183337196028751,0.09658357313176938,0.4077446724514261,1.9000000000000001
20,0.5169932519742101,0.2596502111180369,0.556083552246968,0.06979740843927949,0.20242492694166725,0.6892461170418758,2.0
21,0.6609896574774261,0.3937663592462128,0.8038831631812758,0.13655228761540442,0.37131894349732686,1.0163410360376917,2.1
22,0.8052966756962355,0.5533973195916498,1.0584711460826741,0.24001389281163524,0.602282436375184,1.3216606846181476,2.2
23,0.9373208567776332,0.7264125376498346,1.282402766421941,0.3814962547068395,0.8733639004509737,1.5377082417234635,2.3000000000000003
24,1.0467200146130669,0.8976342517429124,1.4475889982677814,0.5530688836170125,1.1457786431999035,1.6291670381034353,2.4000000000000004
25,1.127814442514555,1.0519544694411942,1.5424685031885024,0.7397866825893261,1.3771636115997425,1.6023860322954386,2.5
26,1.1795802714347334,1.176794243867696,1.5706319048902857,0.9250272468866254,1.5359883271584436,1.4906075318605199,2.6
27,1.204182436076714,1.2639477062352709,1.5452570054652308,1.093690723493028,1.6094218136510419,1.3338358986781944,2.7
28,1.2054439202557445,1.3110019419247623,1.4834646444371653,1.2316912594937661,1.602917627019804,1.1673310466067257,2.8000000000000003
29,1.1881076694704755,1.3218205550150255,1.4019328392355743,1.326374968606737,1.534923863656763,1.0171217561478452,2.9000000000000004
30,1.1579045241830062,1.3050485912778182,1.3138385878248156,1.3709130042504736,1.430366413337658,0.8973591739119313,3.0
31,1.1214829637106143,1.2706919912845558,1.2275759027594408,1.368729964995528,1.3141198098591165,0.8103535525907827,3.1
32,1.0851279276860826,1.2268900844649944,1.147593807770005,1.3325625790744706,1.205234986814042,0.7510092475513204,3.2
33,1.052843384207205,1.1791190169514794,1.0762877670105928,1.2781859963304214,1.1139244423111332,0.7124144214105159,3.3000000000000003
34,1.025703663407936,1.1313106017180774,1.015290535214481,1.2180781838930308,1.0422728800041605,0.688756835648852,3.4000000000000004
35,1.0029835311902222,1.0865246842013152,0.9657528386198272,1.1596521125251553,0.9873223480557499,0.6760343031719933,3.5
36,0.9835576688111222,1.046408334076854,0.9283937431488095,1.1071717959516012,0.9447991987431265,0.6726974822652119,3.6
37,0.9666089332016593,1.0109810039693845,0.9035674281910252,1.0630614271457672,0.9123027783540016,0.6797399498517852,3.7
38,0.9520528155303237,0.9799571612520878,0.8907483102897925,1.0273580665538682,0.8901748146501274,0.6989023339159287,3.8000000000000003
39,0.9406537204177036,0.9543198224254908,0.8879661093531229,0.9976994725598015,0.8794005606282309,0.7300324044874605,3.9000000000000004
40,0.9333718000093761,0.9359745891260616,0.8924968483168101,0.9710862115419044,0.8789274233625156,0.7703398445147969,4.0
41,0.9305627733178936,0.9259070907234427,0.9022912843428028,0.945935284625677,0.8854650453914461,0.8160133975786386,4.1000000000000005
42,0.9320449218307054,0.9232562004696991,0.916245282705667,0.92289333449691,0.8956085887994238,0.8635901303748218,4.2
43,0.9375733167551485,0.9261393838582224,0.9333541865694468,0.9042505056718002,0.9077143599737273,0.9096300067176767,4.3
44,0.9466370693428761,0.9328397557765068,0.9523867853825567,0.8925863135540788,0.9218355000526761,0.9506181819894668,4.4
45,0.958042187504404,0.942374131907949,0.9722151129750192,0.8894016376128343,0.9383537265405845,0.9843774115175022,4.5
46,0.9702543686644842,0.9543180242095902,0.9917436893390069,0.8943900789270979,0.9569257532417377,1.0108244628542886,4.6000000000000005
47,0.9820076757191217,0.9681459491004316,1.0094892011637757,0.9056779580028728,0.976582090568439,1.0306123154520694,4.7
48,0.992300463557315,0.9827981930237583,1.0237728811348463,0.9207148019109611,0.996423542999375,1.0436938003966607,4.800000000000001
49,1.0003143398278616,0.9970793529501034,1.0335484309843987,0.9371645923773811,1.0159344260903689,1.0494156173939728,4.9
50,1.0058359282793583,1.0102338394451482,1.0388396895464944,0.953414395291214,1.034690159646833,1.047267540008235,5.0
51,1.0094541605819969,1.0217399251051884,1.0403620768393347,0.9683813766448546,1.051876475996654,1.0376214882506523,5.1000000000000005
52,1.011907646197186,1.0307116982779678,1.039082461664037,0.9808643559017163,1.0660475824191786,1.0223367227075235,5.2
53,1.0133745708493846,1.0360310826862,1.0362314550531542,0.9895266515633198,1.0754077823665447,1.0043648026314935,5.300000000000001
54,1.0135171133910648,1.037231016716567,1.033121494958053,0.9939108702172273,1.078669076067718,0.9864410809410455,5.4
55,1.0119378788945987,1.034973892224782,1.0302470736506777,0.9949853936725122,1.0758457971941768,0.9703989695504203,5.5
56,1.0084631777628867,1.0305177699941328,1.0266535246027244,0.9944758759653782,1.0681313491713333,0.9574367200402258,5.6000000000000005
57,1.003366229068939,1.0249800437788887,1.020796120258124,0.9941274875751278,1.0571266894427096,0.9479980509707839,5.7
58,0.9975256150480266,1.019286239928409,1.0123094295473172,0.9952569426742905,1.0444587277120918,0.9413870076209385,5.800000000000001
59,0.992124855269574,1.014338434401199,1.002784585374761,0.9977077801983439,1.0318137698957806,0.9366651735499365,5.9
