,Li-Li,Li-Ti,Li-Si,Ti-Ti,Ti-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,8.117463013870464e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,6.518117989856285e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,3.852675301677615e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,0.00017863895294770583,1.3396984856876058e-07,2.6793969713752116e-07,0.0,0.0,0.0,0.8
9,0.000674361015222001,1.3482821637087824e-06,2.221875313803686e-06,1.424067040841635e-06,0.0,0.0,0.9
10,0.002133255095375765,8.907918638514477e-06,1.5461445119842528e-05,1.7330890297668736e-05,0.0,0.0,1.0
11,0.0058023793134984476,4.6894506319333636e-05,8.489627102168054e-05,0.00012431827585724004,1.9000709824710643e-07,3.8001419649421294e-06,1.1
12,0.013901477649809927,0.00020123303608603264,0.0003859007514313138,0.0006513765809292786,6.8978883227926215e-06,4.02133649400847e-05,1.2000000000000002
13,0.02990770194458184,0.0007285754710318484,0.001507682485193187,0.002741870971203109,7.367832891257946e-05,0.0002653660221676416,1.3
14,0.05854396117823836,0.002282857245963283,0.005124639328223117,0.009509553257080413,0.0004834925813002551,0.0013315213197677058,1.4000000000000001
15,0.1051670395966296,0.00626829259248515,0.01527990801898374,0.02751770296174,0.0024155174389322042,0.005379729230460928,1.5
16,0.17452372264763075,0.015230533054799817,0.04000004579754896,0.06725826567656766,0.009767961919984072,0.017924751843656748,1.6
17,0.26923939587285645,0.03300738169617779,0.09201396248784421,0.14088574138215856,0.032629725739909486,0.04998368577458088,1.7000000000000002
18,0.38853760309625734,0.06439557126232322,0.18645498196373184,0.25754172910613526,0.09110670980363612,0.11784522239997795,1.8
19,0.5276789231621944,0.11432733019399971,0.33442146948703494,0.4197227945878545,0.21499430802942895,0.23715702079656395,1.9000000000000001
20,0.6784832633876446,0.18665092361941588,0.534706559749666,0.6234961497646618,0.4339812111465942,0.411247447110578,2.0
21,0.8309378710920792,0.2825144858593109,0.7693524854512284,0.8605308735141545,0.7592972852827152,0.6211610989069215,2.1
22,0.9752241421443555,0.39880641690179236,1.0073393842649905,1.1179766942873597,1.1675285154742336,0.8285452057924224,2.2
23,1.1031009985038671,0.5278706040760033,1.214907200404789,1.3768764965482148,1.599491905854242,0.9932240070368998,2.3000000000000003
24,1.208257790282993,0.6591389568974995,1.3664888296957944,1.6137572636347144,1.977510029241676,1.0917432207612159,2.4000000000000004
25,1.286431981668061,0.7817450651501991,1.4509113466558643,1.8066169832236865,2.232615950974026,1.1223636634964809,2.5
26,1.3358639727305266,0.8865842853209511,1.471367224214945,1.9402506530065666,2.3283503642490455,1.0980491567724335,2.6
27,1.3573135337107967,0.9673277870979494,1.4411362589199672,2.006798296987083,2.270101333468992,1.0379820226978504,2.7
28,1.353157273870341,1.0208699147979168,1.377956280534393,2.0046747212435183,2.0968082586671715,0.9614746285063964,2.8000000000000003
29,1.3268727003369287,1.0476055974208618,1.2987517845842322,1.9403583375019824,1.8617804790833967,0.8836567815984779,2.9000000000000004
30,1.2837611651797545,1.0512392406528093,1.2159074078785108,1.82993005430853,1.613890412972631,0.8147430825234712,3.0
31,1.2313265198958785,1.037731995210989,1.1364282250601383,1.6947247530209473,1.3866472456482961,0.7623075358503615,3.1
32,1.1776147334490776,1.0136575370438057,1.063875532095523,1.5533896174440904,1.1964507620768754,0.7317009356281295,3.2
33,1.128520667566822,0.9847425578553761,1.0006389014663195,1.417786212643228,1.0470785451434652,0.7234272776866825,3.3000000000000003
34,1.0864768396362603,0.9552101105960618,0.9484630411786188,1.2947613778123856,0.9355871763724488,0.7321848970612338,3.4000000000000004
35,1.0512673930517045,0.9278995955258483,0.9080863378049072,1.1888827795981771,0.8562431064714202,0.7502039190927987,3.5
36,1.0218455534325985,0.9046675706968929,0.8795389206558788,1.1023232450034057,0.802571884139218,0.7718383805779911,3.6
37,0.9979634050844327,0.8866523214749227,0.8626452493072251,1.0339052295057756,0.7690269627879804,0.7957603539765445,3.7
38,0.9805294989320482,0.8743870235544583,0.8567612169939183,0.9807886062832548,0.7523612639484125,0.8239194500628306,3.8000000000000003
39,0.9701752370077709,0.8679823545217538,0.8604018870738487,0.9416932970154382,0.7516042772434594,0.8586052021159104,3.9000000000000004
40,0.9657733942480932,0.8673125576418097,0.8714301351906876,0.9175641563268994,0.7663860228304804,0.8998870003802768,4.0
41,0.9651766802072509,0.8720111096981255,0.8874931921629674,0.909040155657714,0.7950876191878239,0.9452869081154748,4.1000000000000005
42,0.9671762110294124,0.8814758263380558,0.9064217786007503,0.91431830369435,0.8343202439038845,0.9912185275082811,4.2
43,0.9718443572002624,0.8951919920364961,0.9264917504329884,0.9298302944556456,0.8795992131434783,1.0342625212738523,4.3
44,0.9791221058961618,0.9128416227592554,0.9463514281818379,0.9521737282481703,0.9263678492341886,1.0713120731057115,4.4
45,0.9878692230550438,0.9336906091850222,0.9649861544327212,0.9787443217774686,0.9708722797719439,1.0993936429856437,4.5
46,0.9963645546181943,0.9560019338867539,0.9820600962285336,1.006927243169222,1.0104494715060284,1.1162186768513367,4.6000000000000005
47,1.003341289602248,0.9774821082263374,0.9978739069659265,1.0334818948809288,1.043105554416184,1.1213650001259134,4.7
48,1.0085047725625917,0.996350926305549,1.0123882866008727,1.0548161701532763,1.067202429583065,1.1167287416919556,4.800000000000001
49,1.0122462783861947,1.0119023826389941,1.0244866093698222,1.0677148814912798,1.0819058974264504,1.1053757241641933,4.9
50,1.0149372122363955,1.0243294762225776,1.0328439063151018,1.0703681000225058,1.0877265606825954,1.0898771337929258,5.0
51,1.0164646892429918,1.0342738418408528,1.0373803418633238,1.0633262699544024,1.0861439227684972,1.0718033948089627,5.1000000000000005
52,1.0163597542537084,1.0422906674342836,1.0393008648686564,1.0492565974912387,1.0784990704356432,1.0523125194988265,5.2
53,1.0142257679753786,1.048395617167388,1.0397858315808748,1.0312945521096466,1.0654799587655044,1.0324136203733558,5.300000000000001
54,1.009964340885927,1.0520919330472234,1.0390691837036505,1.0115665617473195,1.0479633814709097,1.0126439436281554,5.4
55,1.0037514547077981,1.052928680020485,1.0367364060595416,0.9912245265147162,1.0281207983316347,0.9931255552326634,5.5
56,0.9961127807663285,1.0511077288480402,1.0324775977940794,0.9712297447928078,1.009121948987425,0.9742664254757951,5.6000000000000005
57,0.988120244343952,1.047667499919638,1.0264897763922085,0.9523723777556836,0.9936243708550577,0.957338743298435,5.7
58,0.9811619086197442,1.0439718394773605,1.0195809197222554,0.9348125821814035,0.9827389607404347,0.9442842578866449,5.800000000000001
