,Li-Li,Li-Ga,Li-Si,Ga-Ga,Ga-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,7.997956259871457e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,7.30545517953978e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,4.2564344155301873e-05,3.061717630732043e-07,0.0,0.0,0.0,0.0,0.8
9,0.00019861891618616436,2.538912633789197e-06,6.780274337953312e-07,0.0,0.0,0.0,0.9
10,0.0007442789913898236,1.6820927108221636e-05,7.203299410226615e-06,0.0,2.4191349181092683e-07,4.838269836218537e-07,1.0
11,0.002311676495389942,8.790641740192502e-05,5.069017241385918e-05,8.684761368059864e-07,3.2058668793777385e-06,8.800043134971935e-06,1.1
12,0.006088226416039534,0.00037976771264008115,0.0002656750138258337,9.582174365771925e-06,2.7839175871531655e-05,7.732653296813184e-05,1.2000000000000002
13,0.013961130453663763,0.0014035341666135293,0.0011347345745790602,6.96000436505279e-05,0.00017170160763078145,0.0004691239631698853,1.3
14,0.028610689138941887,0.004530299580936435,0.00404605663225972,0.00037882520497347093,0.0008398111950864069,0.0022297306605254044,1.4000000000000001
15,0.053468567716253024,0.012875740932799588,0.012252618007261492,0.0016685223390613152,0.003390406819151722,0.00867386693316809,1.5
16,0.09234645308677673,0.0323643845992992,0.03201624518539515,0.006109600619943347,0.011538276644109629,0.02813687558422489,1.6
17,0.14854998721699997,0.07214267943967718,0.07313492203343797,0.018959447736172502,0.03341644442045675,0.07687524655024527,1.7000000000000002
18,0.22371489064341998,0.14316506741755355,0.1477124796399678,0.050317127131828815,0.08295869280972455,0.17842707871122096,1.8
19,0.3167288562135841,0.2543046679655356,0.26617637154799234,0.11495286208425576,0.17783843083673967,0.35488486255225205,1.9000000000000001
20,0.4230937152083494,0.40697708055694637,0.43109024971967613,0.22742367972791666,0.33193874575119725,0.6107019271083939,2.0
21,0.5352641557104726,0.5914411865463373,0.6320945260507336,0.392423201057412,0.5447267530754996,0.9191742563624531,2.1
22,0.6449107086509105,0.7882761498012629,0.8465121312495987,0.5963727474653162,0.794764774061566,1.2250883555837895,2.2
23,0.7466674047814742,0.9750758850492748,1.046457189608447,0.8088384692698904,1.043946969687613,1.466255234901389,2.3000000000000003
24,0.8395896981009404,1.1337522775282631,1.2079869567448358,0.9951495485164792,1.2514628035532607,1.6004838466708635,2.4000000000000004
25,0.923473127311616,1.2539078712188727,1.3173398591724832,1.1310141186257199,1.388892155377517,1.6204279442326894,2.5
26,0.994168126154395,1.3322772445798623,1.3724275351765978,1.2091041982828468,1.447776799009041,1.5498422991828344,2.6
27,1.0447422457004134,1.370913737252946,1.3800521852046808,1.2361699329453157,1.4377677636651416,1.4277953764767155,2.7
28,1.0713801080100593,1.3754610692172582,1.3512459633166716,1.22572672743851,1.3794517996054096,1.2916074902200243,2.8000000000000003
29,1.076403922251794,1.353175963462619,1.2981132129929063,1.1914296691594086,1.2963779195071958,1.1663157341779644,2.9000000000000004
30,1.0654492712249024,1.311117240096062,1.2329386403648626,1.1436696422669264,1.2087102146445319,1.0631818432969855,3.0
31,1.0436777573750415,1.2559742740330646,1.1670517989623246,1.0891854394354292,1.1296626129819576,0.9844605425293518,3.1
32,1.0153121587459413,1.1951356752087958,1.1081911965637925,1.0323805569383129,1.064945622681859,0.928790366973841,3.2
33,0.9848229968807589,1.1363831598211704,1.0588699623813982,0.9773060517657465,1.0144632706447967,0.8936151483933916,3.3000000000000003
34,0.9567052136668871,1.0855645030293735,1.0181405628115046,0.9290567712478394,0.9753404057015098,0.8753463615154246,3.4000000000000004
35,0.9341928582130474,1.0447083746874806,0.9849540374421941,0.8930235871065564,0.9450702083760182,0.8696682417762187,3.5
36,0.9188145926328798,1.0127182144971294,0.9595936429348634,0.872098340436459,0.9232144887347845,0.8728070308602238,3.6
37,0.9106840141919358,0.9878215825280412,0.9426457867943974,0.864815595402828,0.9106998281417633,0.8825510035054828,3.7
38,0.908860442890523,0.9691968611598719,0.9338708169376992,0.8668088971868343,0.9076091515499277,0.897730040064511,3.8000000000000003
39,0.9120473127639538,0.9566854092418586,0.9322632816891319,0.8739245843470245,0.9120534904454739,0.916690290159189,3.9000000000000004
40,0.919321548234013,0.9498862683809787,0.9365445372037737,0.8837513171226482,0.9214081594951007,0.9367149370385642,4.0
41,0.929924493104943,0.948221130370725,0.9453320422925573,0.8951541321377114,0.9341004649998077,0.9551497675395759,4.1000000000000005
42,0.9425473772179355,0.9516323478803125,0.9571172768635974,0.907917991455253,0.9496407335648301,0.9706782848785379,4.2
43,0.9554490937041921,0.9604672436162542,0.9703468394060095,0.9226705444569083,0.9673357740108313,0.9831677570547751,4.3
44,0.9671882766948742,0.9743444976633319,0.983559289574732,0.9394506554038273,0.9856853325589124,0.9927426535963862,4.4
45,0.9770988872360218,0.9913206584118689,0.9954330921953977,0.956043416824448,1.0030458304370982,0.9995969603329035,4.5
46,0.9853168549764981,1.0082944041725463,1.004887272475182,0.9692670093734579,1.0183903592389112,1.0043748640951238,4.6000000000000005
47,0.992621661758766,1.0222275982576636,1.0111943500368443,0.9782282034059477,1.0309867683040388,1.0080273100963726,4.7
48,0.9997741860925625,1.0311878833052217,1.0139293977787898,0.9851487545174392,1.0396423205189853,1.0111482223715151,4.800000000000001
49,1.0065229929292805,1.0346946664033354,1.0130931682715387,0.9928309905593582,1.0430085803858622,1.0135718039870294,4.9
50,1.0114669220368087,1.0336283332714389,1.0096031126514438,1.0022064534765587,1.040934396269745,1.0145245607839373,5.0
51,1.0131446283541894,1.0299119759793616,1.0053125609419369,1.011691656135386,1.035073648811021,1.0131920976366313,5.1000000000000005
52,1.0110958804354226,1.0256644631631748,1.0019674985543643,1.0177054179128764,1.0279397554877903,1.0093030586535148,5.2
53,1.0060370359619266,1.0220746374449452,1.000099029059753,1.016609765407916,1.0215503827929806,1.0033509247226071,5.300000000000001
54,0.9995189490737139,1.0190458869226537,0.9990777985699754,1.0078608122532873,1.0167839210619194,0.9964991381976214,5.4
55,0.9933149249340856,1.0159963274289965,0.9980102375249995,0.9955073078049843,1.0133724314222219,0.9902853192268486,5.5
56,0.988642858651944,1.012946609894775,0.9963777646889904,0.9855461234114359,1.0103309269084388,0.9859359169174231,5.6000000000000005
57,0.9858042058103987,1.01079753278924,0.9941273787492727,0.9811858700356259,1.0068095053328927,0.9836310519029505,5.7
58,0.9846181409913963,1.010385611924326,0.9916362961285689,0.9809076773721576,1.0028993281573613,0.9825979486478007,5.800000000000001
