,Zn-Zn,Zn-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,1.199626995344375e-07,3.598880986033125e-07,0.0,1.0
11,2.18193066163465e-06,5.2537837417186556e-06,2.9070185471669234e-06,1.1
12,2.1213327590048385e-05,4.4137675039348605e-05,4.6066512593307836e-05,1.2000000000000002
13,0.00014357081113898566,0.0002736527581802919,0.000365459505282558,1.3
14,0.0007495803410265271,0.0013348345148060136,0.0020267425150730786,1.4000000000000001
15,0.003188833719642132,0.00536864373594323,0.008889460491746113,1.5
16,0.011346422432567128,0.018182551297614088,0.03184724638674727,1.6
17,0.03413599415111498,0.05230472609648162,0.09415426233401901,1.7000000000000002
18,0.0873156034222757,0.12839085373723752,0.23137298507451529,1.8
19,0.19084640193437416,0.27007871618793183,0.47638923093008884,1.9000000000000001
20,0.3586297136709925,0.4896113948540186,0.8299173035005704,2.0
21,0.5842979545692942,0.7710914529854846,1.2382046131200801,2.1
22,0.835107343659839,1.0668424722647063,1.6051421429156225,2.2
23,1.0637268449520787,1.3157898909904073,1.8375286578555698,2.3000000000000003
24,1.2317306247152877,1.472736669001021,1.8896622637029006,2.4000000000000004
25,1.3258869473602137,1.5263734616574463,1.7774816976408392,2.5
26,1.3558593543648427,1.4956138017636023,1.561750409506756,2.6
27,1.3406194020217075,1.41307724960034,1.3170276158077272,2.7
28,1.297834152748279,1.309988842711901,1.1025918137602173,2.8000000000000003
29,1.2411751839211624,1.2087662394572858,0.9469095002673963,2.9000000000000004
30,1.1809997932624519,1.12179089344407,0.8496323512454361,3.0
31,1.1245197897692698,1.0532405853770292,0.7949757991141767,3.1
32,1.0757757503778242,1.0021076568839953,0.7654951438511322,3.2
33,1.036262733440415,0.9653465991385958,0.7491969312737601,3.3000000000000003
34,1.0058165822180882,0.9401766648155881,0.7404865928468003,3.4000000000000004
35,0.9832496542335708,0.9248255117683518,0.738782990994448,3.5
36,0.9667165197583807,0.918069649599701,0.7462783645441949,3.6
37,0.9542107798889073,0.918588596119865,0.7645811118308253,3.7
38,0.9444238034965597,0.9246832447632075,0.79171642039988,3.8000000000000003
39,0.9374549770682292,0.9343731922036589,0.8220982266788334,3.9000000000000004
40,0.9345243806649213,0.9458327356488315,0.849797079168175,4.0
41,0.9368123083772075,0.9578755970990127,0.8720104617341623,4.1000000000000005
42,0.9445224558298174,0.9699468980560306,0.8895945071280765,4.2
43,0.9566131291562261,0.9815578980317277,0.9051091981753334,4.3
44,0.9708546791428895,0.9919510774246925,0.9206789106868432,4.4
45,0.9843984699464694,1.0005611197583393,0.9371946096537325,4.5
46,0.995078654253936,1.007594549807961,0.9545686222834674,4.6000000000000005
47,1.0024144956361747,1.0137086385587664,0.9717241776607867,4.7
48,1.0071899884351374,1.0190272993151503,0.9861602346137155,4.800000000000001
49,1.010232515421844,1.0227158712664726,0.9948181112723653,4.9
50,1.0118750325185026,1.023653645574258,0.9964059973540109,5.0
51,1.0124162687581535,1.0215848260530078,0.9925315822794097,5.1000000000000005
52,1.0125375428710721,1.0176772888181689,0.986264059908841,5.2
53,1.0129395110430515,1.0137188423464718,0.980181785486353,5.300000000000001
54,1.0137648175668696,1.0105381820854054,0.9760546087100196,5.4
55,1.014617385544501,1.007470276902494,0.9753715214010896,5.5
56,1.0150038586436274,1.0036107488637886,0.9790276776209318,5.6000000000000005
57,1.0145732678863113,0.9992074911455942,0.9863984919200022,5.7
58,1.0130776916216948,0.9954857198084367,0.995300078065298,5.800000000000001
59,1.0103529519182368,0.993460492508487,1.0032343515375746,5.9
60,1.0064796346521703,0.9932603178356165,1.008787695357706,6.0
61,1.0020214979090973,0.9943941248759358,1.0120313998518722,6.1000000000000005
62,0.998022021897469,0.9963448540937389,1.013697008278834,6.2
63,0.9955386581157268,0.9987367752864252,1.014062891661221,6.300000000000001
64,0.9949342919113646,1.0009267146181224,1.0128167935317707,6.4
65,0.9955044330826884,1.001739805707643,1.009949012617935,6.5
66,0.9958253277318907,1.000119811946067,1.006273539577209,6.6000000000000005
67,0.994715918066324,0.9962971071659515,1.0027789671843261,6.7
68,0.9921882311091256,0.9920475219510814,0.9997483572696602,6.800000000000001
69,0.9895119242825674,0.9894777350473191,0.9965670554561862,6.9
70,0.9881988043617519,0.9895870135412842,0.9920797763249373,7.0
71,0.9888650931153269,0.9921008050672044,0.985349075244209,7.1000000000000005
72,0.9909872247982123,0.9963326599660195,0.9765224511720925,7.2
73,0.9934754142024351,1.001659378716925,0.9667619108131653,7.300000000000001
74,0.995323934443686,1.0072285642465117,0.9573027596591015,7.4
75,0.9959516160348744,1.011859859711985,0.9492761995501283,7.5
76,0.9952856981891207,1.0146200791003752,0.9443254337962756,7.6000000000000005
77,0.9936166223941696,1.0153966467675637,0.9441782980806932,7.7
78,0.9913424504256919,1.0148625212567368,0.9491566286245093,7.800000000000001
79,0.9889189124180188,1.0139553527956349,0.9576234267461228,7.9
80,0.9869592186494112,1.0132450605243446,0.9667846867169665,8.0
81,0.9860478863480694,1.0125924806791835,0.9736742456559982,8.1
82,0.9862922399203664,1.011401723030729,0.9761852748468647,8.200000000000001
83,0.9872448487055391,1.009306070148714,0.9742058191222702,8.3
