,Si-Si,Si-Pt,Pt-Pt,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,1.4372342543460882e-07,2.1558513815191325e-07,0.0,1.0
11,3.904028162382605e-06,4.372625392689271e-06,0.0,1.1
12,3.8036763747031865e-05,4.3598533481313356e-05,0.0,1.2000000000000002
13,0.0002459981265395163,0.0002946207662094424,0.0,1.3
14,0.0012258582545451018,0.001514648445382601,2.8863464777363583e-07,1.4000000000000001
15,0.004967365346592081,0.00633183227665422,1.2445398566093371e-05,1.5
16,0.016741743125428164,0.02204230782278258,0.00010148006385581629,1.6
17,0.04749294592581138,0.06450723114841,0.0005852408931861266,1.7000000000000002
18,0.11442721166944468,0.1597390487213695,0.0026263057192883383,1.8
19,0.23622415209256753,0.33691549911849145,0.009550618607177059,1.9000000000000001
20,0.42178873631685165,0.6099988748259304,0.02856105631244546,2.0
21,0.658396375966849,0.9570557896913278,0.07117512661082703,2.1
22,0.909811767617074,1.3159110149346966,0.1498585515761248,2.2
23,1.1293748947088704,1.6065722740540047,0.2706103718924314,2.3000000000000003
24,1.2802678288547282,1.7683965738554237,0.4260372167889074,2.4000000000000004
25,1.349129049756086,1.7862462811876945,0.5954633368704959,2.5
26,1.3461771240314138,1.6895221889521617,0.7536876931051529,2.6
27,1.2956193217775365,1.5298517395961266,0.8823189044261406,2.7
28,1.2239309788218327,1.35601158886366,0.9753230925835857,2.8000000000000003
29,1.1512937319900736,1.2001303719190473,1.0358104246695197,2.9000000000000004
30,1.0883344953345568,1.0766360059182134,1.0689171328893692,3.0
31,1.0379889522449552,0.9875959206151723,1.0784433350161218,3.1
32,0.9997807391823414,0.9285648438385204,1.0692213327076407,3.2
33,0.972731617888816,0.8929750505761451,1.049724988372959,3.3000000000000003
34,0.9556462338200016,0.87496766742937,1.0302433556488677,3.4000000000000004
35,0.9466515151947628,0.8703313848754589,1.018377176060494,3.5
36,0.9435264466887813,0.8758097416728431,1.0160239782840568,3.6
37,0.9443406526091739,0.88826104610306,1.0199292095277466,3.7
38,0.9476604147411608,0.9047990916458,1.0251556240340698,3.8000000000000003
39,0.9525081941162413,0.9234640622995822,1.0286473904832376,3.9000000000000004
40,0.9583787947096741,0.9433145825111602,1.0301248960273102,4.0
41,0.9651873261913305,0.9636128751913234,1.0307623805432689,4.1000000000000005
42,0.9729468423508942,0.9829750462832187,1.0318203439450335,4.2
43,0.9813663131410367,0.9994456327332302,1.03369070827842,4.3
44,0.9898492478532785,1.011404070962589,1.0349899240583362,4.4
45,0.997904232489773,1.0184039119012531,1.0327610112079497,4.5
46,1.0052303972590293,1.0212435124729287,1.0246127612880196,4.6000000000000005
47,1.0112722055980248,1.0213260545014111,1.0111352885732638,4.7
48,1.0151062994589481,1.0199439977882188,0.9960370139429865,4.800000000000001
49,1.0162280214337593,1.0179192596442437,0.9834142798046306,4.9
50,1.015261287702163,1.0154724952421101,0.9744484856305813,5.0
51,1.0134347229876604,1.0123591073930687,0.9667187908067215,5.1000000000000005
52,1.0114190140969002,1.0084460553769239,0.9570492014911957,5.2
53,1.0090592734500026,1.0042328140253631,0.9450858015784777,5.300000000000001
54,1.0061214454560947,1.0006382375574783,0.934124210560297,5.4
55,1.0027971844973593,0.9983786041437847,0.928916071226912,5.5
56,0.9994262211737208,0.9977534765754501,0.9327286506822112,5.6000000000000005
57,0.9961877760369203,0.9988222612664849,0.9454091178628097,5.7
58,0.9933016494511095,1.0013648338683383,0.9632529521869169,5.800000000000001
59,0.9912224189432861,1.0046743814460672,0.9810862402426216,5.9
60,0.99032731503317,1.007763415394831,0.9953727332343777,6.0
61,0.9905130203733697,1.009931347317525,1.0055887861929922,6.1000000000000005
62,0.9913347993846809,1.0110451306797181,1.012691852286232,6.2
63,0.9925334415099845,1.011292723114374,1.0168327295493234,6.300000000000001
64,0.9941986305982149,1.0108553789430978,1.0171033713462272,6.4
65,0.9963832207995038,1.0098353157817537,1.0132296755855763,6.5
66,0.9987667583704501,1.0082877777601327,1.0065818586993924,6.6000000000000005
67,1.0007354180301529,1.0062698708551139,0.998986948335798,6.7
68,1.001641178388112,1.0039547530651665,0.9911599941360778,6.800000000000001
69,1.0011052217991914,1.001624945209125,0.983009667684904,6.9
70,0.9993554504719,0.9994973948453807,0.9750767095862055,7.0
71,0.9972785749302753,0.9977150720024963,0.9688448269084247,7.1000000000000005
72,0.9959019227031974,0.9965220115983978,0.9657982078105009,7.2
73,0.9956531487688398,0.9962075406190528,0.9666717925443236,7.300000000000001
74,0.9961111328311125,0.9967687711419683,0.9711156955274843,7.4
75,0.9965239515229227,0.9977803118334246,0.9774024283451452,7.5
76,0.9965661373028106,0.9987076980795061,0.9828053157170674,7.6000000000000005
77,0.9965352012223815,0.9993288430874867,0.9850267305249096,7.7
78,0.9968996138492996,0.9998626535358294,0.9835050350283234,7.800000000000001
79,0.997813583335487,1.000722455665239,0.9795092029547645,7.9
80,0.9990249607079295,1.0021675340358236,0.9754815853339828,8.0
81,1.0000775596013836,1.0042030030935998,0.9742361902767658,8.1
82,1.000567933484492,1.0067047868196788,0.9777147080323617,8.200000000000001
83,1.0003473364330993,1.0094072315840854,0.9855286082492845,8.3
