,Si-Si,Si-Mo,Mo-Mo,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,1.9058158314013461e-07,4.7645395785033654e-08,0.0,1.0
11,4.578189699686879e-06,9.521180979007259e-07,2.5657243602799287e-07,1.1
12,4.218596110093277e-05,1.0082845237292917e-05,3.679886517066629e-06,1.2000000000000002
13,0.00026343709501233957,7.652997038951704e-05,2.9633748481695225e-05,1.3
14,0.001278843387797975,0.000440110979805724,0.00017903373434407827,1.4000000000000001
15,0.005065181949154335,0.0020391205248786494,0.0008558413066876718,1.5
16,0.01671089759456554,0.007891575013115023,0.0033945628236749514,1.6
17,0.046474067079057955,0.025843667355937853,0.011389053951287538,1.7000000000000002
18,0.11005954995513002,0.07207069284831534,0.032668703595275184,1.8
19,0.22417172982038774,0.17197980839642082,0.08068876929616446,1.9000000000000001
20,0.3968077161821679,0.3531532756641324,0.17275137217679498,2.0
21,0.6172518032777692,0.628500184550991,0.3230797971948348,2.1
22,0.8541094718718625,0.977925778063585,0.5327928642669385,2.2
23,1.0655865475588744,1.3443167706793153,0.7834634207944859,2.3000000000000003
24,1.2168650589147674,1.6527913584374703,1.040298568979425,2.4000000000000004
25,1.2935985290165897,1.8432546029485528,1.2641432068785152,2.5
26,1.3035975544725966,1.8941230026224254,1.4250664457905768,2.6
27,1.267699962623762,1.8233227737601962,1.5103711681456369,2.7
28,1.2079659539837087,1.671855591266867,1.524726273326168,2.8000000000000003
29,1.140920057936557,1.4845953485116457,1.4843845093023018,2.9000000000000004
30,1.0769893501430075,1.297526420180674,1.409300946819246,3.0
31,1.0222356975825082,1.1325936931700782,1.3168762852320421,3.1
32,0.9794172157901359,0.9985942646930972,1.219210766796398,3.2
33,0.94864271874674,0.8958998983585593,1.1234442960913995,3.3000000000000003
34,0.9285260998424552,0.8217759401605764,1.0336902461368633,3.4000000000000004
35,0.9174419209751835,0.7734099790478439,0.9531550206069189,3.5
36,0.9141458555450451,0.7482513611250611,0.8853630072021957,3.6
37,0.9176406572205945,0.7433124357559671,0.8339833577414375,3.7
38,0.926737974800946,0.7548729865317793,0.8018910665591316,3.8000000000000003
39,0.9399100987308326,0.7787949979626115,0.7904859405527419,3.9000000000000004
40,0.9556447801230891,0.8111883468542592,0.7993969741633132,4.0
41,0.9728810917897495,0.8490822981829658,0.8262228011343121,4.1000000000000005
42,0.9910236184741108,0.890548689393286,0.8666602980098235,4.2
43,1.0095203291615449,0.9339602020882418,0.915343027037457,4.3
44,1.0273070090190914,0.9770135788731245,0.9667109748162359,4.4
45,1.0427257658414149,1.0164720092280157,1.0154260488617397,4.5
46,1.0543792582849756,1.0488643792598027,1.0567561658923863,4.6000000000000005
47,1.0621301114565151,1.0716137598784643,1.0871121077615375,4.7
48,1.0667386446457827,1.0838670672751947,1.1044532674809402,4.800000000000001
49,1.0683415634936335,1.086549771771615,1.1086226462913478,4.9
50,1.0658016181289778,1.0817650933941023,1.1015282658335608,5.0
51,1.0578203690767127,1.072016359928828,1.0865670074704807,5.1000000000000005
52,1.044385251256449,1.0595519513973513,1.0672277852308085,5.2
53,1.0271029753351937,1.0459702936723931,1.0459806816912554,5.300000000000001
54,1.0085690271355117,1.032253464020587,1.0244020852189366,5.4
55,0.9913915170184291,1.0190480706866918,1.0039950538588636,5.5
56,0.9772287056047817,1.0067417823046774,0.9864293899685033,5.6000000000000005
57,0.9663930013923884,0.9954148517559731,0.972894426066805,5.7
58,0.95840909141145,0.9851417983972991,0.9635082474178102,5.800000000000001
59,0.9530517780348495,0.9765491372665395,0.9575531672575237,5.9
60,0.9508616153712911,0.9708817975003845,0.9541688352597184,6.0
61,0.952646609026337,0.9692348675255992,0.9527670852897785,6.1000000000000005
62,0.958368896197561,0.9716292786464816,0.9531763908269665,6.2
63,0.9665595127282955,0.97693821787046,0.9557301082476019,6.300000000000001
64,0.9750828923524414,0.9837563370519198,0.9609421697482812,6.4
65,0.9825719517661733,0.9912043704983777,0.9686965806043276,6.5
66,0.9890240502622522,0.9988953795511606,0.9777715867237511,6.6000000000000005
67,0.9950612117741564,1.006497194360363,0.9863886944578023,6.7
68,1.0008114263340977,1.0136077399575079,0.9932459681425932,6.800000000000001
69,1.0055438835044408,1.0198821540821081,0.9979371170097253,6.9
70,1.0082407560067648,1.0250346466944396,1.000618283452594,7.0
71,1.0084075187795483,1.0287633114590478,1.0017108768652567,7.1000000000000005
72,1.006411430913639,1.0308059255954773,1.0019061070564694,7.2
73,1.003184126229156,1.0310689486221176,1.0019883810858798,7.300000000000001
74,0.9995650587042606,1.0296555272687382,1.0023890268098454,7.4
75,0.995786555733219,1.0267540322712692,1.002932790949978,7.5
76,0.991605829471758,1.0225910160080716,1.0029447954588249,7.6000000000000005
77,0.9870692752389656,1.017618552847967,1.0015789280546468,7.7
78,0.982996107013715,1.012660104213801,0.9982800595191571,7.800000000000001
79,0.9804514080367893,1.0086240250695346,0.9931724364817172,7.9
80,0.9798357771825216,1.0059866961601074,0.9871353148844538,8.0
81,0.9806940551542002,1.004563106818577,0.9815782513110712,8.1
82,0.982302107733406,1.003676636865344,0.9779438686375915,8.200000000000001
83,0.984227057226938,1.0025459108819175,0.9769918547174683,8.3
84,0.9863839123638436,1.0007618162164176,0.9783791628207447,8.4
85,0.9887269037511651,0.99858886225298,0.9809756230575907,8.5
86,0.99096964225386,0.9967272766088006,0.983538872700045,8.6
87,0.9926128901433663,0.9957112605235199,0.9851675634432345,8.700000000000001
88,0.9932350336156602,0.9956048786070559,0.9855622569076525,8.8
89,0.9927527500412038,0.9962020845533429,0.9852137251606848,8.9
90,0.9914630594456175,0.997295766567302,0.9851966734047579,9.0
91,0.989982835855249,0.9987827022104612,0.9864070526559043,9.1
92,0.9891520400739944,1.0008081778167612,0.9888690205175702,9.200000000000001
93,0.9897163454691329,1.0038473996328663,0.9918449272018403,9.3
94,0.9918153520165471,1.0083816445748115,0.9945409240487384,9.4
95,0.994766227909933,1.014367094318484,0.9966059795208919,9.5
96,0.9974657197209182,1.0210766735545418,0.9981353719122416,9.600000000000001
97,0.999049813761828,1.0274471459707977,0.9994214841088166,9.700000000000001
98,0.9992988317796329,1.0325714231427847,1.000661529555487,9.8
99,0.9986641678785784,1.0359907296285265,1.0017682786960296,9.9
100,0.997999171858656,1.037654441011189,1.0024446976185655,10.0
