,Li-Li,Li-Si,Li-Br,Si-Si,Si-Br,Br-Br,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,1.2336786623404872e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,1.123579480670571e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,6.444294977223885e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,2.9597265227795047e-05,0.0,4.886524076614272e-07,0.0,0.0,0.0,0.8
9,0.00011063407976479148,1.5149915476285076e-06,4.484978146755558e-06,0.0,0.0,0.0,0.9
10,0.00034661425812745623,1.2774703822241462e-05,2.8510604783440653e-05,0.0,0.0,0.0,1.0
11,0.0009441792986552628,8.29130265689733e-05,0.00014604092294169635,2.2870557007887733e-05,0.0,0.0,1.1
12,0.002348139820147592,0.00041847810517614016,0.0006176688144623281,0.0002861138083452857,0.0,0.0,1.2000000000000002
13,0.005549427476023007,0.0017302736408218073,0.0022475508395594945,0.0020284224025936934,1.701973011718713e-06,0.0,1.3
14,0.012602037623512322,0.006053166293701725,0.007177797446986443,0.010452863639827921,1.1098258157101208e-05,0.0,1.4000000000000001
15,0.027098429296041164,0.018256264353621834,0.020468458745822142,0.043145155283750625,6.0618146704002084e-05,0.0,1.5
16,0.054101315055025266,0.04800287645405472,0.05239826666856003,0.14565138931632782,0.0002584890477598903,0.0,1.6
17,0.09927793261921211,0.11064299410733057,0.11993082683787365,0.4056312206041513,0.000885770300626729,0.0,1.7000000000000002
18,0.1674443410922221,0.2244861966661462,0.2437171248316438,0.9391169744862409,0.0025138520762437748,0.0,1.8
19,0.26085985999595274,0.40315229209889014,0.4375403783464802,1.8226597932776425,0.006084974471257919,0.0,1.9000000000000001
20,0.3776172575663178,0.6460694696090684,0.6939148749907027,2.9954683006492124,0.012852893327563411,1.1488317829101307e-05,2.0
21,0.5109705221431746,0.9334693209616116,0.9783259911220095,4.218287970402458,0.02393993180319824,0.00012132185742931963,2.1
22,0.6506504137533851,1.229670828378799,1.2414466095742225,5.156758402249129,0.03924159216667971,0.0007230934255764881,2.2
23,0.7857997581274162,1.4927646806763382,1.4410765511869743,5.546060579715548,0.05636735236301752,0.003330663077544211,2.3000000000000003
24,0.9075776275085514,1.6864669674376933,1.5560604261732742,5.318815724109905,0.0714605363094949,0.012292384601744276,2.4000000000000004
25,1.010068053859764,1.7909452524845655,1.586652688220971,4.6175430087701335,0.08222125024947993,0.03653423680411572,2.5
26,1.0901142152860923,1.8084866409727676,1.5490324874018828,3.700922063694237,0.09016602258083159,0.08834869422757839,2.6
27,1.1471160150757251,1.759542556855464,1.468371501477142,2.8130604631547587,0.09952549372837141,0.17625367266289543,2.7
28,1.1826234360551917,1.6707507535185393,1.3698703450598941,2.0950234528631126,0.1143292791689612,0.2966608169662875,2.8000000000000003
29,1.1993155031158298,1.5637406969304675,1.270940114610915,1.5759803575341675,0.13648387273544885,0.43593643828252554,2.9000000000000004
30,1.1999740025801011,1.451999153508228,1.1792671832564947,1.2198456183952793,0.16539300480946711,0.5847108397797713,3.0
31,1.187347875246775,1.344309352319617,1.0965926899002059,0.9763347012010744,0.19893632341082323,0.7469341543381219,3.1
32,1.1648194102998395,1.247819157278811,1.0237559336946978,0.8060123691352752,0.23601164989220816,0.9286536857642002,3.2
33,1.1367311940367189,1.1672852532924942,0.9628961664980852,0.6838864244845931,0.2786806226097712,1.1175072982736534,3.3000000000000003
34,1.1074933877785293,1.1033206411081182,0.9164769139935187,0.5972640311950388,0.33102869164950416,1.2775770952646162,3.4000000000000004
35,1.080203623416746,1.0531338751926718,0.8856483867117321,0.5424641487345357,0.395281600513198,1.3694063166815582,3.5
36,1.056130919575313,1.0134270470659785,0.8692904735467324,0.5180708172340901,0.4688911431801347,1.3800669175356632,3.6
37,1.035195012482446,0.982775240447967,0.8638960346265191,0.5184607667084916,0.5448085142438586,1.3368810699179219,3.7
38,1.0167681549900083,0.9619091321064498,0.8649808657889572,0.5337791771558811,0.614344914736606,1.290992864971122,3.8000000000000003
39,1.0004652000117908,0.9522047636958006,0.8697121243658976,0.553935765271563,0.6710206537044276,1.2837769189173165,3.9000000000000004
40,0.9866098337368702,0.9536401528769844,0.8781295617317886,0.571529782377161,0.7135182437023737,1.323461308197508,4.0
41,0.9759954639737386,0.963676194171062,0.8913222642636964,0.5831513062206845,0.7459690837466819,1.3889941131684278,4.1000000000000005
42,0.9692661418907472,0.9779948818933208,0.9087599464998777,0.5901640098951285,0.7755899319980207,1.452397686463128,4.2
43,0.9665064597699333,0.9926577659130212,0.9277702163209685,0.5981022020656849,0.8087721632558946,1.496087173707876,4.3
44,0.9672036932930065,1.0058750182003902,0.9450369505633937,0.6135337636584722,0.8468950737491593,1.5146888185819725,4.4
45,0.9703823756814957,1.0179200030050075,0.9580097127713695,0.63952087893953,0.8848436483437822,1.5102333355875657,4.5
46,0.9748970649682915,1.0295363994715958,0.9654938029341295,0.672710364836934,0.9156251200602505,1.4915465672843755,4.6000000000000005
47,0.9798789697756701,1.0404047237185823,0.9677818995874007,0.7051715775440462,0.9375323437379104,1.475351533109351,4.7
48,0.9850656979918926,1.048928475326532,0.9664481915982858,0.7306111629214412,0.9549656141890569,1.4775321859750676,4.800000000000001
