,V-V,V-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,1.429166152966475e-06,0.0,0.0,0.8
9,2.408903262757997e-05,0.0,0.0,0.9
10,0.0001997224956008242,0.0,3.764059003697712e-07,1.0
11,0.0011281516769175023,2.7026152181674433e-06,6.170570717116509e-06,1.1
12,0.005046792399911751,3.16481488372991e-05,5.0416835939733606e-05,1.2000000000000002
13,0.01844083920221021,0.00023100635817116356,0.0003063486871020252,1.3
14,0.0557275893045756,0.0012432040872017902,0.001449255876637255,1.4000000000000001
15,0.14066335362074692,0.005377406489249974,0.005636558306956602,1.5
16,0.3001017422064845,0.019253082724634243,0.018375804916158953,1.6
17,0.5494259117362271,0.05789478135528389,0.05056827729359585,1.7000000000000002
18,0.8795022383826697,0.1476820330386708,0.11806698529855077,1.8
19,1.2575082217077236,0.3223423873623455,0.23524174294632014,1.9000000000000001
20,1.6408835638615265,0.6072868776808965,0.4034016461165862,2.0
21,1.990429275716667,0.9967619006411867,0.6028769750811334,2.1
22,2.273781392589965,1.4399385518810606,0.7983056196158648,2.2
23,2.465343715975429,1.8520422412350332,0.9546466352388514,2.3000000000000003
24,2.551595975601552,2.1489444730773384,1.050812842885058,2.4000000000000004
25,2.5387642249558127,2.2829526659245136,1.082992757192241,2.5
26,2.4513755628739045,2.256292073398316,1.0610539523462026,2.6
27,2.318672254432818,2.108776482699951,1.0031241143657883,2.7
28,2.160795031892602,1.8944269484462632,0.929424794011386,2.8000000000000003
29,1.987334723812063,1.6618615005578399,0.8566274632567529,2.9000000000000004
30,1.805652168044642,1.4440442254129187,0.7956983126055343,3.0
31,1.6262534600097915,1.257164510277325,0.7531337221713962,3.1
32,1.4605765965672473,1.1057762290571282,0.7319024080653989,3.2
33,1.3175980212300036,0.9892635328463258,0.7307367491652342,3.3000000000000003
34,1.2035376023996753,0.9055249492647165,0.7444655835729664,3.4000000000000004
35,1.121706579433532,0.8517184879059523,0.7670131877393171,3.5
36,1.0706981079055007,0.8242253465466135,0.7948411010540358,3.6
37,1.0440687509314743,0.8188553837744016,0.8276651470699444,3.7
38,1.0337079426362832,0.8310556502388899,0.8662406539441382,3.8000000000000003
39,1.0341851555956743,0.8561012955357049,0.9098324289886515,3.9000000000000004
40,1.0443611007578677,0.8895079702027751,0.9557287481659293,4.0
41,1.0654232540677575,0.9273347710797968,1.0004692307161258,4.1000000000000005
42,1.096812470426428,0.9659814454790878,1.0410204115017991,4.2
43,1.1331342690936674,1.0020528127985247,1.0754043001649498,4.3
44,1.1652688201695216,1.0331272402447076,1.1031031656481913,4.4
45,1.1850709776078268,1.0585957880338186,1.1245473865807745,4.5
46,1.1888041020423412,1.078864409481268,1.1394444072854917,4.6000000000000005
47,1.176850082683561,1.0934248544113212,1.1459746031163092,4.7
48,1.1524248861789002,1.1005306416067588,1.1424859701874823,4.800000000000001
49,1.12089588926835,1.0991938414431222,1.12975321384163,4.9
50,1.0877984470200472,1.0906691359650746,1.110967422277091,5.0
51,1.0560094270403224,1.0773763182291014,1.08973738674276,5.1000000000000005
52,1.0255667009827407,1.061035571264806,1.0683709093230946,5.2
53,0.9960457406503607,1.0424767772048684,1.047570542112914,5.300000000000001
54,0.9679399614031571,1.022788062106374,1.027247750219407,5.4
55,0.9421118853511938,1.0039812174483376,1.0074080313289584,5.5
56,0.919170889966774,0.9882847840386836,0.9883150227578859,5.6000000000000005
57,0.8994590573520029,0.976826901320906,0.9703255673623832,5.7
58,0.8830906094555833,0.9693382769138745,0.9542061798659731,5.800000000000001
59,0.870086965927737,0.9652283268574983,0.9413516453022115,5.9
60,0.8605476676576721,0.9644427821056761,0.9330019722182087,6.0
61,0.8545228163171916,0.9670155536655075,0.9294381101661918,6.1000000000000005
62,0.8517842624486689,0.9722460576191883,0.9303428809587732,6.2
63,0.8517644113496807,0.9786697752227026,0.9352778547573865,6.300000000000001
64,0.8535041811123597,0.9846832193232453,0.943074955826637,6.4
65,0.8558082024066805,0.9891243186888387,0.9513695795622717,6.5
66,0.8579438213196138,0.9915459281720616,0.9577806605503556,6.6000000000000005
67,0.8602123372554117,0.9921555717404287,0.9616650250618418,6.7
68,0.8634311449826537,0.9915134172386956,0.9643088906309947,6.800000000000001
69,0.8676596284150608,0.990331971286529,0.9676056907672625,6.9
70,0.8716402268044298,0.9894604090753135,0.9728733208282931,7.0
71,0.8736553579014156,0.9896201722266718,0.9802438153087396,7.1000000000000005
72,0.8729218764030818,0.9907890047014936,0.9882173760909683,7.2
73,0.87003449478737,0.9919697667283872,0.9940401291267338,7.300000000000001
74,0.8660565759181451,0.9918434144897412,0.9956002730855134,7.4
75,0.8615079998505585,0.9895986927361882,0.9933230861376552,7.5
76,0.8564731710883967,0.9850494357606973,0.9897783795373821,7.6000000000000005
77,0.8514317887254108,0.9783151393560134,0.9873488705775472,7.7
78,0.847479754839697,0.9698920816932934,0.9866124353957154,7.800000000000001
79,0.8455235813321609,0.9610694321452765,0.9867109005370377,7.9
80,0.8453845846831253,0.9538773821859321,0.9865558041958811,8.0
81,0.8457691671059681,0.9501084632183291,0.9856942967710524,8.1
82,0.8451501153632259,0.9500367591702533,0.9846079828139191,8.200000000000001
83,0.842885731168805,0.9521761479901081,0.9842403132791159,8.3
