,Li-Li,Li-Co,Co-Co,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,9.129527107730412e-07,2.282381776932603e-07,0.0,0.5
6,8.577162215506257e-06,2.4722858942690887e-06,0.0,0.6000000000000001
7,5.340050010091103e-05,1.8260411050701934e-05,0.0,0.7000000000000001
8,0.00025611060177458414,0.00010343349835257306,0.0,0.8
9,0.0009967014071072474,0.00047631102866967063,8.897866673624216e-07,0.9
10,0.0032158537307850586,0.0018458550155694606,1.0643511110752972e-05,1.0
11,0.008777405903216283,0.006127780214754071,8.226261080616122e-05,1.1
12,0.02068644464592463,0.017622673192553513,0.0004720475737812032,1.2000000000000002
13,0.04302857267876093,0.044155727269799244,0.002175206549993646,1.3
14,0.08070339678340686,0.0967639181686771,0.008329094086695759,1.4000000000000001
15,0.13898362019605084,0.18621848395712826,0.026997984777585526,1.5
16,0.22251403168238343,0.3165455149702281,0.07475162390655637,1.6
17,0.3332432517455074,0.4794798459289384,0.17781804405294582,1.7000000000000002
18,0.46782737289809273,0.6553490345232525,0.3652138727704755,1.8
19,0.6165600910896035,0.8214090936285101,0.6512206039918645,1.9000000000000001
20,0.7654617502715573,0.9614762706152205,1.0152564712398968,2.0
21,0.9004975404238447,1.0694997788284524,1.396860778467842,2.1
22,1.011264767670757,1.1461822178433807,1.7170757999977477,2.2
23,1.0927876201861508,1.1937945714904827,1.9150473957468053,2.3000000000000003
24,1.1454575903211826,1.213930950946458,1.9730386734175416,2.4000000000000004
25,1.1732743128998833,1.2085675724811982,1.9134293220752154,2.5
26,1.1813074702235715,1.1818337929421499,1.7764151006118563,2.6
27,1.1741503093763015,1.1402568175480914,1.5994939929421244,2.7
28,1.1559859676117925,1.0914350958716705,1.4101224381276978,2.8000000000000003
29,1.1311186355361469,1.0424942548630245,1.2274812689879575,2.9000000000000004
30,1.1035852850270484,0.9991652796570843,1.0651687357596944,3.0
31,1.0760567814965354,0.965207609400367,0.9321353436332893,3.1
32,1.0496554394808513,0.9420182676577236,0.833179845494704,3.2
33,1.025232679257069,0.9289489691336708,0.7694899156970278,3.3000000000000003
34,1.0043829407689853,0.9244643364861711,0.7386006254201716,3.4000000000000004
35,0.9888131713792683,0.9272296876572943,0.7345428553161992,3.5
36,0.9789929488169087,0.9362154150648685,0.7496507772593987,3.6
37,0.9736530607626088,0.950137805384259,0.7773718278252997,3.7
38,0.9706324546143063,0.9672393308226401,0.813534129741024,3.8000000000000003
39,0.9684608351260695,0.9857414323139709,0.8551204239520815,3.9000000000000004
40,0.9672112580262996,1.0043519257217521,0.8985766814658758,4.0
41,0.9676491229725303,1.022210768822914,0.9398548516887927,4.1000000000000005
42,0.969756558443365,1.0384088346630571,0.9756425900008862,4.2
43,0.9724962096334357,1.0516915034238599,1.0038253424036576,4.3
44,0.9748100296426184,1.0607459619521802,1.0229746896018848,4.4
45,0.9763450616063631,1.0647820633243839,1.032182158322891,4.5
46,0.9772412719638717,1.0638231803217018,1.0316257815929175,4.6000000000000005
47,0.9776567214612073,1.0586279423303364,1.0230033485131418,4.7
48,0.977699593899226,1.0506014489021274,1.0091401862599145,4.800000000000001
49,0.9776091997853626,1.0415868657374774,0.9928698536660049,4.9
50,0.9777051000268825,1.0331766886938893,0.9760392256409526,5.0
51,0.9781971014241012,1.0260272632844814,0.959598989586069,5.1000000000000005
52,0.9791872791886711,1.0200477795927139,0.9444993261600289,5.2
53,0.9806906726014015,1.015233260119442,0.9320789443968027,5.300000000000001
54,0.9824760201789974,1.011993876589264,0.9235116721913632,5.4
55,0.9840758150235182,1.010588028005834,0.9192028225069923,5.5
56,0.9852054037458303,1.0105566970540065,0.9188157113552723,5.6000000000000005
57,0.9861230408323706,1.01098814700826,0.9216292201569101,5.7
58,0.9874217773158498,1.011219890812549,0.9267427263643162,5.800000000000001
59,0.9894629072889009,1.0111371511113225,0.9332366800270221,5.9
60,0.9919889651660089,1.0109467114108042,0.9405513420326923,6.0
61,0.9941711729878376,1.0109064095818274,0.9487400106693148,6.1000000000000005
62,0.9950638642327981,1.0112425843960866,0.9580881592721887,6.2
63,0.9942558201747386,1.0121107311555437,0.9683967098784639,6.300000000000001
64,0.9922391371408751,1.0134556427099126,0.978750693901465,6.4
65,0.9900815592155999,1.014892803481711,0.987950547448136,6.5
66,0.9887122335668358,1.0158765304177293,0.9949339761929222,6.6000000000000005
67,0.9885227809253112,1.0161315337749706,0.9988286765404871,6.7
68,0.9893650072906786,1.0159064838822,0.9991069509736948,6.800000000000001
69,0.9905872150568222,1.0157203755396518,0.9961357090742714,6.9
70,0.9911903355339343,1.015854897032637,0.9914365313370471,7.0
71,0.9903849598165733,1.0161498883017845,0.9869226249208082,7.1000000000000005
72,0.9881882298839294,1.0163029630730038,0.9836201111544683,7.2
73,0.9853367272355169,1.0162366517562191,0.9811490078583077,7.300000000000001
74,0.9826033219445751,1.0159863892272654,0.9784068889788233,7.4
75,0.9804090051714972,1.0153135828264757,0.9746914510086201,7.5
76,0.9789880508264841,1.0137307154964352,0.9703200057675074,7.6000000000000005
77,0.9785397535128593,1.011024853825494,0.9664422126045399,7.7
78,0.979137944009806,1.0076410861771787,0.9642990119304171,7.800000000000001
79,0.9807193896644189,1.004499452197425,0.9644366844452432,7.9
80,0.983241373661837,1.0024259460920961,0.9664157674405517,8.0
81,0.9866588412864878,1.0016670777844388,0.9692061717828384,8.1
