,Li-Li,Li-Si,Li-Bi,Si-Si,Si-Bi,Bi-Bi,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,2.442564081467017e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,2.6566242119895805e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,1.8953165609045408e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,0.00010028482247124056,8.282743252033486e-07,0.0,0.0,0.0,0.0,0.9
10,0.00042924696494265783,8.356228044118443e-06,1.4776004937269612e-07,5.910401974907845e-07,0.0,0.0,1.0
11,0.0015267697660083686,5.730826313478054e-05,1.3613635579135024e-06,1.3932856956840233e-05,0.0,0.0,1.1
12,0.004587720584878527,0.00029922412388189406,1.2035483478560366e-05,0.0001298175926847922,0.0,0.0,1.2000000000000002
13,0.011791545913945019,0.0012695100010312653,7.380041940679242e-05,0.0008065860429137217,8.684672289660508e-07,0.0,1.3
14,0.02624597871891152,0.0045103623440633425,0.0003654725157846134,0.003862556227800551,9.817495298517074e-06,0.0,1.4000000000000001
15,0.05132964124177646,0.013655737555549783,0.001512731699511491,0.015073143373434744,7.195854749444045e-05,3.6199815498490393e-07,1.5
16,0.08971740340926222,0.0357126294424127,0.005315196221145719,0.048675140059972144,0.0003949295640047617,3.357904823815484e-06,1.6
17,0.14289355762161213,0.08154196363461161,0.016005967634230994,0.13139510198535115,0.0017492708048478288,2.2474607356867922e-05,1.7000000000000002
18,0.21147201606390104,0.16415324935177797,0.04164918309783262,0.29899280703054076,0.006440413380093498,0.00011746233062826868,1.8
19,0.29554328973940336,0.2941741600821713,0.09446592576225382,0.5789220427471019,0.020084219043944924,0.0005105623701870805,1.9000000000000001
20,0.3939226525024364,0.4739353942782714,0.18845773384771727,0.9640354332158488,0.05353889211257573,0.0018750915824365627,2.0
21,0.5026500238114017,0.69339856489357,0.3336703872885076,1.3975955404349092,0.12285918245198785,0.0059841494245280735,2.1
22,0.6145906408356313,0.9306333249570361,0.5291716839158,1.7885398001788522,0.24432220739221266,0.016763633975412424,2.2
23,0.7212272330400317,1.156978288827815,0.7594913968583764,2.0518430022965823,0.4243602186924687,0.041380633131600175,2.3000000000000003
24,0.8155526141791629,1.3447445560087419,0.9982756705038683,2.145824296917437,0.6503282148456012,0.09003137521825463,2.4000000000000004
25,0.8940591661034066,1.4746427684456995,1.2173511490569997,2.0821254690087647,0.8906852582253829,0.1727908849243633,2.5
26,0.9567704520005511,1.540141654247803,1.3948874956065067,1.9087994513203463,1.1066158400882458,0.29370040410235115,2.6
27,1.005370852490958,1.5469328142844263,1.5183971350942875,1.6841920996690058,1.2670754329996747,0.44547574210150603,2.7
28,1.040679038565723,1.5084720707990316,1.5841290649415323,1.4572912673233624,1.3575877376572905,0.6092425438195151,2.8000000000000003
29,1.0618870926112138,1.4407657687017346,1.596220995172828,1.2594922966654756,1.3801285472340903,0.7607784973179172,2.9000000000000004
30,1.0685918868082795,1.3587972693904475,1.5656059773346853,1.1044161023517651,1.3478591496594643,0.8803030979661753,3.0
31,1.0630606059047931,1.2747848955339334,1.5067491589576063,0.9912720959381555,1.2794639390803328,0.9599515406421896,3.1
32,1.0496947689934266,1.1972903483397288,1.433152999453493,0.9108736847975868,1.1947616757511363,1.0042180661384805,3.2
33,1.032395638744627,1.130718206643691,1.3546807400750345,0.8535084616073543,1.1106754675859973,1.0238159134103935,3.3000000000000003
34,1.0130393109841613,1.0756546369435398,1.2775070110595268,0.814048424580569,1.0379046000730745,1.028304119657759,3.4000000000000004
35,0.9924094587586153,1.0304158549005245,1.2051858971529696,0.7912783930950889,0.9806481616651735,1.022712067319786,3.5
36,0.9718824103092591,0.9931904269428897,1.1398356140412844,0.7840539941049842,0.9392880169197211,1.0091323655894138,3.6
37,0.9537509065044345,0.9634906219917173,1.0829093309614228,0.7891427333422409,0.9125767032251935,0.9899207793468559,3.7
38,0.9399545003320964,0.9421413083877777,1.0349994348222684,0.8022156432313041,0.8979192903293903,0.968884728550749,3.8000000000000003
39,0.9308971338142892,0.930091563883159,0.995516632652571,0.8201862391463085,0.8918938640669755,0.9502171659199482,3.9000000000000004
40,0.9259201751837869,0.9269437678831509,0.9635014154131082,0.8423616493296864,0.8916093987173545,0.9368168252702553,4.0
41,0.9247763765114677,0.9304623875779193,0.9388304034865639,0.8689341510566434,0.895262352406278,0.9294423794848915,4.1000000000000005
42,0.9280755181479782,0.9378048686260585,0.9222238657286377,0.8981048166663561,0.9017757367388528,0.9276099157267803,4.2
43,0.936053223270913,0.9472385673710444,0.91396777186774,0.9253716984482092,0.9106576178529072,0.9313475109168609,4.3
44,0.9473613678793781,0.9583046460222879,0.912683080845815,0.9466884767652629,0.9219517616489896,0.9410817648901236,4.4
45,0.9595785759707925,0.9705769429092382,0.9155040013025392,0.9619589141336669,0.9355752980905145,0.9557249054719377,4.5
46,0.9708917050765971,0.9830009239537365,0.9197919219640869,0.9743933366186511,0.9506444552065225,0.9722971650207052,4.6000000000000005
47,0.9810126593313065,0.9943744578311053,0.9248231836699154,0.986771215035092,0.9657502346477927,0.9879821033221438,4.7
48,0.9904649909484742,1.0038224750085891,0.9317153081585887,0.9993721580793783,0.9798051403996537,1.001839177613517,4.800000000000001
