,Al-Al,Al-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,0.0,0.0,2.799652334414543e-07,1.0
11,1.2563536791555564e-07,6.909945235355561e-07,4.715216109310495e-06,1.1
12,2.1798765438189307e-06,1.147908435305707e-05,4.920360298702898e-05,1.2000000000000002
13,1.858649691545605e-05,0.00010157252586856585,0.0003380675308614517,1.3
14,0.00011731173360186879,0.0006109887512445591,0.001742948867158269,1.4000000000000001
15,0.0005830365476777573,0.0028782204994851255,0.007283770503041327,1.5
16,0.0023962610297694935,0.01109192218304334,0.02522710561735092,1.6
17,0.008320998973205661,0.03554780733641595,0.07288979550184065,1.7000000000000002
18,0.024719771507686235,0.09554315424427928,0.17649796511649243,1.8
19,0.06330525247149456,0.2170998437968638,0.36026339133737645,1.9000000000000001
20,0.14050457834455307,0.4209118638214261,0.6249637848676562,2.0
21,0.27173586530553195,0.7040606418003633,0.9316675205558329,2.1
22,0.4609425362027358,1.0296065014998947,1.2108237159610924,2.2
23,0.6917686776732943,1.3366840443498547,1.3963697099865884,2.3000000000000003
24,0.9291175297435832,1.5666886394100812,1.4587429163649277,2.4000000000000004
25,1.1327665385051204,1.6866360446276072,1.4123010795176334,2.5
26,1.2737645000041666,1.6957580227884284,1.2983201820755257,2.6
27,1.3428663622584487,1.6175190849496266,1.1620220841228257,2.7
28,1.3490144327439944,1.487003183808774,1.0374618363424406,2.8000000000000003
29,1.3120640977941362,1.3396698877379323,0.9423628568668422,2.9000000000000004
30,1.2534549937358286,1.2028939757367034,0.8797877812721221,3.0
31,1.1887581638266773,1.091810887913389,0.8437311664426962,3.1
32,1.1261602657653775,1.010431306296938,0.8258946900521571,3.2
33,1.0698478265133375,0.9557634722842253,0.8205938766316794,3.3000000000000003
34,1.022705137011288,0.9217349326479228,0.8258687886590187,3.4000000000000004
35,0.9858884330351273,0.901997433197668,0.841335300994855,3.5
36,0.9580966946463779,0.8918055536198769,0.8652192999626228,3.6
37,0.936921361909376,0.8887014236036698,0.8930957735591579,3.7
38,0.9209371492850854,0.8917318364950937,0.9194659443027656,3.8000000000000003
39,0.9104100178984592,0.899999131821851,0.940987542297204,3.9000000000000004
40,0.906524545865719,0.91192019372164,0.9582685655054508,4.0
41,0.9104052303140872,0.925712814944206,0.9742063381504551,4.1000000000000005
42,0.9222618250502655,0.9402958831587087,0.9904820918976098,4.2
43,0.940419255277834,0.9555740221334994,1.0059001978818793,4.3
44,0.961085382094168,0.971889424847203,1.0179777259952685,4.4
45,0.9798565988414246,0.989062825818275,1.025434064376032,4.5
46,0.9939204968241367,1.0057374969609367,1.0287184037628494,4.6000000000000005
47,1.0030049604122384,1.0196490448874456,1.0287178889828452,4.7
48,1.008543940397187,1.028659434047868,1.025938415920032,4.800000000000001
49,1.0120374199551174,1.0318130277250903,1.020995530807906,4.9
50,1.013935504988843,1.0298961660496693,1.0150576959519997,5.0
51,1.0139610932177758,1.025238819064779,1.009369633478824,5.1000000000000005
52,1.0122679640236887,1.0205986369865112,1.0046100316528341,5.2
53,1.009761736817782,1.0176779204887136,1.0007414404947519,5.300000000000001
54,1.0071959184068562,1.0163374290601164,0.9973032483754208,5.4
55,1.0045662523121075,1.0150898678013347,0.9939525031466193,5.5
56,1.0016385411420872,1.01242103541429,0.990736754893393,5.6000000000000005
57,0.9986008660237076,1.0079586502123354,0.9877982328465117,5.7
58,0.9959485280405027,1.002740532754884,0.9850105327559802,5.800000000000001
59,0.9939936234986656,0.9985548168410113,0.9821119971043083,5.9
60,0.9925431383989449,0.996841811487795,0.9791007727283209,6.0
61,0.9908659238209967,0.9978063108430621,0.9763905737260977,6.1000000000000005
62,0.9881393154491765,1.0003061852316733,0.9744908557283345,6.2
63,0.9843064479752694,1.0026657113796489,0.9735522908719008,6.300000000000001
64,0.9804191030667748,1.0038587856066843,0.9733940303733699,6.4
65,0.9778642228041584,1.0040827489202206,0.9739498713323279,6.5
66,0.9773751769494577,1.0042477559586993,0.9754526501381348,6.6000000000000005
67,0.9789176360182151,1.0050042178752414,0.9781470252903718,6.7
68,0.982106417458055,1.0062962334308463,0.9819322156381192,6.800000000000001
69,0.9863296287113271,1.0076668893616516,0.9861552421996619,6.9
70,0.990703419762379,1.0087273370169678,0.9896649616937924,7.0
71,0.9943055789293298,1.0093417939240101,0.9914202534602091,7.1000000000000005
72,0.9964615352678142,1.0096394885188125,0.9913750900315627,7.2
73,0.9968329282384059,1.0099770844587395,0.9906021297634465,7.300000000000001
74,0.9955644863167633,1.0107160789078686,0.9902272685979333,7.4
75,0.9934334075858959,1.0118315258356383,0.9903231981587528,7.5
76,0.99139705781538,1.0127198390953573,0.9900158044589209,7.6000000000000005
77,0.9896157356029844,1.0125477913178753,0.9885674332006297,7.7
78,0.9872455437555001,1.0109746575620275,0.9862334388965823,7.800000000000001
79,0.9836484693015045,1.0085757049621176,0.9841786572417629,7.9
80,0.9795359166544649,1.006401824510788,0.9836196124302705,8.0
81,0.9764938527419958,1.0051082832987905,0.9848713509267812,8.1
82,0.9755309990743172,1.0047582968560778,0.9870822334770509,8.200000000000001
83,0.9763837206591442,1.0054077764091376,0.9888690709920652,8.3
84,0.9780569648106748,1.0073326695682314,0.9892502031295276,8.4
85,0.9796848137637721,1.0104682923174746,0.9881821135083112,8.5
86,0.9808831177756622,1.0140090244657605,0.9864989894423007,8.6
87,0.981650959757986,1.016810866840728,0.9853213206448134,8.700000000000001
88,0.9822712093620948,1.0180723360228028,0.9851981184046383,8.8
89,0.9832321789468246,1.0176028077702304,0.985658715609732,8.9
90,0.9848556180058661,1.0156815742053478,0.9858100727714985,9.0
91,0.9868748084094265,1.012824043704344,0.9855164151549693,9.1
92,0.988679524798296,1.0095875811946882,0.9858222450307413,9.200000000000001
93,0.9900585402513308,1.0063526951384052,0.9880563680396585,9.3
94,0.9914382457662518,1.0031768052325847,0.9926053899836318,9.4
95,0.9933458151001571,0.9999634246520461,0.9985660791835822,9.5
96,0.9958311538162452,0.9968146968488826,1.004373103926586,9.600000000000001
97,0.9984026586312497,0.9941095897929814,1.0086730867509395,9.700000000000001
98,1.0003817389358924,0.992210959340889,1.0108991774759288,9.8
99,1.0014141866733723,0.991175159615276,1.011433117956185,9.9
100,1.00172165994986,0.9907750437078475,1.011275144107168,10.0
