,Fe-Fe,Fe-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,3.9680953262208986e-07,5.290793768294532e-07,0.0,0.9
10,8.250632072774043e-06,9.467084107257176e-06,5.112528854805184e-07,1.0
11,6.754034629878675e-05,8.66705044832765e-05,6.934018862936365e-06,1.1
12,0.0003846878099124352,0.000532851712127117,5.588835119900313e-05,1.2000000000000002
13,0.0017395514662150405,0.002560671953262537,0.00032752940756489764,1.3
14,0.00641323727285213,0.01006953271322212,0.001523655807655773,1.4000000000000001
15,0.019638629174964325,0.032964795341274396,0.00585884078668347,1.5
16,0.05059241089774298,0.09080476261702747,0.018951438186683742,1.6
17,0.11110621864588895,0.21234710936889062,0.05205441594465197,1.7000000000000002
18,0.2108356334719892,0.42539567619172786,0.12228690695849592,1.8
19,0.35057634043420643,0.736933597187695,0.24751241736584909,1.9000000000000001
20,0.5183653911418817,1.1147812903464394,0.43530032746203146,2.0
21,0.6925285854092258,1.4880889783404914,0.6720295284946793,2.1
22,0.8503830614323167,1.773926533929035,0.9219099055744436,2.2
23,0.9759991842076589,1.915426878145229,1.1397563522777394,2.3000000000000003
24,1.062363013227666,1.9047170894496128,1.2899303953232182,2.4000000000000004
25,1.1099897467556377,1.776829342326101,1.3591644557246634,2.5
26,1.1253318316803929,1.5852373825003971,1.357173583590491,2.6
27,1.1182232238125287,1.3789524677410947,1.3077743229732244,2.7
28,1.097391536154948,1.191180196065542,1.2370982218954998,2.8000000000000003
29,1.0670079295650854,1.0380119414715334,1.1646988968116596,2.9000000000000004
30,1.0273869352537937,0.9226328988082223,1.1005910339143103,3.0
31,0.9792262293510966,0.8416283763806567,1.0475772124387572,3.1
32,0.9278627635751978,0.7901823969868327,1.0054236646262236,3.2
33,0.8835125336774059,0.7639760680987158,0.9736483950821838,3.3000000000000003
34,0.8565275513864474,0.7586956732393814,0.952085128083378,3.4000000000000004
35,0.8521026105803942,0.7698377902449178,0.9403435472161494,3.5
36,0.8691702485088605,0.7936573396148294,0.9374654798988294,3.6
37,0.9028640628389948,0.8275826196102766,0.9420657972891145,3.7
38,0.9468465185081106,0.8690729960491764,0.9524486195841554,3.8000000000000003
39,0.9942978866475981,0.9142760325711397,0.9664549172298871,3.9000000000000004
40,1.0389757499653223,0.9583359456589733,0.9814583285125277,4.0
41,1.076670236278865,0.9972071469267016,0.9950102080230071,4.1000000000000005
42,1.1054126179814074,1.0288731301005687,1.00576031294681,4.2
43,1.1239607905020899,1.0527349376147512,1.0135863363996243,4.3
44,1.1306030907074573,1.0684151138580926,1.0186959109625953,4.4
45,1.1238553177569972,1.0756043022658144,1.020911728727375,4.5
46,1.1038987904727506,1.0747038706977945,1.0200257283062681,4.6000000000000005
47,1.0732332963284255,1.067088469500657,1.0163931313091257,4.7
48,1.0363770396205116,1.0547057546736425,1.0107871696815578,4.800000000000001
49,0.9987602014339797,1.0396661703961627,1.003999642529569,4.9
50,0.9648453601173433,1.024137878135618,0.9969289700383751,5.0
51,0.9367966172201384,1.010205786497173,0.9907366419353218,5.1000000000000005
52,0.9151138449880136,0.999432086979028,0.9864502685140071,5.2
53,0.9002683471882904,0.992382813437946,0.9844232997172584,5.300000000000001
54,0.8931366987988129,0.9885680679286789,0.9843202884446712,5.4
55,0.894026621920996,0.9869954472439147,0.9855072617150163,5.5
56,0.901826755255198,0.9870098780348027,0.987406805600877,5.6000000000000005
57,0.9140414998981685,0.9886660417002932,0.9896938655224992,5.7
58,0.9274738494904634,0.9922352217410159,0.9923133553007272,5.800000000000001
59,0.9393505922687371,0.9974178008085379,0.9952797644006793,5.9
60,0.9485434212863046,1.00311959577963,0.9984093646182575,6.0
61,0.9559219066835405,1.0078896739096956,1.0012672735089672,6.1000000000000005
62,0.9632282388170726,1.0105631788030442,1.003316665951232,6.2
63,0.9711921637549809,1.0107842415610782,1.0041178115784266,6.300000000000001
64,0.9784651248342657,1.0091621809889593,1.0036273950140113,6.4
65,0.9826121495453821,1.006789545649359,1.0024723788445271,6.5
66,0.9823671057483544,1.0044401179949816,1.0016745331101693,6.6000000000000005
67,0.9786511714426963,1.0022954973802651,1.001796874689171,6.7
68,0.9731760990096504,1.0004099341915447,1.0024342337973942,6.800000000000001
69,0.9666408211823657,0.9991226129165852,1.0026933925243078,6.9
70,0.9589940842066046,0.9988492474718539,1.0020470505384937,7.0
71,0.951181087828637,0.9996662846900518,1.000603397709567,7.1000000000000005
72,0.9456510680214132,1.001266817884785,0.9987735946807286,7.2
73,0.9447235916012103,1.0032521699112884,0.9969587168390844,7.300000000000001
74,0.9486416303757941,1.0053587124373857,0.9954480680876507,7.4
75,0.9552844901559253,1.0074273867624535,0.9943710048072036,7.5
76,0.9616557977470326,1.0092696144238016,0.9937735040146743,7.6000000000000005
77,0.9657610906971356,1.0106580322702978,0.9937842160103603,7.7
78,0.9673966947621314,1.011441653577525,0.9945219530554583,7.800000000000001
79,0.96745382249978,1.0115564689629029,0.9957828207559454,7.9
80,0.9668336670201381,1.0109121364351537,0.997037234950718,8.0
81,0.9663324842821652,1.009429061951594,0.99787772551349,8.1
82,0.9670946315592412,1.0072505434094428,0.9984026395361781,8.200000000000001
83,0.9702301687746626,1.004737861838222,0.9990382352474804,8.3
84,0.9757869604196543,1.0021646697003428,0.9999572667550322,8.4
85,0.9826221937370782,0.9995404013539401,1.0007492663192914,8.5
86,0.9894332087388091,0.996778341874983,1.0007920314675678,8.6
87,0.9955142890606807,0.993932942640006,0.9999924553343147,8.700000000000001
88,1.0004319360117326,0.9912653099433961,0.9990555009655875,8.8
89,1.0034379436800986,0.9891710748871891,0.9988887908184384,8.9
90,1.003674925711204,0.9880550083487478,0.999791751688072,9.0
91,1.0010510037424734,0.9881947983838495,1.0013299849721076,9.1
92,0.9968087891171674,0.989679886089962,1.0028730137093236,9.200000000000001
93,0.9929924752567038,0.9924561138563245,1.0040552038986594,9.3
94,0.9911238304085357,0.9963742281523336,1.0047607007188046,9.4
95,0.9912765723166364,1.0011832392048698,1.0049298883908249,9.5
96,0.9922550716361407,1.0064919457266668,1.0045638280295224,9.600000000000001
97,0.992615815003214,1.0117119642376382,1.0038497823476078,9.700000000000001
98,0.9917385976496853,1.0161177372380226,1.00312001289961,9.8
99,0.9901555347849218,1.0191325326192682,1.0026267993084539,9.9
100,0.9889613446538034,1.0205897574661242,1.0024113615811174,10.0
