,Li-Li,Li-Te,Te-Te,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,1.5415927430363742e-07,0.0,0.0,0.5
6,1.1381677911967752e-06,0.0,0.0,0.6000000000000001
7,6.319193424864524e-06,0.0,0.0,0.7000000000000001
8,2.746845395234474e-05,0.0,0.0,0.8
9,9.797162579585366e-05,0.0,0.0,0.9
10,0.00029249131857947874,0.0,0.0,1.0
11,0.0007668165644397181,8.11898394099143e-07,0.0,1.1
12,0.001864374349066714,1.0749072143694791e-05,0.0,1.2000000000000002
13,0.004370807292894301,8.173018115683678e-05,0.0,1.3
14,0.009951243116492937,0.00045693189921985997,0.0,1.4000000000000001
15,0.02160869693067282,0.0020493479716671304,6.156171398231265e-07,1.5
16,0.04386597509552459,0.007617011485432894,6.841250472467431e-06,1.6
17,0.08231477435629386,0.023877104366435843,4.455193164213931e-05,1.7000000000000002
18,0.14221108322382495,0.06392054038491461,0.0002202912071243953,1.8
19,0.2262993225902258,0.14770872746596955,0.0008794808963187006,1.9000000000000001
20,0.3330753801214323,0.2975184812569377,0.0028882929269778966,2.0
21,0.4568397507862837,0.527148442284365,0.007928648907772217,2.1
22,0.5891505587624969,0.8289290564736679,0.01850174478043706,2.2
23,0.720058232238024,1.1675495122561466,0.0374038529342075,2.3000000000000003
24,0.8389535071138681,1.4883814778367717,0.06680734289483437,2.4000000000000004
25,0.9365201950131139,1.7381602255540105,0.10731611905619914,2.5
26,1.0077508053989266,1.885324801352792,0.15721542300863325,2.6
27,1.0534187679446005,1.9274403058225682,0.21234105259250463,2.7
28,1.0781965413009336,1.8842894014595883,0.2674357821513262,2.8000000000000003
29,1.0873231857528012,1.7848810075621766,0.3189821280781578,2.9000000000000004
30,1.0849074905700409,1.6565645770975839,0.36734528743214934,3.0
31,1.07433661069089,1.5195498253438335,0.4157513127886742,3.1
32,1.0588631996223044,1.3866504023700938,0.4670006703816457,3.2
33,1.0412493717741167,1.265888660347145,0.5213942925565742,3.3000000000000003
34,1.0233684489348835,1.1624481619683984,0.5771201182371178,3.4000000000000004
35,1.006554600372973,1.07846939525466,0.631339272501717,3.5
36,0.9920744080782674,1.0126392729734008,0.6816757438623422,3.6
37,0.9810242836031248,0.961652757683326,0.7287811138692984,3.7
38,0.9738560189854069,0.9226172598391339,0.7770532903992383,3.8000000000000003
39,0.9701325077960719,0.8941305900129584,0.8308011608908599,3.9000000000000004
40,0.968886510236362,0.8754607448377264,0.8900239560415116,4.0
41,0.9693422811762246,0.8652227515035764,0.9512580011015449,4.1000000000000005
42,0.9712938973077142,0.8612034746224952,1.011400158331082,4.2
43,0.9747919604518317,0.8615039451290143,1.0687253877108225,4.3
44,0.9796734269595603,0.8655644561017769,1.1207229048203629,4.4
45,0.9856803875979125,0.873708032668951,1.16337515747587,4.5
46,0.9927890916342403,0.8857300796291333,1.193894653662186,4.6000000000000005
47,1.0009025087045706,0.9002335840339353,1.2132078015266188,4.7
48,1.0092396149036797,0.9152649545951169,1.2248965318903582,4.800000000000001
49,1.0165405120484812,0.9292749817164689,1.2323669892322833,4.9
50,1.0219207845715716,0.9416236887663826,1.2370567991056123,5.0
51,1.025174938553193,0.9525057641680974,1.2378235905689774,5.1000000000000005
52,1.0263209331721557,0.9622836810588924,1.2315107626376183,5.2
53,1.02539746124896,0.9707434928979122,1.2148777839169171,5.300000000000001
54,1.0228725606372753,0.9771718053613896,1.1865682724838629,5.4
55,1.0197371485362101,0.9812130849411392,1.1480563891502444,5.5
56,1.0167047642029754,0.9834962821146047,1.1038382431257054,5.6000000000000005
57,1.0134926838281713,0.9853611948383306,1.0604836138563485,5.7
58,1.0093599123882608,0.9879609773626296,1.0239921617045373,5.800000000000001
59,1.0043471637027725,0.9915835976512016,0.9971743489816747,5.9
60,0.9995451318428683,0.9957986394292249,0.9795288578613043,6.0
61,0.9960069691650197,1.000063200178398,0.9690328505467727,6.1000000000000005
62,0.993753191753962,1.0039746339839444,0.9634053519523283,6.2
63,0.9920053191530789,1.0071085585130906,0.9601956020334271,6.300000000000001
64,0.9901493998634673,1.0091007958884748,0.9571814097539464,6.4
65,0.988323463189723,1.010051781799777,0.9535550896942768,6.5
66,0.9872040753199447,1.0105892011538946,0.9504995048830314,6.6000000000000005
67,0.98734896479457,1.011384353576266,0.9503785461890768,6.7
68,0.9887247169798811,1.0127131511912708,0.95536514043145,6.800000000000001
69,0.9907851981812038,1.014389632367437,0.9659522695299836,6.9
70,0.9929160598753146,1.0158140743151982,0.9795648669247687,7.0
71,0.9947931844290276,1.0161163667085067,0.9907170631749141,7.1000000000000005
72,0.9963678543935351,1.0146517866209293,0.9938070489149861,7.2
73,0.9976293228518369,1.0115818069402152,0.9869493186178014,7.300000000000001
74,0.998532068735205,1.0078905287070734,0.9736134501036385,7.4
75,0.9991555629321507,1.0047875764497785,0.9605516729328634,7.5
76,0.9996998870446324,1.0030893073045701,0.9535886333317015,7.6000000000000005
77,1.000221184526587,1.0029009089937693,0.954369401290932,7.7
78,1.0004894850422423,1.0035769745731087,0.9602831582162152,7.800000000000001
79,1.0001223366198175,1.0041116265340764,0.9672493408806131,7.9
80,0.998832010090367,1.003935647708721,0.9726918856262124,8.0
81,0.996720388801999,1.003408823830077,0.9764403959853727,8.1
82,0.9944321520654689,1.0034028210791013,0.9798648307871259,8.200000000000001
83,0.9928100906845931,1.0043573622274813,0.9846282617496769,8.3
