,Li-Li,Li-Zn,Li-Si,Zn-Zn,Zn-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,1.2204691095933268e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,1.3220174619926603e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,9.581136842058356e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,5.1831142858766726e-05,3.222801242519878e-07,0.0,0.0,0.0,0.0,0.8
9,0.0002284376641190519,3.6716702404312973e-06,8.564399149672204e-07,0.0,0.0,0.0,0.9
10,0.0008445848221640563,2.7404397577582985e-05,9.276985517448745e-06,0.0,1.0185643433149245e-06,2.037128686629849e-06,1.0
11,0.0026659496725563495,0.00015128917060881257,6.512227620590174e-05,1.8283371037896703e-06,1.2583969432490873e-05,2.059709610550757e-05,1.1
12,0.00729947520289427,0.0006809540577228183,0.0003448960559212661,2.1822700961821724e-05,9.351599560965433e-05,0.0001489759811764561,1.2000000000000002
13,0.01755586977414,0.0025579909097373744,0.0014797174972376015,0.00015578687576387243,0.0005163844982278223,0.0007991676409944682,1.3
14,0.03750118983205418,0.008182189391990592,0.005302232096029533,0.0008185307989040595,0.0022822080184504005,0.0034702888943286526,1.4000000000000001
15,0.07184220463005349,0.022586775938343268,0.01612887218772101,0.0034499367939753722,0.008371311419871677,0.012547653526150055,1.5
16,0.12458172451811676,0.054329664233218944,0.0422463806664748,0.011986946756913973,0.025864557369049475,0.03835772837476919,1.6
17,0.19756564905130963,0.11475016318756624,0.09636967529324961,0.034758092736570136,0.06806128362563241,0.0998916247244254,1.7000000000000002
18,0.289954712031654,0.2143916776360515,0.19338893116640754,0.08497331843950362,0.1539210817959336,0.22279442617085093,1.8
19,0.39888929117363314,0.35739169717230945,0.34450789850537794,0.17700043983806515,0.3017235001087553,0.4276932535974661,1.9000000000000001
20,0.5202991661682352,0.5375969604134099,0.5494872247142185,0.31802036997227373,0.5172586248047468,0.7108501566375168,2.0
21,0.6487578111052517,0.7397675294534679,0.7917472293537993,0.49992125079149086,0.7830601599554344,1.030724493906,2.1
22,0.7767850285709686,0.9442728922514454,1.0410235145470785,0.6985572930222339,1.058559729369396,1.317291087145734,2.2
23,0.8952392241466822,1.130763758942338,1.2631137822874323,0.8820768327090318,1.2949826486764389,1.5046468907048656,2.3000000000000003
24,0.9957488354844634,1.280302434724566,1.4307898938910015,1.0227448551539575,1.4561632177486477,1.563937275229588,2.4000000000000004
25,1.073656022043546,1.3790434267820244,1.5305488158750467,1.1054545875926602,1.5301800301969402,1.510517953068677,2.5
26,1.12856647296725,1.42295851527649,1.5639559647816887,1.1304273959408064,1.5263734010536958,1.3841782296988894,2.6
27,1.1620515098584645,1.4190968147762208,1.54395495053835,1.110635771359453,1.4658736639647714,1.2247501490629094,2.7
28,1.1755992244064488,1.3816075282153781,1.4876761799835592,1.0652164955875003,1.373631145490549,1.0612273129955234,2.8000000000000003
29,1.171312774254065,1.3256276962675437,1.4099213709204907,1.011655351864072,1.2716827661702403,0.9127823998791668,2.9000000000000004
30,1.1535984593381088,1.2630350032326043,1.3212046678940916,0.961169941191478,1.1732805087949425,0.7915475244982889,3.0
31,1.1285059399375312,1.2014711086391379,1.2296707551786892,0.9192509922719352,1.0822804591155302,0.7030792909210289,3.1
32,1.100880729895097,1.1453413918998812,1.1428808437090354,0.8881426332082334,0.9993441789582735,0.64665156362781,3.2
33,1.072720633400983,1.0967852671257887,1.0672059746688363,0.8674939102633306,0.9282195872224012,0.6172502774933127,3.3000000000000003
34,1.0444677032646232,1.0560419152735052,1.0063126189823137,0.8539058885175224,0.8748757874449427,0.608597176594679,3.4000000000000004
35,1.0171697583819923,1.0220451659269156,0.9607748685200593,0.8422113326746771,0.8419660966761263,0.6154847170492141,3.5
36,0.9929459852195236,0.9936795167120724,0.9288759627323634,0.8289154368143009,0.8271069042650833,0.6345932959034823,3.6
37,0.9738396974536868,0.9707527555088236,0.9077600818354987,0.8149281525945358,0.82694463717693,0.6638417138411289,3.7
38,0.9607349792234741,0.9539858678665033,0.8947490290487059,0.8045725081466818,0.8400687276258543,0.7013967878353764,3.8000000000000003
39,0.9533308020838155,0.9443247543991974,0.8884764532875231,0.8017331971641802,0.8644151165036797,0.745290246472086,3.9000000000000004
40,0.9507752796842702,0.9420907130341288,0.8889056050677006,0.8071841721700399,0.8943714468407586,0.7934425080823728,4.0
41,0.952049273272244,0.9463648952566793,0.8962027966435777,0.8189461781556361,0.9232739257092983,0.8436834722509169,4.1000000000000005
42,0.9559719475791101,0.955151669785428,0.9097148536455402,0.8339877898139572,0.9484275788003526,0.8939977761457623,4.2
43,0.961508204418728,0.9663464945902694,0.9277917629007097,0.8498657166872515,0.9719858387096794,0.9423940643183318,4.3
44,0.9682409981918815,0.9785211451849638,0.9481344653965841,0.8662543959095399,0.9969550342842403,0.9858970802769503,4.4
45,0.9760302943450733,0.990650736698102,0.9683186171636727,0.8848687247178336,1.0233134996037008,1.0203040856763277,4.5
46,0.9841434956124062,1.001399057513682,0.9865068327745662,0.9062930455902273,1.0478469278390938,1.0426878821085044,4.6000000000000005
47,0.9913757191749694,1.0093581713352373,1.0018790806828086,0.9267419433465403,1.066488148570006,1.0541980502885206,4.7
48,0.9970930330878788,1.014230623444396,1.0141565583607524,0.939667616854629,1.0764398278797416,1.0588041498652543,4.800000000000001
49,1.0015615281622423,1.0172784868499516,1.0228578794110739,0.9416190761767732,1.077461542363231,1.0592510403570765,4.9
50,1.0052283685402204,1.0201530985717844,1.0275317123533634,0.9361010829773502,1.0725784632485353,1.0550593971711488,5.0
51,1.0081812106861352,1.0233663501718475,1.028620219206541,0.931131251774671,1.0668260538189047,1.0440074170328622,5.1000000000000005
52,1.0102993928602884,1.0261228294861728,1.0273422944086468,0.9327478683534889,1.0634279083562759,1.0249952030429132,5.2
53,1.0114875009012934,1.0273450932246835,1.024557839846794,0.9403923121164828,1.060836650812004,1.000072682679942,5.300000000000001
54,1.0116221551887434,1.026496776318241,1.0203862231318714,0.9483819484205691,1.0546130846239163,0.9742890029129418,5.4
55,1.0105247063289642,1.0236636706833029,1.015205345201928,0.9518879688692757,1.042638762199671,0.9529697218798704,5.5
56,1.0081630448140142,1.0193649799425937,1.0102991872636486,0.9511068308913895,1.0279061433355705,0.9383294767527423,5.6000000000000005
57,1.0049370958574124,1.0143455032161628,1.0068997798962498,0.9499372709655535,1.01599380119238,0.9285846690915592,5.7
58,1.0016935379339573,1.0093275350495072,1.0049661337369176,0.9518635976716056,1.0103058321645382,0.9204795638542388,5.800000000000001
