,Nb-Nb,Nb-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,0.0,0.0,0.0,1.0
11,0.0,9.238198872023668e-08,1.4781118195237866e-06,1.1
12,0.0,1.1443420797511288e-06,1.9309970213858263e-05,1.2000000000000002
13,6.806101617960295e-07,1.2529569983338461e-05,0.00014453229111290245,1.3
14,7.469944659076469e-06,9.700745597557938e-05,0.0007881348084581575,1.4000000000000001
15,5.0189001239980303e-05,0.0005539591814880949,0.0034310305953963094,1.5
16,0.00026136718650539905,0.002564143070883867,0.012300473247345073,1.6
17,0.0011123278181200114,0.009873312187247492,0.036821256510176106,1.7000000000000002
18,0.003964560368493195,0.032019899563250784,0.09287374908379531,1.8
19,0.012117772189294893,0.08807644536067047,0.19910381372932828,1.9000000000000001
20,0.03231246245474566,0.2068941185070721,0.36627564653848355,2.0
21,0.07606252432042043,0.41821536593271436,0.5846819004936721,2.1
22,0.15907884888167256,0.733589025174974,0.8207071158424606,2.2
23,0.2964578613326714,1.1268480411554367,1.0290405544671946,2.3000000000000003
24,0.4935188211269982,1.5314276171952512,1.1733477971345603,2.4000000000000004
25,0.73728949053188,1.8638301267856554,1.2404333651670592,2.5
26,0.9965180330372825,2.061054400423252,1.2398625545715878,2.6
27,1.2331298970850175,2.1058068164543213,1.1934662581628375,2.7
28,1.4180812695882423,2.023704701795187,1.1242618588313438,2.8000000000000003
29,1.5397434051720094,1.860512643856332,1.050584131517318,2.9000000000000004
30,1.5998437024031813,1.659302717696632,0.9849662287130233,3.0
31,1.6040091228945128,1.4498729150823662,0.934434969775381,3.1
32,1.5573546521491723,1.2496674066072995,0.9007516838176585,3.2
33,1.4670117213163079,1.0693307277206001,0.881514596416229,3.3000000000000003
34,1.3452029357849677,0.9169203836224339,0.8725627135017235,3.4000000000000004
35,1.20799686422036,0.7984770686098093,0.8705609322210945,3.5
36,1.0712788786121472,0.7164744135615297,0.8743439101375097,3.6
37,0.9478583664873989,0.6690124118417665,0.8843903677219271,3.7
38,0.8467830260781193,0.6509102959463978,0.9009864981845656,3.8000000000000003
39,0.7733609505753829,0.6556949561618849,0.9227194691390339,3.9000000000000004
40,0.7291216457176304,0.6772323011977758,0.9467252527742134,4.0
41,0.7126028072457385,0.7106932519001337,0.9703635840251357,4.1000000000000005
42,0.7211329347514799,0.7529084249023756,0.9925767030461564,4.2
43,0.7516807934235546,0.8018703308281099,1.0136789178338,4.3
44,0.799610873075467,0.8555115211051724,1.0340646466917423,4.4
45,0.8577439606628076,0.9108297916545699,1.0532737892681465,4.5
46,0.9183981980807426,0.9641853035348714,1.070150988208104,4.6000000000000005
47,0.9764352330892091,1.0123429455537607,1.0836001976784906,4.7
48,1.0294124082349803,1.0532487623227598,1.0930541566299485,4.800000000000001
49,1.0750435441518094,1.0860617574884803,1.0983439081243922,4.9
50,1.109842953360751,1.1105611875764476,1.0991997652261551,5.0
51,1.1306667795779703,1.1264080673252577,1.0948585940245537,5.1000000000000005
52,1.1367959784942807,1.1329283774374455,1.0843883381911419,5.2
53,1.1301082832357159,1.1298050556729646,1.0678140360652588,5.300000000000001
54,1.1138973694941376,1.1180865076056739,1.046849452542597,5.4
55,1.092061641610104,1.1002895940737931,1.0240427957991112,5.5
56,1.0685141577753607,1.0792333263679936,1.0012103114216364,5.6000000000000005
57,1.045931089089358,1.0568031667666087,0.9791607945639234,5.7
58,1.024796320593941,1.0338991786442258,0.9588028975473999,5.800000000000001
59,1.0042883281542714,1.0112587307159433,0.9417810863154341,5.9
60,0.984193677838009,0.9900128251413413,0.9298067427264821,6.0
61,0.9655571187653169,0.9715564854922971,0.9237023004820086,6.1000000000000005
62,0.9496083583439533,0.9571042842398886,0.9231466902869027,6.2
63,0.9367461015336663,0.9473745367988857,0.9271105789406127,6.300000000000001
64,0.9269585332996807,0.9425733105297616,0.9345252504546406,6.4
65,0.9208902320814955,0.9426160399252361,0.9447833610111197,6.5
66,0.9198989195120755,0.9472459871430228,0.9576570317013334,6.6000000000000005
67,0.9248158833639557,0.9558209411097525,0.9725989118686351,6.7
68,0.9349135883288557,0.9670520993867322,0.9881286230541311,6.800000000000001
69,0.9483068316883024,0.9792124410761487,1.0021405604332818,6.9
70,0.9632115237122378,0.9908258478796425,1.0129019850530148,7.0
71,0.9787559463540666,1.0012293220727992,1.0198347594783024,7.1000000000000005
72,0.9948619248357127,1.010472980396642,1.0235989304190065,7.2
73,1.0115243503369926,1.0187347034032483,1.025513656918055,7.300000000000001
74,1.028024315860753,1.0258786592803633,1.0266021024721224,7.4
75,1.0426771968787918,1.0314519104816053,1.026973469439412,7.5
76,1.0533713263173001,1.03497190589765,1.0261266014829895,7.6000000000000005
77,1.0585237234645588,1.0362841626610206,1.0237665262034388,7.7
78,1.057780425893151,1.0356858265428992,1.0202084259892001,7.800000000000001
79,1.0519795097974451,1.0335892228178587,1.0160852696430347,7.9
80,1.0424285503436936,1.0300651673860513,1.0117452973366485,8.0
81,1.0301362691388563,1.0248884819314197,1.0069687714231756,8.1
82,1.0156413899712313,1.0180666492546053,1.0014573135558664,8.200000000000001
83,0.999493696025411,1.0101375365350909,0.9956461240275687,8.3
84,0.9828337371630679,1.0018664477311041,0.990644253132807,8.4
85,0.9673807245948364,0.993863665980328,0.9871352036124337,8.5
86,0.954751842227622,0.9866404947100553,0.9847242001885333,8.6
87,0.9458473857385091,0.9808224130687054,0.9826452294628034,8.700000000000001
88,0.9409552124886015,0.9769984973204624,0.9806744327419123,8.8
89,0.9402289888092864,0.97535142107082,0.9790291587457018,8.9
90,0.9437129212353056,0.9756455374290834,0.9778318355418213,9.0
91,0.9509276250889065,0.9776072929418929,0.9771237643080892,9.1
92,0.9608393380020405,0.9811678230112362,0.9772154441407777,9.200000000000001
93,0.9724466237777221,0.9863190462400201,0.9786646735191361,9.3
94,0.985143459239001,0.9928638450766385,0.9818037745508553,9.4
95,0.9982360744645769,1.0003682899249449,0.986236899525669,9.5
96,1.010292431938229,1.0082536979992824,0.9907841372390571,9.600000000000001
97,1.0194608665984604,1.01582877848826,0.9941195976995756,9.700000000000001
98,1.0246955238630209,1.0223203688990907,0.9956570224136932,9.8
99,1.0265855813514502,1.027024563505828,0.9958368750124655,9.9
100,1.026831004247732,1.0294763779513374,0.9955908752133305,10.0
