,Si-Si,Si-B,B-B,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,1.5360725470115326e-06,0.5
6,0.0,0.0,4.776386665660908e-05,0.6000000000000001
7,0.0,1.922935262555178e-07,0.00041238792061472845,0.7000000000000001
8,0.0,6.239646773507829e-06,0.002410421074757713,0.8
9,0.0,8.207015487859779e-05,0.010964599318485757,0.9
10,2.670743420215525e-07,0.0005722854780965336,0.04038929490261836,1.0
11,5.0973584771388005e-06,0.002955904524675501,0.12210393871371766,1.1
12,4.936740386770062e-05,0.012237877048121867,0.3056300533186198,1.2000000000000002
13,0.0003171070999020556,0.04146006858881468,0.6388980064853813,1.3
14,0.0015681306218673556,0.11591162219516019,1.1256378987825313,1.4000000000000001
15,0.006316585080621078,0.26943489417269717,1.6880373347211635,1.5
16,0.021140947720378903,0.5253496744231275,2.178201515003312,1.6
17,0.05931480637679973,0.868486774558287,2.4482668952621625,1.7000000000000002
18,0.1405165717849231,1.2330949003852183,2.431517757486528,1.8
19,0.28330855467771215,1.5268494607811747,2.172097532921051,1.9000000000000001
20,0.4908679878834499,1.6785450121266439,1.7872566728283237,2.0
21,0.7397128019640326,1.672389785351499,1.3995751924649757,2.1
22,0.9840202665217282,1.5458437484127128,1.0876197794479299,2.2
23,1.1762642076975114,1.3611377370364672,0.8756054410047444,2.3000000000000003
24,1.2890703970767672,1.1753268787450932,0.7508099430783233,2.4000000000000004
25,1.3225254261051507,1.0242543419541232,0.6869345584454,2.5
26,1.2962095963875258,0.921329076731351,0.6599816194460707,2.6
27,1.2365824801882461,0.8644138702695501,0.6542540010716569,2.7
28,1.1676411552750685,0.8437740444262064,0.661692184861325,2.8000000000000003
29,1.1058413075852616,0.8479059844298656,0.6783583636542342,2.9000000000000004
30,1.058710407699664,0.8671106884857759,0.701012702687336,3.0
31,1.0269330240261885,0.8947423304346862,0.7261741493229359,3.1
32,1.0078601225667327,0.9261662594061486,0.7517755192059581,3.2
33,0.9977979069835764,0.9571937249555594,0.77818042262026,3.3000000000000003
34,0.9928728206388625,0.9840131297470817,0.8060184641611741,3.4000000000000004
35,0.9899103165168528,1.00437566402487,0.8334173608228446,3.5
36,0.987445357397515,1.0182664124623682,0.8564885940206539,3.6
37,0.9855256832271893,1.027221427257282,0.872201091727113,3.7
38,0.9842609954988679,1.032994115600543,0.8802740006547763,3.8000000000000003
39,0.9830339569233087,1.0366239600602611,0.8829754388156569,3.9000000000000004
40,0.9813474582604669,1.038396055037527,0.883949315733975,4.0
41,0.9796161118925936,1.038192862046482,0.8866647156758601,4.1000000000000005
42,0.97843516203644,1.0354912471335271,0.8927634570335654,4.2
43,0.9775264741338948,1.029338838243548,0.90154138881234,4.3
44,0.9760458453273871,1.0192910560196629,0.9113480803131884,4.4
45,0.9737325505155269,1.0067875580276988,0.9214934845726406,4.5
46,0.9714654563774748,0.9951087586581913,0.9326555918656386,4.6000000000000005
47,0.97091338979883,0.987448783055414,0.9456459158503627,4.7
48,0.9736811724548183,0.9849229060265402,0.9602427054160598,4.800000000000001
49,0.9802771353214557,0.986355123088777,0.9752076881904121,4.9
50,0.9895118367882951,0.9896533973810047,0.9888575484284454,5.0
51,0.999010851986765,0.9931782270404578,0.9993878396469724,5.1000000000000005
52,1.0065468601461385,0.9961221587356782,1.0051454579035544,5.2
53,1.0111266576157547,0.9982836714944529,1.005174759429743,5.300000000000001
54,1.013204278133578,0.9997900232427251,0.9998939606795021,5.4
55,1.0141428167801014,1.000755759975927,0.9913738228896506,5.5
56,1.0152672372178464,1.0009816662282673,0.9825887692813146,5.6000000000000005
57,1.0169123167699154,1.0000847160620567,0.9758565847716423,5.7
58,1.0181272632531264,0.9979921507939116,0.9718075221599763,5.800000000000001
59,1.0175365301697283,0.9951589095765397,0.9695143332059207,5.9
60,1.0146687337706195,0.992336737608308,0.9673135774079811,6.0
61,1.0103391310958947,0.9903221977532265,0.9640194225716278,6.1000000000000005
62,1.0058183930964815,0.9897667429136265,0.9600344372683497,6.2
63,1.001929421437948,0.9908373108325228,0.9571500283992219,6.300000000000001
64,0.9989217528684544,0.9930749317125468,0.9569367258001269,6.4
65,0.9967311133547959,0.9958361355815851,0.9593875734757444,6.5
66,0.9950503441329266,0.9988472490072209,0.9629434643205502,6.6000000000000005
67,0.9934359564480123,1.0021443145399853,0.9654757294658745,6.7
68,0.9917431761312294,1.0055668113743652,0.965687740462154,6.800000000000001
69,0.9903693393785306,1.008595223397452,0.9641788193156771,6.9
70,0.9898494725072822,1.0106687710681892,0.9627973152360682,7.0
71,0.990324533248921,1.0114612611435383,0.9624583266638645,7.1000000000000005
72,0.9915045332314347,1.0109208962671012,0.9621212915912113,7.2
73,0.9929653611332206,1.009321134552811,0.9603010991854346,7.300000000000001
74,0.9943680660973938,1.007349806821899,0.9568297078974236,7.4
75,0.9955214190527941,1.0059447858231174,0.9526652612743534,7.5
76,0.996355780445684,1.0057896521067142,0.948744506283263,7.6000000000000005
77,0.9968612206978527,1.0068098907244059,0.9455649809100175,7.7
78,0.9970710897484937,1.0081630405562578,0.9434969207221238,7.800000000000001
79,0.9970921870675604,1.0088634767318987,0.9430053152980814,7.9
80,0.9971050537245062,1.0085559361878518,0.9443687256085931,8.0
81,0.9972762520884259,1.0076878957740718,0.9473553765354108,8.1
82,0.9976384008440594,1.0069531141436425,0.9515460569478671,8.200000000000001
