,Li-Li,Li-Sc,Sc-Sc,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,5.102707473869371e-07,0.0,0.0,0.6000000000000001
7,7.772408423343198e-06,1.1112562943093299e-07,0.0,0.7000000000000001
8,5.4477924488394726e-05,8.222991393939776e-07,0.0,0.8
9,0.0002846116792190994,5.268538820766963e-06,0.0,0.9
10,0.001190285523758784,2.530658087869164e-05,0.0,1.0
11,0.0040846187359388775,0.00010198760622716506,4.848278846363418e-07,1.1
12,0.011678405751463183,0.0003520397725400993,5.599293435846949e-06,1.2000000000000002
13,0.02835556540041123,0.001067182581352547,3.830190394766192e-05,1.3
14,0.05981636354454598,0.0029043933304296744,0.00019906832573422787,1.4000000000000001
15,0.11236580074436865,0.007197773749586965,0.00083643332178489,1.5
16,0.19212722158041953,0.0163832664440387,0.0029189615160847217,1.6
17,0.3034790378055619,0.034358921978706616,0.00862160564965506,1.7000000000000002
18,0.4461170364253077,0.06642751895912795,0.021910132555816798,1.8
19,0.6129651460903857,0.11848631237269332,0.048679520935417234,1.9000000000000001
20,0.7918479794939587,0.1954772534466818,0.09601947300250536,2.0
21,0.969580451825193,0.29953539854434036,0.17060603916723355,2.1
22,1.1342097858144706,0.4285429656410241,0.27680344484565333,2.2
23,1.2751880279874754,0.5758025360682028,0.4153039046333656,2.3000000000000003
24,1.3846145354188035,0.73103442060643,0.5826321425358433,2.4000000000000004
25,1.4592045298119771,0.8821504570338317,0.7710432637097465,2.5
26,1.500005343683103,1.0172108307929322,0.9684132815873366,2.6
27,1.5103210296518415,1.126480819233678,1.158873092809855,2.7
28,1.4948865370061961,1.2044256863888934,1.3254815474933623,2.8000000000000003
29,1.4603697503598976,1.250626292063784,1.4543587965174274,2.9000000000000004
30,1.4143969649650783,1.2686375359580728,1.5375920541788466,3.0
31,1.3626220863829765,1.2634641639306736,1.5734866734444297,3.1
32,1.3070419446983899,1.2396699845326036,1.5657124389925487,3.2
33,1.2477625069080882,1.2014034769258406,1.522491055923002,3.3000000000000003
34,1.1862911790158546,1.153516276194359,1.4546711480203918,3.4000000000000004
35,1.1270440805542041,1.1017364829241787,1.372627160995143,3.5
36,1.075792713927651,1.0512561829929143,1.284382641711591,3.6
37,1.0364757753537777,1.005281091600353,1.195958402316952,3.7
38,1.0089853160818354,0.9650045202122219,1.1120847752882677,3.8000000000000003
39,0.9898296649817818,0.9306175968539444,1.036036975304394,3.9000000000000004
40,0.9750152703875168,0.9022988985123018,0.969676317946018,4.0
41,0.9627795357867035,0.8807445054739991,0.9144858736246041,4.1000000000000005
42,0.9541587366498508,0.8670290381137526,0.8722164988442261,4.2
43,0.951063180406489,0.8616172441212375,0.8439302548744241,4.3
44,0.9537233172945522,0.86338119967297,0.8287186898388903,4.4
45,0.9600424868499747,0.8700755337257973,0.8239987057415309,4.5
46,0.9673391702187892,0.8800898186249699,0.8272121595116217,4.6000000000000005
47,0.9742730421076873,0.8934076509087852,0.8370893801543317,4.7
48,0.9809946378317047,0.9106776569351784,0.8533583452400815,4.800000000000001
49,0.9879416781910132,0.9317153760020148,0.8754614813096907,4.9
50,0.9949570618817877,0.9550787158482241,0.9016961903526188,5.0
51,1.0015879635981946,0.9786548927976941,0.9296090767492167,5.1000000000000005
52,1.007848765917096,1.000336833787435,0.9571445177708707,5.2
53,1.0139200846183976,1.018574487784898,0.9832705301950015,5.300000000000001
54,1.019005751764755,1.0329069722621638,1.0074897478795126,5.4
55,1.0214917169171511,1.0440063779628275,1.0289860409790939,5.5
56,1.0206764022103538,1.0528528073917103,1.0465181472725589,5.6000000000000005
57,1.017550129330886,1.0597430748640537,1.059111676773129,5.7
58,1.0134787151101243,1.0641519626298335,1.0666426758772223,5.800000000000001
59,1.008771965371182,1.065381936231888,1.069740357957462,5.9
60,1.0029106376459238,1.0631322257292843,1.06922013044763,6.0
61,0.9955988162727424,1.0576252837017193,1.0655431332917977,6.1000000000000005
62,0.9870908470140783,1.0496031197288576,1.0586883852870395,6.2
63,0.9778484242439597,1.0402865288889782,1.0485592606747722,6.300000000000001
64,0.968556449660877,1.0310269598038833,1.035626600900209,6.4
65,0.9602618223208064,1.0227449725602218,1.0211857331628926,6.5
66,0.9537016432970717,1.0157202861808377,1.0068913129583188,6.6000000000000005
67,0.9485162134763201,1.0098750391653237,0.9940205338812308,6.7
68,0.9438971206506453,1.0050703216781676,0.9831722403541061,6.800000000000001
69,0.9400297463494716,1.0011555056266068,0.974445427190006,6.9
70,0.9381332832235162,0.9979728219309495,0.9676709603152892,7.0
71,0.9389272620127356,0.9954598764002504,0.9625903619405046,7.1000000000000005
72,0.9416671761735912,0.9937754271021082,0.9590662362692927,7.2
73,0.9448136211324877,0.9933322437627732,0.9571326518031696,7.300000000000001
74,0.9470758822255821,0.9945354375195438,0.956799291344402,7.4
75,0.947666447235775,0.9973416451700131,0.9579513764401659,7.5
76,0.9462461012358668,1.0011640658280105,0.9605021148521495,7.6000000000000005
77,0.9432277706155012,1.0052959769818428,0.9644390452872482,7.7
78,0.9399973924683839,1.0093411144575326,0.9696049038403347,7.800000000000001
79,0.9383297976020846,1.0132331399116616,0.9755546367508956,7.9
80,0.9392922439063337,1.0170171081580741,0.9817235899359709,8.0
81,0.9425919654699121,1.0207411512664981,0.9877254049797773,8.1
82,0.9468752177561622,1.0244748919616735,0.9934566533450759,8.200000000000001
83,0.9507008034658202,1.0282301588029745,0.998896968293417,8.3
84,0.9534457481656315,1.0317513310383526,1.0038234926946032,8.4
85,0.9553735432668506,1.0344769125143032,1.0077260256479146,8.5
86,0.9568233101079605,1.0358974379451622,1.0100330159059,8.6
87,0.9575511300865935,1.036025091485342,1.0105392409822092,8.700000000000001
88,0.9570966698925568,1.0354469818942758,1.009624085731196,8.8
89,0.9556170420698425,1.034846166635855,1.0078862666419455,8.9
90,0.9539930945535815,1.0344452907623423,1.0055216975994465,9.0
91,0.9531123349744328,1.033877918176107,1.0022403480433417,9.1
92,0.9532085369027479,1.0325608113083422,0.997848123943699,9.200000000000001
93,0.953820438193722,1.0301635859524152,0.9927255988223666,9.3
94,0.9542228724012172,1.0267321852134443,0.9876512250972003,9.4
95,0.9539506648238615,1.0224901164448983,0.983304419708514,9.5
96,0.9530438633678311,1.0177128157997335,0.9799805597055754,9.600000000000001
97,0.9518476036359634,1.012819857497991,0.977608259544647,9.700000000000001
98,0.9506521628740291,1.0084139799305916,0.9759427331648792,9.8
99,0.9496198411674381,1.0051156454666554,0.974804522300109,9.9
100,0.9489756531730161,1.0033641831324132,0.9741945572959587,10.0
