,V-V,V-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,6.560165323805218e-07,0.0,0.0,0.9
10,9.544120088098764e-06,4.1796467781739594e-07,2.507788066904376e-07,1.0
11,7.707229875127422e-05,7.076935899601048e-06,3.3608637246739456e-06,1.1
12,0.0004350168414313344,5.9787014888323574e-05,3.0187365374338824e-05,1.2000000000000002
13,0.0019444577014565106,0.0003573926774971446,0.00019425383503438213,1.3
14,0.00713122753463736,0.0016913459119507692,0.000972667649962831,1.4000000000000001
15,0.021728344768164848,0.006588182802097495,0.004010109331912527,1.5
16,0.05547754954497475,0.021538898851181005,0.013874545520645815,1.6
17,0.11985114507086296,0.059849104029638285,0.04062755572742776,1.7000000000000002
18,0.22191390124520904,0.1427794715780883,0.10119102633235104,1.8
19,0.358263471761062,0.29517503989085325,0.21560544861780898,1.9000000000000001
20,0.51553010704918,0.5336007218101726,0.39585707873005377,2.0
21,0.6783622334486291,0.8513168067670478,0.6321401299017929,2.1
22,0.8372430485542728,1.2107836512843477,0.8881435974554387,2.2
23,0.9885729030540734,1.5523998473322838,1.1132975445334405,2.3000000000000003
24,1.1286396946553208,1.8161915347764441,1.2658699630748864,2.4000000000000004
25,1.2491826108810462,1.9626644850720705,1.3306323598710392,2.5
26,1.3386964254515277,1.9815882169217283,1.319864371759829,2.6
27,1.3871189110141184,1.8884308801359262,1.2606936709591197,2.7
28,1.389613547452175,1.714707421203227,1.180384275810947,2.8000000000000003
29,1.3478166007955767,1.4978315930256203,1.098344884772759,2.9000000000000004
30,1.269622787203822,1.2733063943884775,1.0255053300076824,3.0
31,1.1681565814999586,1.0696969138148567,0.9668028926472299,3.1
32,1.0590999445859814,0.9056723397154468,0.9234007068721871,3.2
33,0.956801575522596,0.7891474540632373,0.8940463253505724,3.3000000000000003
34,0.871554706042736,0.7190790652182895,0.8761591818600135,3.4000000000000004
35,0.8092564076602834,0.6891894981200902,0.866956077743843,3.5
36,0.7721779596002204,0.6915745018180958,0.8644797983542983,3.6
37,0.7594241575485138,0.7185187037705982,0.868233280243103,3.7
38,0.7673281387252034,0.7625232776750586,0.878892960183071,3.8000000000000003
39,0.7907125569307548,0.8160446391793746,0.8970581425731591,3.9000000000000004
40,0.8247240813245412,0.8722338576013697,0.922101793615923,4.0
41,0.8658736488237917,0.926191228819974,0.9521730131915509,4.1000000000000005
42,0.9116336914853048,0.9753477557607073,0.9849051858770971,4.2
43,0.9594609177534912,1.0186731273154523,1.0177957575890677,4.3
44,1.0062224752752964,1.0555857924576875,1.048222000655511,4.4
45,1.0481215763725638,1.0852487933493948,1.0736541822563328,4.5
46,1.0811520604142093,1.1064241825476948,1.0919685732826738,4.6000000000000005
47,1.1022753896325386,1.1179309475244508,1.1014550155300917,4.7
48,1.1106012238612006,1.1194687882910364,1.1007956391509002,4.800000000000001
49,1.1073980467732438,1.1120656194709142,1.08958798542001,4.9
50,1.0949678267310656,1.097579977565877,1.069174241492801,5.0
51,1.0756474156939206,1.0778423516419098,1.0427487024429658,5.1000000000000005
52,1.0517612547162611,1.0545359103343488,1.0144075224036415,5.2
53,1.0258970795715565,1.0297137069778366,0.9879763525498503,5.300000000000001
54,1.0005370530088133,1.0058098381722858,0.9663415426025916,5.4
55,0.9773353931916974,0.9849501312588376,0.9510970858376526,5.5
56,0.9570602887499347,0.968562163492604,0.9423699684679665,5.6000000000000005
57,0.9403710542794873,0.9575244510109668,0.9392769970086811,5.7
58,0.9284583876195626,0.9520687067494146,0.9409040390477773,5.800000000000001
59,0.9227606166605695,0.9513721829054037,0.9467210161159973,5.9
60,0.924076930369299,0.9538053119103692,0.9560104755743284,6.0
61,0.9320127080748127,0.9579778128193397,0.9673050233239003,6.1000000000000005
62,0.9451964685656163,0.9634694824654494,0.9787867296649823,6.2
63,0.9619184153335602,0.9705427982018915,0.9893174916913959,6.300000000000001
64,0.9806062316696244,0.9794288918924007,0.9989581800481068,6.4
65,0.9997702763926513,0.9899395868803877,1.0083477071108602,6.5
66,1.0175822718498444,1.0013766916710853,1.017477579410217,6.6000000000000005
67,1.031811253367032,1.0125412192458152,1.0251220613257341,6.7
68,1.0405207349093295,1.021994668193383,1.0295710844883281,6.800000000000001
69,1.042987311194401,1.0285802224105456,1.0299139763030571,6.9
70,1.0400516636866333,1.0318283986777497,1.0266408688757016,7.0
71,1.0337672010915016,1.0320138539616173,1.0212263327408622,7.1000000000000005
72,1.0266341900434561,1.0299391686857853,1.0152433839741637,7.2
73,1.0205419637989628,1.0265791008403171,1.0096233074753627,7.300000000000001
74,1.0157924562138891,1.0227067953899762,1.0044580481194574,7.4
75,1.01108955670343,1.0186462339655706,0.9994227541942292,7.5
76,1.0047860423236072,1.0142403040927264,0.9943472009501192,7.6000000000000005
77,0.9963362894245902,1.009049814838722,0.9894305059792516,7.7
78,0.9866605004260334,1.002755056110875,0.9851148854024809,7.800000000000001
79,0.9773619635627407,0.9955208196099431,0.9818997131972466,7.9
80,0.9697577510011666,0.98803727787301,0.9801782166149705,8.0
81,0.9645376405173134,0.9812813132817457,0.9800750441381754,8.1
82,0.9620754901320583,0.9762566548760232,0.9813681073810068,8.200000000000001
83,0.9627599443786474,0.9737598025555666,0.983610217809413,8.3
84,0.9667768617837431,0.9741141128948708,0.9863446009423121,8.4
85,0.9736294839617347,0.9770031876292774,0.9892642923089346,8.5
86,0.9821394749329287,0.9816348195632294,0.99232202533786,8.6
87,0.9910180462428126,0.9872169668086617,0.9957201290622372,8.700000000000001
88,0.9993132996563167,0.9933595558265049,0.999654705230552,8.8
89,1.0062871549128336,1.0000273730447478,1.0039504357257887,8.9
90,1.0112156242034045,1.0071376330271153,1.0079511274909705,9.0
91,1.013693632902399,1.0142622549943168,1.0108993805936695,9.1
92,1.0140516034689464,1.0206728349798828,1.012512085569438,9.200000000000001
93,1.0131482951667299,1.025577620081637,1.0130777309415597,9.3
94,1.0116806682735655,1.0283603131750925,1.0128584837871568,9.4
95,1.0097987230425918,1.0287951268172462,1.011569135950978,9.5
96,1.0073452775349032,1.0271689506484059,1.0087425605590472,9.600000000000001
97,1.0043257722109837,1.0241726134572886,1.0045564671243246,9.700000000000001
98,1.0011223393047104,1.020661940473185,1.0000064129339157,9.8
99,0.9983898183011423,1.0175359934893253,0.9962951457209152,9.9
100,0.9968062331772188,1.0156730472390814,0.9942575987633616,10.0
