,Li-Li,Li-O,O-O,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,2.0612114500421623e-07,0.0,0.4
5,1.7562985136453932e-07,4.681045879374075e-06,0.0,0.5
6,1.6752762943180366e-06,5.0240894127133376e-05,0.0,0.6000000000000001
7,1.1119109744906876e-05,0.0003663055148037679,0.0,0.7000000000000001
8,5.63661123904477e-05,0.001966084441292723,0.0,0.8
9,0.00023514503301432969,0.008509807867587519,0.0,0.9
10,0.0008265652295893663,0.03051938996438563,0.0,1.0
11,0.002504804669760769,0.09153338644983594,0.0,1.1
12,0.006673294436406333,0.2306340513278679,0.0,1.2000000000000002
13,0.015874287352036,0.4907993757540997,1.6153167281963074e-06,1.3
14,0.0340862439259148,0.8885048225137664,1.3476802574936234e-05,1.4000000000000001
15,0.06650052826994281,1.3819101263471953,7.85220138780062e-05,1.5
16,0.11836779409640821,1.8705459395441209,0.00035533960014464517,1.6
17,0.1930466829332979,2.2389852544525533,0.001291802658007666,1.7000000000000002
18,0.29026354907061597,2.4140297627707867,0.0038541642750460135,1.8
19,0.40578181548754594,2.3916154623942925,0.009591574680447051,1.9000000000000001
20,0.5326995864821971,2.2219306319302197,0.02031504726091464,2.0
21,0.6632878143747464,1.9754935858996066,0.03758070391132197,2.1
22,0.7900670565703924,1.7146854364106223,0.06276499072492435,2.2
23,0.9060440597718461,1.4795520073343833,0.09833877629465851,2.3000000000000003
24,1.0051118566979964,1.286753665808589,0.1492522644548662,2.4000000000000004
25,1.0831192075210672,1.136969134207544,0.22180396842035738,2.5
26,1.1387663092875229,1.0239235926793013,0.31911612868610945,2.6
27,1.1733888365475162,0.9399975142606222,0.437000212092729,2.7
28,1.189857621499509,0.878385394882539,0.5650263937492461,2.8000000000000003
29,1.1915983537779002,0.8341047751875311,0.6923171203667626,2.9000000000000004
30,1.1822678809338554,0.804276885125454,0.8121556481665377,3.0
31,1.1656550050341281,0.7872192856544306,0.9210611912114285,3.1
32,1.1451651712015196,0.7811481031963133,1.0147271073523556,3.2
33,1.1230374286509686,0.7839322239983634,1.0870926498122149,3.3000000000000003
34,1.1001378623897091,0.7937569862032537,1.1343899637543593,3.4000000000000004
35,1.076654054466192,0.8093752101979036,1.1585433371969902,3.5
36,1.0529180491741188,0.8295381195796196,1.1647222455821598,3.6
37,1.0296404130484473,0.8525165399720611,1.1562028317907973,3.7
38,1.007783299286947,0.8763755243203698,1.1336102099022218,3.8000000000000003
39,0.9884416821506035,0.8996486308570187,1.0991979952822026,3.9000000000000004
40,0.9726070641557565,0.9216547430857646,1.0595269846607727,4.0
41,0.960752345864789,0.9421903002761367,1.0223540161190698,4.1000000000000005
42,0.9525743070907331,0.9610726766753406,0.9918676608316137,4.2
43,0.9472795378274906,0.9780316292744724,0.9682235133127531,4.3
44,0.9442464166465727,0.9927043934239048,0.9506306851415922,4.4
45,0.9433777641723033,1.0045593743820285,0.9390804819983337,4.5
46,0.9448444224939959,1.0131513602021425,0.9332614945024728,4.6000000000000005
47,0.9487513124720267,1.018591073200967,0.9315998305176797,4.7
48,0.9551141211050534,1.021545806386165,0.9320138987817258,4.800000000000001
49,0.9636824951584759,1.0228013141242147,0.932923388760237,4.9
50,0.973484257991438,1.022984900301744,0.9336680813877845,5.0
51,0.982952149304483,1.022523515511571,0.9347462584935559,5.1000000000000005
52,0.9908063507071518,1.0214977545994741,0.9370442981008212,5.2
53,0.9966307717033027,1.0195141283490738,0.9401078618794815,5.300000000000001
54,1.000680662638593,1.0160536013429102,0.9422765408846122,5.4
55,1.0035301692822687,1.0111957045882494,0.9431881527650341,5.5
56,1.0057644462575506,1.00579773923755,0.944539831685057,5.6000000000000005
57,1.0075711414148483,1.0006168124270454,0.9475503813436733,5.7
58,1.008632242901483,0.995520128542939,0.9511557956624053,5.800000000000001
59,1.0085505992792667,0.9900657262098006,0.9536306252488396,5.9
60,1.007278052213862,0.9846295190141825,0.9553307149336023,6.0
61,1.0051154091280792,0.9804123155166247,0.959225194757078,6.1000000000000005
62,1.0024701939064262,0.9783824324897596,0.9682181264921355,6.2
63,0.9996972118964448,0.9785519405364616,0.981464791576158,6.300000000000001
64,0.9972010415864614,0.9800820209306909,0.9939277523726512,6.4
65,0.9955593599535086,0.9817072580338716,1.00051852127398,6.5
66,0.9951537305205972,0.9822892897187618,1.0003513717115227,6.6000000000000005
67,0.9955700539410509,0.9815688653664043,0.9963721519274925,6.7
68,0.9957777578197109,0.9806153791147941,0.9916728539642357,6.800000000000001
69,0.9951415293716304,0.9812968483151823,0.9874936428825225,6.9
70,0.9939806625846179,0.984880838953934,0.9844979495468158,7.0
71,0.9930574723807128,0.990879269879916,0.9841016985343248,7.1000000000000005
72,0.9928453263329351,0.9972884161896928,0.9871222812381857,7.2
73,0.9933959243755354,1.002129863927844,0.9917824131141103,7.300000000000001
74,0.9945799887697916,1.004859230937866,0.9945242606956253,7.4
75,0.996179385183837,1.0063458530971905,0.9929665105568605,7.5
76,0.9978272317537711,1.007668631614825,0.9873773125602416,7.6000000000000005
77,0.999099682141827,1.0090275923208756,0.9798079637855351,7.7
78,0.9997530344483259,1.0096918044151628,0.9730828516437466,7.800000000000001
79,0.9997757599973408,1.0088631576273233,0.9704078145234837,7.9
80,0.9991882288509419,1.0065424398053036,0.9742088706286183,8.0
81,0.9979530262309328,1.0036010234535837,0.9841342608251893,8.1
82,0.9961715228497471,1.0011402089793666,0.9963175834931275,8.200000000000001
83,0.9942789125290129,0.9998806796808539,1.0053954681811472,8.3
84,0.9929602801964177,1.0000065482839458,1.0079776543625485,8.4
85,0.9928053511314147,1.0012464781180366,1.0047012323389313,8.5
86,0.9939191160896523,1.0029758978982628,0.9991781484009075,8.6
87,0.9958370445982229,1.004431499669572,0.9949596265003311,8.700000000000001
88,0.997833124552081,1.0049982028469342,0.9934346298639446,8.8
89,0.9992691884216661,1.0043756208035903,0.994256879514714,8.9
90,0.9997102171177653,1.0026607436653698,0.996738913893384,9.0
91,0.99898279596697,1.0004062346141218,1.0001368000730066,9.1
92,0.9973208464269181,0.9983776286173475,1.0033196306134142,9.200000000000001
93,0.9953527158537312,0.9969826225040941,1.005255790670325,9.3
94,0.9937567116154168,0.9960274134451981,1.0056239276871237,9.4
95,0.9929027424857331,0.9951360101093039,1.0043531432742643,9.5
96,0.9928445924168594,0.994233116723586,1.0009164395841144,9.600000000000001
97,0.9935246234020249,0.9934991861698144,0.9948135769766344,9.700000000000001
98,0.9947987915582824,0.9930447667813187,0.9867584550255495,9.8
99,0.9962631783904909,0.9928133520206022,0.9789753985811805,9.9
100,0.9972619380739113,0.9927161312187186,0.9741798617394619,10.0
