,Li-Li,Li-Si,Li-Pd,Si-Si,Si-Pd,Pd-Pd,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,1.3956803475856102e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.0924668083917089e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,6.2384802583946e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,0.00027674139347990046,7.099135332009852e-07,2.3663784440032839e-07,1.1831892220016419e-07,0.0,0.0,0.9
10,0.0009982222292109267,7.795344455508405e-06,7.664250894924644e-06,1.193686518770391e-06,5.276877857383866e-07,0.0,1.0
11,0.0029722958241731362,5.438468146861936e-05,6.233845177548563e-05,1.0933380844599542e-05,9.503080661018707e-06,0.0,1.1
12,0.007529156531204962,0.0002868466353430962,0.00035104433454490383,7.667614831420529e-05,8.461642506295173e-05,0.0,1.2000000000000002
13,0.01675808209064302,0.0012247256414689945,0.0015735539785611704,0.0004180896891738932,0.0005165199018112782,1.5507559417617894e-06,1.3
14,0.033888438911836696,0.004357195544768497,0.005726649148121633,0.0018762210413980434,0.0024700841045764035,1.6611916978356976e-05,1.4000000000000001
15,0.06369844531635357,0.01315353046711686,0.01726228308417964,0.007087504945715767,0.00966758207047909,0.00011209501901217164,1.5
16,0.11199628183127955,0.03415279447483442,0.043921515150537216,0.022716673786775558,0.03155065763483214,0.000576049827386191,1.6
17,0.1831401193329337,0.07721796832803152,0.09626138846307188,0.061982341084635496,0.08674899945354528,0.002386198548445642,1.7000000000000002
18,0.27656325120903946,0.15380948373691045,0.18535647344033554,0.14454789783481548,0.20263152687493333,0.008212408104792198,1.8
19,0.3854255713198022,0.27295860208049094,0.3187821275407526,0.2898532938075396,0.40550698793975964,0.02383588111428814,1.9000000000000001
20,0.4997074315808079,0.43623188362720616,0.49537174001459294,0.503722643910396,0.7015730071022547,0.05911931280756288,2.0
21,0.6117977585540644,0.6341166390998665,0.7013108302214248,0.7660441109287113,1.0601085726212243,0.1267637789492257,2.1
22,0.7191732371047296,0.8461624892812762,0.9117071943886856,1.0312479653001256,1.4156387523809781,0.23764872118746472,2.2
23,0.8210949128569168,1.0459020574430729,1.0986603858184782,1.2456360331524843,1.693846671242556,0.3939972938248792,2.3000000000000003
24,0.9135321784951299,1.2090698927370125,1.2412003441252801,1.3714520944047905,1.8450535276510358,0.5844858898830477,2.4000000000000004
25,0.9892676594556455,1.3210089333769843,1.3311871386563476,1.401326498436545,1.8619728337111767,0.7854062118315424,2.5
26,1.0430218594100227,1.379370061949314,1.3724085150646315,1.3551899580852456,1.7732038518559972,0.9683244427547001,2.6
27,1.0741780726828551,1.3917536755096982,1.3745556855304317,1.2655301197194129,1.6229047538606982,1.1100655252094498,2.7
28,1.0841558990868327,1.3707752033710217,1.347522949683834,1.1627413549047263,1.4520891527223956,1.1993744836556415,2.8000000000000003
29,1.074281271322938,1.3290403645431623,1.2999013206966576,1.0673792609447073,1.2893329696272764,1.2377747741831022,2.9000000000000004
30,1.0480496158080836,1.2758342544051902,1.2399546494062126,0.989122297462541,1.1499050840390568,1.2360199107729748,3.0
31,1.01324533992884,1.216870186846418,1.1758622070766054,0.9298829572387606,1.0389979664559124,1.2084556587740514,3.1
32,0.9795891688436457,1.1565832401932916,1.1147042308836632,0.8882941156244331,0.9556543634932068,1.167469599476637,3.2
33,0.9540682197326537,1.1000167472800417,1.061054299871271,0.8625384159847971,0.8959634904288695,1.1207934278139238,3.3000000000000003
34,0.9382696658251413,1.0519385593415946,1.016261908087014,0.8505643873670005,0.855521340598191,1.072962939151783,3.4000000000000004
35,0.929181060799948,1.0146902078036946,0.9795730737558161,0.8496572253055003,0.8312371900025024,1.0282632560625273,3.5
36,0.9222734981830865,0.9878759478827394,0.9502141417949203,0.8569016522622325,0.8217495566682772,0.9914877304557171,3.6
37,0.9145852828656278,0.9699256818672707,0.9283716053687233,0.869766391481725,0.8259805507814857,0.966034895931511,3.7
38,0.906061575921235,0.9592708307270654,0.9145816697894465,0.8859880059925405,0.8412931188758075,0.9524003576835312,3.8000000000000003
39,0.8989014670334347,0.9546200332433225,0.9088510523970912,0.9034134237048351,0.8636114185182086,0.9491336684889711,3.9000000000000004
40,0.895775709324743,0.955320302504015,0.9104382694080395,0.9205008046105964,0.8893335905814765,0.9544933047212363,4.0
41,0.8980905349200553,0.961448627561377,0.9182682599965329,0.9369657440269297,0.9163368710886846,0.9661212409231019,4.1000000000000005
42,0.9052187016777817,0.972844795902592,0.9313475030233542,0.9536429868700226,0.9430211516126411,0.9798433808181587,4.2
43,0.9146633985548253,0.9880533167224057,0.9488724938182566,0.9713569642717267,0.9674637086713438,0.9907183898403025,4.3
44,0.9231730870909967,1.0044790360673126,0.9701316096792482,0.9897492151962125,0.9880840154765507,0.9961093715083975,4.4
45,0.9289918415751824,1.0194224417691484,0.9938747392163694,1.007131948951007,1.0043933486885084,0.9970920089388774,4.5
46,0.933499950383955,1.0309444965176902,1.0172485880639606,1.0213515775772142,1.0164738195699239,0.99641300497383,4.6000000000000005
47,0.9398461765640139,1.038210707418937,1.03598958445198,1.0306838167359025,1.0242291993986323,0.9956616192812825,4.7
