,In-In,In-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,0.0,0.0,1.4416120128519039e-07,1.0
11,0.0,0.0,6.3742475307387814e-06,1.1
12,0.0,8.757792978075317e-08,7.144551653901922e-05,1.2000000000000002
13,0.0,3.27189581413132e-06,0.0004884719669513346,1.3
14,0.0,3.006567115329088e-05,0.002495569934861561,1.4000000000000001
15,5.165276765896972e-06,0.00019088939141469573,0.010263130338925642,1.5
16,5.156232949376166e-05,0.0009393504167605661,0.03476471882276309,1.6
17,0.0003300196472754884,0.003764729197613763,0.09791475454153187,1.7000000000000002
18,0.0016052696066851226,0.012592170380448202,0.23100545804620318,1.8
19,0.006294344407988712,0.03564611069134529,0.4601905622172748,1.9000000000000001
20,0.02031231427218133,0.08631157059993497,0.781564868404885,2.0
21,0.054642872674076186,0.1804166751692763,1.1452282396428675,2.1
22,0.1240395358904618,0.32850131646392494,1.469428747241689,2.2
23,0.24061405497546148,0.5261656424003188,1.6805502630399891,2.3000000000000003
24,0.4045105405324601,0.7499691127291678,1.7483032521844497,2.4000000000000004
25,0.5990144715458823,0.9641944931798463,1.6912899053678563,2.5
26,0.7961112128428782,1.1351302360255442,1.5569860320153996,2.6
27,0.9695960676866324,1.2432840276150252,1.3964407597859863,2.7
28,1.1053910401782845,1.2868855054540225,1.2476837978373336,2.8000000000000003
29,1.201652227048918,1.2778071205548098,1.1302130389072391,2.9000000000000004
30,1.2614805487388374,1.2348264515797924,1.0476233066952054,3.0
31,1.287531697778829,1.1771867142539267,0.9943105699024016,3.1
32,1.2827890203672994,1.1191735361676969,0.9621298023935011,3.2
33,1.2528787897229396,1.0674235099256815,0.9442067807347884,3.3000000000000003
34,1.2055596243155244,1.0227523995888335,0.9356828297565064,3.4000000000000004
35,1.1496583068659332,0.984660569248152,0.9331402849872489,3.5
36,1.0952082617730658,0.9541051546525425,0.9342738334639795,3.6
37,1.0515131068520447,0.932675314835549,0.9378718769308346,3.7
38,1.022141899741637,0.9205628908697507,0.9436530346080001,3.8000000000000003
39,1.0026534416575554,0.9163679603944248,0.9518195487736877,3.9000000000000004
40,0.9853507478242733,0.9185822425841763,0.962216775776734,4.0
41,0.9665988326357048,0.9263106303960684,0.9734333019700868,4.1000000000000005
42,0.9494654457139113,0.9384408812720031,0.9829522912197425,4.2
43,0.9402817867974466,0.952901434997544,0.9887220925027979,4.3
44,0.9428941730858263,0.967249225941696,0.9907021310964701,4.4
45,0.9549518918552606,0.9798517787975479,0.9906890819527033,4.5
46,0.9689847049238407,0.9903577042796045,0.9906548634217184,4.6000000000000005
47,0.97779817821179,0.9990761643264148,0.9914019982490606,4.7
48,0.9796402342531829,1.0060316559540987,0.9926647578373322,4.800000000000001
49,0.9784367725943999,1.010858379071233,0.9940089632840735,4.9
50,0.9791561156320818,1.0135746282974234,0.9952668143904475,5.0
51,0.9833788025795493,1.0149542117527839,0.9961750733088561,5.1000000000000005
52,0.9893158628953937,1.0158753428624736,0.9961493742178701,5.2
53,0.9951531321729863,1.0166329213143324,0.9949713404100877,5.300000000000001
54,1.0014763560456852,1.0170468461259898,0.9934574977449347,5.4
55,1.0106524771848455,1.0168943293897108,0.9927576150701802,5.5
56,1.0241931924201648,1.0160349060091824,0.9929917859634798,5.6000000000000005
57,1.0403777875488958,1.0144027423556508,0.9930319003742308,5.7
58,1.0539255316868437,1.01217547227825,0.9916560226003741,5.800000000000001
59,1.0584779628951138,1.0099409878001244,0.9886861512450511,5.9
60,1.05088003921336,1.0085538844878228,0.9850668193646508,6.0
61,1.033928036159819,1.0087162595580765,0.9821047329648425,6.1000000000000005
62,1.014403108720512,1.010528701867001,0.9806506851345563,6.2
63,0.9978301417739044,1.0132678725851532,0.980718581118419,6.300000000000001
64,0.9853009049751716,1.0156255050028329,0.9816355948183907,6.4
65,0.9751372148061146,1.016427949166695,0.9825439101812041,6.5
66,0.9663354625333905,1.0154866253493084,0.9828883747374605,6.6000000000000005
67,0.9595681727761322,1.013873713798451,0.9825891269629163,6.7
68,0.9556590110171294,1.0131350574248015,0.9818963804309525,6.800000000000001
69,0.9544409022159599,1.0139388255834343,0.9811129676668956,6.9
70,0.9552400990588586,1.015453659044056,0.9804047828146369,7.0
71,0.9574140848585038,1.016119298485144,0.9798547380755199,7.1000000000000005
72,0.9597981408767458,1.015020384793948,0.9796363169562263,7.2
73,0.9604418107954418,1.0125779474171783,0.9799885817090452,7.300000000000001
74,0.9579496595251001,1.0100964533446413,0.9809262366514412,7.4
75,0.9529348693668226,1.0087593756777173,0.9820015183354606,7.5
76,0.9474389276676243,1.009007634511443,0.9824650279048189,7.6000000000000005
77,0.9429297395416228,1.0107598840221181,0.981789727413264,7.7
78,0.939466296941565,1.0139683504084351,0.9801413774518244,7.800000000000001
79,0.9368152971168763,1.0186960865113233,0.9783122885744467,7.9
80,0.9353932372740865,1.024648490798638,0.977133361659543,8.0
81,0.935601138163325,1.0308473833488718,0.9769611409293405,8.1
82,0.9371890192717532,1.0359664142628087,0.9776305566695729,8.200000000000001
83,0.9400163798562936,1.0390967128593622,0.9786632480811455,8.3
84,0.9443081314828209,1.0402310793302834,0.9795202049300573,8.4
