,Li-Li,Li-Sn,Sn-Sn,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,5.357321288008046e-07,0.0,0.0,0.6000000000000001
7,4.426776728814622e-06,0.0,0.0,0.7000000000000001
8,2.7108671418815506e-05,0.0,0.0,0.8
9,0.00012646966982377456,0.0,0.0,0.9
10,0.000484120543402443,0.0,0.0,1.0
11,0.0015449892445576637,1.3816249637494432e-06,0.0,1.1
12,0.004212533868172191,1.4259501342990646e-05,0.0,1.2000000000000002
13,0.010051415185781986,9.60010138107324e-05,0.0,1.3
14,0.021468963334396837,0.000489823147250792,6.508481234191594e-07,1.4000000000000001
15,0.04183913669606221,0.0020259164903448992,7.717713552625953e-06,1.5
16,0.07531942380420685,0.0069753416823882895,5.678272137799552e-05,1.6
17,0.12601105218888367,0.02032835004519139,0.00031421926654943505,1.7000000000000002
18,0.19648058565969337,0.05088613718619703,0.0013951150493355699,1.8
19,0.2863109143294744,0.11089554976221211,0.005158529052882655,1.9000000000000001
20,0.39158289080778386,0.21306842284120064,0.016143065620311696,2.0
21,0.5056226131430289,0.36511540471551174,0.04323189765490264,2.1
22,0.6204658634667063,0.5638635383630337,0.09994936965934813,2.2
23,0.7283068420301357,0.7925072197691284,0.20114965667319254,2.3000000000000003
24,0.8227939512128679,1.0240850559311088,0.3555099541153619,2.4000000000000004
25,0.9001065647066236,1.2303260882590097,0.5572152741144759,2.5
26,0.9592610822714057,1.3902679500372233,0.7830746600830061,2.6
27,1.0018084655466164,1.493797865228792,0.9990114784733044,2.7
28,1.0313430452105128,1.540882869700925,1.1730811762190871,2.8000000000000003
29,1.0521424362330754,1.539476109523705,1.286768066384668,2.9000000000000004
30,1.066929632545221,1.502434754554021,1.3380119396757442,3.0
31,1.0756484749957864,1.4432439875972034,1.336621024216529,3.1
32,1.0764640541733461,1.3726523823191357,1.2975355024872957,3.2
33,1.0681194183009959,1.2980991469072487,1.2358495853348719,3.3000000000000003
34,1.0517421647850405,1.2249424013085528,1.1641255651241584,3.4000000000000004
35,1.030620869773717,1.1572003661428436,1.0916442685752572,3.5
36,1.008405660376269,1.0972340635205449,1.0252708463165503,3.6
37,0.9876698629892193,1.0456592150676547,0.9704366218626612,3.7
38,0.9698608230880869,1.0022177811399764,0.9305801155434339,3.8000000000000003
39,0.9559194999534476,0.9668047382668232,0.9057866906656631,3.9000000000000004
40,0.9466020509252574,0.9397144829809487,0.8928530979240348,4.0
41,0.9422344708270184,0.9210210221831575,0.887486063802627,4.1000000000000005
42,0.9422043807138625,0.9098852872639046,0.8868727102270926,4.2
43,0.9449205901155195,0.9047085690703435,0.8904533806987348,4.3
44,0.9486134789387484,0.9039757962474851,0.898648872671325,4.4
45,0.9525166193601508,0.9068474753377768,0.9112230050827586,4.5
46,0.9574724827244144,0.9131703608279089,0.9268767733892294,4.6000000000000005
47,0.9652078550870242,0.9231358046026742,0.9439640638665409,4.7
48,0.9765144921108938,0.9365983253618646,0.9612228791841262,4.800000000000001
49,0.9900934097609829,0.9524646391655051,0.9779157843255378,4.9
50,1.0033814235436198,0.968920288559214,0.9936355081908002,5.0
51,1.0143708077509959,0.9842705360416664,1.0080025132399557,5.1000000000000005
52,1.022482300510654,0.9974705284205304,1.0204919881706767,5.2
53,1.0279826842491209,1.008071224337817,1.030682590726901,5.300000000000001
54,1.0310774455806553,1.0159614790803266,1.0385238513845667,5.4
55,1.0317022363059707,1.0211706841061927,1.043906019150306,5.5
56,1.029927001046843,1.0237626252008494,1.0461156945584271,5.6000000000000005
57,1.0262530561383498,1.0238842943070348,1.044410195778933,5.7
58,1.0214308839273216,1.021956740953161,1.0391494380602329,5.800000000000001
59,1.0161080370138709,1.0187484852346338,1.0317528230264867,5.9
60,1.0107125251512765,1.0151081687374959,1.0235763341726427,6.0
61,1.0055089322195252,1.0115690235526547,1.0154151599237153,6.1000000000000005
62,1.0006707516398918,1.0081809912473447,1.007925789596609,6.2
63,0.9964332435868436,1.004655184428235,1.0017634809424825,6.300000000000001
64,0.9931385644760595,1.0007092186150124,0.99717196655089,6.4
65,0.9908891867083669,0.9964616134781976,0.9938050265701188,6.5
66,0.9891580650210928,0.9925806049463886,0.9910688410122964,6.6000000000000005
67,0.9871125586180857,0.9899705854000617,0.9885112258889791,6.7
68,0.9845371257554191,0.9891752883281633,0.986029772368285,6.800000000000001
69,0.9822113809971321,0.9899963126717075,0.9839586014595193,6.9
70,0.9811221156585517,0.9917027424999122,0.9828783329342666,7.0
71,0.9813249771643701,0.9936108036920078,0.9830817639387567,7.1000000000000005
72,0.981744005312734,0.9954175457034085,0.9842678758272487,7.2
73,0.9811409934159832,0.9970806484612497,0.9859728105249701,7.300000000000001
74,0.9792739286355261,0.9986516451736102,0.9881629200991676,7.4
75,0.9771257121243584,1.0003441523725294,0.9911478333137475,7.5
76,0.9761120223481248,1.0024667674731513,0.9950762785139619,7.6000000000000005
77,0.9771408135781153,1.005006224020926,0.9997743134948134,7.7
78,0.9802672581812854,1.0074773395962817,1.0047757724422959,7.800000000000001
79,0.9848110401204603,1.0094312536850247,1.0091546762293377,7.9
80,0.9895927685127806,1.010888674091734,1.0116599412086096,8.0
81,0.9934213489764699,1.0120631476487623,1.0115228186470266,8.1
82,0.9957693755805379,1.0128824605906122,1.0090294103661526,8.200000000000001
83,0.9969102577644858,1.0129713304056618,1.0051175377602144,8.3
