,Li-Li,Li-Si,Li-F,Si-Si,Si-F,F-F,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,5.57924727144203e-07,0.0,0.0,0.0,0.4
5,0.0,0.0,6.7281708711116975e-06,0.0,0.0,0.0,0.5
6,2.049519405835848e-07,0.0,6.0555409329185935e-05,0.0,1.2297116435015088e-06,0.0,0.6000000000000001
7,1.3364545329062008e-06,0.0,0.0004026715294156318,0.0,2.1230384736211922e-05,0.0,0.7000000000000001
8,7.414741460273691e-06,0.0,0.002054746042115871,0.0,0.00016045338045850622,0.0,0.8
9,3.357727128471605e-05,4.169956438171207e-07,0.008602078913586735,0.0,0.0008642436862044517,0.0,0.9
10,0.00012577355237275783,4.9508520758738595e-06,0.03018278836015042,4.959330907948472e-07,0.003684214351286932,1.4877992723845416e-06,1.0
11,0.00041217604879440937,3.6039537487811384e-05,0.08914836138654982,1.7922301633985505e-05,0.012778148361737057,1.370760039343091e-05,1.1
12,0.001227224567845995,0.0001972657559669547,0.22212904946356465,0.00018651909765353436,0.03637185591348456,8.422862088542387e-05,1.2000000000000002
13,0.0033818011390449724,0.0008744822719556334,0.4686408672178671,0.0012104941843223023,0.08565517098885753,0.0004088327020585489,1.3
14,0.008578811006730585,0.0032346092410664765,0.8427587802688532,0.005992841519560581,0.16851707678944478,0.0016025308039172913,1.4000000000000001
15,0.019765355492212148,0.010171442065483939,1.304747358734299,0.02394719557147067,0.2804756863397528,0.005233046020940182,1.5
16,0.041107154778047376,0.027576460515819252,1.7624393909657268,0.07887644427964595,0.4015721347682956,0.014529467088612039,1.6
17,0.07741354071354019,0.06512840920894124,2.1118617042951695,0.21617213472265673,0.5054536906184798,0.03482908688973253,1.7000000000000002
18,0.1331545244936953,0.1350838398578159,2.288422798813885,0.4966978727011839,0.5743138071111172,0.07294023513633638,1.8
19,0.21122735358231917,0.24775185207808287,2.289696671718058,0.9642144381202659,0.6063828244341155,0.13465245055293257,1.9000000000000001
20,0.3115701262642315,0.404586360440006,2.1603043513067623,1.5948632904953106,0.6113676344468602,0.22125021964683633,2.0
21,0.430026368659697,0.5932725921382499,1.9607957606425404,2.2700859294165197,0.6011358520191326,0.327970259462225,2.1
22,0.5584148026844021,0.7897292861098774,1.7439328039860187,2.814198514546687,0.5839294469848584,0.4464926972264419,2.2
23,0.6864451032946052,0.9670098564348505,1.544347408947711,3.083610246509615,0.5638845235364252,0.5689729047871706,2.3000000000000003
24,0.8046260961663688,1.1050283639634388,1.3775286786683392,3.0396880127619816,0.543133535250883,0.6893831847668657,2.4000000000000004
25,0.9064456620754805,1.1951054368379903,1.2447954780360981,2.752058432017023,0.5237937924567043,0.8026098481537149,2.5
26,0.9889036241467849,1.2387583984654842,1.1411179985610032,2.3449378416240254,0.5091179254947706,0.905416961781108,2.6
27,1.051801484089813,1.2439789588555052,1.0611370978876404,1.9359485423538618,0.5035245543298229,0.9992875539713422,2.7
28,1.0967224556335249,1.2217272735749722,1.0009035275426357,1.5997373526590482,0.5109748494258015,1.0895380554318483,2.8000000000000003
29,1.126098296538394,1.1832591923224995,0.9570021629023326,1.3601854029864955,0.5327807908449407,1.1783467120850861,2.9000000000000004
30,1.1422426593809858,1.1380892548433852,0.9259794566711604,1.2034072712890733,0.5670566760823094,1.2587533214668438,3.0
31,1.1468291308004759,1.0927944073844078,0.904930672190531,1.1009796431990742,0.6099768493896482,1.3181540956503774,3.1
32,1.1415904135268913,1.0510620777161657,0.8921097194686884,1.030375905702878,0.6570833460032298,1.3490484643674177,3.2
33,1.1293777853664273,1.0147266440441423,0.8865026737183725,0.9825160148291712,0.704080345391937,1.355308716145453,3.3000000000000003
34,1.1136558333171638,0.9849384741810163,0.8869920800670359,0.9565248124589165,0.747717583496967,1.347278242924,3.4000000000000004
35,1.0965901275267251,0.9627169851543317,0.8922305678503658,0.9506117466492365,0.7865247147508911,1.3323985928803164,3.5
36,1.0782296299857648,0.948561969902498,0.9010702190310055,0.9580208719643345,0.8206944050628561,1.3119719832044536,3.6
37,1.057916816464431,0.941440162619177,0.9127868919489137,0.9699909937584095,0.8511415700440883,1.2848504913163967,3.7
38,1.0361813527448434,0.9385981666639813,0.9269126718390138,0.980761695312632,0.8785325201491255,1.251134822185817,3.8000000000000003
39,1.01515060378142,0.9373551000141657,0.9428315253250245,0.9891280328703618,0.903016770277431,1.2124606577642905,3.9000000000000004
40,0.9974319396887025,0.9372502874975543,0.959435493009215,0.9960258275758411,0.9244849489740544,1.1713044145247742,4.0
41,0.9847941324683409,0.9397631160409132,0.9752297244784975,1.0019192056817663,0.9426062702157565,1.131153002960824,4.1000000000000005
42,0.9775788573836417,0.9458152442271851,0.9889595255529193,1.0062531431262602,0.9568430906040514,1.0959150841374523,4.2
43,0.9749032957788752,0.9541884772350943,1.0002365336635968,1.007945842250288,0.9670363138542016,1.0674910167286733,4.3
44,0.9752664147613612,0.9625572668981114,1.0096463506355127,1.005993337358674,0.973966869654395,1.0440645197143252,4.4
45,0.9772293935219134,0.9695758316190515,1.0181883541215018,1.0007432412621187,0.9788030228088738,1.0217377064765831,4.5
46,0.9799475281179136,0.975673871311811,1.0264519016598934,0.99485581269343,0.9819701961673762,0.9981654023583229,4.6000000000000005
47,0.9831927745943743,0.9821149570180743,1.0340957244768174,0.9920049873287339,0.9829694761219567,0.974762485311119,4.7
48,0.9866346484320607,0.989671155174665,1.0399635576000308,0.9940452124529473,0.9815063004615376,0.9557550127360331,4.800000000000001
49,0.9891775723893445,0.997981120092047,1.0427991918198625,0.9995915093661369,0.9784821137325836,0.9448903076163657,4.9
50,0.9896032515552184,1.0056050574499567,1.0420849710462683,1.005137044423174,0.9755994460569948,0.9425977652420361,5.0
51,0.9880588017974655,1.0107726791311233,1.0383544653719146,1.0072118875349059,0.974322236504112,0.9463981543646109,5.1000000000000005
52,0.9863347714099903,1.0125995288479348,1.0329064731720945,1.0037870482170859,0.9755742040968731,0.9538238885836332,5.2
53,0.9862580657225835,1.0117111428212138,1.0273351210025203,0.9946616975188428,0.9799065322700731,0.9639411283095835,5.300000000000001
54,0.9879599386659862,1.0095997669992154,1.022926350042707,0.9814077538506251,0.9871282125339499,0.9761881517235922,5.4
55,0.9898754177655298,1.0076240447970013,1.0198590406073973,0.9669385555983797,0.9957607740957382,0.9892136741228472,5.5
56,0.9904360704374893,1.0066698641823513,1.016993622480253,0.9543241045018724,1.0034069783907111,1.001227499751401,5.6000000000000005
57,0.9897186472861556,1.0072188613472122,1.0129804256857293,0.9453803027739797,1.0079545642517036,1.0105056835794928,5.7
58,0.9892290786752768,1.0091683357568517,1.0076583032638406,0.940266553190805,1.0086946351960169,1.0154488385735876,5.800000000000001
