,Si-Si,Si-N,N-N,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,9.807879386200122e-05,0.2
3,0.0,0.0,0.0013855276419180767,0.30000000000000004
4,0.0,0.0,0.008518237561803095,0.4
5,0.0,0.0,0.04024027028652173,0.5
6,0.0,4.805184859437155e-06,0.15101321213637947,0.6000000000000001
7,0.0,8.242997828701785e-05,0.4505724671731989,0.7000000000000001
8,0.0,0.0006524137980687523,1.0692152329859914,0.8
9,0.0,0.003572174378315065,2.019050641222199,0.9
10,0.0,0.015462813966541481,3.0365971353294734,1.0
11,9.176163502709678e-06,0.054393001934836045,3.6422484127751216,1.1
12,0.00010903788145978839,0.1567409311125579,3.4912385824185166,1.2000000000000002
13,0.0007851024598450809,0.37201002996695365,2.682854061717258,1.3
14,0.004128703238934748,0.7315252402271815,1.6618454238668265,1.4000000000000001
15,0.017388297378379415,1.2005648912696438,0.8389975802403908,1.5
16,0.060246538574392314,1.6599430660661452,0.3551160592449429,1.6
17,0.1735785313463327,1.9575196965084065,0.1381629848286243,1.7000000000000002
18,0.4190778458048411,2.0020105012270952,0.06645596207830622,1.8
19,0.8543827880778172,1.817025360080178,0.059510206262873205,1.9000000000000001
20,1.484198433501275,1.5100116509279329,0.08376321075374013,2.0
21,2.2218587990774448,1.1952908465206515,0.13037306617139677,2.1
22,2.9075953927970124,0.9402755976462881,0.19758014821153339,2.2
23,3.386587478360168,0.7613872902944282,0.28339094465507886,2.3000000000000003
24,3.5895772372113477,0.647827723026819,0.3832550860402053,2.4000000000000004
25,3.5535695253058264,0.583547965076614,0.49029540003599764,2.5
26,3.376943852170634,0.5561782454341115,0.5972724387025103,2.6
27,3.156764071134239,0.5566995204697401,0.6986921374964665,2.7
28,2.9542685597440417,0.576974574778582,0.7915455314129927,2.8000000000000003
29,2.7939994374176984,0.6090814486509288,0.8745883419447091,2.9000000000000004
30,2.6753773386405,0.6464517130555506,0.9473030249690747,3.0
31,2.5826531626854488,0.6847813263731288,1.0092452598620738,3.1
32,2.494584852464564,0.7216135424194087,1.0595160200459564,3.2
33,2.3951880367941283,0.7555940353758813,1.096598232939295,3.3000000000000003
34,2.2797837567424475,0.7864263434312428,1.1193621681979262,3.4000000000000004
35,2.1528741267391505,0.8148748633392219,1.128743075170808,3.5
36,2.0225426319620494,0.8419970545777712,1.128222930806264,3.6
37,1.897334751245063,0.8682493965746548,1.1223929097060175,3.7
38,1.7859397620087987,0.8931916338026058,1.1149723837175642,3.8000000000000003
39,1.6958109267255073,0.9156302497872405,1.1077656164996939,3.9000000000000004
40,1.6294579143386183,0.9341024751559034,1.1006246430248061,4.0
41,1.582406143046155,0.9477939658332354,1.0920855756081211,4.1000000000000005
42,1.5461795575601198,0.9571387454765325,1.080679060880399,4.2
43,1.5137288234956825,0.9632170382693792,1.0662387661256458,4.3
44,1.482411855775198,0.9666319227963618,1.0499714062579,4.4
45,1.4530264330316642,0.9673486926502389,1.0334165103864912,4.5
46,1.4270656052728172,0.965554012104192,1.017653300730599,4.6000000000000005
47,1.4047600678747223,0.9621874365117202,1.0033531173277108,4.7
48,1.38507092567165,0.9584257772259238,0.9910617330479887,4.800000000000001
49,1.3669963579615312,0.9548903731526222,0.9811917521938548,4.9
50,1.3502026628647763,0.9515707205455272,0.9737764034093286,5.0
51,1.3339877673428346,0.9484072857891798,0.9683492168430518,5.1000000000000005
52,1.3164304345026423,0.945808092464013,0.9643161237024547,5.2
53,1.295376978999538,0.9447048219762393,0.961552292468421,5.300000000000001
54,1.2699314803462527,0.9461477152854861,0.9603743511964181,5.4
55,1.2406318348432679,0.9505030536893775,0.9608969764599818,5.5
56,1.2087625847207573,0.9568143094458923,0.9628527936020524,5.6000000000000005
57,1.1759967817529133,0.9633290055673586,0.9660920887601243,5.7
58,1.1438771329254733,0.9690640255677426,0.970666673592934,5.800000000000001
59,1.112678342965992,0.9745753483807904,0.9762225658676552,5.9
60,1.0811296244774873,0.9808601636750838,0.9818235072171808,6.0
61,1.0479600840952257,0.9878750775701917,0.9866389248873055,6.1000000000000005
62,1.0134979118367051,0.9945314869986718,0.9904283794573235,6.2
63,0.9793745057991793,0.9997130288939772,0.9931981800234109,6.300000000000001
64,0.9472503149553528,1.002886075231968,0.9948223848997244,6.4
65,0.9185271924633346,1.0041041534309685,0.9953080484143414,6.5
66,0.8947017451806019,1.0039360500083707,0.9951646613408691,6.6000000000000005
67,0.8770555106261354,1.0034583172543,0.9950841928610947,6.7
68,0.8659820647781155,1.00408679917734,0.9952721683820162,6.800000000000001
69,0.8609297765815969,1.006970032239038,0.9953497724317812,6.9
70,0.8606731202860363,1.0121726118200567,0.9948598081470464,7.0
71,0.8630844761663071,1.0184816860129453,0.9936304996744372,7.1000000000000005
72,0.8646692004961093,1.0242072067509238,0.9917785256589097,7.2
73,0.861194766691672,1.0281949937236798,0.9897171885546325,7.300000000000001
74,0.8497754326072974,1.03019192941341,0.9881251081774499,7.4
75,0.8307674769170755,1.0305819818558186,0.9875479980765033,7.5
76,0.8076108564918763,1.0300245960463543,0.9879267623841214,7.6000000000000005
77,0.7847541502007641,1.0292335495306375,0.9887096010103347,7.7
78,0.7652193340407368,1.0288380212702808,0.9894468567162027,7.800000000000001
79,0.7493152574002316,1.0292444932981342,0.9901090376188874,7.9
80,0.7353666738765287,1.030547755657631,0.9908715616826874,8.0
81,0.7220215391998293,1.0326239711889897,0.9918498908800408,8.1
82,0.7100180815142986,1.0353578027865673,0.9930574705375957,8.200000000000001
83,0.7014993114408438,1.038608141612722,0.9943652868051278,8.3
84,0.6976003697219402,1.0418212730410494,0.9954323464778221,8.4
85,0.6970494735750569,1.0439796021550805,0.995889244709566,8.5
86,0.6973410268419573,1.0443041680007443,0.9957162215132276,8.6
87,0.6971081151463452,1.0429296948914815,0.9953335826991273,8.700000000000001
88,0.6970199369315496,1.0407516955952478,0.9952342865047034,8.8
89,0.6983769828031331,1.0387948655144228,0.9955596779298801,8.9
90,0.7012391897332217,1.0377780034960455,0.9960179194274955,9.0
91,0.704172789813273,1.037930631161381,0.9961433444816932,9.1
92,0.7055973169707176,1.03897550225799,0.9956374808316779,9.200000000000001
93,0.7050597223142947,1.0403712785320998,0.9945436122258888,9.3
94,0.7033199034563055,1.0416459949474637,0.9931752798652187,9.4
95,0.701659769677117,1.0424286883881564,0.9919000722238462,9.5
96,0.7011728736981041,1.0423216939639925,0.9909217422433496,9.600000000000001
97,0.7021889294969617,1.041116717175617,0.9901927613081749,9.700000000000001
98,0.7040703423264502,1.0391802816283173,0.9895391478725308,9.8
99,0.7057730303865305,1.0373303163441543,0.9889118265850585,9.9
100,0.7066720666053093,1.0362620168289884,0.9884882260717517,10.0
