,Si-Si,Si-F,F-F,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,4.575544567466708e-06,0.0,0.6000000000000001
7,0.0,6.71890107748943e-05,0.0,0.7000000000000001
8,0.0,0.00048126902891048397,0.0,0.8
9,0.0,0.0025004042737061722,0.0,0.9
10,3.690562696392901e-07,0.010348233212855652,6.1685119353995625e-06,1.0
11,5.5768988041279446e-06,0.03482653032820757,5.640672925306235e-05,1.1
12,5.642524214638706e-05,0.09607854459196187,0.00033324442782220573,1.2000000000000002
13,0.0003746645805989961,0.21880163310052173,0.001532261991662789,1.3
14,0.0019002962596920106,0.41470891839621,0.00567132459523768,1.4000000000000001
15,0.007836855772368534,0.6610277199899676,0.017165721886947937,1.5
16,0.026843023686273237,0.8983005096307068,0.04321638402128143,1.6
17,0.07687919707316598,1.0601390318838264,0.092268983774598,1.7000000000000002
18,0.1850100220091662,1.114006704828889,0.1708156676497124,1.8
19,0.3763322270361955,1.0768755562938204,0.2805756986657878,1.9000000000000001
20,0.652213332719192,0.9954307581955365,0.41737223221503644,2.0
21,0.9732314527866,0.9143341737501587,0.5713552218932381,2.1
22,1.2675093805918864,0.8587407048500152,0.7286590262673853,2.2
23,1.4654973294746543,0.8354550118167768,0.8750835762433901,2.3000000000000003
24,1.535291383474455,0.8412960172820463,0.9998512500121045,2.4000000000000004
25,1.4917948932130574,0.8687948345373616,1.0966426048787146,2.5
26,1.378939361610415,0.9080188843552126,1.16247898434308,2.6
27,1.2441706127237158,0.9481532074139718,1.1971289368056657,2.7
28,1.1213887718469684,0.9808766980095681,1.203606656050884,2.8000000000000003
29,1.0262262089233507,1.0033015195005477,1.1881800366408255,2.9000000000000004
30,0.9603495591842974,1.017443620009715,1.1589593134537872,3.0
31,0.9191136061550528,1.02698088208554,1.1236046302513236,3.1
32,0.8971682616206149,1.0348409023093819,1.0871697446111481,3.2
33,0.890031776215719,1.042916170538914,1.0514493469520168,3.3000000000000003
34,0.8935142676779597,1.0520100102865975,1.016442698950496,3.4000000000000004
35,0.9034723175484536,1.0610569820795002,0.9825698933095521,3.5
36,0.9165083909461059,1.067283449172366,0.9519134402416882,3.6
37,0.9305627947495916,1.068236439107144,0.9279497044845704,3.7
38,0.9445387395284129,1.0637053900867675,0.9137373393948998,3.8000000000000003
39,0.9574147193446011,1.0554095268089279,0.90936693033009,3.9000000000000004
40,0.9679292460099445,1.0451849299535894,0.9112648239282193,4.0
41,0.9751318932361175,1.03397378202388,0.9148481216188176,4.1000000000000005
42,0.9791654003672201,1.0224450919050745,0.9177730435758971,4.2
43,0.9814280978061046,1.0120294793319402,0.9203521130667002,4.3
44,0.9837242503708332,1.0047106247099191,0.923674669962449,4.4
45,0.9870975242326699,1.0015084480955063,0.9281194053735212,4.5
46,0.9914999858485299,1.0015262992257268,0.9332760006958531,4.6000000000000005
47,0.9962591528676884,1.0028780628475187,0.9384355558845445,4.7
48,1.000508603387678,1.0042205506346447,0.9429534469725381,4.800000000000001
49,1.0034516253741186,1.0050679804623204,0.9466398660424002,4.9
50,1.004747098007214,1.005283874912323,0.9501001828156826,5.0
51,1.0047188727032323,1.005060288403763,0.9545120068818921,5.1000000000000005
52,1.0040080284458743,1.0051379997613048,0.9607973636246445,5.2
53,1.0030160960874084,1.0062863007680065,0.9689075490608908,5.300000000000001
54,1.0017661537836051,1.0083839881466463,0.9776490622201677,5.4
55,1.0002640365108797,1.0102922313201803,0.9851428055059505,5.5
56,0.9989034176907444,1.0107691250777255,0.9899853689867764,5.6000000000000005
57,0.9984276749012984,1.009453923008807,0.9921270270519575,5.7
58,0.9993958809828587,1.0069788931115289,0.992167485995911,5.800000000000001
59,1.0015401145896523,1.0042045264178054,0.989976330070769,5.9
60,1.0036246760764556,1.001399629786225,0.9848813309950055,6.0
61,1.0042208899201375,0.9982607734013169,0.977230933927791,6.1000000000000005
62,1.0029488229740606,0.9947395148377588,0.968940286391076,6.2
63,1.0008935537913701,0.9916686732054828,0.96224500232547,6.300000000000001
64,0.9995176378462993,0.9903387101955328,0.9582935569968832,6.4
65,0.9991360185950872,0.9914158129253802,0.9568638053293296,6.5
66,0.9987051101618469,0.9943965324444329,0.9569617368660503,6.6000000000000005
67,0.9971035465382023,0.9981442570495541,0.9575942945729548,6.7
68,0.9943057227245008,1.001729260585321,0.9582939651295204,6.800000000000001
69,0.9912864907822077,1.0046917179060701,0.9591304234565459,6.9
70,0.9891596775208517,1.0068847758861958,0.9602071745364499,7.0
71,0.9885529853211408,1.0083945382680832,0.9612740371067778,7.1000000000000005
72,0.9895049890415862,1.0094726204601547,0.9621159884308018,7.2
73,0.9915900411411387,1.0102727755047738,0.9631200073298751,7.300000000000001
74,0.9940360722726596,1.0106844021375114,0.9647511454924637,7.4
75,0.9959515477962031,1.0105504966888164,0.9664287541715897,7.5
76,0.9968166815698097,1.0099394333621663,0.966730177684293,7.6000000000000005
77,0.9968993263847278,1.009081926435639,0.9650858449433064,7.7
78,0.9969795305577679,1.0081990696657388,0.9628498901089929,7.800000000000001
79,0.9975050225202076,1.0075735969452912,0.9623831060854758,7.9
80,0.9981659808345857,1.0076155930877715,0.9651272640376253,8.0
81,0.9984220358821885,1.0085244416132508,0.970448134277561,8.1
82,0.9982542610520505,1.0098452651160674,0.9761272553733382,8.200000000000001
83,0.9981436235311302,1.0106220365783671,0.9801626631920759,8.3
