,Li-Li,Li-Os,Os-Os,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,1.126844550396567e-06,0.0,0.0,0.5
6,1.1882157323604286e-05,0.0,0.0,0.6000000000000001
7,7.703934125893916e-05,0.0,0.0,0.7000000000000001
8,0.0003790952044913302,0.0,0.0,0.8
9,0.0015117745181468542,5.491255161967121e-08,0.0,0.9
10,0.0049774147612246505,1.5825908210295332e-06,0.0,1.0
11,0.01376953021392831,1.4770833745372967e-05,0.0,1.1
12,0.03261353870134573,9.52508215219075e-05,9.918579636303124e-07,1.2000000000000002
13,0.06753254735522463,0.0004760114629875375,1.711951620553203e-05,1.3
14,0.12488374672378791,0.0019483294619265085,0.00014489673176767216,1.4000000000000001
15,0.21013692202648016,0.006685380256980067,0.000855063033207945,1.5
16,0.3261748938455435,0.019527761917193083,0.003960834556237292,1.6
17,0.4712246201110358,0.04915550281601728,0.015024075560301503,1.7000000000000002
18,0.6377120348039679,0.10786307249874261,0.04740764191349497,1.8
19,0.8131250668429544,0.20858011329666457,0.12557166325305108,1.9000000000000001
20,0.9823396542517258,0.35921651339308747,0.2814524387531029,2.0
21,1.1305944627040176,0.5565908623656266,0.5384061875223098,2.1
22,1.2467610403210365,0.7836192240673286,0.8876274577550294,2.2
23,1.3253841283113381,1.0123712848247484,1.2754709934241664,2.3000000000000003
24,1.3659472532486396,1.212252492187488,1.6185759904097525,2.4000000000000004
25,1.3708932832765262,1.3592489992335048,1.841474215029472,2.5
26,1.3450261692488217,1.4418998428442116,1.9101760738031892,2.6
27,1.2958309340405703,1.4622581924107838,1.8393670405918467,2.7
28,1.2325422919787739,1.432488657084738,1.674619643882072,2.8000000000000003
29,1.1641305115640777,1.3691302060115647,1.4678790515198,2.9000000000000004
30,1.0975775033031092,1.2879658011830941,1.261202742394595,3.0
31,1.0369012393377022,1.2015554622445201,1.0811579287012438,3.1
32,0.9831575737349995,1.1189458535400545,0.9395744188379426,3.2
33,0.935575688743434,1.0459644914967934,0.8372996800961309,3.3000000000000003
34,0.8932358622192405,0.9856456344187353,0.7693138340873085,3.4000000000000004
35,0.8566052109255544,0.939036505028536,0.7294068993679912,3.5
36,0.8280402534401675,0.9060574391282226,0.7127480218505211,3.6
37,0.8103233086723407,0.8859888859486902,0.7159795649780829,3.7
38,0.8042848965195928,0.8778523719035922,0.735974249069641,3.8000000000000003
39,0.808364610487886,0.8808104197234944,0.7689607840716615,3.9000000000000004
40,0.8205229855396188,0.8941252463767029,0.8107676134824922,4.0
41,0.8394479038169246,0.9164169743446153,0.8575181583013969,4.1000000000000005
42,0.8635590500671761,0.9449244285501175,0.9059142810136068,4.2
43,0.8900542998794739,0.9758199364626274,0.9531473009961824,4.3
44,0.9158006686167453,1.0056263040568985,0.996805165195456,4.4
45,0.9390285453982641,1.0325263129796847,1.034799312806575,4.5
46,0.9597468309486881,1.0562428748624155,1.0653949089356478,4.6000000000000005
47,0.9783482226072491,1.076619003683453,1.0874239282598817,4.7
48,0.9940082083902314,1.0925093433657806,1.1003397523151035,4.800000000000001
49,1.004793801621444,1.1021803535886552,1.1039968557475928,4.9
50,1.009167422701489,1.1045589039275066,1.0986419100690599,5.0
51,1.0070893060769732,1.0999122440570046,1.085182581514813,5.1000000000000005
52,1.000045845424812,1.0895346279406732,1.0652201122749716,5.2
53,0.9904409079335291,1.0751024858774494,1.0408085977948942,5.300000000000001
54,0.9805675611874396,1.058263691725868,1.0143685231909325,5.4
55,0.9717053816225956,1.0404937327440613,0.9886447336276982,5.5
56,0.9642070410012412,1.023137382886747,0.9662388012022975,5.6000000000000005
57,0.958221715605495,1.007475348069108,0.9489404745916606,5.7
58,0.9539318448847982,0.9944747861277194,0.9375092830079675,5.800000000000001
59,0.9513889094482328,0.9844098517007034,0.9319638859336246,5.9
60,0.9506582786157453,0.9770003696963455,0.9319099942362714,6.0
61,0.9519818854845076,0.9720543361569572,0.9366444440590056,6.1000000000000005
62,0.9553874004976929,0.969868596689946,0.9451249464924626,6.2
63,0.9602550294922936,0.9709671814153059,0.9559538813480029,6.300000000000001
64,0.9656630689174033,0.9754637073685297,0.9676104386941836,6.4
65,0.9712840224564635,0.9826485939384735,0.9789642569027917,6.5
66,0.9776270004240396,0.99114521936514,0.9895932456072987,6.6000000000000005
67,0.9850604269866887,0.9994587672275829,0.9994765579643752,6.7
68,0.9928351756222835,1.0065053154623347,1.008415374994607,6.800000000000001
69,0.9994600723539029,1.0118691365361223,1.0157935733941807,6.9
70,1.0038926294025683,1.0157366933146503,1.0208140208270902,7.0
71,1.0061916337150794,1.0185516413270637,1.0229862728563661,7.1000000000000005
72,1.0073574530782836,1.0205689877226733,1.0225701283021111,7.2
73,1.0086289015952146,1.0216264241818738,1.0206243464364324,7.300000000000001
74,1.0104206640326772,1.021331495444146,1.0184923171744258,7.4
75,1.0118145737197364,1.0194453756161324,1.0170494211622656,7.5
76,1.011388193841826,1.0160895278985667,1.016257745115563,7.6000000000000005
77,1.0084112251779025,1.0116659467333176,1.0152961017514963,7.7
78,1.0032163877653308,1.006695852920327,1.0131385072771768,7.800000000000001
79,0.9970413665139525,1.0017472111818706,1.009222958079229,7.9
80,0.9915983644147922,0.9973950173397459,1.0037524619300264,8.0
81,0.9880808639004585,0.9940844091078265,0.9973825526688846,8.1
82,0.9863101139809374,0.9919959336216908,0.9906848187790593,8.200000000000001
83,0.9850577057875852,0.9911065959670213,0.9840440336116651,8.3
84,0.9831488335901053,0.9913059101197227,0.9780166531100647,8.4
85,0.9801908201874705,0.9923282286483522,0.9734854968425865,8.5
86,0.9766670926977171,0.993709270078434,0.9712474984546955,8.6
87,0.9737259005910678,0.9950812788239166,0.9715412604015243,8.700000000000001
88,0.9726627704213326,0.9965555951697467,0.974042364724736,8.8
89,0.9740507355114447,0.9986539224620061,0.9781451242798138,8.9
90,0.9770818351544936,1.0017560790467133,0.9831853345848083,9.0
91,0.9799949147346407,1.0056074469824285,0.9886081617800676,9.1
92,0.9815179999953714,1.009433780520724,0.9941255342187353,9.200000000000001
93,0.9818791822660757,1.0126197398726375,0.9997023291004078,9.3
94,0.982260450772422,1.0152898589109074,1.0052934664437434,9.4
95,0.9834447674902798,1.0181029642804804,1.010549956891354,9.5
96,0.9852256860812594,1.021376459862522,1.0147982422130646,9.600000000000001
97,0.9869833126122403,1.0245161883694782,1.0174132496166939,9.700000000000001
98,0.988402640151828,1.026513723796385,1.018329208476953,9.8
99,0.9894694348122656,1.0270412946138179,1.0181675889831685,9.9
100,0.9900946988260325,1.0268385030775427,1.0178015603537771,10.0
