,Li-Li,Li-Si,Li-Sn,Si-Si,Si-Sn,Sn-Sn,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,4.789512706303647e-07,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,4.80696766404276e-06,0.0,0.0,0.0,0.0,0.0,0.8
9,2.889140085048597e-05,0.0,0.0,0.0,0.0,0.0,0.9
10,0.00013918114832637055,1.9956302942931856e-06,0.0,0.0,0.0,0.0,1.0
11,0.0005416282886737052,2.3535809734671856e-05,2.238865011603159e-07,5.37327602784758e-06,0.0,0.0,1.1
12,0.001759685208852202,0.00016440506027551313,5.602103507142294e-06,0.00010777888528818648,1.5154317547288887e-06,0.0,1.2000000000000002
13,0.004890954560256928,0.000850807418086696,5.201863837114152e-05,0.0007864227978821118,1.922873702587902e-05,0.0,1.3
14,0.01197727175470596,0.0035522165068308837,0.000326559350620681,0.004175768624289012,0.00013568101520095938,0.0,1.4000000000000001
15,0.026483016065326114,0.012223774868217576,0.0015833844073618836,0.017572966139211787,0.0007377480626069343,2.520945074029152e-06,1.5
16,0.053658784563041816,0.0352034071864159,0.006254264762120863,0.05988474911555522,0.0032073805519259365,2.4015785613675737e-05,1.6
17,0.09996453313074787,0.08592082054458897,0.020529397496073725,0.1671000847616887,0.011571328449867352,0.00015830227696176602,1.7000000000000002
18,0.17082388149807531,0.1800903440268271,0.05660648655700061,0.38574952577185867,0.03526482764931953,0.000820866499082329,1.8
19,0.2673972783757192,0.3287040221036458,0.13236790087087758,0.7456579819161514,0.09179908809084783,0.0034260372119971827,1.9000000000000001
20,0.384832602394376,0.5299322076501511,0.26520717003576993,1.223696978648204,0.205767629735532,0.011977699919814875,2.0
21,0.5138468721721465,0.7653092300810977,0.4607744522245583,1.7310921690333823,0.399736044159485,0.03563627603593973,2.1
22,0.6442600293879942,1.0037561360503233,0.7042364398664714,2.145552119803813,0.6774966218643985,0.0908757056564424,2.2
23,0.7671106987364503,1.2122517451774892,0.9628102363950054,2.370150272383493,1.0099534650148996,0.1991172228098378,2.3000000000000003
24,0.8744789498372119,1.367461492142881,1.1992675964682087,2.3767193482576574,1.3377199373946913,0.3755530480429225,2.4000000000000004
25,0.9596208232136955,1.4619528812606892,1.386217676736931,2.207505866382624,1.5932145972881682,0.6125373901312818,2.5
26,1.0188442602271293,1.5024593467870329,1.511915314342118,1.9429887169027928,1.7288960992938187,0.8724117217835965,2.6
27,1.0529118488022424,1.502759548020518,1.577658423388638,1.6619574037606106,1.7347039190614901,1.1020147345680418,2.7
28,1.0661747921909774,1.4760923497661824,1.5924923082102178,1.4157350749107414,1.6371290277629698,1.2591362572617513,2.8000000000000003
29,1.064723410276553,1.4312177696264434,1.5688615036558797,1.2245748872595894,1.4828792348960906,1.327527918043556,2.9000000000000004
30,1.0548803425470346,1.3732474001799129,1.5190831158891864,1.0892990478050224,1.3166774193296025,1.3129426788248382,3.0
31,1.0415408179163692,1.3067345374653692,1.4525478619692138,1.003214232394147,1.1655956596043329,1.234006919517522,3.1
32,1.0268829983028487,1.237281447127337,1.375352436010129,0.9562297543949239,1.0381647469439144,1.1178780171923606,3.2
33,1.0111497194586412,1.170742452069071,1.2925358312136779,0.935147812962879,0.9346714925126366,0.9954658880882591,3.3000000000000003
34,0.9949048630798428,1.1118342860370358,1.2101316838364387,0.9264157175036518,0.8563038523410549,0.8921092679018074,3.4000000000000004
35,0.9799373378307595,1.063365231102986,1.1348711850815012,0.9212857048699651,0.8056511537867436,0.8201907242693335,3.5
36,0.9680060160973049,1.0261527788973073,1.0722648528559058,0.9187263774291362,0.782468571892593,0.7795491315367069,3.6
37,0.9592860852514189,0.9995929526777144,1.0248918323681468,0.9222416096472466,0.7819027686884601,0.763163416582066,3.7
38,0.9523144615908848,0.9822799860445212,0.9920055070678597,0.9327820551770152,0.7964331670074475,0.7629913265157746,3.8000000000000003
39,0.94543232398913,0.9720414049811363,0.9706181601727715,0.9459274654714979,0.8183977806049958,0.7731004666044083,3.9000000000000004
40,0.938421445180872,0.9662260209623692,0.957246754877861,0.9563451351988139,0.8414124863397462,0.7899247506058487,4.0
41,0.9327076223988751,0.9629636541636857,0.9491351858792159,0.9626056803312643,0.8612600354703046,0.811410226102257,4.1000000000000005
42,0.9301438625122891,0.9618917691522254,0.9445547222324236,0.9666321593870821,0.8766939475290625,0.8365581655784625,4.2
43,0.9321339992062012,0.963170262434436,0.9427453472898134,0.9703177078147345,0.8895256313549382,0.8647211866550304,4.3
44,0.939599507364733,0.9663416793534346,0.9437653426864414,0.9739922168413958,0.9034326128426,0.8944215320817712,4.4
45,0.9524266738734318,0.970543594314774,0.9480187708114318,0.9773453345469219,0.9218824267964537,0.9231652312737518,4.5
46,0.9686316702492119,0.9750330726579447,0.9554740117378391,0.9806276484356969,0.9460785186853476,0.9483253526327171,4.6000000000000005
47,0.9850994489949103,0.9790484038011724,0.9651386450685154,0.9846620054208711,0.9738767406214591,0.967714433697183,4.7
48,0.9995805397204199,0.9819093960307013,0.975220119424571,0.9904541920070902,1.000657951993847,0.9798211934147376,4.800000000000001
49,1.0115120141685212,0.9838056215218477,0.9838336360040953,0.99903599791944,1.0221402363695111,0.9845894077540528,4.9
50,1.020928568943985,0.9860105832308095,0.9899127863856789,1.0101352440006626,1.0370845684643835,0.9842203541882456,5.0
51,1.0273151308551347,0.9897663894679328,0.9938331177258186,1.020076668474124,1.0472839189523528,0.9827856860296453,5.1000000000000005
52,1.0299678106788577,0.9949723611199116,0.9971355410957712,1.0227296559120034,1.054776505419851,0.9844312034812002,5.2
53,1.0291626665372,1.0001767224863598,1.0012622557515973,1.0139680274548768,1.0594194573471847,0.9911797322043794,5.300000000000001
54,1.0262929640448175,1.0037484746917744,1.0063260337334032,0.9949940596798585,1.0596116713553614,1.001786819581003,5.4
55,1.0225177364809834,1.0049826866651566,1.0110905070310026,0.9716002837802107,1.0549128559898082,1.0126546217999637,5.5
56,1.0176279776155153,1.0043124541809205,1.014054738429559,0.950583868510597,1.0468436904332206,1.020347310427956,5.6000000000000005
57,1.0106742980668468,1.0027966913256297,1.0144712365363757,0.9360502575823298,1.0368238392105384,1.023679135358648,5.7
58,1.0016770340567367,1.0015081714143534,1.0125538521862176,0.9280123101121209,1.0244310276195177,1.0238423683315983,5.800000000000001
59,0.9923272567731826,1.0012632471982674,1.0090870152230609,0.9237853270005119,1.0089755007587438,1.0227493608438152,5.9
60,0.9848525017967207,1.0025971039135646,1.004855732179904,0.920360854476573,0.992413799229487,1.0209840347528145,6.0
