,Li-Li,Li-Si,Li-Mo,Si-Si,Si-Mo,Mo-Mo,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,7.391981017620647e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,7.36965628298361e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,4.665577080334045e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,0.0002311115011211802,2.439931234331815e-07,1.2199656171659075e-07,0.0,0.0,0.0,0.8
9,0.0009297303006654847,3.1039612431704984e-06,9.035836707316736e-07,0.0,0.0,0.0,0.9
10,0.0031243485997097557,2.4307355545540356e-05,5.419397566519849e-06,0.0,1.9278469012004464e-07,0.0,1.0
11,0.008964028042454615,0.00013894207123217895,2.7071416072088697e-05,1.7302559445677137e-06,2.2087548629539453e-06,5.190767833703141e-07,1.1
12,0.02240844540660648,0.0006421913957111392,0.00011359771323970901,2.4712067560164284e-05,1.7274297439479887e-05,8.147551583336289e-06,1.2000000000000002
13,0.04964335746525285,0.002478176059406311,0.0004201221870026113,0.00017262977073500947,0.00010791998813152149,6.722592198429626e-05,1.3
14,0.0986827183717906,0.008127864399787538,0.0013993908753966206,0.0009063079364590647,0.0005505882073214217,0.00039760494244136835,1.4000000000000001
15,0.17753212958856923,0.023006430527416893,0.004227441377008397,0.003790126240164516,0.002360222032857157,0.0018562604492265487,1.5
16,0.29108130275673794,0.05684962743622102,0.011508464532601055,0.01299384198575279,0.008663485918954791,0.00713680875305999,1.6
17,0.4385058737951937,0.1237341425304737,0.027993590081363845,0.0369997095533962,0.027491828923262927,0.023007669705092142,1.7000000000000002
18,0.613303958355945,0.23886167661374155,0.06062047554495239,0.08856783894998378,0.07543985758339657,0.06284670616182754,1.8
19,0.8058506189596469,0.41140392717994295,0.11714736714210758,0.18042425001346357,0.17885049551876914,0.14679159060587613,1.9000000000000001
20,1.0055070529516072,0.6363744055507303,0.20344762832591137,0.31680733641606346,0.3666531832712029,0.2959373450179769,2.0
21,1.2000431782347847,0.8916137996766169,0.3207207335863585,0.48591307888918245,0.6524721259169517,0.5203147945304211,2.1
22,1.3744072347626395,1.14346774355336,0.46409843105984927,0.6603348084740394,1.0151432920520613,0.8070634596345,2.2
23,1.512975408499376,1.3578884266632003,0.6228280549398035,0.8077160133410602,1.3951533542309655,1.1183617926608478,2.3000000000000003
24,1.6052844737676701,1.5103700427896283,0.7814676128311586,0.9055635833743789,1.7154522009879916,1.403067043548295,2.4000000000000004
25,1.6500967831427629,1.5908059090473397,0.9225180067899731,0.9501702364205454,1.9144077321650397,1.6160408337863217,2.5
26,1.6543093088223007,1.6028453793286672,1.0309817274531727,0.9538266413143475,1.9691546820290053,1.7340179795148822,2.6
27,1.6289538082396964,1.5594748156812543,1.0989139514167692,0.9337301066983673,1.897441029709392,1.7597909832422933,2.7
28,1.5851124584826681,1.477849878549388,1.1268872069790579,0.9025494691588789,1.7417895003554424,1.7143886234856338,2.8000000000000003
29,1.5301050035440484,1.3755511755302487,1.121790586216527,0.8671096885325721,1.548655330390243,1.6240684745718554,2.9000000000000004
30,1.465957837892586,1.2681010346883002,1.09311835182141,0.8321064831818719,1.3541551499121085,1.510374320067265,3.0
31,1.3930294058015944,1.1668955014993134,1.0500433888646103,0.802538068313891,1.180015383395863,1.3871137235981916,3.1
32,1.3156044424863662,1.078071496088677,1.0002667504325864,0.7834216575552707,1.036198291496962,1.2626112325546046,3.2
33,1.2423683084539539,1.00352052794424,0.9501403004165733,0.7784638818320601,0.9251692249878808,1.1431731838262047,3.3000000000000003
34,1.1808699969430934,0.9435413766168473,0.9048349078545279,0.788559149922208,0.8451654839426188,1.0349572226710284,3.4000000000000004
35,1.132558149913081,0.8988046398293303,0.8679712158315374,0.811105789453115,0.7923008798000958,0.9437681925311999,3.5
36,1.093575077407885,0.8702065815005178,0.8411509477538136,0.8414855906769114,0.7621875795939267,0.8736599929505461,3.6
37,1.059937950711503,0.8574792062291168,0.8241933338525591,0.8755771817134227,0.7512701420182681,0.8258200500666911,3.7
38,1.0316527199076573,0.858349777571893,0.8163411198431627,0.91078303812666,0.757126462326212,0.7990405157181732,3.8000000000000003
39,1.0119588961013306,0.8692548851933461,0.817476765099519,0.9455989494650621,0.7773436940964984,0.7913653928469144,3.9000000000000004
40,1.00329959596755,0.8869449397434764,0.8279988861615609,0.9794727166660029,0.8083051424631031,0.8010626962899321,4.0
41,1.0045061947063048,0.9091929251576151,0.8475296770777971,1.0125964002759396,0.8455730887423188,0.8261512170144037,4.1000000000000005
42,1.0112808878912802,0.9341052744011934,0.8740926486662054,1.0444434160265437,0.8853794361724965,0.8634638091702457,4.2
43,1.0188143083448233,0.9595004398296206,0.9046590136849942,1.0725424346987715,0.9252679074228667,0.9081788937739922,4.3
44,1.0241532063098264,0.9832208506341059,0.9362128920974436,1.0935746484840883,0.9634868550577339,0.9543220793933233,4.4
45,1.0267204483161607,1.003628896694789,0.9662176582601625,1.1054310646033125,0.9985374385689024,0.99649570994557,4.5
46,1.027234910886281,1.0198406993867895,0.9926202041892646,1.1077416121056718,1.0293147162999787,1.0318787159198375,4.6000000000000005
47,1.0266471202261571,1.0318498054000222,1.014132190241028,1.1011626640635974,1.0550272178172784,1.0603994003969786,4.7
