,Li-Li,Li-Cd,Cd-Cd,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,1.1098912045914933e-06,0.0,0.0,0.7000000000000001
8,9.947095112096123e-06,0.0,0.0,0.8
9,5.749634513824104e-05,0.0,0.0,0.9
10,0.00026078639439332826,1.712795068814033e-06,0.0,1.0
11,0.00095240697383983,2.0007988089332837e-05,0.0,1.1
12,0.0028493846188682188,0.00013282783786471562,0.0,1.2000000000000002
13,0.007137964511067124,0.0006815228612931432,7.864875315982804e-07,1.3
14,0.015426703691980102,0.002808493398347188,7.994997491260042e-06,1.4000000000000001
15,0.029867525070283153,0.009577821967159181,5.883308419380406e-05,1.5
16,0.05373780506769639,0.027497953345997393,0.0003208655681307605,1.6
17,0.09193308471952759,0.06743786842655616,0.0014264052184845327,1.7000000000000002
18,0.1500190723606975,0.14315264428446708,0.005300095712087235,1.8
19,0.23157971044636086,0.26620848624717564,0.016748381129932443,1.9000000000000001
20,0.33571251859959045,0.4387720592838806,0.04545813617645978,2.0
21,0.45673734925030685,0.6489716980240443,0.10663620686125053,2.1
22,0.5861063266060139,0.8731614626788451,0.21725771765842733,2.2
23,0.7148885001010181,1.0839807172204687,0.38636570039494217,2.3000000000000003
24,0.8356012080390032,1.2585428179170055,0.6035378774452904,2.4000000000000004
25,0.9428375043575395,1.3828130746943557,0.8356238118412936,2.5
26,1.0328408788740668,1.4526331354926032,1.0386385812283254,2.6
27,1.1031458150857507,1.4729130951735692,1.1779523328632562,2.7
28,1.1530905608810067,1.4549266589705654,1.2411473035485068,2.8000000000000003
29,1.1840403259841623,1.4116779057508966,1.2370826971216982,2.9000000000000004
30,1.1981627973674407,1.3537071718874891,1.1880425724107888,3.0
31,1.1971678690009164,1.2883400323243543,1.1213765194319498,3.1
32,1.1829742498132054,1.2215882501476014,1.0602796700283676,3.2
33,1.1591207829608023,1.1589190447194124,1.0155482873035755,3.3000000000000003
34,1.130305160927166,1.1038723928714715,0.9845735950030644,3.4000000000000004
35,1.100341494994155,1.057363118372984,0.958905528638178,3.5
36,1.0711098643322583,1.0188930778091723,0.9331417369777335,3.6
37,1.0433787155078273,0.9877834807539277,0.9079310954564168,3.7
38,1.0180113409773084,0.9633565365352257,0.8872804220957555,3.8000000000000003
39,0.9961935908628726,0.9450014277212471,0.8745491806836805,3.9000000000000004
40,0.9788713180867862,0.9324767263628851,0.8701885502601859,4.0
41,0.9662476078422195,0.925704026613615,0.8720428224864313,4.1000000000000005
42,0.9578586516637433,0.9241305604875615,0.8773487260806271,4.2
43,0.9530339811001876,0.926602151095168,0.8844677030215072,4.3
44,0.9512559182942735,0.9317553725108176,0.8930753303174415,4.4
45,0.9520847872465004,0.9382646370289932,0.9031337816901097,4.5
46,0.954944060696217,0.9450106157419329,0.9137639297721074,4.6000000000000005
47,0.9592630942952813,0.9515075776449995,0.9234354535210563,4.7
48,0.9648614537112653,0.9581289234748671,0.9314911722184778,4.800000000000001
49,0.9719881558839247,0.9657648583345921,0.9388833464410345,4.9
50,0.9808468849285119,0.9753387787102948,0.9467616073961307,5.0
51,0.9908860827759703,0.9873024597278024,0.9547466979649415,5.1000000000000005
52,1.0004056463763529,1.0008637197401316,0.9607141829647431,5.2
53,1.0071990533008142,1.0137029326707356,0.961618160053169,5.300000000000001
54,1.0101322097887082,1.0230945791409176,0.955242142076989,5.4
55,1.010009142888463,1.0275873331225798,0.9429752868307046,5.5
56,1.00855075331039,1.027555299876243,0.9310202619996127,5.6000000000000005
57,1.0068059718895481,1.0244361092324805,0.9271224153150142,5.7
58,1.0049383336849642,1.019730832155263,0.9349576470123185,5.800000000000001
59,1.0031459680554078,1.0144179071043864,0.9514736199152858,5.9
60,1.0020774469965796,1.0088009073905504,0.96939473641165,6.0
61,1.0021894263185829,1.0028879009968563,0.9824574894298685,6.1000000000000005
62,1.002961744609287,0.997132187817445,0.9890752856357603,6.2
63,1.003044766462617,0.992694052649632,0.9919269081756203,6.300000000000001
64,1.001332440089881,0.9906090522246064,0.9944630968764994,6.4
65,0.997926710913879,0.9907308356901902,0.997544297068142,6.5
66,0.9940689233321469,0.9917608070749233,0.9987966370779933,6.6000000000000005
67,0.9911902505614965,0.9922706391521535,0.9948382989119064,6.7
68,0.9899639416097269,0.9915935746841708,0.9842668390615774,6.800000000000001
69,0.9900707233984553,0.9900774102524789,0.9691450392946627,6.9
70,0.9907292682216327,0.9889109192868055,0.9543715313119358,7.0
71,0.9914075242929489,0.989586315322361,0.9452600235700774,7.1000000000000005
72,0.9920363633892568,0.9930499479945424,0.9444887807230682,7.2
73,0.9927065003793432,0.9990524593084611,0.9506034468428906,7.300000000000001
74,0.993402877034206,1.006184512961665,0.9596587081993131,7.4
75,0.9940105683655727,1.0125443742316784,0.9685448922978948,7.5
76,0.9943616150949278,1.0165606253168402,0.9763544007909442,7.6000000000000005
77,0.9942708413874135,1.017570362862964,0.9827411113890255,7.7
78,0.9937295851962964,1.0160051530988152,0.9866186073319041,7.800000000000001
79,0.9931098540360986,1.0131767277308623,0.9876624925621097,7.9
80,0.9929947097649376,1.0107060426104604,0.9880340575248778,8.0
81,0.9937202554298674,1.009745650269573,0.9911913013063769,8.1
82,0.9951069286218496,1.010371898705762,0.9988664184960215,8.200000000000001
83,0.9966131897689755,1.011672539376454,1.009545674853712,8.3
