,Si-Si,Si-Ru,Ru-Ru,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,8.982383245759901e-08,1.3473574868639853e-07,0.0,1.0
11,1.8756051510211807e-06,2.571555191493585e-06,0.0,1.1
12,2.1389761533939402e-05,2.8925094297810034e-05,0.0,1.2000000000000002
13,0.0001549549561917438,0.0002118771043094823,1.1878743557657994e-06,1.3
14,0.000831596442051182,0.0011756234032101894,1.5322294258422946e-05,1.4000000000000001
15,0.003597988565818575,0.005264500450881489,0.00011226010440671637,1.5
16,0.01289164987640401,0.01957878120433723,0.0005955351573100946,1.6
17,0.03864294241418059,0.06133873517576046,0.002537832765134498,1.7000000000000002
18,0.0975727724514738,0.16277277549462513,0.008888189293454994,1.8
19,0.20913105544643798,0.3672339843534282,0.025944375794037525,1.9000000000000001
20,0.38413511998859545,0.7069675905737453,0.06383756752131316,2.0
21,0.6118737278959411,1.1666213073374263,0.13412056449193893,2.1
22,0.8572789107336297,1.6609684844759904,0.2442874152520581,2.2
23,1.0739848669570786,2.0598317235557633,0.39236930751506754,2.3000000000000003
24,1.225256223807974,2.2549416664325905,0.5656195335970586,2.4000000000000004
25,1.298244087149025,2.217344722088973,0.743644591123864,2.5
26,1.3040663525092386,2.0004647881049915,0.9031491648485134,2.6
27,1.2670571254590661,1.697156058069906,1.0229106352459052,2.7
28,1.2116195529050415,1.392480679183909,1.0896669947264845,2.8000000000000003
29,1.153984031419438,1.139561213823299,1.102700737062111,2.9000000000000004
30,1.1014644274036731,0.9580736164154043,1.0726674354060775,3.0
31,1.0562652600252587,0.8440985193328197,1.0154611443710635,3.1
32,1.0190161141325746,0.7825182422191903,0.947012701187355,3.2
33,0.990098155348391,0.7570170245161083,0.8812525392480529,3.3000000000000003
34,0.9697108408041155,0.7551466722146432,0.8289632879645559,3.4000000000000004
35,0.9575710311017326,0.7686161379687423,0.7969739627479386,3.5
36,0.9524613450440371,0.7914359749991463,0.7885820342736913,3.6
37,0.9521962812689572,0.8189175728533542,0.8039767517929782,3.7
38,0.9544439335321032,0.8479556864688486,0.8393120056363275,3.8000000000000003
39,0.9578279967580768,0.8772095803551525,0.8862674082798099,3.9000000000000004
40,0.9623116993080003,0.9065662684997903,0.9345974442017617,4.0
41,0.9685522904526864,0.9363589468846263,0.976561731973434,4.1000000000000005
42,0.9768310124445375,0.9666671693170616,1.0092213765224958,4.2
43,0.9864793548317423,0.9968185078696319,1.0327354153308053,4.3
44,0.996240390582276,1.0252017479791973,1.0474661690460911,4.4
45,1.0050044162017362,1.0492763432730636,1.0533288990480916,4.5
46,1.0120969797268693,1.0659672986711184,1.051069699299351,4.6000000000000005
47,1.017046819295013,1.0729253775923147,1.042819773257699,4.7
48,1.0194112855267914,1.0701005573315379,1.0309471803794275,4.800000000000001
49,1.0188691334990052,1.0600881688356905,1.0165611540432349,4.9
50,1.0154117327134602,1.046853125305745,0.9994176782658161,5.0
51,1.009599821316335,1.0340307156253064,0.9798403917024681,5.1000000000000005
52,1.0027280519404238,1.0238194894905512,0.9610052596627804,5.2
53,0.9964872109742923,1.016634737439151,0.9482334474379575,5.300000000000001
54,0.9922385199479027,1.0115309199727884,0.9446873074991804,5.4
55,0.9905443864906219,1.0072368756296808,0.9479332244996362,5.5
56,0.9911804091975429,1.0030204272871885,0.9516766268788821,5.6000000000000005
57,0.9933322782891206,0.9987714992821191,0.9510727813070424,5.7
58,0.9958546826916019,0.9946408364669062,0.9464417373613728,5.800000000000001
59,0.9976756005578247,0.9908538102026604,0.9427042709404411,5.9
60,0.9982180425911805,0.9877254316266777,0.9457297443515924,6.0
61,0.9976053983480109,0.9856794713838787,0.9582828834453294,6.1000000000000005
62,0.9966132968675292,0.9852129111421981,0.9780287123014058,6.2
63,0.9962617466223217,0.986652170173239,0.9988751129667413,6.300000000000001
64,0.9970791645016728,0.9897022246642375,1.0147792183287734,6.4
65,0.9986961853449987,0.9932974710740534,1.0232665465474293,6.5
66,1.0003312960563475,0.996155966388694,1.0259104718302927,6.6000000000000005
67,1.0015822157091758,0.997589455774183,1.0255080898222808,6.7
68,1.0025307363245997,0.9977931961382792,1.0228755880788303,6.800000000000001
69,1.0031690606985175,0.9974501630483454,1.0166246156498489,6.9
70,1.0030471349588692,0.9971532022359825,1.006040144388246,7.0
71,1.0016498822491797,0.9971944618592994,0.9937015686377122,7.1000000000000005
72,0.9990997385121412,0.9977406174764636,0.9847620015404737,7.2
73,0.9964166363646402,0.9989945023317868,0.9833158158711924,7.300000000000001
74,0.9949665163473026,1.0009930866613939,0.9895943004230376,7.4
75,0.9955401307016134,1.0032504189507758,1.000689163085521,7.5
76,0.9978877877270148,1.0048118096829124,1.0131116147156993,7.6000000000000005
77,1.001030357156998,1.0049291721712634,1.0239516994709312,7.7
78,1.003912480730562,1.003751240807065,1.030577763994704,7.800000000000001
79,1.0058073162058927,1.0022058951838695,1.030885812519012,7.9
80,1.0063165147674273,1.0011104659742838,1.0244620949572463,8.0
81,1.0052783639550742,1.0005217218836147,1.0133316659762832,8.1
82,1.0028812996899772,1.0000280667514625,1.0013749587943326,8.200000000000001
83,0.9998390242078758,0.9994448477703011,0.9925878680200554,8.3
