,Li-Li,Li-Si,Li-O,Si-Si,Si-O,O-O,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,1.596100044780023e-06,0.0,1.39658753918252e-06,0.0,0.5
6,0.0,0.0,2.4514228172462335e-05,0.0,2.4761500971491632e-05,0.0,0.6000000000000001
7,0.0,0.0,0.00019159561190200088,0.0,0.00023794340700545807,0.0,0.7000000000000001
8,1.053675420186812e-06,0.0,0.001074317721027447,0.0,0.0014862758767604143,0.0,0.8
9,7.804186368333206e-06,2.3333988543929395e-07,0.00477386743312255,0.0,0.007088683928033656,0.0,0.9
10,4.6806942160613583e-05,2.6663009763407715e-06,0.017418601057340555,4.1626683266639486e-07,0.027508402970136896,8.325336653327897e-07,1.0
11,0.00021774894767233113,1.958158554010555e-05,0.05291181123352727,6.82402673718655e-06,0.08787388348611527,8.791222728692056e-06,1.1
12,0.0008318716095641512,0.00011024501295619639,0.1351472247753565,6.595549631703512e-05,0.23195355010970128,5.455311162412612e-05,1.2000000000000002
13,0.0026782023092650846,0.0005040099716447547,0.2930713308198266,0.00043305420234950634,0.5076783772406466,0.00026284915064295596,1.3
14,0.00746918127973437,0.0019363828329884282,0.5452808956724475,0.0021636194992499212,0.9259406211742962,0.0010239577208337484,1.4000000000000001
15,0.018327358411552815,0.006376217606877089,0.8807271123874798,0.008809727249635121,1.4178285733148561,0.0032880826092746554,1.5
16,0.03998462683045673,0.01821954748274099,1.2509782532158615,0.02980335909801207,1.8426998028751425,0.008885018178228997,1.6
17,0.07807356887159476,0.04554206376965449,1.5844907845513283,0.08428792871966377,2.0644210298910712,0.020703532731198904,1.7000000000000002
18,0.13746570002955058,0.1001343571129713,1.8161318356898406,0.20021036474910633,2.0361543068584074,0.04274342625391805,1.8
19,0.2205151251269667,0.19460708500592572,1.9133508439433167,0.40184096147169507,1.8168328965723857,0.0801662159870665,1.9000000000000001
20,0.32601071499446876,0.3360976180865782,1.8844865208065549,0.6873448296521153,1.5152663697921507,0.13897434558045224,2.0
21,0.4487935504469108,0.5192782423033823,1.7680216922446703,1.0136995626346221,1.2239319774753437,0.22440736969784017,2.1
22,0.58023877493214,0.7239498967886067,1.6120444263609874,1.308457016072147,0.9907691012577463,0.3380589228436145,2.2
23,0.7103132734437003,0.9207465852080624,1.455706699190064,1.505046104445706,0.8264702068259853,0.47534523813712676,2.3000000000000003
24,0.8302910943834241,1.082716731251698,1.3204520709330603,1.5744588714903789,0.7227119240222435,0.625092327852508,2.4000000000000004
25,0.9340115171205966,1.1957483775078286,1.2119898751680964,1.5313621211193875,0.6662510340903435,0.7716383182923068,2.5
26,1.017183709527991,1.2615196540400264,1.1278295096829807,1.4176235292954082,0.6456789955474241,0.8986903260494914,2.6
27,1.076428861952947,1.291946722375169,1.0635303082591339,1.2799189715692805,0.6520875528100989,0.9936305364616533,2.7
28,1.1098075801634284,1.3000562851265114,1.0149260680353613,1.1534261322195785,0.6774957009781071,1.0508040506423533,2.8000000000000003
29,1.1186863959607438,1.294019031667964,0.9783460104638875,1.0551327789436908,0.7148518412402548,1.0727718621313325,2.9000000000000004
30,1.1086670734593618,1.2769470030978343,0.9509791577297138,0.9861068029507715,0.7594805727111124,1.0689573958898055,3.0
31,1.087775192263925,1.24989855211791,0.9312582194860622,0.9393057518370551,0.8090746204834344,1.0518750715593543,3.1
32,1.0630832918662894,1.2147225768912366,0.9188923628052935,0.9072092589980651,0.8618121381652839,1.032741961050231,3.2
33,1.0382305081044239,1.1751927084866773,0.9144143859581977,0.8851132332736511,0.9149336408311889,1.0186541847348325,3.3000000000000003
34,1.0135972143531986,1.1361133876651026,0.9178771350402561,0.8705873646915739,0.9649704632720337,1.0117442432826456,3.4000000000000004
35,0.9890011950977431,1.1012017465923192,0.9276174452891179,0.8622650156006789,1.0087343976159784,1.0097593215683183,3.5
36,0.966122096656256,1.0715965925117903,0.9407984645159305,0.8595433968533684,1.0440110536123566,1.0082078605178144,3.6
37,0.9475595502548808,1.04629722643448,0.9551495019202705,0.8622478073170705,1.0697194039618294,1.003675398585492,3.7
38,0.9338049504589019,1.0240558141229328,0.9694994965597957,0.8697136581594003,1.0859104886821176,0.9963327266401683,3.8000000000000003
39,0.922685328293073,1.005040421603318,0.9828472754579343,0.8804475347743992,1.0937589474131313,0.9893952888408847,3.9000000000000004
40,0.912564510259085,0.9909562841088712,0.9938818872290139,0.8929351976722858,1.0950317697851053,0.9856394734522902,4.0
41,0.9050663107795545,0.9837012985856922,1.001634194144763,0.9063124473166121,1.0910889307098026,0.98430928464203,4.1000000000000005
42,0.9031586580301088,0.9838368007207379,1.0058473803344508,0.9198220523302069,1.082603220116858,0.9818201229282667,4.2
43,0.9070451727655905,0.9899973977548199,1.006340580003108,0.9320751266476205,1.0703117289388844,0.9754455174191955,4.3
44,0.9135880900937965,0.9994916151819674,1.002540276405112,0.941623004533263,1.0556813334536026,0.9659264276587602,4.4
45,0.9198258447200144,1.0095755547086531,0.9943604278959167,0.9482860879294709,1.040861214427506,0.9569853845124014,4.5
46,0.9255840245718965,1.0185266849055086,0.9835761513228836,0.9533860970650759,1.028142598294949,0.953124541763987,4.6000000000000005
47,0.9322296352048305,1.0258658128962366,0.9737444845511887,0.9584592405468108,1.0190612316613328,0.9573393951655992,4.7
