,Si-Si,Si-I,I-I,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,4.6984662187365187e-07,0.0,0.0,1.0
11,1.149759677387768e-05,1.0542264922926814e-07,0.0,1.1
12,0.0001053772277595819,1.353449613315968e-06,0.0,1.2000000000000002
13,0.0006617922853196047,1.3702322100418727e-05,0.0,1.3
14,0.003213861376270748,9.638150556836484e-05,0.0,1.4000000000000001
15,0.012742810345556507,0.0005143768785544316,0.0,1.5
16,0.04203757060522777,0.0022458153051604078,1.1892992616176814e-06,1.6
17,0.11674559917581838,0.008189170056959261,1.0799811474692327e-05,1.7000000000000002
18,0.27536769886941576,0.02520392602573979,6.802002592113688e-05,1.8
19,0.5563715702850133,0.06587522210164555,0.0003269114749658203,1.9000000000000001
20,0.9715049215351804,0.14726061498785598,0.0012754749493489338,2.0
21,1.480413614005805,0.2839907396871159,0.004126178178936982,2.1
22,1.9909283662086614,0.47731077390015564,0.01125994579343815,2.2
23,2.3947539991931057,0.7073794500772735,0.026341951363898417,2.3000000000000003
24,2.617356201805208,0.9366708595588716,0.053695140299472775,2.4000000000000004
25,2.646374948045774,1.1245689975489428,0.09702114045997239,2.5
26,2.5228591639653026,1.2441198908220965,0.15821115108454162,2.6
27,2.3106680204096404,1.290722028846771,0.23702128763498329,2.7
28,2.068551211655893,1.2792492861808833,0.3315220919241047,2.8000000000000003
29,1.836613528218162,1.2334696247236727,0.4385516075633272,2.9000000000000004
30,1.6353794172624776,1.1749427924116123,0.5540023283321333,3.0
31,1.4712928485014576,1.1172585318604302,0.6735382033916005,3.1
32,1.3433677233946588,1.0666171354321665,0.7935555000027362,3.2
33,1.2479168453496132,1.0251686921619119,0.9107047374172269,3.3000000000000003
34,1.1804536602833562,0.9932615641051155,1.0196767326113447,3.4000000000000004
35,1.135769349648753,0.9698937249174376,1.112181530435489,3.5
36,1.1079143675393328,0.9529953342203367,1.179954202045704,3.6
37,1.0913705982992288,0.9402822491694801,1.2200394677945594,3.7
38,1.0826235739818975,0.9300541682888261,1.2371067551434676,3.8000000000000003
39,1.0801293444306812,0.9215585254356018,1.24008386154617,3.9000000000000004
40,1.082543003351776,0.9150986604521516,1.2365122156029358,4.0
41,1.087784634012322,0.9115810616548495,1.229926471402011,4.1000000000000005
42,1.0940553544312202,0.9114745644232493,1.220808129944449,4.2
43,1.1004208351038856,0.9141291088672884,1.2080620542826028,4.3
44,1.1055661834613941,0.9181848660122642,1.1898977004845106,4.4
45,1.1070649815454483,0.9224481223243861,1.1652116197471738,4.5
46,1.1028541654412756,0.9262610771137126,1.1351584264425378,4.6000000000000005
47,1.0928971126205758,0.9293810303198508,1.1031792178550885,4.7
48,1.0790800818968103,0.9320134836349537,1.0733245526930844,4.800000000000001
49,1.064165578423761,0.9350135510864711,1.0484953162037889,4.9
50,1.0508121026962978,0.9396672268440013,1.0297087329040127,5.0
51,1.040449039272055,0.9468537855471105,1.0160545577095856,5.1000000000000005
52,1.0325180082067416,0.9561922653677876,1.0052683289020086,5.2
53,1.0252768651361448,0.9660538794517786,0.9952999595680091,5.300000000000001
54,1.017665739443355,0.9747552824746273,0.9859464100156718,5.4
55,1.0101697922361323,0.9818718654405443,0.9785875226159878,5.5
56,1.00393214895066,0.9881667557684689,0.9739572755060972,5.6000000000000005
57,0.9995813070248882,0.9943628629178483,0.9707217591129049,5.7
58,0.9969966048890929,1.000500192392909,0.9669222866274785,5.800000000000001
59,0.9955216762213811,1.006369576259117,0.9625516079134756,5.9
60,0.9940682455775902,1.011848332192517,0.9597992429078883,6.0
61,0.9915222146467826,1.0166687094182414,0.9605565072346205,6.1000000000000005
62,0.9875163224675683,1.0203980909165908,0.9641041019859672,6.2
63,0.9825886514731623,1.0228058723992246,0.9674488758171556,6.300000000000001
64,0.9774153934713217,1.0239666652205535,0.9678941643997473,6.4
65,0.9722660925724916,1.023949053087865,0.9653537555037459,6.5
66,0.9674196102690125,1.0226451662764164,0.9622702114533331,6.6000000000000005
67,0.9635690433106523,1.0199577366662993,0.9614237345695278,6.7
68,0.9612831167914814,1.0160258724379623,0.9639801183649476,6.800000000000001
69,0.9601710951851081,1.0112715946786583,0.9694000858257065,6.9
70,0.9589364210067898,1.0063273108497135,0.9764726686462211,7.0
71,0.9563983779353442,1.0018562554736679,0.9839165635658287,7.1000000000000005
72,0.9525416362347869,0.9983244028701251,0.9903099108855326,7.2
73,0.9486600803693437,0.9959667540982748,0.9943200790640317,7.300000000000001
74,0.9463177156966287,0.9949511918845358,0.9956287928600733,7.4
75,0.9458364862802804,0.9954268887937971,0.9955467173415953,7.5
76,0.9459309455517751,0.9973803407857917,0.996176371647051,7.6000000000000005
77,0.9452198972896169,1.0005616844094964,0.9987026011284438,7.7
78,0.9439356391849952,1.00454644435242,1.00268083265536,7.800000000000001
79,0.9436406365113497,1.0087187066081518,1.0069829305410674,7.9
80,0.9453440264006366,1.012220707002297,1.0109150165900715,8.0
81,0.9484120039780685,1.0142626553118321,1.0141680108586681,8.1
82,0.9513811887982371,1.0147161840513934,1.0161027413395352,8.200000000000001
83,0.9533767496305164,1.0142651315394389,1.015683421727036,8.3
84,0.9545674497088416,1.0138051682522646,1.012313773293274,8.4
85,0.9554790310105292,1.013753558428079,1.00665605676629,8.5
86,0.9561624754771215,1.0139373305911064,1.0005576627660038,8.6
87,0.9562035004001528,1.014031465326078,0.9960368253303198,8.700000000000001
88,0.9554116751028711,1.014088626405398,0.9940518990835002,8.8
89,0.9540603349055458,1.0146127581342919,0.994062299220237,8.9
90,0.9523395302081997,1.0159671793584557,0.9947694528523368,9.0
91,0.9499406840579966,1.017787481033886,0.9953275207959156,9.1
92,0.9464151809871872,1.0192670300334015,0.99589136407201,9.200000000000001
93,0.9418348652629718,1.0199847163352502,0.997004070207999,9.3
94,0.9370741548191142,1.0201729361883805,0.9985350204309953,9.4
95,0.9334270226739594,1.0201849250702275,0.9994889330390938,9.5
96,0.9317543477516186,1.0199508363958054,0.9989676882145414,9.600000000000001
97,0.931928501571062,1.019034794093704,0.9970783449745363,9.700000000000001
98,0.9331294427445759,1.0171676853021698,0.9947356693711864,9.8
99,0.9344791552213991,1.014795505778585,0.9928369892376163,9.9
100,0.9353331037165841,1.0130792869775944,0.9918277793171878,10.0
