,Li-Li,Li-Al,Li-Si,Al-Al,Al-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,3.77411366171048e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,3.19322855881186e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,1.9469627655349382e-05,0.0,1.328802518393898e-07,0.0,0.0,0.0,0.7000000000000001
8,9.367228842204493e-05,0.0,9.832773707517873e-07,0.0,0.0,0.0,0.8
9,0.00036934821443726284,1.2414417991915309e-06,6.196486223840347e-06,0.0,0.0,0.0,0.9
10,0.0012277052126534395,1.0309888284934982e-05,3.198537486360716e-05,0.0,0.0,0.0,1.0
11,0.0035348658473324506,6.449694534447281e-05,0.00014469048201941055,0.0,2.484603046858396e-06,4.348055332002193e-06,1.1
12,0.008992654568908716,0.00030891259217147434,0.0005736837319175701,0.0,3.0776949678017756e-05,6.25487846544661e-05,1.2000000000000002
13,0.020472657632925096,0.0012149027483813267,0.0020493313745914127,8.135525622819784e-06,0.0001996943603301984,0.00043510813816714946,1.3
14,0.04201374103723666,0.004008929529939943,0.006588040291924323,8.27012563216942e-05,0.0010271756348414587,0.002256919636241941,1.4000000000000001
15,0.07817127690369809,0.01136705034780945,0.018844482492720572,0.0004831066928872664,0.00423553093334365,0.009342672892136587,1.5
16,0.13289658161767381,0.02820954628311766,0.047544176086165006,0.0022361834217316753,0.014464674602228642,0.03157455418081516,1.6
17,0.2085528287649712,0.062271507195489635,0.10559524965567017,0.008279574229974997,0.0417307458696267,0.08822877840518084,1.7000000000000002
18,0.30534685230284725,0.12381054171797487,0.20738113964373417,0.024922924794228835,0.10339710232402818,0.20610351129296747,1.8
19,0.420957020723071,0.22366684837995715,0.36304323653372267,0.06201968072080119,0.22272362526548506,0.4074063321286795,1.9000000000000001
20,0.5504447216378905,0.369039118584408,0.5715784694841797,0.13026546276337841,0.4202719997761664,0.6904367703738274,2.0
21,0.6867130760244841,0.5575798548323249,0.816208413331566,0.2366977492928437,0.6977598361012152,1.017298902501721,2.1
22,0.8212075970180535,0.7730601231021603,1.0660061974513166,0.3810063967025444,1.0234944104314876,1.3226669664726463,2.2
23,0.9446602616638051,0.9876431395549975,1.2853230523709989,0.552540950987442,1.335164800376549,1.5415427529528853,2.3000000000000003
24,1.0484858283306198,1.172010830501516,1.446712804918401,0.7275898633721508,1.5652839445273161,1.6369823774471857,2.4000000000000004
25,1.1268409544245142,1.3068630433950033,1.539142418018683,0.8736345060877437,1.6732059511077715,1.6100086847013395,2.5
26,1.177937409777399,1.3874402959931253,1.566736542433084,0.9653266187449902,1.6606005678435947,1.491023476271646,2.6
27,1.203638239828058,1.4203836080576893,1.5414071369639606,1.0007526863238143,1.5623520100088966,1.3238476826647902,2.7
28,1.2080031989260973,1.4181109691698712,1.4767090311956097,0.9992876071784349,1.4237594999756824,1.1507906253958007,2.8000000000000003
29,1.1958649755758757,1.3936286669011833,1.3862786602415125,0.9822706467995888,1.280448142344313,1.0014363310936563,2.9000000000000004
30,1.1719622868026913,1.3561581918687315,1.2841625209146956,0.9583999788279013,1.1501537328227958,0.8876218888969103,3.0
31,1.140615474220497,1.3094226229452202,1.1836240498185673,0.9277158445763489,1.0358542217551185,0.8068293392034777,3.1
32,1.1055516508809056,1.2538392680273969,1.0945859586075835,0.8925693001637659,0.9350218130420912,0.7511301314948374,3.2
33,1.0696916165693802,1.1903063573215427,1.021949801093872,0.8586251918200627,0.8485649490849053,0.7144956956850961,3.3000000000000003
34,1.0352841834462911,1.1220999805358367,0.9660552219666081,0.8285814679241827,0.7828062551092593,0.6942578986644988,3.4000000000000004
35,1.0044124109073242,1.0541592709278906,0.9248476761828237,0.8015165348420064,0.7430414131091987,0.6888426281092853,3.5
36,0.9791054179119575,0.9915830984591746,0.8962831748458401,0.7789465862333871,0.7272051950782666,0.6962652853892761,3.6
37,0.9607499574891407,0.939098917148854,0.879349435717858,0.7674425169821381,0.7278197626026545,0.7151795421765174,3.7
38,0.9496023648586849,0.9008397030595171,0.8733722735525672,0.7729686253059854,0.7388103275721483,0.7458823774152677,3.8000000000000003
39,0.9449024757100813,0.8790014491878911,0.8769233831158354,0.7932204889312847,0.7584586573822615,0.7884589757057298,3.9000000000000004
40,0.9452066746054921,0.8723952117354294,0.8876874017273249,0.8161298982360468,0.7870698252178612,0.8395405001759728,4.0
41,0.9488039980140419,0.8772469131136463,0.903277880394158,0.8255500050560334,0.8240924952476176,0.8921788204866897,4.1000000000000005
42,0.9543638906921401,0.889748439594139,0.9220017794896208,0.8104132638671623,0.8672162881856476,0.9400402453979804,4.2
43,0.9613055882308753,0.9075366799888608,0.9427406907151314,0.7731416239394429,0.9124888923209462,0.9812624987000682,4.3
44,0.9693445397660372,0.9288707454232382,0.9642374739612206,0.7302987466194768,0.9551097535508564,1.0170538007092063,4.4
45,0.9778438128464984,0.9513439245202154,0.9848237964943984,0.7028026212745194,0.9911074654040745,1.0471577648170067,4.5
46,0.9859742516303779,0.9722476490468729,1.0028577542275896,0.7035007720009768,1.018573238268482,1.0688916884507738,4.6000000000000005
47,0.9934538475218264,0.9902498284366694,1.0170995239293066,0.7327427951387148,1.0370722686560265,1.0806865272095638,4.7
48,1.0007142011123715,1.0059228956354902,1.0266305612965045,0.7821216282614417,1.046219697911585,1.083895228684125,4.800000000000001
49,1.008081838868307,1.0200985074801556,1.030901145032002,0.8398212665188947,1.0457517998023618,1.0802440757529799,4.9
50,1.014899531507929,1.0322891104768788,1.030313198130207,0.8939235349908285,1.0371047358025225,1.0699588617193818,5.0
51,1.0196990344202579,1.0410923233947356,1.0266163165361026,0.9342908962107394,1.0243634902733179,1.0536909595670452,5.1000000000000005
52,1.0212975726932472,1.0454807190532442,1.0221444663656192,0.954307034693211,1.0131715805981336,1.0342961911351378,5.2
53,1.0196155815133745,1.0456057756039647,1.0182900941493522,0.9527197159241807,1.0078818192739472,1.015026033902408,5.300000000000001
54,1.015496277594338,1.0429502536263393,1.0148436700880503,0.9350984553396593,1.0087696928764982,0.9968890008403755,5.4
55,1.0100821738174361,1.0395540696652736,1.0109933731892917,0.9125373552287741,1.012165299490033,0.979062119687225,5.5
56,1.004531757882215,1.036431440361025,1.0066801177622609,0.8949664025654344,1.014391348635683,0.9613173524650566,5.6000000000000005
57,0.9999494809813759,1.0328333656817112,1.0027171503828394,0.8831460022743112,1.0149735343139008,0.9449743480949649,5.7
58,0.997037225168425,1.0273629720397521,0.999933617283497,0.869414687511703,1.0148988251086304,0.9317736850767803,5.800000000000001
59,0.9957089970531441,1.019741264609747,0.9985379729624129,0.8482784812958312,1.0132921546401408,0.9226295061123735,5.9
