,Li-Li,Li-Ga,Li-Si,Ga-Ga,Ga-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,4.150751571242567e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,3.4297831835841396e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,2.2592247318080027e-05,0.0,8.827553254812753e-08,0.0,0.0,0.0,0.8
9,0.00011341471147197154,0.0,1.2011938000769635e-06,0.0,0.0,0.0,0.9
10,0.0004662721652649622,3.7664227220534415e-06,1.0908400357818481e-05,0.0,3.487428446345779e-07,5.424888694315657e-07,1.0
11,0.0016168488678016317,3.0194145428383216e-05,6.807644928243332e-05,0.0,3.2130863639000284e-06,8.406346963985182e-06,1.1
12,0.00481342218533705,0.00018027826362504,0.0003381433448921268,5.0846706747721475e-06,2.6428741649557524e-05,7.38816975406253e-05,1.2000000000000002
13,0.012434631222537478,0.0008385271433379682,0.0013879467502841674,5.1604002517714115e-05,0.00016026457655054659,0.0004472175610267939,1.3
14,0.02811336593106932,0.003167081965103152,0.004807179006055614,0.00034330452825399237,0.0007738472083515347,0.0021290723664018547,1.4000000000000001
15,0.056172328376181815,0.009991499737060799,0.014238413986507137,0.0016792278914935755,0.0031293935407306663,0.00831301747270014,1.5
16,0.10046943349529618,0.026879405836345027,0.036433181257712235,0.006693913480582494,0.01072257301047993,0.027107427140975495,1.6
17,0.16335298520710312,0.06283485454376435,0.08138023837218994,0.021942483582380958,0.03132059143899758,0.07449748666930764,1.7000000000000002
18,0.24519939360043902,0.12941969294008007,0.16039029181644215,0.059992444962754354,0.07828320798364448,0.17388257410602254,1.8
19,0.3442109345600937,0.23708669392040266,0.28199500256251364,0.13882591887474907,0.1684594983689693,0.34752182970763257,1.9000000000000001
20,0.45626107941241106,0.3889048682636025,0.44717117042767135,0.2764179870556633,0.314733295281406,0.6003184713533423,2.0
21,0.5754598514716607,0.5749560361896388,0.6462021382888428,0.48168639450630757,0.5158021968103981,0.9061174819731804,2.1
22,0.6957048229060102,0.7724423820318987,0.8588757482191139,0.7450119795284375,0.7502065033774119,1.2103242113430637,2.2
23,0.8115639864889735,0.9538997569056384,1.0587547596953062,1.0307681308657644,0.9809698548964247,1.4515396641370055,2.3000000000000003
24,0.9172491511544983,1.0991588869990108,1.2208863642668086,1.2798630528850212,1.1697646711503227,1.5881787988000926,2.4000000000000004
25,1.0058488437099111,1.2019451085385628,1.3296268510108842,1.4340471937922863,1.291385300040546,1.612396980061639,2.5
26,1.0716141970719233,1.266539185440637,1.382062306609583,1.4739950294759223,1.339639892991241,1.5460167398073863,2.6
27,1.1132930195473958,1.2998768100837,1.385789997679443,1.4350665717901139,1.3245702211783392,1.4258360453263033,2.7
28,1.1341290960997001,1.3068349478568324,1.3539515865225795,1.3797814110799824,1.2666295729691226,1.2882499997579322,2.8000000000000003
29,1.1386434224106066,1.28999938466901,1.3006426802013946,1.352578220982499,1.1900500745050242,1.159511619948299,2.9000000000000004
30,1.1301450800031303,1.2512837594182211,1.2378592206658423,1.3578671141592462,1.1148838968244792,1.0534187017897307,3.0
31,1.1108713869361124,1.1943009452608822,1.174170105194374,1.372713405336057,1.0512742045966015,0.9740609213825556,3.1
32,1.0836562738695341,1.1266043120865055,1.1149633380683053,1.3741845791636327,1.000427505258545,0.9196935339271011,3.2
33,1.0529736535755836,1.0593847490192034,1.0632987527042046,1.3564140679240293,0.9601244160665314,0.8856987028675015,3.3000000000000003
34,1.0236254928320616,1.0036907429590576,1.0203754642743244,1.328103966383155,0.9286561129553785,0.8668057351360815,3.4000000000000004
35,0.9980808697282547,0.9658822088256029,0.9859727657765223,1.3001702296348632,0.9049994988412853,0.8587537923408126,3.5
36,0.9759126930321487,0.9459519271660369,0.9595883400642821,1.279519796600214,0.8878961066861809,0.8588971866342823,3.6
37,0.956287257259105,0.9394781174159972,0.9415171187397183,1.272032073826388,0.8763104940648472,0.8657617061542897,3.7
38,0.9402430498836717,0.9407445895612853,0.9326091530323658,1.283984434026093,0.8703911168394856,0.8784499319723934,3.8000000000000003
39,0.9301243333218135,0.9449764293131009,0.9330900934806549,1.3142281002957652,0.8712916185075013,0.8963496235804264,3.9000000000000004
40,0.9273234618198406,0.949281959830261,0.9417886904681276,1.3461007547981227,0.879807179147583,0.918625385431752,4.0
41,0.9309152399495512,0.9526545944742562,0.9561156551588662,1.3546909964537661,0.8951254380843965,0.9434350308615396,4.1000000000000005
42,0.9383172137593342,0.9558621831954495,0.9726264105488098,1.3281243883951679,0.9149108146689978,0.9678202548813899,4.2
43,0.9470164075495541,0.9614084430364334,0.9883058315846814,1.279429461565799,0.9364504090564506,0.9886774411025345,4.3
44,0.9558676978899652,0.972107675593039,1.0019499897965076,1.23361612059611,0.957203887293749,1.0039719095750552,4.4
45,0.9651823115723243,0.9882919390635371,1.0140422535401385,1.2037185218338413,0.9745576104476972,1.013333081160932,4.5
46,0.9756088555988582,1.00688769472297,1.024994325801051,1.1821763196391188,0.9865220033569324,1.0177897705498506,4.6000000000000005
47,0.9867813584511828,1.0237144883845664,1.0338923219714025,1.154150799969229,0.9932201217999835,1.0188054608979447,4.7
48,0.9972455150952848,1.035744057255951,1.0392043316682817,1.1147699372370112,0.99667375614447,1.017256617890925,4.800000000000001
49,1.0055467619199638,1.041089534119952,1.040360746246953,1.0716030393442302,0.9987325693617843,1.0132295960753133,4.9
50,1.010818793643494,1.0386143873221974,1.038329493410466,1.0342823698696069,1.000043149629422,1.0067513927140588,5.0
51,1.0124272588914751,1.0287477502093563,1.0347207465834374,1.0062176749092242,1.000974358001667,0.998578790983442,5.1000000000000005
52,1.010086493967621,1.0143157897580088,1.0305317589953764,0.9849872598144099,1.0021423487480032,0.9902507128414859,5.2
53,1.004778783296921,1.0001126053576141,1.0257561871525434,0.9660210997250017,1.0033989997306498,0.9835062223785521,5.300000000000001
54,0.9988949573301752,0.9912187681570805,1.0200208552012857,0.9451332134273295,1.0034239272164034,0.9795817107593422,5.4
55,0.9947826584065244,0.9906127711671034,1.0135096784941338,0.920537984168376,1.0012478077024474,0.9787169329369612,5.5
56,0.9930405164198693,0.997259834788652,1.007280204194354,0.8941723983911696,0.9977808213891092,0.9800427805693643,5.6000000000000005
57,0.9923532021785251,1.0065040241771304,1.0025808828470737,0.8703788979551353,0.9952728514449445,0.9821270990674488,5.7
58,0.9908621436299984,1.0128996119013063,0.9997981108155717,0.8526631704089009,0.9953527078576141,0.9840567379731346,5.800000000000001
59,0.987633538139134,1.0133391042456528,0.99821489421603,0.8413496892880071,0.9977482595442183,0.986063291172106,5.9
