,Li-Li,Li-Fe,Li-Si,Fe-Fe,Fe-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,4.12595550706354e-07,0.0,0.0,0.0,0.0,0.0,0.4
5,3.042021661936433e-06,0.0,0.0,0.0,0.0,0.0,0.5
6,1.7471409035997743e-05,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,7.899756548274244e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,0.00029598259171899295,5.802124931808103e-07,1.1604249863616205e-07,2.320849972723241e-07,1.1604249863616205e-07,0.0,0.8
9,0.0009472688662830567,5.8393001415925035e-06,1.7846118549799018e-06,6.036231016605408e-06,1.3734439705389678e-06,0.0,0.9
10,0.0026850060164301335,4.059660327005904e-05,1.4396570101665395e-05,5.459896603513802e-05,1.4832807304474167e-05,1.8337580031393508e-07,1.0
11,0.006978809102517428,0.0002112299267444914,8.636397942939388e-05,0.0003510446955639287,0.00011480059502045292,2.676989881168387e-06,1.1
12,0.01684605396309431,0.000895117798136918,0.0004177632113533236,0.0017271294314803794,0.0006657703508027806,3.058484169118868e-05,1.2000000000000002
13,0.037496325534034716,0.0031679690165439174,0.0016763500220374906,0.006932673095504183,0.003108728941455923,0.00020131661060402017,1.3
14,0.07587502778070022,0.009530028208233485,0.005729226040603549,0.02320246766449461,0.012070128600870084,0.001018076372357774,1.4000000000000001
15,0.13841502661441127,0.024697252467910977,0.016890926202131788,0.06538451804755957,0.03943997099002803,0.004186928555105753,1.5
16,0.22817297729315886,0.05581212995169855,0.043333668307359845,0.15632464146266908,0.10897743472829251,0.014237604844669932,1.6
17,0.3437517262886084,0.11127805106540972,0.09731765752036162,0.3195948980163861,0.25580719683762504,0.040455953777917934,1.7000000000000002
18,0.4804655500874358,0.19797535936530816,0.19239333062862032,0.5641370050602906,0.5131276050047137,0.09707552132767869,1.8
19,0.6315020686783965,0.3176609880320548,0.33714588403394646,0.8702889087675217,0.8862770387351936,0.1991576155801247,1.9000000000000001
20,0.7878478791423417,0.46434440172422214,0.5283953182703877,1.190501614130726,1.330641346639347,0.35416152749913193,2.0
21,0.9386136900411424,0.6244746995156898,0.7487525900474998,1.467106257066262,1.7568522901188612,0.5535702939470748,2.1
22,1.0731411929920893,0.7804897192916083,0.9709258921473255,1.6549684800531825,2.068343525913132,0.7708416661533818,2.2
23,1.1834913251900887,0.9161634250319228,1.1661948346953752,1.735509377372549,2.2066269749696366,0.9691146147351173,2.3000000000000003
24,1.2650151822319182,1.020727546765455,1.3123103587755156,1.717864706958593,2.171852608287193,1.115867888689092,2.4000000000000004
25,1.315253685140176,1.0896833714235976,1.3981370642593005,1.6301772610430754,2.0092252952174703,1.1958871432889422,2.5
26,1.3338587097206964,1.1233203192231997,1.4247588263269204,1.5062642671452262,1.7790235754684256,1.2141092366671085,2.6
27,1.3243047276865885,1.125729214103192,1.4030739971688113,1.3739263476758632,1.5329865386622792,1.187894755951263,2.7
28,1.2942556485108052,1.1046334468415302,1.3487190871229922,1.250092882641728,1.3055487592447115,1.1365277048037337,2.8000000000000003
29,1.252561786571959,1.0697732121008945,1.2769869343174924,1.1428532946204357,1.1150186666940072,1.0755622760650656,2.9000000000000004
30,1.20553661924153,1.0296854385540875,1.199954492146874,1.0554154300697771,0.9678328548965757,1.0163696778654638,3.0
31,1.1560883805285567,0.9896924761379557,1.1256731593749238,0.9880796680630025,0.8628511373602178,0.9665851074866892,3.1
32,1.1057143211701115,0.9525919438871074,1.0584766439263131,0.9389248459913216,0.7949029565757401,0.9297210367887118,3.2
33,1.0565308307140895,0.9204594633466251,1.0001985983684996,0.9053197795455806,0.7575045404432705,0.9057149273142786,3.3000000000000003
34,1.0113956164006526,0.8954704162001356,0.9519172275714683,0.8859972707671098,0.7448236217104203,0.8930302210575066,3.4000000000000004
35,0.9729070049996014,0.8794780839695953,0.9150707959077369,0.8816711192235278,0.7523845728171934,0.8904480941908195,3.5
36,0.9429951629611866,0.8733746196949969,0.8913186326026341,0.893162509156607,0.7761274283771015,0.897190915509267,3.6
37,0.9230748522536094,0.87684212270856,0.8814986918288015,0.9185883400838631,0.8111601184447358,0.9121127341024093,3.7
38,0.9136294510439177,0.8884971630280456,0.8845537984538463,0.952700720325103,0.8520868754706754,0.9334006258221387,3.8000000000000003
39,0.9134083005340309,0.906423103583017,0.8974360645636287,0.9893002485981116,0.8945943370634653,0.9590726985737335,3.9000000000000004
40,0.9196412142778205,0.9288368371426858,0.916345893523995,1.0238042524176447,0.936200902089919,0.9872558601190277,4.0
41,0.9295399949443253,0.9542192616197401,0.9383679776850897,1.053328946544189,0.9753451922476202,1.0155136058440597,4.1000000000000005
42,0.9416811435488994,0.9807610281924377,0.962064542925648,1.0754342051647818,1.010189634586931,1.0403238002648434,4.2
43,0.9560330078269385,1.0060550907947614,0.986606024208511,1.0878491513532047,1.0384077840290513,1.0581666065573467,4.3
44,0.9725950973297013,1.0277117882025966,1.010479715156177,1.0892220693033194,1.0578203991409316,1.0673520911999037,4.4
45,0.9898697393980441,1.0441940246563757,1.0310937752124119,1.0798563447478635,1.067284534240203,1.0685012038496193,4.5
46,1.00479874337496,1.0549222439967727,1.0456723691615581,1.0619711103259484,1.0672846211887794,1.0633035882395236,4.6000000000000005
47,1.0145103888214444,1.0598654675139298,1.052780337553155,1.0391524336102467,1.0597561683843726,1.053147676828689,4.7
48,1.0180916255574644,1.0593828062989128,1.0531969234142857,1.0150327925346818,1.0473454717965214,1.0390153247778673,4.800000000000001
49,1.0166674542780318,1.0544207880876635,1.0492790465950823,0.9923826180507348,1.032820607111125,1.02227289164903,4.9
50,1.0123401746638112,1.0465655711313537,1.0433767270745722,0.9733691109006588,1.01865216589356,1.0048212435928883,5.0
51,1.0071825792836953,1.037668720301294,1.0367583928534048,0.9597883316000272,1.0065304215939819,0.9883649440435238,5.1000000000000005
52,1.0024617138149876,1.0292308139689164,1.0295796872523275,0.9520204637322764,0.9972655115373219,0.9741126611125207,5.2
53,0.9982703855011482,1.0219840142618435,1.0213830840465858,0.947980993071518,0.9912211341765687,0.9632238637939554,5.300000000000001
54,0.9940146234874107,1.0159326975334257,1.011812387109476,0.9442455930049566,0.9883878387045016,0.9566853606881857,5.4
55,0.9890998901678779,1.0106725587970635,1.001419951500816,0.9389282164178109,0.9879404098055188,0.954226782247097,5.5
56,0.9830222869652693,1.0057558562007707,0.9919911782041063,0.9332241094444528,0.9885000855907282,0.9539408223872841,5.6000000000000005
57,0.9754282126489086,1.0011762689616566,0.9858065342904897,0.9299434756800041,0.9892378609301771,0.9536923561440135,5.7
58,0.9666120200351608,0.9977254955725742,0.9842618730756443,0.9309060308991317,0.9902949980975939,0.9530916751079033,5.800000000000001
