,Li-Li,Li-Sc,Li-Si,Sc-Sc,Sc-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,4.4665352480733285e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,4.857971086109546e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,3.158052219246949e-05,1.7098455246530716e-07,0.0,0.0,0.0,0.0,0.8
9,0.000159073236949429,1.4178800686239807e-06,4.543810944406778e-07,0.0,0.0,0.0,0.9
10,0.0006486028192075834,9.528906697662655e-06,6.475508475486913e-06,0.0,0.0,2.7019781130320145e-07,1.0
11,0.002197511382446529,4.8881866136004276e-05,4.571202002697191e-05,0.0,0.0,6.126990376988094e-06,1.1
12,0.006326134234676004,0.0002062693299784528,0.00025685662089653777,6.565806814667796e-07,9.848710222001691e-07,5.6671315338928885e-05,1.2000000000000002
13,0.01577654232144146,0.0007451763006652688,0.0011452718662651779,5.6710326055929874e-06,1.3270853173001025e-05,0.00036309820061928124,1.3
14,0.0347770888408586,0.0023373575917720523,0.004261761324879718,3.2612985072276264e-05,9.762207547916389e-05,0.0017888667573321244,1.4000000000000001
15,0.06907595065854348,0.006467362591172117,0.013474762880836915,0.00014860577271704013,0.0005346510491257338,0.007180858386973575,1.5
16,0.12567712306134246,0.015976518611651634,0.0366932726253096,0.0005516032548616874,0.0023534559635880895,0.023999596971242158,1.6
17,0.21200013732585749,0.03554138889623785,0.08680602048863126,0.0017045696274667582,0.008587864215496305,0.06739727994205401,1.7000000000000002
18,0.3335716235307145,0.07152899996113074,0.1795796810139431,0.00453685070423236,0.026447582900279605,0.16009069537001608,1.8
19,0.4897940132915106,0.1304241640897402,0.3270075406696413,0.010816239994252573,0.06976317270557554,0.32378409938045605,1.9000000000000001
20,0.6698688976871603,0.21577528661576761,0.5283489505578988,0.023898512772540993,0.15966645897602724,0.5620257299293661,2.0
21,0.8532117842593696,0.3255946760423757,0.7649168314695787,0.049686533168775075,0.3206499036185709,0.8457256257300095,2.1
22,1.016539798121278,0.45275732403304747,1.0037338492248986,0.09672137228241943,0.5704522853281251,1.117228255771173,2.2
23,1.1440505843762865,0.5879243468414641,1.2091740222857326,0.17428727105373293,0.9063772261016568,1.3152877928326792,2.3000000000000003
24,1.2332337635088124,0.7217442079168104,1.355884934432681,0.2890521765115005,1.2960497551606482,1.403559462107629,2.4000000000000004
25,1.2913173788982781,0.845450257885133,1.4355969962849813,0.4425434875467551,1.6814273665601436,1.3826620955414215,2.5
26,1.3258283596875116,0.9521275645348746,1.4552005937290973,0.6305644850151555,1.9969593802452514,1.2819296187233868,2.6
27,1.3389018576011698,1.038536032740179,1.4294447604704401,0.8430561963851407,2.1919239917683364,1.1416381071666095,2.7
28,1.329999660266307,1.1042986244720374,1.3741281442283249,1.0634078857964815,2.245119287815055,0.9978147770891567,2.8000000000000003
29,1.3018471079033156,1.1487799600404376,1.3031092949780037,1.2694753009589674,2.167616222346005,0.8746573921989563,2.9000000000000004
30,1.2623369910310742,1.1701737062243243,1.2276019082545397,1.43888272884175,1.9954073433854376,0.7831204058549143,3.0
31,1.2209567759012376,1.1681069202595664,1.155083073764602,1.5563983784690694,1.7751111901609065,0.7230597148367612,3.1
32,1.1838071885042003,1.145894103945989,1.0886532433287417,1.6176326426813095,1.5480932832503795,0.6878801503987134,3.2
33,1.151742170799162,1.109650660270192,1.0289342722848496,1.6260932483238,1.3407590011440012,0.6701936262500181,3.3000000000000003
34,1.1224284011934584,1.0656066634910168,0.9770727372085831,1.5874696114296318,1.1649141933138278,0.6655604754100125,3.4000000000000004
35,1.0934450632677977,1.0184864820336685,0.9351593408797226,1.508255047525079,1.0238422950256352,0.6726798149014227,3.5
36,1.0637787392196056,0.9720254699148974,0.9042271432380573,1.399571285995078,0.9169791864952711,0.6909534229374888,3.6
37,1.0339635983003395,0.9300046044503368,0.8835060405735106,1.2789005609989437,0.8412726098484652,0.7179467053350124,3.7
38,1.006040393582856,0.8958251405651859,0.871969377774324,1.1649440297357427,0.7919340898188526,0.7493801503048897,3.8000000000000003
39,0.9828404112432996,0.8712996827287942,0.8694506581764392,1.0701682979878764,0.7641186798207379,0.781824571292282,3.9000000000000004
40,0.9661701882057928,0.8566382051661371,0.875829801590799,0.9978613263343793,0.7542131508659436,0.8148681614012155,4.0
41,0.9559133214688991,0.85149280093301,0.8897639555352046,0.9448240573575685,0.759452099491112,0.8498832626417955,4.1000000000000005
42,0.9516377866415456,0.8553833212606975,0.9086555187840886,0.906300419105722,0.776656175744014,0.8868994578951455,4.2
43,0.9542566575490533,0.8670682633476453,0.9297505077538946,0.8799618046151908,0.8017658246215694,0.9233505976078893,4.3
44,0.9644193491962527,0.8840666495830097,0.9512913066868779,0.8669223448660178,0.8307894236080196,0.9559459973708802,4.4
45,0.9794168607181226,0.903480434513934,0.9727937728917849,0.8693966750759375,0.861020142243745,0.9833064092154045,4.5
46,0.9934088894293244,0.923663632097974,0.9941779854409556,0.8874078669813468,0.8911175447108435,1.0065875454448177,4.6000000000000005
47,1.0014424113708227,0.9448303050692602,1.01464619582284,0.9176565686618815,0.9201102574678438,1.0278651875653457,4.7
