,Li-Li,Li-Nb,Li-Si,Nb-Nb,Nb-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,4.939495761431293e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,6.519807232079337e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,4.4675819283737926e-05,0.0,3.7818014423458356e-07,0.0,0.0,0.0,0.8
9,0.00023373623935718982,3.3499694437388707e-07,3.80603209294962e-06,0.0,0.0,0.0,0.9
10,0.0009863316466476508,4.574926502941537e-06,2.7038398373772322e-05,0.0,0.0,0.0,1.0
11,0.003447970975677956,3.436932783944027e-05,0.00015026015397262283,0.0,1.7878876624940607e-07,2.8606202599904967e-06,1.1
12,0.01018488503832231,0.0001872877437672575,0.0006772741310960729,9.68141169240534e-07,3.102131543940426e-06,3.575741461059917e-05,1.2000000000000002
13,0.025930722428450563,0.0008195528508261901,0.0025728508679921593,9.53289290686579e-06,2.7767209782616022e-05,0.00025075374774242043,1.3
14,0.05795887900245012,0.002961401428617615,0.00838682136535565,6.692498159921317e-05,0.00018980155893577003,0.0013272069034729649,1.4000000000000001
15,0.11549601744294168,0.008978989574728301,0.023655855901013552,0.0003599771132034512,0.0010017518899492431,0.00560861262580723,1.5
16,0.20746582704705685,0.023172243539662518,0.05797719506919294,0.001568459434703782,0.004340840036547378,0.019538097537929913,1.6
17,0.33845311715717236,0.05166881485450069,0.12391768396478518,0.005745788775786232,0.01584875264863173,0.056890404554104414,1.7000000000000002
18,0.5045601326111947,0.10104919789984768,0.23228140763112098,0.0179904021895293,0.04925267780599584,0.1397582752209458,1.8
19,0.6922749208647132,0.17577334262215924,0.3851515779010456,0.04865557284291785,0.13093153967067808,0.291894414536088,1.9000000000000001
20,0.881952645528905,0.27520439446651823,0.5714868800254479,0.1145802071282065,0.29905291956403574,0.521999094473217,2.0
21,1.0541334363292738,0.3918384631270669,0.7693885536689128,0.23704298225538778,0.5902399641644414,0.8054903878997886,2.1
22,1.195185914386677,0.5128587793853595,0.9537687440297781,0.4353597515838167,1.0142546046227807,1.0831005566948029,2.2
23,1.2996369435868997,0.6253206898839491,1.1037110885745305,0.7181565035555061,1.531399744304766,1.2864144834806037,2.3000000000000003
24,1.3686333123546854,0.7213066230971124,1.2059426109642166,1.0755758970186,2.0532314206878333,1.3748617039422737,2.4000000000000004
25,1.4065204233931838,0.7985396654298581,1.2560127110328518,1.4746168894660883,2.4735304241121767,1.3544128984770105,2.5
26,1.4185092608974819,0.8570636197404433,1.2589108481233289,1.8603780805001597,2.71263387330304,1.2650248937503856,2.6
27,1.4101621433844707,0.8968649873279357,1.2272357373903358,2.167981232358344,2.7471215068401835,1.1518872808290157,2.7
28,1.3869286335060882,0.9186666728304682,1.1758888114270423,2.345127734614568,2.6090575115979764,1.0440691356436922,2.8000000000000003
29,1.3528674846443094,0.9253208861342352,1.1167986987972187,2.373896712659102,2.361595033342099,0.9512939857761988,2.9000000000000004
30,1.310007182800656,0.9211910570728399,1.0571699971273656,2.276327404189717,2.0698739618904587,0.8734782584323252,3.0
31,1.2597382089634532,0.9102120447593004,1.0007703094876572,2.0996289386352736,1.7819829769264057,0.8109920565457419,3.1
32,1.2052977670857976,0.8947618102087966,0.9499011210504755,1.8925338881989386,1.5240189690588875,0.7674442432549758,3.2
33,1.152449297374022,0.8760320012808708,0.9065579800426012,1.6888183427176666,1.3053132846414999,0.7455942474895156,3.3000000000000003
34,1.1069719613675657,0.8550891604287802,0.8724821888349537,1.504610905331525,1.1268756191058422,0.7431410956350241,3.4000000000000004
35,1.0715431458546607,0.8337486436670519,0.8486764650335109,1.344070773276069,0.9873835284828687,0.7537786670973025,3.5
36,1.045380138273751,0.8146988570595161,0.8350333499602599,1.2057652026559982,0.884952888300811,0.7722888983695758,3.6
37,1.0263601484209468,0.8006821387378085,0.8303525187142256,1.0875056131144172,0.8165271538903166,0.797887779397973,3.7
38,1.0128444549494526,0.7933748708718164,0.8328887607203241,0.9895179992357366,0.7775654937510534,0.8324624063837168,3.8000000000000003
39,1.0039846093948959,0.7930716015543424,0.8409457960916076,0.914714615454952,0.7628895319057385,0.8763418623066604,3.9000000000000004
40,0.9992896265192491,0.7992869862608022,0.8528439720436076,0.8662682674963871,0.7678122285574213,0.9262546535940142,4.0
41,0.9982860090784411,0.8113486864605717,0.8667260147316784,0.8450812639473722,0.7889826080781134,0.9771145930485475,4.1000000000000005
42,1.0004003969310435,0.8285095396092681,0.8811982842315659,0.8488943336318316,0.8244541303505285,1.0253543800528704,4.2
43,1.0048982913800606,0.8498454134564966,0.8963362373524675,0.872822639277898,0.8721374634894827,1.0702317731737931,4.3
44,1.010778358690554,0.8741937510557006,0.9136253849761407,0.9106817583150607,0.9274807838117601,1.1119329871945651,4.4
45,1.016837443691587,0.9001601887864008,0.9344939258433467,0.9568424138085796,0.9833329968282165,1.149115786346118,4.5
46,1.0220915214398418,0.926264286297012,0.9584956633962921,1.007572435049525,1.0327857071629696,1.1786993037753277,4.6000000000000005
47,1.0261724062933348,0.9512343404008894,0.9827523851745025,1.0603600082625735,1.0718101105212672,1.1976130354616037,4.7
48,1.0291586099712295,0.9742314813421943,1.0033097248647036,1.1114614117443604,1.0991373442020294,1.2044577761735025,4.800000000000001
49,1.0310710684327948,0.9947497690726591,1.0172067713922395,1.1545697889251278,1.1149065076587104,1.1998271436235617,4.9
50,1.031855188270561,1.0122746129700075,1.0235463670989478,1.1830258501722202,1.1202901201667577,1.1853781652913198,5.0
51,1.031764680913869,1.0260560319291743,1.023341538365903,1.1939037470824394,1.117558659601036,1.1626633904227104,5.1000000000000005
52,1.031271979018103,1.0352039392926264,1.0188796327188878,1.1895849344605853,1.109403373032276,1.132868826765096,5.2
53,1.0303732148468567,1.0390862143909965,1.0128812498208752,1.1749866465110492,1.0981647302916637,1.0975587733590206,5.300000000000001
54,1.0281549234770473,1.0378516149088894,1.0074727044847165,1.1538752623742656,1.0856355387693453,1.0592629865671357,5.4
55,1.0232629356797527,1.032631734406696,1.0034691146593142,1.1282398827551916,1.0728212763895608,1.0212004386342126,5.5
56,1.0149746667234836,1.0250987465007062,1.0005096072959716,1.0996243767276128,1.0593875979922454,0.9865169084372624,5.6000000000000005
57,1.0040316263689013,1.0167499009074805,0.9979492524927279,1.0693813205826437,1.0436584282529466,0.9575407330878822,5.7
58,0.9925425723167197,1.0085787987956458,0.9957951152477832,1.0383184894011097,1.0236940773221916,0.935240641729471,5.800000000000001
59,0.982805837688168,1.0013574547930346,0.9948900856576767,1.0072714812706522,0.9989210352254652,0.9191987425901323,5.9
