,Si-Si,Si-Se,Se-Se,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,6.011867702007505e-07,3.6071206212045033e-07,0.0,1.0
11,9.261966153039283e-06,5.3467476688801745e-06,0.0,1.1
12,7.504735117338493e-05,4.79804377459919e-05,4.3826515547634726e-07,1.2000000000000002
13,0.00043694243202759036,0.00029420686745099394,8.820639036575328e-06,1.3
14,0.0020177646608109485,0.001419198748876591,6.752153347623231e-05,1.4000000000000001
15,0.007677433819941215,0.005612012701441197,0.00036586369515084175,1.5
16,0.024493560840777962,0.018546125818447758,0.0015743051825128124,1.6
17,0.0662589862553338,0.05167759155686371,0.00549955575921639,1.7000000000000002
18,0.15336043075899733,0.12226893967007764,0.015796717023407073,1.8
19,0.3063253921187058,0.24752492097357048,0.03775104839527889,1.9000000000000001
20,0.5326631706258059,0.4326534499561207,0.07619708987834904,2.0
21,0.8140255824016591,0.6602344936771061,0.1323727004539221,2.1
22,1.1052687208472063,0.8917362704287365,0.20263618889866847,2.2
23,1.3505913940348953,1.0836054540906568,0.2809909306682338,2.3000000000000003
24,1.5076390983392314,1.2067923047340283,0.36356065076145594,2.4000000000000004
25,1.5630688164607363,1.2560021049701728,0.4506468853169215,2.5
26,1.5313586724704857,1.2457698688341823,0.5439855071052819,2.6
27,1.4424587809145752,1.2000866005460313,0.6415251102741718,2.7
28,1.3285370090181914,1.1424602770949313,0.7355890235053383,2.8000000000000003
29,1.2152852853248075,1.0895650062492463,0.8177682110026647,2.9000000000000004
30,1.118166797966041,1.0493067520963968,0.8858876327073952,3.0
31,1.0427948456066176,1.022596610831898,0.9445665839062957,3.1
32,0.9883377673402015,1.0067964895636166,0.9982794008962197,3.2
33,0.9516001538465021,0.9987068668076612,1.04549027723419,3.3000000000000003
34,0.9293909326358483,0.9961555245480603,1.0805339002825092,3.4000000000000004
35,0.9187844953431004,0.9981719110575215,1.100035979150785,3.5
36,0.91654033081374,1.0039782412582237,1.1064028450786745,3.6
37,0.9191379596641664,1.0117865486222213,1.105689913987235,3.7
38,0.923958144077579,1.0188832578441611,1.1028352025048795,3.8000000000000003
39,0.9304609058808391,1.0230861879609796,1.098433124361118,3.9000000000000004
40,0.9395455403597456,1.0239664679544507,1.0894400405986,4.0
41,0.9513800930094538,1.022554510521272,1.0731547694178798,4.1000000000000005
42,0.9642468250160382,1.019935484718186,1.0508578230272134,4.2
43,0.9756932349522388,1.01634140632508,1.0273968276280123,4.3
44,0.9844519718491151,1.0117476269219605,1.007162047600888,4.4
45,0.9910965194160214,1.006986755354796,0.99090879550231,4.5
46,0.9970445434187698,1.0036890679931005,0.97663401314646,4.6000000000000005
47,1.0029870034536883,1.002994452755419,0.9627570121424064,4.7
48,1.0080593594975387,1.004549374517464,0.9498249705363234,4.800000000000001
49,1.010464129315226,1.0068112282991466,0.9399934516356456,4.9
50,1.009082245300826,1.0082057108226712,0.9356496592869734,5.0
51,1.0046698171548107,1.0080591531784326,0.9376843255322557,5.1000000000000005
52,0.9995145880890429,1.0066620521337635,0.9439687797043057,5.2
53,0.9958105744159519,1.004730013756341,0.9501625266071483,5.300000000000001
54,0.9941459872036985,1.002969755159309,0.9530900410749263,5.4
55,0.9933673419935067,1.002067593525976,0.9533094425734697,5.5
56,0.9919036877130772,1.0026798971567155,0.9540480235638367,5.6000000000000005
57,0.9893464672601325,1.0049657259085267,0.9580508511256861,5.7
58,0.9867867313100765,1.008147711228969,0.9656979486329678,5.800000000000001
59,0.9856391711411429,1.0108984728687815,0.9753711585044921,5.9
60,0.9862737196589073,1.012199791874162,0.9846616260645241,6.0
61,0.9878446982099683,1.0117429782374319,0.9914431781922403,6.1000000000000005
62,0.9892474595696874,1.0098866782580966,0.9948251966263001,6.2
63,0.9900346216585071,1.0076050221039075,0.9956900709299117,6.300000000000001
64,0.9904595906892181,1.0061806182335917,0.995926971509668,6.4
65,0.9908788796384503,1.0064228619178468,0.9968025638539262,6.5
66,0.9912743271986699,1.0079972220666118,0.9980797914411419,6.6000000000000005
67,0.9913458092101028,1.0095968713782328,0.9985723113974547,6.7
68,0.9909663179574167,1.0099820907159966,0.9973519021370599,6.800000000000001
69,0.9904324257425701,1.0090877237312854,0.9945664365626025,6.9
70,0.9901855916430204,1.0081075201282086,0.9914982731111392,7.0
71,0.9903695945941643,1.0083244884183844,0.9900553722642425,7.1000000000000005
72,0.9907856613944506,1.0098143696854927,0.9917012848104759,7.2
73,0.991198599387924,1.0113339425319987,0.9960082122849597,7.300000000000001
74,0.9915145524268157,1.0114717067571086,1.0002249368212555,7.4
75,0.9916929147080543,1.0099286509843834,1.0010649149544104,7.5
76,0.9916535070757304,1.0077136311433894,0.9973779508183536,7.6000000000000005
77,0.9913454045815174,1.0061409056145574,0.9909734022276147,7.7
78,0.9908938403397282,1.0057217075257001,0.9848175223558131,7.800000000000001
79,0.990674202608359,1.0059711856279188,0.9806109109749257,7.9
80,0.9911524039373637,1.0060973055775257,0.9779553876612925,8.0
81,0.9924801997262851,1.0057601460751255,0.9753960129815947,8.1
82,0.994188466258789,1.0052413126230355,0.9720534224503435,8.200000000000001
83,0.9953693904449238,1.0050274697184116,0.9685885016272548,8.3
