,Li-Li,Li-Hf,Li-Si,Hf-Hf,Hf-Si,Si-Si,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,9.300236413003851e-07,0.0,0.0,0.0,0.0,0.0,0.5
6,6.8664240822432636e-06,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,3.882145550629429e-05,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,0.00017364566116617847,0.0,0.0,0.0,0.0,0.0,0.8
9,0.000634843180913586,0.0,1.495600302056588e-06,0.0,0.0,0.0,0.9
10,0.0019628943769854023,6.063811550145257e-07,1.5452521903158616e-05,0.0,0.0,7.276573860174309e-07,1.0
11,0.0053215515915574,6.022180716402435e-06,0.0001003018193010557,0.0,1.0884625718820294e-07,7.357232368308766e-06,1.1
12,0.013121328885855035,3.7004335502407106e-05,0.0005082363161806165,3.9293498844941276e-07,1.1027017434986154e-06,5.9402582293126455e-05,1.2000000000000002
13,0.030099203327974347,0.00018021558308087407,0.0020849052535915433,3.2750652210100045e-06,8.750677214425655e-06,0.00035869452437462337,1.3
14,0.06442401849334853,0.0007091895781025873,0.0071424162710596924,2.2206662020082512e-05,5.7756647365454686e-05,0.001706732098925461,1.4000000000000001
15,0.12737256945459347,0.002320442051852502,0.020826746859313197,0.0001161541604725615,0.0003093238634503431,0.006754721006287255,1.5
16,0.23002471171233285,0.006456489185921281,0.05255468499101865,0.0005116811571143431,0.0013809327970767682,0.02255104660020064,1.6
17,0.37750340816529954,0.015594758252166217,0.11618002296231707,0.001930821211694155,0.005277726489073539,0.0636997466386833,1.7000000000000002
18,0.5645135816394621,0.03327426534949957,0.22701302102048482,0.006376320444185975,0.017340284672599366,0.15244270081861866,1.8
19,0.7762022698797517,0.06355414315520727,0.3946967814985784,0.01862635091512708,0.04903257381773674,0.310126578551103,1.9000000000000001
20,0.993575054279135,0.10983080256668552,0.614483170039707,0.048224547861202754,0.11964820093868248,0.5399818436822955,2.0
21,1.1982202494661018,0.1736422881477326,0.8631083735878189,0.11045772477524908,0.2534644319248016,0.8131322198407649,2.1
22,1.3737971660580612,0.2544166786593772,1.104168754398948,0.2235252667547088,0.4703042830743269,1.0740214657720464,2.2
23,1.5073604343310192,0.34996428615585146,1.3011416052227278,0.4003559833329062,0.7725264446301647,1.266331559652243,2.3000000000000003
24,1.5926120358473772,0.45639882325404824,1.430516105201911,0.6387144265139787,1.1359110524762908,1.3601275189286344,2.4000000000000004
25,1.6316372606572211,0.5674103496539543,1.4881220589256559,0.9177066357649403,1.5111706210913887,1.3598914046315878,2.5
26,1.632509941501416,0.6746394599584835,1.486411968335241,1.205220422534717,1.836920582178543,1.2922340791697748,2.6
27,1.605530725640924,0.7698167287490091,1.445370785170575,1.471095340023259,2.058310738525292,1.1880226368173006,2.7
28,1.5608216908117896,0.846841729618131,1.383115155845389,1.6958877014561542,2.1431603831912396,1.0716964647692475,2.8000000000000003
29,1.5063749059620233,0.9023122491607216,1.3112774409421792,1.8702155121363524,2.090260687998425,0.9594267560599209,2.9000000000000004
30,1.4466496107577518,0.9353561847963368,1.2356877277768992,1.9879495697238188,1.9279215712449849,0.8613920474279086,3.0
31,1.3839850089506005,0.9479031703776307,1.15961827569876,2.041147474536888,1.7028354147739475,0.78395752483423,3.1
32,1.3217689245441324,0.9448146847609714,1.0868272971218422,2.0225977394149086,1.4633601730259167,0.730413265890396,3.2
33,1.2651873448193802,0.9327103272202585,1.02236352222431,1.933853837038779,1.2456121345213051,0.7009615486636703,3.3000000000000003
34,1.218504237873688,0.9175387127746479,0.9706085467824838,1.7898802701857965,1.0683866401292141,0.6931912116782862,3.4000000000000004
35,1.1822100325671898,0.9024617432777966,0.9326542239272145,1.6148510286538826,0.9357062940748204,0.7032837053681895,3.5
36,1.1531812102847592,0.8876500430912604,0.9061967814596129,1.4332728538170303,0.8424026883981274,0.7270332265339273,3.6
37,1.1275492602221324,0.8720611379640167,0.8881687110765207,1.263564056310408,0.7799517063058754,0.759971979799372,3.7
38,1.1035356627630273,0.8557330100974005,0.8771763134768985,1.1163508081263434,0.7410671183446266,0.7973385213512452,3.8000000000000003
39,1.08190540986699,0.8408425300673786,0.8735763679076843,0.9958321413845985,0.7214487999832543,0.8351618940891891,3.9000000000000004
40,1.064129161666169,0.8308105968738557,0.8779444082135148,0.9019287128521482,0.7185888291074418,0.8721865245943631,4.0
41,1.0504661109191262,0.8284058291929578,0.8897291385999636,0.8318256340107257,0.7298789024631747,0.9099661172307192,4.1000000000000005
42,1.0401194683876285,0.8345798494627015,0.9067705459594942,0.781737646024925,0.7522075446899618,0.9499037527279511,4.2
43,1.0328829750391453,0.8487026396589543,0.9255685846306925,0.7498986996847675,0.7829715130388059,0.9902843649926906,4.3
44,1.0297154317989246,0.8693828137333606,0.9424461617753818,0.7382150997855598,0.8206490309705016,1.0268585723876136,4.4
45,1.0312009690371247,0.8947981735098381,0.9553776894226553,0.7494526429378694,0.86387597265262,1.0560304351651093,4.5
46,1.035870275451762,0.9224875149796888,0.9650784429570064,0.782269533061701,0.9102547941344334,1.076954190413172,4.6000000000000005
47,1.0404946529614787,0.9495725248619962,0.9741020707355271,0.82985891780116,0.9564863464862486,1.0910336010633008,4.7
48,1.0420532819321857,0.9739223745086378,0.9847384876500948,0.8832740624976841,0.9995492691420914,1.1002208270388176,4.800000000000001
49,1.0396573761061991,0.9951038491415921,0.9974797449344835,0.9353504959297817,1.0374477514396776,1.1054765612165456,4.9
50,1.0348293833153652,1.0137867865625263,1.0107989866422602,0.9820886051091742,1.0687645292740302,1.1059870698980945,5.0
51,1.0297448756875498,1.0301924817019499,1.0219526998055093,1.0217643998378454,1.0918122580790741,1.0999173832949896,5.1000000000000005
52,1.0249861117761945,1.0434028294454756,1.028381951087698,1.0535512670153186,1.1048833748568214,1.0866473426555858,5.2
53,1.019201346646567,1.0522234605229106,1.0290659036191088,1.0769326124472642,1.1077249429276457,1.0682010711543348,5.300000000000001
54,1.0109437321403678,1.0564146951906574,1.0249572284741137,1.0916137870875875,1.102429083402156,1.048123151530094,5.4
55,1.000302835834289,1.0568990193630639,1.0182902294961123,1.0971969596131723,1.092368922783485,1.0291250335400703,5.5
56,0.9886760958732556,1.0549413741190896,1.0114725595607923,1.0933972559938523,1.0802553551694742,1.0118901231215847,5.6000000000000005
57,0.9774745334468027,1.0515084479600512,1.0061171114781462,1.0813730955198415,1.0674031053372628,0.9954743851259535,5.7
58,0.9671992992077725,1.0474667963831585,1.0024160507886513,1.0640474900599506,1.0544230899676952,0.9785755975292908,5.800000000000001
59,0.9575649966703663,1.043781723074369,0.9993981575479635,1.044029883179647,1.041897932617918,0.9610034558429722,5.9
