,Li-Li,Li-Ta,Ta-Ta,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,3.158247728220881e-07,0.0,0.0,0.6000000000000001
7,4.168677811191406e-06,0.0,0.0,0.7000000000000001
8,2.8726325384897417e-05,0.0,0.0,0.8
9,0.00015071319803033255,4.997826854808594e-07,0.0,0.9
10,0.0006408849648277639,4.2142649524986e-06,0.0,1.0
11,0.0022614062417200672,2.5237464234083008e-05,1.3717818387397074e-06,1.1
12,0.006768553007729461,0.00011884550783508887,1.657967875132809e-05,1.2000000000000002
13,0.017553088787920324,0.0004581972309656908,0.00011879219677531708,1.3
14,0.04017955940890246,0.0014824563864862912,0.0006418524827036742,1.4000000000000001
15,0.08236347373404353,0.004138498772061407,0.002815340899014933,1.5
16,0.15256163727165975,0.010215630996470807,0.010284563114233538,1.6
17,0.25672456963155404,0.02267185637192184,0.03192556699653671,1.7000000000000002
18,0.3943354057501558,0.045599468014949206,0.08546775938234182,1.8
19,0.5563584942928356,0.08338165757891043,0.19944616441525856,1.9000000000000001
20,0.727027812949356,0.13923135502357117,0.40864491567787786,2.0
21,0.8889714419917726,0.2142931228235127,0.7389650391230262,2.1
22,1.0290072880479129,0.30798496671819625,1.1856883988202522,2.2
23,1.1413220322747255,0.41828073010568434,1.7015178310710501,2.3000000000000003
24,1.226417419614601,0.5404497475724269,2.2106248724402078,2.4000000000000004
25,1.2874648205373922,0.6654150483168876,2.6423856988917556,2.5
26,1.327378077606552,0.7804740548741371,2.9571884514716187,2.6
27,1.3483222155767536,0.8729969497101766,3.146906328265022,2.7
28,1.3525856933894216,0.9347587851200618,3.2203880526512223,2.8000000000000003
29,1.3429494947038443,0.9639837643187055,3.191601379082895,2.9000000000000004
30,1.322288800935236,0.9642826560852827,3.075205538817781,3.0
31,1.2932155853381873,0.9423613375269417,2.886821387396819,3.1
32,1.2580642156296784,0.9064122824345957,2.6453572912682,3.2
33,1.219128124803868,0.8648618887131881,2.373380548619618,3.3000000000000003
34,1.1790146940893944,0.8246542468012937,2.0933316869724297,3.4000000000000004
35,1.1405700071887086,0.789828461697439,1.8237007839652002,3.5
36,1.105854629900175,0.7615386116976027,1.5793777417747241,3.6
37,1.0751390919382084,0.7394252921837443,1.3734394713507672,3.7
38,1.0476169153192725,0.7232531911269041,1.2154841833184384,3.8000000000000003
39,1.0233829393302702,0.7136969869005287,1.1076824966961119,3.9000000000000004
40,1.0041383339154604,0.7118684541896246,1.044052331991273,4.0
41,0.9917493172230928,0.7182037114460887,1.0151177295742486,4.1000000000000005
42,0.9865512501721155,0.7318278832264262,1.0134431137131892,4.2
43,0.9871098998669542,0.7508914632754008,1.034277128822141,4.3
44,0.9911318014187817,0.7734699859712107,1.072172950899168,4.4
45,0.9964394612729031,0.7983158694908382,1.1196440603156195,4.5
46,1.0014747512714888,0.8250226647323078,1.1698526466663195,4.6000000000000005
47,1.005419105969367,0.8535920846055658,1.2186265838683674,4.7
48,1.0082247330050342,0.8837105724342605,1.2627114017237193,4.800000000000001
49,1.0104798524004832,0.9142376626063292,1.29764171068583,4.9
50,1.012913937248733,0.9433693279410204,1.3191365531558126,5.0
51,1.0158363623960547,0.9693762201257469,1.326284813909538,5.1000000000000005
52,1.0190134589085476,0.9911530337794907,1.3221474859859381,5.2
53,1.0218907439531004,1.0081486903371426,1.3111824641568264,5.300000000000001
54,1.0237913401337553,1.0201524346417548,1.2964904692106618,5.4
55,1.0241048339643184,1.0273681852770276,1.2785958690068833,5.5
56,1.0225988643734645,1.030428615671928,1.2552744654021744,5.6000000000000005
57,1.0195829745518574,1.0300483331960353,1.2225761164422544,5.7
58,1.0156566167706378,1.0267694728695245,1.177729658891705,5.800000000000001
59,1.011301397934613,1.0212127411904395,1.122301216057767,5.9
60,1.006680548596738,1.0144867924084306,1.0626262276395102,6.0
61,1.001703855423198,1.0081177025616193,1.0068834818591743,6.1000000000000005
62,0.9962487924382166,1.0033035200247717,0.9608630382655066,6.2
63,0.9904236258126766,1.0001530533242282,0.9252014674585247,6.300000000000001
64,0.9846496552878201,0.997892652126064,0.8962103492487286,6.4
65,0.979468655321415,0.9960513191422379,0.8699672728306193,6.5
66,0.9753271606888516,0.9953369018853648,0.8460121934916329,6.6000000000000005
67,0.9725272872599725,0.99715641492744,0.827103791779175,6.7
68,0.9711620769409918,1.0023355146072475,0.8159089176411604,6.800000000000001
69,0.9709629401098788,1.010435513334479,0.8126936514294849,6.9
70,0.9713372368953949,1.0202037392189198,0.8158336824959332,7.0
71,0.9716715749086917,1.0304594018304176,0.8232813747974025,7.1000000000000005
72,0.9716636280334022,1.0405500215200065,0.8330818961944227,7.2
73,0.9714213242702138,1.0502573782909106,0.843111947338354,7.300000000000001
74,0.9712611226013567,1.0595692390437867,0.8509279968090114,7.4
75,0.9714092300978797,1.0685234764301144,0.8540280039343976,7.5
76,0.971911837981777,1.076934296335581,0.8506076545245943,7.6000000000000005
77,0.9727004801592236,1.0841302975955278,0.840630994395204,7.7
78,0.9735412239254118,1.0892565338856213,0.8263989850702046,7.800000000000001
79,0.9739977271523332,1.0920914482714705,0.8118879636076376,7.9
80,0.9737317723473515,1.093386623470837,0.8009718934243784,8.0
81,0.972927488639036,1.0942166696212776,0.7954669254391387,8.1
82,0.97222415979962,1.0950844076582802,0.7942800568740391,8.200000000000001
