,Li-Li,Li-Si,Li-I,Si-Si,Si-I,I-I,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,5.790276468556155e-07,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
7,4.027933259224074e-06,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
8,2.2149258508484185e-05,0.0,0.0,0.0,0.0,0.0,0.8
9,9.698503822479992e-05,1.3744393278302845e-06,0.0,0.0,0.0,0.0,0.9
10,0.00034456289964760226,1.2640368079602648e-05,5.254139758504659e-07,7.005519678006212e-07,0.0,0.0,1.0
11,0.0010268607347545576,8.002965259263217e-05,5.783942909448054e-06,2.5316930671195477e-05,0.0,0.0,1.1
12,0.002668779105853271,0.00039673014473709837,4.2846381956465035e-05,0.00024531739832444775,0.0,0.0,1.2000000000000002
13,0.006242218059889105,0.0016047290311799502,0.00023650775251456946,0.0015688830283393973,2.573456208247181e-07,0.0,1.3
14,0.013366571740722685,0.005448008042964602,0.0010616228007815302,0.007637201549615573,3.08499786609259e-06,0.0,1.4000000000000001
15,0.026269614881654708,0.0158775457779535,0.0039833046947836985,0.030141444415806715,2.2416002161666896e-05,0.0,1.5
16,0.04735801749176753,0.040385609007351234,0.012738524504582446,0.09822803996567352,0.00012072690066347965,0.0,1.6
17,0.07883572917200839,0.09065161847936343,0.035143438285583556,0.2668745875649038,0.0005195064020610962,0.0,1.7000000000000002
18,0.1227482460463343,0.18092280742664021,0.08441747151907923,0.6093892470194209,0.0018491268909630722,6.715350223887613e-07,1.8
19,0.1808228714111552,0.323008072362142,0.17799396751103738,1.1797240855775708,0.00551864552733985,5.3130277043647725e-06,1.9000000000000001
20,0.25328510620296446,0.5195487973690778,0.33197589917113707,1.9561105967432615,0.01393925078558061,3.209276236561479e-05,2.0
21,0.3376310516964447,0.7595291239853709,0.5519968877342661,2.812264702563802,0.030105403336259134,0.0001520646634762972,2.1
22,0.42925717792016904,1.0187716603313943,0.825087683499183,3.5565517423116364,0.056296890323881965,0.0005928714153578461,2.2
23,0.5236256949505976,1.2650278631068297,1.1185476509109245,4.020894128969121,0.09263259759571695,0.001953586135872861,2.3000000000000003
24,0.6172892993877811,1.466182618864173,1.388620748386999,4.134176057984697,0.13678451496558244,0.0055930052443610555,2.4000000000000004
25,0.7066853102698806,1.599600604406104,1.595761882089245,3.9347193657552197,0.18517865762478958,0.014179772699566516,2.5
26,0.7871562471324741,1.6587848253178492,1.7184866920296558,3.530896888616545,0.23453784280805443,0.03215894211322809,2.6
27,0.8543113576173312,1.6534900826364725,1.757775031451857,3.0463547554301846,0.2827201202540621,0.06549326282339431,2.7
28,0.9060673710310274,1.603058994885648,1.7304113680092588,2.5783826709681414,0.32889898567592707,0.12006045767288374,2.8000000000000003
29,0.9429984902585732,1.5271957456148886,1.6578666785527088,2.1809291548503356,0.37337336995363346,0.19918294053629407,2.9000000000000004
30,0.9673272035650764,1.4402463973689117,1.5588584493173705,1.870524510824027,0.41698931985426874,0.30193857926545703,3.0
31,0.9819409604406392,1.3513068233458143,1.44802659075267,1.643250812134716,0.46038140823228146,0.42342943740785033,3.1
32,0.9897620561877262,1.2666146963133302,1.3373890983301933,1.4873994443834084,0.5033768496770102,0.5563748897083861,3.2
33,0.9933773732602823,1.190595842345357,1.2365815796596342,1.386767121893217,0.545087051196232,0.6927285173717426,3.3000000000000003
34,0.9947996018338484,1.1259322596303665,1.151158851645202,1.322546775992389,0.5849847201834726,0.824860609593508,3.4000000000000004
35,0.9952254549537407,1.0737803761179843,1.081453938662625,1.2800606200902196,0.6239173557257041,0.9462972233453107,3.5
36,0.9950730661623866,1.0338265058001468,1.0244676829415584,1.2545133542154765,0.6633151090293773,1.0521923035389387,3.6
37,0.9946652735051685,1.004338126621151,0.9776662469533364,1.248009051241664,0.7030464098596604,1.140032758876401,3.7
38,0.9946216707096718,0.9833185742270723,0.9409018117532385,1.2602918698084975,0.7409404620659921,1.2102477290689166,3.8000000000000003
39,0.9951562985175666,0.9700468599499633,0.9149259171906918,1.2833889033480013,0.7751167479710068,1.2650166556938127,3.9000000000000004
40,0.995617636949726,0.9648808009865327,0.8988893033781107,1.3052556300818552,0.8061194646386355,1.3054615207153775,4.0
41,0.9955498856449482,0.9672424608292572,0.8895887958597328,1.3168300982203252,0.8360273103465405,1.330651704865516,4.1000000000000005
42,0.9958250789815278,0.974559370304406,0.8829256238458985,1.3148403086784226,0.8660181530002933,1.339814012660602,4.2
43,0.9979053387362778,0.9837756578030658,0.8762688471042551,1.3001220647035883,0.8956297553113491,1.3342985957576181,4.3
44,1.0020688274165799,0.9933009451912964,0.8699071060124194,1.2759086069360803,0.923956283470419,1.3170224055944046,4.4
45,1.007015243320541,1.0027751172382104,0.8662706112967361,1.2471317703506741,0.9504624815883983,1.2917447987763044,4.5
46,1.0112475661751097,1.0115388932391411,0.8675212792812904,1.21867671890316,0.9743404359619724,1.2636508221609688,4.6000000000000005
47,1.014368535529921,1.0181953197748501,0.8738357718656846,1.19262824025128,0.9938969371235354,1.2390020006622386,4.7
48,1.0170266282871783,1.0214725284002464,0.8836812424192935,1.1672222031222395,1.007503119878792,1.2224822640425572,4.800000000000001
49,1.0200612446453037,1.0210408580927106,0.8952200493069263,1.139641595450739,1.0152865230796235,1.214435914698831,4.9
50,1.0237440401070503,1.0177302896276705,0.9073638386128352,1.1104297864189359,1.0191627410524118,1.2106798315457292,5.0
51,1.0274036688834016,1.0132104595323628,0.919904627750431,1.0843161954791927,1.0210559812950448,1.2050101803408535,5.1000000000000005
52,1.0295521551117468,1.0090991683203054,0.9329219435687803,1.0659492245105708,1.0216722200646937,1.1921836080280572,5.2
53,1.0286360642251429,1.0060032251827558,0.9460010382407641,1.0558164244490453,1.020923730829643,1.1694140447567078,5.300000000000001
54,1.0239939496757442,1.0035750510318888,0.9581190039920634,1.050944864531681,1.0188085396393325,1.1365586507215657,5.4
55,1.0162908358919878,1.0014743908895198,0.9685273434206003,1.0482587364001001,1.0157387777618727,1.0962042646264032,5.5
56,1.0071514662824985,0.9997791093036048,0.9775441754078072,1.0460455347606212,1.0124729029040818,1.053708126922648,5.6000000000000005
57,0.9983466477126524,0.9985019522089323,0.9860979819187118,1.0431063812174117,1.009894508396166,1.015951249006993,5.7
58,0.9912075179428551,0.9974203505928927,0.9945351791344377,1.0378887075265346,1.0087562007269293,0.9882078670651078,5.800000000000001
59,0.9866204338573276,0.9964824855598498,1.0021657779288735,1.0287036089097739,1.009528147561036,0.9712717715603075,5.9
