,Mg-Mg,Mg-Si,Si-Si,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,6.697997118180307e-07,0.9
10,0.0,0.0,4.965087572291809e-06,1.0
11,1.7873694987572563e-07,8.936847493786283e-07,3.411971242874454e-05,1.1
12,1.7032116444685917e-06,9.053758546552436e-06,0.00019044672259781233,1.2000000000000002
13,1.308302676672398e-05,6.277623382633873e-05,0.0008864873468049886,1.3
14,7.373354574171375e-05,0.00033533745597436087,0.0035462145340667017,1.4000000000000001
15,0.0003393998144094111,0.001455748400343412,0.01233538673682898,1.5
16,0.0013155848854480923,0.005306464660528593,0.03732076893352383,1.6
17,0.004363459630308993,0.016544572402238247,0.09753802302686411,1.7000000000000002
18,0.012518904090042375,0.04461353512611868,0.21928627358457045,1.8
19,0.03133965076886601,0.1047983484874819,0.42421751836286936,1.9000000000000001
20,0.06908115666885634,0.21565334800699013,0.7096219666772728,2.0
21,0.13538912331948869,0.39105904386017065,1.0358862969160152,2.1
22,0.23823603451848763,0.6294126220455293,1.3372401524435833,2.2
23,0.3800325821170863,0.9071343191069459,1.552424307702377,2.3000000000000003
24,0.5547666306740585,1.1829638835692535,1.6519201941651493,2.4000000000000004
25,0.7479157645835937,1.4124989557919758,1.643318200855144,2.5
26,0.9396196140146206,1.564830762245149,1.5580122925324886,2.6
27,1.109988352289062,1.631531413867453,1.433079216277691,2.7
28,1.2441889263171462,1.6237812114867396,1.2976105248892291,2.8000000000000003
29,1.3351096337322343,1.562067667970534,1.1673732212543337,2.9000000000000004
30,1.3829943028872318,1.467226432097573,1.0482145033637256,3.0
31,1.3928952944982427,1.3571530027681533,0.9431162667719505,3.1
32,1.371703932139482,1.2463967314016031,0.8556104453541415,3.2
33,1.3268610694172271,1.1453953207941963,0.7887659706425326,3.3000000000000003
34,1.2669034236378154,1.0599450223790492,0.7446129050946829,3.4000000000000004
35,1.201343569202946,0.9919229419658445,0.7246954463819261,3.5
36,1.1383252625462386,0.9405614756888048,0.7284154309628764,3.6
37,1.0820855467830428,0.9038102076716752,0.7502768983216481,3.7
38,1.0331202152145327,0.8796405895797574,0.7810408087441976,3.8000000000000003
39,0.9908520309134599,0.8665333774463123,0.8128317054154754,3.9000000000000004
40,0.955838958989374,0.8629457072332353,0.8426496804459669,4.0
41,0.9296469538587344,0.8668825292976935,0.871198666139999,4.1000000000000005
42,0.9132674561069826,0.8762889932240375,0.8999011507435044,4.2
43,0.9059479443980534,0.8897643930817376,0.9293209111227808,4.3
44,0.9053126753291639,0.9066931919270472,0.9587681046998711,4.4
45,0.9086569147670662,0.9265615734748296,0.9863771241247178,4.5
46,0.9144748108541976,0.9481652017142529,1.0100433049816826,4.6000000000000005
47,0.9227820309951588,0.9696409948611533,1.0286821084423223,4.7
48,0.9339602771075316,0.9892967846489338,1.0422575765206312,4.800000000000001
49,0.9476107055006383,1.0063419749911975,1.0508637590523358,4.9
50,0.9625703473546197,1.0207988766439102,1.0546026496082461,5.0
51,0.9775199961833646,1.032783353633192,1.0543184505713552,5.1000000000000005
52,0.991233437268971,1.0420021324562068,1.0516401850623007,5.2
53,1.002585672611968,1.0479060965519191,1.0478985705992692,5.300000000000001
54,1.0108771194633812,1.0500533291237881,1.0429095244335138,5.4
55,1.0163347913177099,1.0483071304825788,1.0347748809515427,5.5
56,1.0199688588818165,1.043036910264718,1.0212741078195942,5.6000000000000005
57,1.0225622311854665,1.0353331973237028,1.0021266331044867,5.7
58,1.0239209104442837,1.026860994224247,0.9799603377461168,5.800000000000001
59,1.0234222156499768,1.0192751628577512,0.9589734142387631,5.9
60,1.0210529760257783,1.0135181265708875,0.9427221582041732,6.0
61,1.0174880552683092,1.0094257782795217,0.9327572855299865,6.1000000000000005
62,1.0132867527770981,1.0060658554947068,0.9283948567594059,6.2
63,1.0084636497511874,1.002763358454041,0.927316451348976,6.300000000000001
64,1.0029660986080713,0.999879038372704,0.9269463134270953,6.4
65,0.9973364523475339,0.9983917692457009,0.9263409753731723,6.5
66,0.9926668710934023,0.9985748135464009,0.9271375754227551,6.6000000000000005
67,0.9897999619402956,0.9992970813765613,0.931869785070311,6.7
68,0.9886214048621166,0.9989832950642126,0.9407798977141713,6.800000000000001
69,0.9882176161991827,0.9973056117406307,0.9508395662670506,6.9
70,0.9876953037454241,0.9956136945081236,0.9582615294724885,7.0
71,0.9868536296727932,0.9956003165397663,0.9613377798572177,7.1000000000000005
72,0.9862590866180136,0.9978339009598783,0.9606212827625414,7.2
73,0.9868243201893836,1.0016406617303468,0.9572087129426683,7.300000000000001
74,0.9890804124233934,1.0059662650007755,0.9514538505230905,7.4
75,0.9925131275007358,1.0100432279623115,0.9432504534076066,7.5
76,0.9957392199759324,1.013409799814813,0.9334383174302928,7.6000000000000005
77,0.9977026732850679,1.015620097262952,0.9246091791780787,7.7
78,0.9986565802855158,1.0161708208096156,0.9197670748201681,7.800000000000001
79,0.9997026990358335,1.014856986354905,0.9199538148224968,7.9
80,1.0014267877778336,1.0121855893535932,0.9235964987513113,8.0
81,1.0032723000278643,1.009220072315308,0.9282383915563264,8.1
82,1.004247535744048,1.0069168663632375,0.9325658969772894,8.200000000000001
83,1.0039269473007892,1.005678710516152,0.9367957667358202,8.3
