,Li-Li,Li-Si,Li-O,Si-Si,Si-O,O-O,r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5,0.0,0.0,2.9168599258273773e-06,0.0,3.6460749072842216e-07,0.0,0.5
6,6.287618972765646e-07,0.0,3.128117297255284e-05,0.0,1.448120601953134e-05,0.0,0.6000000000000001
7,7.934092926622493e-06,0.0,0.00022200484790270037,0.0,0.00017863539792324233,0.0,0.7000000000000001
8,5.015544551692363e-05,1.2034895690059247e-07,0.001173076103274522,0.0,0.001207049650274815,0.0,0.8
9,0.00024311327025661262,1.3178072215970512e-06,0.004997630893170772,0.0,0.0060496094304718345,0.0,0.9
10,0.0009476169727024641,8.79249223689069e-06,0.017674031250126662,6.65633736931672e-07,0.02433537433439058,1.1410864061685805e-06,1.0
11,0.0030027349689239666,4.806930935496843e-05,0.052623179713763985,8.437009006107758e-06,0.07980554368933745,8.464951007089585e-06,1.1
12,0.00786028776438871,0.00021658104223075349,0.13317060032004688,6.97828747224622e-05,0.2145688901082448,4.970336440234253e-05,1.2000000000000002
13,0.017370914425289638,0.0008316459279693313,0.28868378341411777,0.0004100463564982744,0.475446168333432,0.0002306549436364157,1.3
14,0.033400024498358445,0.0027901572604715637,0.5403564912719632,0.001908503917327325,0.8738100412320535,0.0008790346988238292,1.4000000000000001
15,0.05793516868629754,0.008288453126356135,0.881163490589784,0.007343787138095651,1.3431139298815342,0.0028396235706902727,1.5
16,0.09383056944111519,0.021872958368401176,1.2649323988531536,0.023707773887040335,1.7454177786470522,0.008019761688663281,1.6
17,0.14503281123466166,0.051260876211421016,1.6182357186662997,0.06475931293839762,1.9451770703940854,0.020174353748414264,1.7000000000000002
18,0.21543161037055822,0.10669620060319139,1.8716259133849433,0.15078943542882597,1.894069218123918,0.04563897973850933,1.8
19,0.30690110342867993,0.19786814668983752,1.9891133781526493,0.301789704315089,1.6510720926135358,0.09301816994024029,1.9000000000000001
20,0.4176788473829228,0.32901410043900764,1.9765459832837542,0.5241998689857844,1.3293305873910277,0.17106616796023466,2.0
21,0.5418473210137672,0.49476557244117586,1.8684871837690151,0.7988507238036748,1.0278699828067628,0.2852505886697759,2.1
22,0.6704128944376232,0.679747066600094,1.7080315268295492,1.080891095668459,0.7990114115680508,0.434699028456782,2.2
23,0.7936211056089185,0.8629106301053906,1.5323975543941817,1.3158016336628586,0.6538693722789394,0.6108009423170664,2.3000000000000003
24,0.9032771900481917,1.024102984641225,1.3673744721127983,1.4631578054745813,0.5813767802964805,0.7978220713876158,2.4000000000000004
25,0.9942701287898674,1.149024040212586,1.2270067674721103,1.5126170855415175,0.5629814143604915,0.9755078823855663,2.5
26,1.0647787670058722,1.2311786433131227,1.1152064466294511,1.4823385616012557,0.5803018206719378,1.1233376730359368,2.6
27,1.1151211393620595,1.2718821263435234,1.0296225962945404,1.4042833589508832,0.6188906191839164,1.225690793759631,2.7
28,1.1467936559946055,1.2787309613018376,0.9671155923338339,1.308937203516973,0.6695405513763187,1.2764698910636478,2.8000000000000003
29,1.1626248376688157,1.2623114049382593,0.926297408893233,1.217311362896669,0.7268233073049526,1.2808057625086957,2.9000000000000004
30,1.166221348915397,1.2323753799827957,0.9051689918175136,1.1397544101692014,0.7861535338298844,1.2522895007823451,3.0
31,1.1599369212348773,1.1955939084095148,0.8984993229992367,1.0784733954627779,0.8424114580548845,1.2070701307273237,3.1
32,1.1441612992652002,1.1558390511971706,0.8996657953252822,1.031421015998825,0.8913976284678254,1.1584154403222067,3.2
33,1.1195629701667809,1.1159082009368517,0.9049356826773199,0.9953530582483028,0.9318354868203731,1.114240800659093,3.3000000000000003
34,1.0891419631900505,1.078457105047986,0.9146751832293347,0.9671175161466453,0.9651181446143334,1.0773188041786472,3.4000000000000004
35,1.0570843495566313,1.0454516177020385,0.9301725986468687,0.9444300215252893,0.9929606036152108,1.0469470826775462,3.5
36,1.026523934726847,1.0177294534286079,0.9502996208027952,0.9268494426966855,1.0155015605928508,1.0214018407096415,3.6
37,0.9990772739139819,0.9956680773215898,0.971621122183286,0.9156016391479123,1.0316559242787087,0.9998387332440274,3.7
38,0.9755058894679665,0.9797168381209623,0.9907657859889731,0.9116648773432602,1.0409171979583987,0.982522327432843,3.8000000000000003
39,0.9558960748630426,0.9698814944606573,1.0058342547225532,0.9141555159492201,1.044372912999521,0.9698926710798175,3.9000000000000004
40,0.9396692669897055,0.9652982179083823,1.016209041982452,0.9209247318696484,1.0439342911649097,0.9618875806266062,4.0
41,0.9263414146230858,0.964883324408642,1.0222012916294736,0.9302964436225418,1.041010353218668,0.9582375880869498,4.1000000000000005
42,0.9167117919862754,0.9680385228773606,1.0249547398602334,0.9415281308818956,1.0362265182192227,0.959193972958973,4.2
43,0.9129089124020621,0.9743853632341168,1.0257879534049155,0.9538529921372997,1.0301123331045086,0.9652786828916955,4.3
44,0.9163411815733244,0.9830682753740807,1.0252360003968617,0.9659903010861857,1.0235240976700415,0.9758277569265308,4.4
45,0.9254248116766219,0.9925571735450035,1.023048320391862,0.9768179921119482,1.0173277154192422,0.9881556676910592,4.5
46,0.936112196743575,1.0010525418174934,1.019044389979875,0.9858582970568758,1.0120296889431393,0.9986805450196053,4.6000000000000005
